"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-13 14:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:10:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:14:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 14:20:00,,,33.6,,,4.77,0.0517,0.0517,,,,0.414,,,
2023-03-13 14:22:00,35.1,41.4,33.6,,,4.77,,,,,16.3,,,,
2023-03-13 14:24:00,35.1,41.4,33.6,,,4.77,,,,,16.3,,,,
2023-03-13 14:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:28:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:32:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 14:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 14:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 14:42:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0207,
2023-03-13 14:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:46:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:50:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 14:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 14:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 14:56:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 14:58:00,,,32.3,,,4.22,0.0517,0.0517,,,,0.331,,,
2023-03-13 15:00:00,,,32.3,,,4.22,0.0517,0.0517,,,,0.331,,,
2023-03-13 15:02:00,,,32.3,,,4.22,0.0517,0.0517,,,,0.331,,,
2023-03-13 15:04:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 15:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 15:08:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 15:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 15:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 15:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
2023-03-13 15:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0276,0.0276
2023-03-13 15:18:00,34.9,,,3.11,,,0.0517,0.0517,,0.414,,,,,
2023-03-13 15:20:00,34.9,,,3.11,,,0.0517,0.0517,,0.414,,,,,
2023-03-13 15:22:00,34.9,,,3.11,,,0.0517,0.0517,,0.414,,,,,
2023-03-13 15:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0276
2023-03-13 15:26:00,,,,,,,0.0517,0.0517,0.0517,,,,0.0276,0.0276,
2023-03-13 15:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,0.0207,0.0207
