"Time","Transmit Total (172.16.66.31:9796)","Transmit Total (172.16.66.32:9796)","Transmit Total (172.16.66.3:9796)","Receive Total (172.16.66.31:9796)","Receive Total (172.16.66.32:9796)","Receive Total (172.16.66.3:9796)"
2023-03-11 11:48:00,129152,101518,189049,102141,86578,128144
2023-03-11 11:50:00,128146,99072,200044,102793,81999,132792
2023-03-11 11:52:00,131565,112394,206853,105281,96639,135716
2023-03-11 11:54:00,144323,127830,269317,130691,98275,204533
2023-03-11 11:56:00,165900,147160,273374,159489,113415,203798
2023-03-11 11:58:00,148010,107075,192338,111499,97534,131137
2023-03-11 12:00:00,132230,103617,200138,105691,86904,133303
2023-03-11 12:02:00,150198,137638,220115,114886,131261,136681
2023-03-11 12:04:00,136494,140526,269336,118759,114997,205019
2023-03-11 12:06:00,180105,153469,273288,166636,127149,202955
2023-03-11 12:08:00,127745,99211,194866,101648,84251,130947
2023-03-11 12:10:00,137548,103300,195653,107593,91185,130749
2023-03-11 12:12:00,133543,105088,196709,106763,89545,136419
2023-03-11 12:14:00,134457,109365,262364,111017,89063,195744
2023-03-11 12:16:00,165554,145499,275170,160342,111051,203134
2023-03-11 12:18:00,128742,100420,195443,102216,85721,132340
2023-03-11 12:20:00,126777,97523,195443,102191,80429,129871
2023-03-11 12:22:00,132037,125835,222572,106036,110612,137405
2023-03-11 12:24:00,136966,104679,243232,105650,91337,179507
2023-03-11 12:26:00,162407,142187,273079,156311,107910,203269
2023-03-11 12:28:00,146578,109529,195321,110606,103849,132100
2023-03-11 12:30:00,132414,101954,199928,106009,86272,130848
2023-03-11 12:32:00,150305,114064,198817,114965,107312,136005
2023-03-11 12:34:00,126001,102067,229315,100680,84509,165573
2023-03-11 12:36:00,167477,143585,272926,159184,112234,201233
2023-03-11 12:38:00,129971,100270,195163,102836,86386,130457
2023-03-11 12:40:00,132259,101112,196765,105111,86194,131379
2023-03-11 12:42:00,132651,106318,199603,106316,89447,138155
2023-03-11 12:44:00,130643,104443,220582,103765,88229,155065
2023-03-11 12:46:00,159845,140037,268710,155876,103798,198738
2023-03-11 12:48:00,129201,126110,219031,102809,111034,133983
2023-03-11 12:50:00,139330,108310,206208,107642,92100,130804
2023-03-11 12:52:00,133761,113163,209796,106810,98553,137947
2023-03-11 12:54:00,147805,109880,208507,111412,99396,144159
2023-03-11 12:56:00,162753,142857,267501,156640,108379,200121
2023-03-11 12:58:00,147589,111487,195256,111816,105491,131939
2023-03-11 13:00:00,129055,99617,200081,103623,82461,132616
2023-03-11 13:02:00,136273,108475,199472,107884,93932,138091
2023-03-11 13:04:00,129504,104682,200202,102264,88539,135933
2023-03-11 13:06:00,163410,142925,266781,156867,109069,199066
2023-03-11 13:08:00,135206,108177,198274,110768,91837,133573
2023-03-11 13:10:00,130386,97885,192978,103413,83127,127903
2023-03-11 13:12:00,128401,100026,199107,102920,82478,136292
2023-03-11 13:14:00,129966,103560,225327,103472,87041,136430
2023-03-11 13:16:00,163362,165196,292064,157905,131154,199513
2023-03-11 13:18:00,142093,116942,198357,121104,97401,133720
2023-03-11 13:20:00,143882,107200,192819,111277,98278,127868
2023-03-11 13:22:00,131326,100940,198849,104242,85235,136617
2023-03-11 13:24:00,147590,112467,199924,111493,106021,134697
2023-03-11 13:26:00,161611,142176,267869,156446,106873,200276
2023-03-11 13:28:00,161821,132255,199223,137258,116561,134874
2023-03-11 13:30:00,132687,104768,197597,106867,88243,130559
2023-03-11 13:32:00,129555,101204,192203,103526,84930,131435
2023-03-11 13:34:00,130082,139819,232894,103377,124235,135114
2023-03-11 13:36:00,162617,174517,291185,156257,141210,201521
2023-03-11 13:38:00,150428,132398,198540,138345,103660,134912
2023-03-11 13:40:00,132225,102330,199104,105715,87157,132057
2023-03-11 13:42:00,126823,99808,192706,101996,81317,132847
2023-03-11 13:44:00,130563,105118,201911,104225,88474,134936
2023-03-11 13:46:00,174846,146991,268858,162675,118439,200113
2023-03-11 13:48:00,157385,139424,209853,147984,108831,145104
2023-03-11 13:50:00,150282,110090,198935,114388,104514,131929
2023-03-11 13:52:00,128630,97551,192560,102818,81269,132349
2023-03-11 13:54:00,133903,107567,226471,105294,93046,138747
2023-03-11 13:56:00,162396,164904,287542,155814,131384,199750
2023-03-11 13:58:00,162354,147362,224200,155760,113405,159585
2023-03-11 14:00:00,133965,104143,203141,107375,88717,133182
2023-03-11 14:02:00,131686,102080,193060,104469,86682,132515
2023-03-11 14:04:00,127266,103792,202840,101890,86373,136721
2023-03-11 14:06:00,163372,143748,263959,157686,109757,196996
2023-03-11 14:08:00,168528,141590,237879,157454,106587,171789
2023-03-11 14:10:00,133051,101918,199489,106051,87452,132469
2023-03-11 14:12:00,149738,104380,192637,113405,95103,132766
2023-03-11 14:14:00,132059,128394,228178,105252,113194,137517
2023-03-11 14:16:00,183779,176695,289904,168808,152551,199381
2023-03-11 14:18:00,157813,141134,250415,152369,106452,183862
2023-03-11 14:20:00,149041,110750,199485,114617,104163,131993
2023-03-11 14:22:00,129089,96605,192680,102567,81064,132582
2023-03-11 14:24:00,137098,108891,203016,106781,96182,137089
2023-03-11 14:26:00,164711,144371,270413,158339,110800,201481
2023-03-11 14:28:00,160130,140921,256542,153426,107900,192968
2023-03-11 14:30:00,134986,114246,213319,108461,100024,133376
2023-03-11 14:32:00,130471,110059,203188,103233,95038,134113
2023-03-11 14:34:00,127681,104889,203080,102069,87197,137311
2023-03-11 14:36:00,157419,136224,270189,149285,104333,200999
2023-03-11 14:38:00,158268,165098,287416,152422,130923,200997
2023-03-11 14:40:00,134090,127349,225839,107097,113461,135461
2023-03-11 14:42:00,141176,105548,189920,108508,94865,131692
2023-03-11 14:44:00,131718,106452,205119,104810,89954,138541
2023-03-11 14:46:00,172081,139447,272289,150742,119939,201890
2023-03-11 14:48:00,158116,142315,264538,152371,107263,201260
2023-03-11 14:50:00,149356,112450,202820,114428,105247,134885
2023-03-11 14:52:00,131064,100389,190133,104859,84837,131689
2023-03-11 14:54:00,134593,106026,203612,104163,92495,138962
2023-03-11 14:56:00,147208,123039,270779,130627,98147,202223
2023-03-11 14:58:00,159915,143054,264308,153253,108827,200593
2023-03-11 15:00:00,134130,106029,206480,107951,90057,135892
2023-03-11 15:02:00,132411,108364,190021,105562,90924,131910
2023-03-11 15:04:00,124908,101380,204034,99440,83040,139062
2023-03-11 15:06:00,140861,138453,294244,121009,117295,202453
2023-03-11 15:08:00,157162,162940,288411,151593,128915,200990
2023-03-11 15:10:00,134064,103345,201844,107231,89161,132821
2023-03-11 15:12:00,150835,118737,202559,114687,114320,132327
2023-03-11 15:14:00,128738,101522,198589,102215,84503,133608
2023-03-11 15:16:00,155677,117435,259962,123416,108210,189300
2023-03-11 15:18:00,155993,139304,263964,150625,104246,199627
2023-03-11 15:20:00,138695,105208,200678,109211,93215,132829
2023-03-11 15:22:00,132204,100444,195267,105083,85590,134402
2023-03-11 15:24:00,128807,102757,197202,101384,86457,134404
2023-03-11 15:26:00,131897,102284,244995,106050,86715,176995
2023-03-11 15:28:00,158145,140761,261703,151919,106367,199130
2023-03-11 15:30:00,130909,103309,204599,106265,85702,134799
2023-03-11 15:32:00,130765,104347,194453,104543,87052,133942
2023-03-11 15:34:00,139678,131135,219945,106731,121179,134386
2023-03-11 15:36:00,133910,127438,258718,107049,113169,167715
2023-03-11 15:38:00,176455,149907,261245,160782,124585,198502
2023-03-11 15:40:00,130613,99751,202130,104094,84228,134437
2023-03-11 15:42:00,149388,109912,196526,114054,103440,136169
2023-03-11 15:44:00,127002,101417,198930,101263,83499,134385
2023-03-11 15:46:00,138411,105055,223011,110081,92044,152399
2023-03-11 15:48:00,161407,144963,261637,154902,111007,199127
2023-03-11 15:50:00,132134,110373,212417,104802,95757,135295
2023-03-11 15:52:00,131473,100453,196327,105106,85223,135041
2023-03-11 15:54:00,127070,102841,197465,99890,86255,134512
2023-03-11 15:56:00,131019,102302,207226,105623,85950,140180
2023-03-11 15:58:00,160339,144232,261575,154423,110153,198564
2023-03-11 16:00:00,130169,124965,223165,104758,108401,132650
2023-03-11 16:02:00,134026,129122,220154,106808,114762,136959
2023-03-11 16:04:00,138452,106601,197636,105353,95696,134761
2023-03-11 16:06:00,132708,100817,199255,106056,86238,130757
2023-03-11 16:08:00,177811,150997,265716,162434,126417,200235
2023-03-11 16:10:00,137245,106635,195914,112989,89351,130643
2023-03-11 16:12:00,150191,110805,196316,114804,104827,135669
2023-03-11 16:14:00,125525,98667,195919,99779,81185,131665
2023-03-11 16:16:00,137901,103572,202396,109684,90493,132452
2023-03-11 16:18:00,160762,143260,266709,154557,109771,200531
2023-03-11 16:20:00,143795,114391,196064,122709,94399,130840
2023-03-11 16:22:00,132509,105246,199337,106134,88494,137623
2023-03-11 16:24:00,127220,99863,193812,99942,84040,130786
2023-03-11 16:26:00,128715,101069,200573,103086,84990,133211
2023-03-11 16:28:00,159542,165894,289486,153515,132504,201483
2023-03-11 16:30:00,148705,146476,222916,132379,122310,132542
2023-03-11 16:32:00,133667,105528,199397,106600,90635,136401
2023-03-11 16:34:00,147434,109253,193779,111006,98747,131132
2023-03-11 16:36:00,130748,98912,200371,104068,83760,132162
2023-03-11 16:38:00,177795,152117,266695,162851,126801,201571
2023-03-11 16:40:00,151154,128038,196262,139053,99417,131537
2023-03-11 16:42:00,148053,120493,209715,113862,113422,137598
2023-03-11 16:44:00,129754,112831,205541,103514,96824,130532
2023-03-11 16:46:00,139725,102740,197114,109595,91371,129768
2023-03-11 16:48:00,162151,145687,267277,155669,112317,201438
2023-03-11 16:50:00,158381,136040,232137,148884,104624,144174
2023-03-11 16:52:00,132698,126375,222907,106297,111405,138768
2023-03-11 16:54:00,129496,104392,200537,102448,88377,136593
2023-03-11 16:56:00,126948,97427,195360,102549,80014,130282
2023-03-11 16:58:00,160459,145509,267378,154941,110935,202148
2023-03-11 17:00:00,174794,149752,224733,162782,120716,156184
2023-03-11 17:02:00,133171,106489,199901,106589,90465,139285
2023-03-11 17:04:00,146738,114101,200891,110900,106150,137351
2023-03-11 17:06:00,128858,98830,195576,103249,82153,130458
2023-03-11 17:08:00,164916,147749,271107,157132,115348,204004
2023-03-11 17:10:00,162632,142155,230801,156255,107855,165739
2023-03-11 17:12:00,134056,102712,199429,107063,88595,137604
2023-03-11 17:14:00,131012,127254,225315,104077,111680,136070
2023-03-11 17:16:00,133465,109501,207173,106380,95196,129911
2023-03-11 17:18:00,159912,155192,280685,154714,120833,204330
2023-03-11 17:20:00,163660,144569,252438,157747,110463,186108
2023-03-11 17:22:00,128265,97687,199790,102794,80977,137829
2023-03-11 17:24:00,130474,105100,201006,103200,88965,136814
2023-03-11 17:26:00,142823,105409,195153,110067,100888,129589
2023-03-11 17:28:00,157915,142666,321020,151123,108822,217880
2023-03-11 17:30:00,301550,229986,383477,291211,200588,228556
2023-03-11 17:32:00,129833,169863,267887,104053,152898,146746
2023-03-11 17:34:00,152415,170237,224080,118879,163389,137974
2023-03-11 17:36:00,128774,98141,192972,102866,82242,131704
2023-03-11 17:38:00,155326,140065,274683,143593,112235,205597
2023-03-11 17:40:00,164105,145499,271236,158053,111414,201871
2023-03-11 17:42:00,128438,99487,192564,101157,84591,132669
2023-03-11 17:44:00,134003,105732,202196,107883,88704,136055
2023-03-11 17:46:00,132159,98591,192977,105175,83348,130594
2023-03-11 17:48:00,143117,125871,273515,131001,96737,203499
2023-03-11 17:50:00,164235,148697,277456,158654,112609,207350
2023-03-11 17:52:00,140561,113157,199772,107563,100384,139624
2023-03-11 17:54:00,133918,107399,203821,106995,90716,138395
2023-03-11 17:56:00,148329,106857,188850,112089,100969,128011
2023-03-11 17:58:00,141072,144084,299158,123528,120512,205503
2023-03-11 18:00:00,182254,179083,299045,167984,153703,204048
2023-03-11 18:02:00,127079,102232,193700,100480,85950,134179
2023-03-11 18:04:00,140160,110201,204051,110070,96896,139283
2023-03-11 18:06:00,133130,102213,189072,106124,87357,128524
2023-03-11 18:08:00,135241,120398,279158,112640,100753,200495
2023-03-11 18:10:00,164141,155158,281501,158269,121087,202468
2023-03-11 18:12:00,128359,99260,192941,101130,84336,133449
2023-03-11 18:14:00,131584,103915,205095,106595,86154,136376
2023-03-11 18:16:00,133409,99931,188630,107121,85397,126024
2023-03-11 18:18:00,140632,107213,255348,108670,96996,186602
2023-03-11 18:20:00,164298,145240,271113,158267,111079,202061
2023-03-11 18:22:00,145834,110038,216428,109639,103020,133535
2023-03-11 18:24:00,132273,128305,227022,106251,112392,138002
2023-03-11 18:26:00,148486,108959,195346,113603,102461,131622
2023-03-11 18:28:00,126618,98862,237293,100079,83091,169351
2023-03-11 18:30:00,173479,153179,275538,164192,121925,203764
2023-03-11 18:32:00,127456,100109,193071,100150,85055,132850
2023-03-11 18:34:00,134296,106077,203115,107205,90438,137179
