"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc00b02f3908fd)","Transmit Total (lxc0e2771075e46)","Transmit Total (lxc1e2a40cae5f0)","Transmit Total (lxc1eee36049311)","Transmit Total (lxc1f8ee7cb496e)","Transmit Total (lxc20efeaa95647)","Transmit Total (lxc3a8168be8fb2)","Transmit Total (lxc4c9782567f15)","Transmit Total (lxc4e6897478d09)","Transmit Total (lxc51cdd8ff1bad)","Transmit Total (lxc658d02a437db)","Transmit Total (lxc75a8ec1f1cf4)","Transmit Total (lxc798052b5689f)","Transmit Total (lxc878bb64d0384)","Transmit Total (lxc8ab2ea2d4458)","Transmit Total (lxc9b65d3feae75)","Transmit Total (lxc9f89014ebd36)","Transmit Total (lxc_health)","Transmit Total (lxca09c7476b2bb)","Transmit Total (lxca7dd72a275da)","Transmit Total (lxcacf2089d5184)","Transmit Total (lxcbd375acf295f)","Transmit Total (lxcc9469532d43c)","Transmit Total (lxcd07ed415f195)","Transmit Total (lxce2678e98ee06)","Transmit Total (lxce7062d29f75b)","Transmit Total (lxce7c28d678a8f)","Transmit Total (lxcfc36a1177bf4)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc00b02f3908fd)","Receive Total (lxc0e2771075e46)","Receive Total (lxc1e2a40cae5f0)","Receive Total (lxc1eee36049311)","Receive Total (lxc1f8ee7cb496e)","Receive Total (lxc20efeaa95647)","Receive Total (lxc3a8168be8fb2)","Receive Total (lxc4c9782567f15)","Receive Total (lxc4e6897478d09)","Receive Total (lxc51cdd8ff1bad)","Receive Total (lxc658d02a437db)","Receive Total (lxc75a8ec1f1cf4)","Receive Total (lxc798052b5689f)","Receive Total (lxc878bb64d0384)","Receive Total (lxc8ab2ea2d4458)","Receive Total (lxc9b65d3feae75)","Receive Total (lxc9f89014ebd36)","Receive Total (lxc_health)","Receive Total (lxca09c7476b2bb)","Receive Total (lxca7dd72a275da)","Receive Total (lxcacf2089d5184)","Receive Total (lxcbd375acf295f)","Receive Total (lxcc9469532d43c)","Receive Total (lxcd07ed415f195)","Receive Total (lxce2678e98ee06)","Receive Total (lxce7062d29f75b)","Receive Total (lxce7c28d678a8f)","Receive Total (lxcfc36a1177bf4)"
2023-03-20 13:20:00,0,76.3,14250,47933,270,0,10622,4337,27884,0.389,1749,122,0,124,71.9,304,31.5,466,68175,3.43,0.389,31.6,65.8,65.7,0,106,0.600,126,20286,307,2583,222,76.3,0,20748,143211,270,0,2915,1416,1969,0,182,29.0,0,29.0,70.2,381,20.7,260,2505,3.57,0,25.5,40.3,41.7,0,235,0.600,30.3,10841,440,1277,217
2023-03-20 13:22:00,0,77.1,14673,49377,269,0,17139,4789,28127,0.389,1944,127,0,128,296,308,32.9,469,68391,3.43,0.389,31.6,66.1,65.3,0,104,0,121,29155,307,2583,221,77.1,0,29590,160954,269,0,3691,1497,1976,0,168,30.3,0,30.3,80.2,379,27.5,261,2505,3.57,0,25.5,41,40.6,0,232,0,29.0,11280,440,1277,215
2023-03-20 13:24:00,0,76.0,15045,49001,270,0,13469,4801,4495,0,1880,128,0,129,214,306,31.5,470,68315,3.67,0,31.6,65.7,66.1,0,103,37.6,127,20313,509,2588,224,76.0,0,20990,123399,270,0,3467,1501,1414,0,170,30.3,0,30.3,73.1,379,20.6,263,2496,3.80,0.389,25.5,40.6,41.4,0,232,34.7,30.3,11481,585,1289,226
2023-03-20 13:26:00,0,83.3,15360,48837,270,0,12341,4356,4321,0,1754,116,0,117,611,307,32.1,470,68255,4.13,0,31.6,65.7,66.2,0,103,0,127,28806,306,2614,223,83.3,0,29240,130554,270,0,3023,1426,1392,0,181,27.7,0,27.7,92.4,378,26.6,263,2534,4.27,0.389,25.5,40.3,40.6,0,233,0,30.7,11972,440,1300,219
2023-03-20 13:28:00,0,75.2,14416,48551,269,0,15481,4712,4528,0,1957,128,0,129,1900,306,32.9,466,68416,4.13,0,31.6,65.7,65.8,0,185,0.600,121,19028,306,2582,221,75.2,0,19516,125964,270,0,3702,1466,1401,0,188,30.3,0,30.3,105,378,27.5,259,2523,4.27,0,25.5,40.3,40.6,0,262,0.600,29.4,11002,440,1277,215
2023-03-20 13:30:00,0,76.7,13107,46213,270,0,10671,4343,4325,0,1737,117,0,118,71.2,308,32.9,468,68219,3.67,0,31.6,65.7,65.7,0,106,0.600,115,20234,308,2584,221,76.7,0,20691,119169,270,0,2962,1418,1409,0,176,27.7,0,28.0,70.6,375,22.4,261,2492,3.80,0,25.5,40.3,40.6,0.389,236,0.600,27.7,9698,437,1279,225
2023-03-20 13:32:00,0,81.1,15217,49425,269,0,15384,4719,4540,0,1955,122,0,124,299,305,32.1,468,68386,3.43,0,31.6,65.8,66.8,0,103,0,126,28455,306,2586,228,81.1,0,28888,134215,269,0,3678,1485,1418,0,184,29.0,0,29.4,87.7,378,21.6,260,2511,3.57,0,25.5,40.3,41.8,0.389,232,0,30.3,11824,441,1282,240
2023-03-20 13:34:00,0,84.0,13821,47934,269,0,13721,4718,4538,0,1963,122,0.389,124,581,303,31.5,455,68347,3.67,0,31.6,65.4,66.8,0,103,38.0,131,20278,508,2584,222,84.0,0,20956,124109,270,0,3693,1481,1420,0,201,29.0,0,29.0,87.3,380,20.5,254,2496,3.80,0,25.5,39.9,42.6,0,232,35.0,31.6,10253,586,1279,222
2023-03-20 13:36:00,0,81.1,14999,48952,269,0,13858,4338,27938,0,1729,128,0,129,366,306,32.1,457,68219,4.13,0,31.6,65.0,65.7,0,118,0.389,132,28276,308,2584,221,81.1,0,28694,155312,269,0,3019,1421,1966,0,175,30.3,0,30.3,82.9,378,21.6,260,2498,4.27,0,25.5,39.9,41.7,0,246,0,31.6,11620,437,1279,216
2023-03-20 13:38:00,0,83.3,14492,48740,269,0,17232,4773,6597,0,1951,122,0,124,296,306,30.7,469,68392,4.13,0,31.6,65.7,65.7,0,184,0.600,132,18562,303,2585,222,83.3,0,19040,127605,269,0,3748,1506,1496,0,196,29.4,0,29.0,80.6,379,19.7,266,2495,4.27,0,25.5,40.3,42.1,0,261,0.600,31.6,11086,441,1281,217
