"Time","Transmit Total","Receive Total"
2023-03-15 15:34:00,625894,512666
2023-03-15 15:36:00,684927,561900
2023-03-15 15:38:00,569029,458169
2023-03-15 15:40:00,561856,462886
2023-03-15 15:42:00,559470,446225
2023-03-15 15:44:00,559634,458976
2023-03-15 15:46:00,679397,579631
2023-03-15 15:48:00,576109,462733
2023-03-15 15:50:00,570847,454693
2023-03-15 15:52:00,554679,443498
2023-03-15 15:54:00,558438,458291
2023-03-15 15:56:00,677241,554385
2023-03-15 15:58:00,642867,529751
2023-03-15 16:00:00,569582,449848
2023-03-15 16:02:00,592337,459184
2023-03-15 16:04:00,564567,465319
2023-03-15 16:06:00,694447,571244
2023-03-15 16:08:00,670576,566730
2023-03-15 16:10:00,569045,448446
2023-03-15 16:12:00,546423,435516
2023-03-15 16:14:00,572810,466490
2023-03-15 16:16:00,625219,522051
2023-03-15 16:18:00,664741,566620
2023-03-15 16:20:00,568205,448148
2023-03-15 16:22:00,622586,477254
2023-03-15 16:24:00,609243,470143
2023-03-15 16:26:00,574351,469518
2023-03-15 16:28:00,665618,567092
2023-03-15 16:30:00,570602,451233
2023-03-15 16:32:00,570383,467860
2023-03-15 16:34:00,562360,444693
2023-03-15 16:36:00,568810,455831
2023-03-15 16:38:00,678817,577723
2023-03-15 16:40:00,590272,469439
2023-03-15 16:42:00,566566,463511
2023-03-15 16:44:00,558738,440944
2023-03-15 16:46:00,562428,450080
2023-03-15 16:48:00,680266,570434
2023-03-15 16:50:00,644015,521259
2023-03-15 16:52:00,617129,490659
2023-03-15 16:54:00,554999,437311
2023-03-15 16:56:00,566490,460100
2023-03-15 16:58:00,662686,545487
2023-03-15 17:00:00,660390,549842
2023-03-15 17:02:00,570327,467219
2023-03-15 17:04:00,563814,447164
2023-03-15 17:06:00,577632,474377
2023-03-15 17:08:00,624523,514083
2023-03-15 17:10:00,700246,567657
2023-03-15 17:12:00,569555,466194
2023-03-15 17:14:00,551248,439783
2023-03-15 17:16:00,589857,478246
2023-03-15 17:18:00,582502,464447
2023-03-15 17:20:00,652079,543480
2023-03-15 17:22:00,580999,459660
2023-03-15 17:24:00,544879,437119
2023-03-15 17:26:00,563398,460790
2023-03-15 17:28:00,577788,455240
2023-03-15 17:30:00,703909,584410
2023-03-15 17:32:00,621675,486672
2023-03-15 17:34:00,542873,435124
2023-03-15 17:36:00,572522,468573
2023-03-15 17:38:00,592783,465430
2023-03-15 17:40:00,649227,550928
2023-03-15 17:42:00,670322,536520
2023-03-15 17:44:00,543465,436148
2023-03-15 17:46:00,586014,479608
2023-03-15 17:48:00,571957,460832
2023-03-15 17:50:00,653891,551336
2023-03-15 17:52:00,684197,557385
2023-03-15 17:54:00,545649,435620
2023-03-15 17:56:00,622866,483088
2023-03-15 17:58:00,615023,479964
2023-03-15 18:00:00,570255,487460
2023-03-15 18:02:00,678397,553541
2023-03-15 18:04:00,561216,461955
2023-03-15 18:06:00,574653,451690
2023-03-15 18:08:00,573234,455613
2023-03-15 18:10:00,549016,452508
2023-03-15 18:12:00,686230,561158
2023-03-15 18:14:00,559145,458098
2023-03-15 18:16:00,614808,473052
2023-03-15 18:18:00,619645,486242
2023-03-15 18:20:00,561775,459860
2023-03-15 18:22:00,667616,550232
2023-03-15 18:24:00,606431,490744
2023-03-15 18:26:00,563276,444166
2023-03-15 18:28:00,576127,470885
2023-03-15 18:30:00,549195,431116
2023-03-15 18:32:00,685632,561057
2023-03-15 18:34:00,662647,555356
2023-03-15 18:36:00,572666,450984
2023-03-15 18:38:00,583403,477244
2023-03-15 18:40:00,606241,466622
2023-03-15 18:42:00,636948,530751
2023-03-15 18:44:00,669703,568938
2023-03-15 18:46:00,561644,449023
2023-03-15 18:48:00,577347,476240
2023-03-15 18:50:00,559211,440081
2023-03-15 18:52:00,577853,477226
2023-03-15 18:54:00,692793,583003
2023-03-15 18:56:00,552932,444511
2023-03-15 18:58:00,572316,470415
2023-03-15 19:00:00,610574,466635
2023-03-15 19:02:00,603507,476806
2023-03-15 19:04:00,675900,555302
2023-03-15 19:06:00,569652,460954
2023-03-15 19:08:00,589443,484618
2023-03-15 19:10:00,572209,451085
2023-03-15 19:12:00,555258,454254
2023-03-15 19:14:00,683493,563442
2023-03-15 19:16:00,612656,489416
2023-03-15 19:18:00,574479,472611
2023-03-15 19:20:00,583379,459344
2023-03-15 19:22:00,557182,455137
2023-03-15 19:24:00,676291,553892
2023-03-15 19:26:00,703061,565797
2023-03-15 19:28:00,632397,491096
2023-03-15 19:30:00,546622,436099
2023-03-15 19:32:00,550807,448581
2023-03-15 19:34:00,635536,524730
2023-03-15 19:36:00,671384,568009
2023-03-15 19:38:00,588832,463727
2023-03-15 19:40:00,554419,446700
2023-03-15 19:42:00,562021,460383
2023-03-15 19:44:00,592735,482100
2023-03-15 19:46:00,671698,570260
2023-03-15 19:48:00,581099,461567
2023-03-15 19:50:00,553446,444711
2023-03-15 19:52:00,577604,468732
2023-03-15 19:54:00,561814,451479
2023-03-15 19:56:00,718657,596160
2023-03-15 19:58:00,588597,464296
2023-03-15 20:00:00,560291,457324
2023-03-15 20:02:00,567102,445021
2023-03-15 20:04:00,577534,456665
2023-03-15 20:06:00,857680,733879
2023-03-15 20:08:00,1068544,802826
2023-03-15 20:10:00,575087,474661
2023-03-15 20:12:00,574600,452755
2023-03-15 20:14:00,561307,451558
2023-03-15 20:16:00,681232,581343
2023-03-15 20:18:00,737167,595351
2023-03-15 20:20:00,607410,486473
2023-03-15 20:22:00,574459,452049
2023-03-15 20:24:00,556773,447475
2023-03-15 20:26:00,638712,544319
2023-03-15 20:28:00,664589,553780
2023-03-15 20:30:00,557023,456702
2023-03-15 20:32:00,570884,447219
2023-03-15 20:34:00,553176,450609
2023-03-15 20:36:00,589489,474762
2023-03-15 20:38:00,675332,561890
2023-03-15 20:40:00,562698,462264
2023-03-15 20:42:00,624148,478066
2023-03-15 20:44:00,556405,458565
2023-03-15 20:46:00,583688,463060
2023-03-15 20:48:00,666281,555441
2023-03-15 20:50:00,611422,495729
2023-03-15 20:52:00,572868,454185
2023-03-15 20:54:00,557921,460854
2023-03-15 20:56:00,586180,466853
2023-03-15 20:58:00,713674,580784
2023-03-15 21:00:00,706129,563863
2023-03-15 21:02:00,566418,455390
2023-03-15 21:04:00,557418,461014
2023-03-15 21:06:00,586509,465184
2023-03-15 21:08:00,679960,572086
2023-03-15 21:10:00,671129,549942
2023-03-15 21:12:00,560493,447853
2023-03-15 21:14:00,557181,459917
2023-03-15 21:16:00,584380,461845
2023-03-15 21:18:00,617608,529221
2023-03-15 21:20:00,722721,582764
2023-03-15 21:22:00,587148,472870
2023-03-15 21:24:00,552765,453732
2023-03-15 21:26:00,586046,463308
2023-03-15 21:28:00,575327,477943
2023-03-15 21:30:00,669859,550540
2023-03-15 21:32:00,564425,452253
2023-03-15 21:34:00,569051,461796
2023-03-15 21:36:00,573625,460041
2023-03-15 21:38:00,577570,472883
2023-03-15 21:40:00,661881,542310
2023-03-15 21:42:00,600567,484047
2023-03-15 21:44:00,609447,469556
2023-03-15 21:46:00,587032,464577
2023-03-15 21:48:00,574373,473593
2023-03-15 21:50:00,673882,555919
2023-03-15 21:52:00,667877,553028
2023-03-15 21:54:00,570209,451454
2023-03-15 21:56:00,570544,458850
