"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-15 13:40:00,0,691,0,0,0,722
2023-03-15 13:42:00,0,744,0,0,0,767
2023-03-15 13:44:00,0,581,0,0,0,602
2023-03-15 13:46:00,0,623,0,0,0,638
2023-03-15 13:48:00,0,637,0,0,0,647
2023-03-15 13:50:00,0,624,0,0,0,647
2023-03-15 13:52:00,0,761,0,0,0,784
2023-03-15 13:54:00,0,595,0,0,0,619
2023-03-15 13:56:00,0,584,0,0,0,603
2023-03-15 13:58:00,0,607,0,0,0,620
2023-03-15 14:00:00,0,577,0,0,0,601
2023-03-15 14:02:00,0,750,0,0,0,773
2023-03-15 14:04:00,0,622,0,0,0,643
2023-03-15 14:06:00,0,671,0,0,0,674
2023-03-15 14:08:00,0,817,0,0,0,789
2023-03-15 14:10:00,0,668,0,0,0,672
2023-03-15 14:12:00,0,750,0,0,0,771
2023-03-15 14:14:00,0,647,0,0,0,676
2023-03-15 14:16:00,0,584,0,0,0,603
2023-03-15 14:18:00,0,599,0,0,0,621
2023-03-15 14:20:00,0,573,0,0,0,589
2023-03-15 14:22:00,0,783,0,0,0,805
2023-03-15 14:24:00,0,753,0,0,0,785
2023-03-15 14:26:00,0,591,0,0,0,603
2023-03-15 14:28:00,0,601,0,0,0,624
2023-03-15 14:30:00,0,578,0,0,0,594
2023-03-15 14:32:00,0,708,0,0,0,726
2023-03-15 14:34:00,0,741,0,0,0,773
2023-03-15 14:36:00,0,591,0,0,0,603
2023-03-15 14:38:00,0,607,0,0,0,630
2023-03-15 14:40:00,0,574,0,0,0,590
2023-03-15 14:42:00,0,631,0,0,0,644
2023-03-15 14:44:00,0,739,0,0,0,764
2023-03-15 14:46:00,0,591,0,0,0,601
2023-03-15 14:48:00,0,599,0,0,0,621
2023-03-15 14:50:00,0,625,0,0,0,638
2023-03-15 14:52:00,0,615,0,0,0,635
2023-03-15 14:54:00,0,737,0,0,0,759
2023-03-15 14:56:00,0,608,0,0,0,616
2023-03-15 14:58:00,0,603,0,0,0,622
2023-03-15 15:00:00,0,597,0,0,0,604
2023-03-15 15:02:00,0,594,0,0,0,612
2023-03-15 15:04:00,0,748,0,0,0,769
2023-03-15 15:06:00,0,691,0,0,0,707
2023-03-15 15:08:00,0,617,0,0,0,636
2023-03-15 15:10:00,0,594,0,0,0,602
2023-03-15 15:12:00,0,588,0,0,0,607
2023-03-15 15:14:00,0,776,0,0,0,797
2023-03-15 15:16:00,0,734,0,0,0,754
2023-03-15 15:18:00,0,599,0,0,0,615
2023-03-15 15:20:00,0,600,0,0,0,607
2023-03-15 15:22:00,0,595,0,0,0,614
2023-03-15 15:24:00,0,706,0,0,0,724
2023-03-15 15:26:00,0,752,0,0,0,781
2023-03-15 15:28:00,0,604,0,0,0,618
2023-03-15 15:30:00,0,598,0,0,0,604
2023-03-15 15:32:00,0,621,0,0,0,640
2023-03-15 15:34:00,0,668,0,0,0,674
2023-03-15 15:36:00,0,749,0,0,0,778
2023-03-15 15:38:00,0,606,0,0,0,619
2023-03-15 15:40:00,0,603,0,0,0,610
2023-03-15 15:42:00,0,596,0,0,0,612
2023-03-15 15:44:00,0,606,0,0,0,614
2023-03-15 15:46:00,0,768,0,0,0,794
2023-03-15 15:48:00,0,631,0,0,0,646
2023-03-15 15:50:00,0,599,0,0,0,616
2023-03-15 15:52:00,0,596,0,0,0,609
2023-03-15 15:54:00,0,606,0,0,0,612
2023-03-15 15:56:00,0,746,0,0,0,775
2023-03-15 15:58:00,0,705,0,0,0,721
2023-03-15 16:00:00,0,592,0,0,0,610
2023-03-15 16:02:00,0,617,0,0,0,630
2023-03-15 16:04:00,0,603,0,0,0,608
2023-03-15 16:06:00,0,747,0,0,0,777
2023-03-15 16:08:00,0,754,0,0,0,770
2023-03-15 16:10:00,0,593,0,0,0,612
2023-03-15 16:12:00,0,591,0,0,0,604
2023-03-15 16:14:00,0,606,0,0,0,616
2023-03-15 16:16:00,0,693,0,0,0,713
2023-03-15 16:18:00,0,752,0,0,0,770
2023-03-15 16:20:00,0,588,0,0,0,609
2023-03-15 16:22:00,0,633,0,0,0,649
2023-03-15 16:24:00,0,619,0,0,0,634
2023-03-15 16:26:00,0,613,0,0,0,627
2023-03-15 16:28:00,0,755,0,0,0,773
2023-03-15 16:30:00,0,599,0,0,0,618
2023-03-15 16:32:00,0,612,0,0,0,620
2023-03-15 16:34:00,0,592,0,0,0,609
2023-03-15 16:36:00,0,604,0,0,0,619
2023-03-15 16:38:00,0,770,0,0,0,786
2023-03-15 16:40:00,0,635,0,0,0,653
2023-03-15 16:42:00,0,604,0,0,0,612
2023-03-15 16:44:00,0,589,0,0,0,607
2023-03-15 16:46:00,0,599,0,0,0,614
2023-03-15 16:48:00,0,755,0,0,0,777
2023-03-15 16:50:00,0,708,0,0,0,732
2023-03-15 16:52:00,0,643,0,0,0,652
2023-03-15 16:54:00,0,589,0,0,0,608
2023-03-15 16:56:00,0,604,0,0,0,614
2023-03-15 16:58:00,0,734,0,0,0,762
2023-03-15 17:00:00,0,751,0,0,0,773
2023-03-15 17:02:00,0,610,0,0,0,618
2023-03-15 17:04:00,0,594,0,0,0,612
2023-03-15 17:06:00,0,610,0,0,0,619
2023-03-15 17:08:00,0,671,0,0,0,692
2023-03-15 17:10:00,0,768,0,0,0,787
2023-03-15 17:12:00,0,608,0,0,0,613
2023-03-15 17:14:00,0,586,0,0,0,599
2023-03-15 17:16:00,0,616,0,0,0,626
2023-03-15 17:18:00,0,615,0,0,0,634
2023-03-15 17:20:00,0,740,0,0,0,761
2023-03-15 17:22:00,0,607,0,0,0,624
2023-03-15 17:24:00,0,589,0,0,0,602
2023-03-15 17:26:00,0,601,0,0,0,609
2023-03-15 17:28:00,0,605,0,0,0,625
2023-03-15 17:30:00,0,773,0,0,0,789
2023-03-15 17:32:00,0,654,0,0,0,676
