"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-11 08:30:00,3.34,1.74,,6.34,9.08,3.16,2.74,2.40,,5.16,1.94,1.66
2023-03-11 08:32:00,3.36,1.54,,5.92,8.98,3.26,2.70,2.40,,5.12,1.96,1.66
2023-03-11 08:34:00,3.30,1.64,,6.10,8.86,3.26,2.70,2.40,,5.16,1.94,1.66
2023-03-11 08:36:00,3.34,1.54,,6.22,9.10,3.34,2.76,2.34,,5.16,1.98,1.66
2023-03-11 08:38:00,3.44,1.94,2.90,6,9.06,3.26,2.82,2.42,,5.16,1.86,
2023-03-11 08:40:00,3.36,1.68,,6.10,9.04,3.36,2.76,2.32,,5.16,1.88,1.66
2023-03-11 08:42:00,3.32,1.54,,5.90,13.5,3.34,2.74,2.46,,5.14,1.96,1.66
2023-03-11 08:44:00,3.34,1.64,,6.02,9.06,3.26,2.80,2.40,,5.12,1.94,1.66
2023-03-11 08:46:00,3.28,1.54,,6.02,9.08,3.28,2.68,2.32,,5.14,1.92,1.66
2023-03-11 08:48:00,3.26,1.84,2.46,6.14,8.88,3.18,2.84,2.34,,5.08,2,
2023-03-11 08:50:00,3.28,1.92,,6.36,8.96,3.20,2.74,2.38,,5.14,1.94,1.76
2023-03-11 08:52:00,3.32,,2.16,6.14,14.2,3.42,2.72,2.44,23.4,5.14,1.98,
2023-03-11 08:54:00,3.16,1.64,,6.20,8.78,3.26,2.80,2.26,,5.16,1.94,1.66
2023-03-11 08:56:00,3.28,1.54,,6.08,8.90,3.28,2.70,2.22,,5.16,1.96,1.66
2023-03-11 08:58:00,3.16,1.94,2.54,6.10,9.14,3.14,2.78,2.40,,5.18,1.96,
2023-03-11 09:00:00,3.22,1.68,,6.08,8.76,3.32,2.76,2.24,,5.12,1.94,1.66
2023-03-11 09:02:00,3.32,,1.84,6.18,14.2,3.16,2.78,2.26,47.2,5.16,2,
2023-03-11 09:04:00,3.14,1.64,,5.94,8.94,3.26,2.72,2.32,,5.12,1.88,1.66
2023-03-11 09:06:00,3.34,1.54,,5.94,8.72,3.16,2.72,2.34,,5.14,1.94,1.66
2023-03-11 09:08:00,3.44,1.94,2.92,5.90,8.76,3.30,2.82,2.40,,5.12,1.92,
2023-03-11 09:10:00,3.30,1.68,,6.08,8.92,3.06,2.72,2.46,,5.12,1.92,1.66
2023-03-11 09:12:00,3.50,,1.96,5.94,14.4,3.44,2.76,2.44,75.2,5.16,1.92,
2023-03-11 09:14:00,3.38,1.64,,6,9.08,3.14,2.78,2.44,,5.14,1.90,1.66
2023-03-11 09:16:00,3.34,1.54,,6.22,8.96,3.28,2.76,2.38,,5.16,2,1.66
2023-03-11 09:18:00,3.48,1.94,2.88,6.04,9.20,3.32,2.68,2.42,,5.16,1.96,
2023-03-11 09:20:00,3.34,1.68,,6.22,9.08,3.24,2.76,2.46,,5.16,1.98,1.66
2023-03-11 09:22:00,3.46,,2.16,6.04,14.2,3.60,2.76,2.34,98.9,5.16,1.96,
2023-03-11 09:24:00,3.24,1.64,,6.12,9.02,3.22,2.78,2.34,,5.14,1.96,1.66
2023-03-11 09:26:00,3.32,1.54,,5.90,9.06,3.30,2.72,2.38,,5.10,1.96,1.66
2023-03-11 09:28:00,3.22,2.20,3.04,6.02,8.86,3.32,2.82,2.32,,5.16,1.96,
2023-03-11 09:30:00,3.30,1.76,,5.88,9,3.26,2.84,2.40,,5.16,1.94,1.64
2023-03-11 09:32:00,3.38,,,6.50,10.4,3.64,2.78,2.40,100,5.08,1.96,1.66
2023-03-11 09:34:00,3.16,1.64,,5.98,8.66,3.26,2.76,2.40,,5.16,1.98,1.64
2023-03-11 09:36:00,3.06,1.54,,5.92,8.84,3.26,2.78,2.42,,5.08,1.94,1.66
2023-03-11 09:38:00,3.46,1.94,2.68,6.10,8.88,3,2.76,2.32,,5.16,1.90,
2023-03-11 09:40:00,3.34,1.68,,5.92,8.68,3.16,2.76,2.40,,5.14,2,1.66
2023-03-11 09:42:00,3.42,,,6.22,8.82,3.56,2.72,2.30,92.2,5.10,1.84,1.66
2023-03-11 09:44:00,3.22,1.64,,5.92,8.82,3.34,2.74,2.32,,5.14,1.86,1.66
2023-03-11 09:46:00,3.18,1.54,,6.10,8.68,3.14,2.70,2.36,,5.10,1.88,1.68
2023-03-11 09:48:00,3.12,1.94,2.86,6.10,8.64,3.08,2.68,2.34,,5.12,1.88,
2023-03-11 09:50:00,3.38,1.90,,5.92,8.82,3.08,2.74,2.36,,5.16,1.92,1.66
2023-03-11 09:52:00,3.44,,,6.02,8.64,3.32,2.88,2.28,63.0,5.14,1.94,1.76
2023-03-11 09:54:00,3.22,1.64,,6.04,8.58,3.28,2.82,2.18,,5.12,1.92,1.66
2023-03-11 09:56:00,3.06,1.54,,5.94,8.68,3.18,2.76,2.10,,5.08,2.02,1.66
2023-03-11 09:58:00,3.34,1.94,2.80,6.34,8.72,3.34,2.76,2.26,,5.12,1.90,
2023-03-11 10:00:00,3.22,1.68,,6.28,8.62,3.20,2.74,2.42,,5.12,1.92,1.64
2023-03-11 10:02:00,3.44,,,6.22,8.68,3.40,2.70,2.40,40.7,5.14,1.98,1.64
2023-03-11 10:04:00,3.34,1.64,,6.06,8.88,2.90,2.74,2.40,,5.14,1.92,1.66
2023-03-11 10:06:00,3.34,1.54,,5.92,8.74,3.04,2.74,2.40,,5.12,1.94,1.66
2023-03-11 10:08:00,3.38,1.94,2.54,5.92,8.86,3.28,2.74,2.40,,5.10,1.90,
2023-03-11 10:10:00,3.32,1.68,,5.70,9.20,3.30,2.74,2.40,,5.16,1.84,1.64
2023-03-11 10:12:00,3.50,,,6.24,9.14,3.42,2.76,2.48,21.0,5.16,1.98,1.66
2023-03-11 10:14:00,3.32,1.64,,6.20,9.08,3.40,2.72,2.36,,5.16,1.90,1.66
2023-03-11 10:16:00,3.34,1.54,,6.12,9.04,3.28,2.78,2.38,,5.16,1.98,1.66
2023-03-11 10:18:00,3.48,1.94,2.88,6.30,9.12,3.32,2.74,2.42,,5.10,1.90,
2023-03-11 10:20:00,3.36,1.70,,5.94,8.92,3.24,2.74,2.40,,5.16,1.96,1.76
2023-03-11 10:22:00,3.52,1.54,,6.30,8.90,3.22,2.80,2.32,,5.16,1.96,1.66
2023-03-11 10:24:00,3.22,1.64,,6.10,8.98,3.32,2.78,2.38,,5.16,1.94,1.74
2023-03-11 10:26:00,3.32,1.54,,5.98,8.76,3.20,2.76,2.42,,5.16,1.88,1.76
2023-03-11 10:28:00,3.34,2.20,3.40,6.18,8.98,3.26,2.76,2.22,,5.12,1.98,
2023-03-11 10:30:00,3.26,1.74,,5.88,8.86,3.24,2.74,2.42,,5.14,2,1.66
2023-03-11 10:32:00,3.44,1.54,,6.32,8.86,3.18,2.74,2.34,,5.14,1.94,1.62
2023-03-11 10:34:00,3.26,1.64,,6.22,8.72,3.42,2.72,2.26,,5.16,1.90,1.68
2023-03-11 10:36:00,3.24,1.54,,6.06,8.96,3.06,2.70,2.38,,5.10,1.80,1.66
2023-03-11 10:38:00,3.34,1.94,2.56,6.14,8.80,3.18,2.74,2.36,,5.14,1.96,
2023-03-11 10:40:00,3.10,1.68,,5.98,8.86,3.18,2.76,2.38,,5.12,1.96,1.66
2023-03-11 10:42:00,3.30,1.54,,6.18,8.80,3.22,2.82,2.28,,5.16,1.96,1.66
2023-03-11 10:44:00,3.36,1.64,,6.16,8.72,3.20,2.74,2.30,,5.10,1.96,1.66
2023-03-11 10:46:00,3.28,1.54,,6.16,8.70,2.98,2.78,2.06,,5.12,1.90,1.66
2023-03-11 10:48:00,3.42,1.94,2.88,6.22,8.58,3.08,2.74,2.36,,5.14,1.84,
2023-03-11 10:50:00,3.30,1.92,,6.10,8.90,3.36,2.84,2.26,,5.12,1.86,1.64
2023-03-11 10:52:00,3.40,1.54,,6.22,8.56,3.08,2.80,2.34,,5.16,1.94,1.62
2023-03-11 10:54:00,3.24,1.64,,5.90,8.62,3.16,2.86,2.34,,5.12,1.80,1.66
2023-03-11 10:56:00,3.04,1.54,,6.04,8.38,3.32,2.80,2.40,,5.14,1.94,1.64
2023-03-11 10:58:00,3.34,1.94,2.92,6.02,8.50,3.14,2.66,2.26,,5.12,1.96,
2023-03-11 11:00:00,3.26,1.68,,5.98,8.66,3.22,2.72,2.40,,5.12,1.88,1.64
2023-03-11 11:02:00,3.36,1.54,,6.32,8.34,3.04,2.76,2.38,,5.06,2,1.72
2023-03-11 11:04:00,3.16,1.64,1.64,5.98,12.2,3.18,2.68,2.24,,5.10,1.90,
2023-03-11 11:06:00,3.06,1.54,,6.10,8.12,3.02,2.80,2.28,,5.10,1.90,1.64
2023-03-11 11:08:00,3.26,1.94,2.56,6.12,8.70,3.02,2.74,2.28,,5.02,1.84,
2023-03-11 11:10:00,3.08,1.68,,5.76,8.40,3.06,2.76,2.20,,5.14,1.92,1.66
2023-03-11 11:12:00,3.38,1.54,,6.14,8.68,3.10,2.72,2.24,,5.02,1.94,1.66
2023-03-11 11:14:00,3.08,,2.74,6.06,13.7,3.14,2.70,2.24,5.28,5.12,1.90,
2023-03-11 11:16:00,3.04,1.54,,5.76,8.56,3.22,2.72,2.18,,5.12,1.92,1.62
2023-03-11 11:18:00,3.30,1.94,2.88,5.96,8.58,2.98,2.72,2.34,,5.12,1.92,
2023-03-11 11:20:00,3.22,1.70,,6.04,8.34,3.22,2.68,2.22,,5.08,1.82,1.64
2023-03-11 11:22:00,3.22,1.54,,6.12,8.38,2.94,2.76,2.22,,5.04,1.78,1.64
2023-03-11 11:24:00,3.14,,2.60,6.08,13.3,3.20,2.82,2.38,24.3,5.06,1.90,
2023-03-11 11:26:00,3.02,1.54,,6.02,8.62,3.16,2.72,2.26,,5.04,1.88,1.66
2023-03-11 11:28:00,3.14,2.24,3.26,6.08,8.20,2.92,2.72,2.34,,5.06,1.94,
2023-03-11 11:30:00,3.34,1.74,,5.92,8.60,3.02,2.72,2.42,,5.08,1.98,1.66
2023-03-11 11:32:00,3.38,1.54,,6.20,8.66,3.02,2.72,2.36,,5.12,1.98,1.66
2023-03-11 11:34:00,3.30,,2.48,6.12,13.9,3.34,2.72,2.36,49.4,5.12,1.94,
2023-03-11 11:36:00,3.36,1.54,,6.02,9.12,3.30,2.82,2.44,,5.16,1.96,1.74
2023-03-11 11:38:00,3.40,1.94,2.56,6.08,9.06,3.34,2.76,2.42,,5.14,1.88,
2023-03-11 11:40:00,3.36,1.72,,6.00,9.08,3.18,2.76,2.36,,5.14,1.96,1.66
2023-03-11 11:42:00,3.48,1.54,,6.30,9.04,3.16,2.80,2.38,,5.16,1.94,1.66
2023-03-11 11:44:00,3.34,,2.72,6.26,14.3,3.44,2.84,2.40,69.3,5.14,1.92,
2023-03-11 11:46:00,3.34,1.54,,6.10,8.98,3.24,2.78,2.40,,5.16,1.96,1.66
2023-03-11 11:48:00,3.48,1.94,2.88,6.12,9.08,3.32,2.68,2.32,,5.16,1.86,
2023-03-11 11:50:00,3.32,1.92,,6,8.98,3.24,2.74,2.44,,5.08,1.96,1.64
2023-03-11 11:52:00,3.52,1.54,,6.28,9.02,3.30,2.72,2.44,,5.10,1.94,1.64
2023-03-11 11:54:00,3.20,,2.60,6,14.1,3.46,2.78,2.34,89.7,5.16,1.84,
2023-03-11 11:56:00,3.22,1.54,,6,9,3.24,2.78,2.40,,5.14,1.88,1.66
2023-03-11 11:58:00,3.40,1.94,2.90,5.96,8.94,3.30,2.68,2.28,,5.12,1.90,
2023-03-11 12:00:00,3.34,1.68,,6.14,8.66,3.04,2.78,2.28,,5.12,1.92,1.66
2023-03-11 12:02:00,3.50,1.54,,6.24,8.96,3.22,2.74,2.28,,5.08,1.90,1.66
2023-03-11 12:04:00,3.34,,2.50,6.24,14.2,3.60,2.72,2.42,100,5.16,1.90,
2023-03-11 12:06:00,3.24,1.54,,6.02,8.74,3.10,2.62,2.34,,5.10,1.96,1.66
2023-03-11 12:08:00,3.32,1.94,2.56,6.14,8.86,2.92,2.76,2.22,,5.10,1.94,
2023-03-11 12:10:00,3.30,1.68,,5.74,8.58,3.26,2.70,2.42,,5.14,1.96,1.66
2023-03-11 12:12:00,3.50,1.54,,6.40,8.92,3.14,2.72,2.16,,5.14,1.94,1.66
2023-03-11 12:14:00,3.36,,1.86,5.90,10.4,3.52,2.70,2.18,98.5,5.12,1.92,
2023-03-11 12:16:00,3.18,1.54,,5.84,8.96,3.20,2.76,2.30,,5.12,1.86,1.68
2023-03-11 12:18:00,3.40,1.94,2.88,6.30,8.72,3.16,2.76,2.36,,5.06,1.96,
2023-03-11 12:20:00,3.14,1.70,,6.22,8.90,2.90,2.78,2.16,,5.08,1.98,1.64
2023-03-11 12:22:00,3.40,1.54,,6.46,8.62,3.22,2.66,2.14,,5.12,1.98,1.62
2023-03-11 12:24:00,3.26,,,6.06,8.82,3.42,2.78,2.16,87.5,5.10,1.96,1.66
2023-03-11 12:26:00,3.16,1.54,,6.06,8.90,3.20,2.72,2.34,,5.08,1.90,1.68
2023-03-11 12:28:00,3.32,2.20,3.40,6.16,8.56,3,2.76,2.30,,5.08,1.92,
2023-03-11 12:30:00,3.04,1.74,,5.98,8.76,3.16,2.74,2.34,,5.10,1.86,1.74
2023-03-11 12:32:00,3.34,1.54,,6.30,8.50,3.18,2.76,2.38,,5.12,1.90,1.66
2023-03-11 12:34:00,3.16,1.64,,6.06,8.46,3.40,2.64,2.32,67.7,5.08,1.92,
2023-03-11 12:36:00,3.18,1.54,,6,8.38,3.22,2.72,2.20,,5.08,1.92,1.66
2023-03-11 12:38:00,3.30,1.94,2.56,6.20,8.42,3.24,2.66,2.28,,5.04,1.90,
2023-03-11 12:40:00,3.12,1.70,,5.84,8.22,3.06,2.64,2.40,,5.04,1.90,1.66
2023-03-11 12:42:00,3.26,1.54,,6.30,8.66,3.18,2.74,2.34,,5.06,1.86,1.66
2023-03-11 12:44:00,3.20,1.64,,6.16,8.60,3.26,2.74,2.26,49.1,5.12,1.94,
2023-03-11 12:46:00,3.06,1.54,,6.18,8.32,3.10,2.80,2.28,,5.04,1.92,1.60
2023-03-11 12:48:00,3.18,1.94,2.84,6.22,8.22,2.92,2.76,2.42,,4.92,1.96,
2023-03-11 12:50:00,2.86,1.92,,6.12,8.30,2.92,2.74,2.28,,5.08,1.82,1.68
2023-03-11 12:52:00,3.14,1.54,,6.54,8.54,2.96,2.70,2.10,,5.06,1.90,1.62
2023-03-11 12:54:00,3.10,,,6.22,8.32,3.12,2.70,2.46,29.4,5.14,1.88,1.66
2023-03-11 12:56:00,2.94,1.54,,5.94,8.42,3.04,2.80,2.36,,5.08,1.92,1.64
2023-03-11 12:58:00,3.28,1.94,2.92,6.16,7.82,3.06,2.74,2.22,,5,1.92,
2023-03-11 13:00:00,3.18,1.68,,6.04,8.40,3,2.70,2.18,,5.14,1.98,1.68
2023-03-11 13:02:00,3.30,1.54,,6.22,8.12,3.20,2.76,2.30,,5.08,1.88,1.66
2023-03-11 13:04:00,3.04,1.64,,6.10,8.74,3.08,2.76,2.22,11.1,5.10,1.96,
2023-03-11 13:06:00,3.26,1.54,,6.02,8,3.02,2.70,2.22,,5,1.98,1.66
2023-03-11 13:08:00,3.20,1.94,2.54,6.18,8.42,3.06,2.74,2.36,,5.08,1.94,
2023-03-11 13:10:00,2.92,1.68,,6.04,8.10,2.94,2.76,2.34,,5.04,1.92,1.64
2023-03-11 13:12:00,3.20,1.54,,6.20,8.44,2.94,2.74,2.34,,5.08,1.92,1.76
2023-03-11 13:14:00,3.14,1.64,,6.12,7.88,2.90,2.74,2.28,,5.02,1.92,1.66
