"Time","ICMPv4","TCP","UDP"
2023-03-11 08:30:00,0.180,48.7,0.440
2023-03-11 08:32:00,0.180,47.6,0.0800
2023-03-11 08:34:00,0.180,48.3,1
2023-03-11 08:36:00,0.180,48.3,0.320
2023-03-11 08:38:00,0.180,48.7,2.90
2023-03-11 08:40:00,0.180,48.5,0.320
2023-03-11 08:42:00,0.180,53.3,1.50
2023-03-11 08:44:00,0.180,48.3,0.940
2023-03-11 08:46:00,0.180,47.9,0.160
2023-03-11 08:48:00,0.180,48.4,2.46
2023-03-11 08:50:00,0.180,48.5,1.28
2023-03-11 08:52:00,0.180,77.1,2.16
2023-03-11 08:54:00,0.180,47.6,0.580
2023-03-11 08:56:00,0.180,47.8,0.440
2023-03-11 08:58:00,0.180,48.1,2.54
2023-03-11 09:00:00,0.180,47.9,0.440
2023-03-11 09:02:00,0.180,100,1.84
2023-03-11 09:04:00,0.180,47.7,0.980
2023-03-11 09:06:00,0.180,47.5,0.320
2023-03-11 09:08:00,0.180,48.5,2.92
2023-03-11 09:10:00,0.180,48.0,0.440
2023-03-11 09:12:00,0.180,129,1.96
2023-03-11 09:14:00,0.180,48.3,0.980
2023-03-11 09:16:00,0.180,48.0,0.0400
2023-03-11 09:18:00,0.180,49.1,2.88
2023-03-11 09:20:00,0.180,48.4,0.0400
2023-03-11 09:22:00,0.180,153,2.16
2023-03-11 09:24:00,0.180,47.8,0.580
2023-03-11 09:26:00,0.180,47.9,0.440
2023-03-11 09:28:00,0.180,48.2,3.04
2023-03-11 09:30:00,0.180,48.2,0.440
2023-03-11 09:32:00,0.180,151,1.20
2023-03-11 09:34:00,0.180,47.8,1
2023-03-11 09:36:00,0.180,47.7,0.440
2023-03-11 09:38:00,0.180,48.0,2.68
2023-03-11 09:40:00,0.180,47.9,0.440
2023-03-11 09:42:00,0.180,140,0.0800
2023-03-11 09:44:00,0.180,47.7,0.980
2023-03-11 09:46:00,0.180,47.0,0.0400
2023-03-11 09:48:00,0.180,47.9,2.86
2023-03-11 09:50:00,0.180,47.6,1.30
2023-03-11 09:52:00,0.180,111,0.400
2023-03-11 09:54:00,0.180,47.1,0.560
2023-03-11 09:56:00,0.180,47.2,0.440
2023-03-11 09:58:00,0.180,48.2,2.80
2023-03-11 10:00:00,0.180,47.8,0.440
2023-03-11 10:02:00,0.180,88.8,0.440
2023-03-11 10:04:00,0.180,47.7,0.740
2023-03-11 10:06:00,0.180,47.8,0.440
2023-03-11 10:08:00,0.180,48.1,2.54
2023-03-11 10:10:00,0.180,48.1,0.440
2023-03-11 10:12:00,0.180,69.5,0.0800
2023-03-11 10:14:00,0.180,48.6,0.980
2023-03-11 10:16:00,0.180,48.2,0.0400
2023-03-11 10:18:00,0.180,49.2,2.88
2023-03-11 10:20:00,0.180,47.8,0.0400
2023-03-11 10:22:00,0.180,49.7,0.400
2023-03-11 10:24:00,0.180,48.3,0.840
2023-03-11 10:26:00,0.180,48.2,0.440
2023-03-11 10:28:00,0.180,49.0,3.40
2023-03-11 10:30:00,0.180,47.9,0.200
2023-03-11 10:32:00,0.180,48.4,0.440
2023-03-11 10:34:00,0.180,47.8,0.740
2023-03-11 10:36:00,0.180,47.9,0.440
2023-03-11 10:38:00,0.180,48.0,2.56
2023-03-11 10:40:00,0.180,47.8,0.440
2023-03-11 10:42:00,0.180,47.7,0.0800
2023-03-11 10:44:00,0.180,47.9,0.980
2023-03-11 10:46:00,0.180,47.1,0.0400
2023-03-11 10:48:00,0.180,48.1,2.88
2023-03-11 10:50:00,0.180,48.1,1.32
2023-03-11 10:52:00,0.180,47.7,0.400
2023-03-11 10:54:00,0.180,47.1,0.840
2023-03-11 10:56:00,0.180,47.6,0.400
2023-03-11 10:58:00,0.180,47.5,2.92
2023-03-11 11:00:00,0.180,47.6,0.200
2023-03-11 11:02:00,0.180,47.6,0.440
2023-03-11 11:04:00,0.180,50.5,1.64
2023-03-11 11:06:00,0.180,46.7,0.440
2023-03-11 11:08:00,0.180,47.3,2.56
2023-03-11 11:10:00,0.180,46.7,0.440
2023-03-11 11:12:00,0.180,47.1,0.0800
2023-03-11 11:14:00,0.180,57.4,2.74
2023-03-11 11:16:00,0.180,46.4,0.0400
2023-03-11 11:18:00,0.180,47.7,2.88
2023-03-11 11:20:00,0.180,46.4,0.0400
2023-03-11 11:22:00,0.180,46.8,0.400
2023-03-11 11:24:00,0.180,76.1,2.60
2023-03-11 11:26:00,0.180,47.0,0.400
2023-03-11 11:28:00,0.180,47.1,3.26
2023-03-11 11:30:00,0.180,47.6,0.440
2023-03-11 11:32:00,0.180,47.7,0.420
2023-03-11 11:34:00,0.180,102,2.48
2023-03-11 11:36:00,0.180,48.5,0.440
2023-03-11 11:38:00,0.180,48.5,2.56
2023-03-11 11:40:00,0.180,48.3,0.440
2023-03-11 11:42:00,0.180,48.2,0.0800
2023-03-11 11:44:00,0.180,123,2.72
2023-03-11 11:46:00,0.180,47.9,0.0400
2023-03-11 11:48:00,0.180,48.9,2.88
2023-03-11 11:50:00,0.180,48.0,1.30
2023-03-11 11:52:00,0.180,48.5,0.400
2023-03-11 11:54:00,0.180,143,2.60
2023-03-11 11:56:00,0.180,48.1,0.400
2023-03-11 11:58:00,0.180,48.2,2.90
2023-03-11 12:00:00,0.180,47.6,0.200
2023-03-11 12:02:00,0.180,48.2,0.440
2023-03-11 12:04:00,0.180,154,2.50
2023-03-11 12:06:00,0.180,47.3,0.440
2023-03-11 12:08:00,0.180,47.6,2.56
2023-03-11 12:10:00,0.180,47.5,0.440
2023-03-11 12:12:00,0.180,47.9,0.0800
2023-03-11 12:14:00,0.180,148,1.86
2023-03-11 12:16:00,0.180,47.1,0.0800
2023-03-11 12:18:00,0.180,48.4,2.88
2023-03-11 12:20:00,0.180,47.2,0.0400
2023-03-11 12:22:00,0.180,47.7,0.400
2023-03-11 12:24:00,0.180,135,0.820
2023-03-11 12:26:00,0.180,47.6,0.400
2023-03-11 12:28:00,0.180,48.0,3.40
2023-03-11 12:30:00,0.180,47.3,0.200
2023-03-11 12:32:00,0.180,47.7,0.440
2023-03-11 12:34:00,0.180,115,0.640
2023-03-11 12:36:00,0.180,47.0,0.440
2023-03-11 12:38:00,0.180,47.6,2.56
2023-03-11 12:40:00,0.180,46.5,0.440
2023-03-11 12:42:00,0.180,47.2,0.0800
2023-03-11 12:44:00,0.180,96.6,0.920
2023-03-11 12:46:00,0.180,46.4,0.0800
2023-03-11 12:48:00,0.180,47.5,2.84
2023-03-11 12:50:00,0.180,46.6,1.54
2023-03-11 12:52:00,0.180,47.0,0.400
2023-03-11 12:54:00,0.180,76.4,0.820
2023-03-11 12:56:00,0.180,46.5,0.160
2023-03-11 12:58:00,0.180,47.1,2.92
2023-03-11 13:00:00,0.180,46.8,0.200
2023-03-11 13:02:00,0.180,47.1,0.440
2023-03-11 13:04:00,0.180,57.8,0.640
2023-03-11 13:06:00,0.180,46.4,0.440
2023-03-11 13:08:00,0.180,47.5,2.54
2023-03-11 13:10:00,0.180,46.6,0.440
2023-03-11 13:12:00,0.180,46.4,0.0800
2023-03-11 13:14:00,0.180,46.2,0.980
2023-03-11 13:16:00,0.180,46.0,0.320
2023-03-11 13:18:00,0.180,47.3,2.88
2023-03-11 13:20:00,0.180,46.1,0.280
2023-03-11 13:22:00,0.180,46.2,0.400
2023-03-11 13:24:00,0.180,45.8,0.940
2023-03-11 13:26:00,0.180,45.4,0.160
2023-03-11 13:28:00,0.180,47.2,3.36
2023-03-11 13:30:00,0.180,46.3,0.0800
2023-03-11 13:32:00,0.180,46.0,0.440
2023-03-11 13:34:00,0.180,45.4,0.620
2023-03-11 13:36:00,0.180,46.4,0.440
2023-03-11 13:38:00,0.180,47.3,2.54
2023-03-11 13:40:00,0.180,47.1,0.440
2023-03-11 13:42:00,0.180,46.8,0.0800
2023-03-11 13:44:00,0.180,48.3,0.980
2023-03-11 13:46:00,0.180,48.2,0.320
2023-03-11 13:48:00,0.180,49.2,2.86
2023-03-11 13:50:00,0.180,48.5,1.68
2023-03-11 13:52:00,0.180,47.9,0.160
2023-03-11 13:54:00,0.180,48.3,0.940
2023-03-11 13:56:00,0.180,51.2,0.920
2023-03-11 13:58:00,0.180,48.7,2.88
