"Time","DROPPED","FORWARDED"
2023-03-11 08:30:00,0.0600,89.6
2023-03-11 08:32:00,0.0800,89.1
2023-03-11 08:34:00,0.0400,90.0
2023-03-11 08:36:00,0.0200,89.4
2023-03-11 08:38:00,0,93.8
2023-03-11 08:40:00,0,89.0
2023-03-11 08:42:00,0,101
2023-03-11 08:44:00,0,89.7
2023-03-11 08:46:00,0,87.7
2023-03-11 08:48:00,0,92.5
2023-03-11 08:50:00,0,91.7
2023-03-11 08:52:00,0.0800,131
2023-03-11 08:54:00,0.140,88.0
2023-03-11 08:56:00,0.240,88.1
2023-03-11 08:58:00,0.160,92.5
2023-03-11 09:00:00,0.0800,88.4
2023-03-11 09:02:00,0,158
2023-03-11 09:04:00,0,89.0
2023-03-11 09:06:00,0,87.0
2023-03-11 09:08:00,0,93.7
2023-03-11 09:10:00,0,88.3
2023-03-11 09:12:00,0,193
2023-03-11 09:14:00,0,89.8
2023-03-11 09:16:00,0,88.1
2023-03-11 09:18:00,0.0200,94.3
2023-03-11 09:20:00,0.0400,88.1
2023-03-11 09:22:00,0,221
2023-03-11 09:24:00,0,88.5
2023-03-11 09:26:00,0,88.3
2023-03-11 09:28:00,0,93.4
2023-03-11 09:30:00,0,88.3
2023-03-11 09:32:00,0,215
2023-03-11 09:34:00,0,89.2
2023-03-11 09:36:00,0,88.1
2023-03-11 09:38:00,0.0600,92.5
2023-03-11 09:40:00,0.0400,87.8
2023-03-11 09:42:00,0.0600,199
2023-03-11 09:44:00,0.0600,89.1
2023-03-11 09:46:00,0.0800,86.6
2023-03-11 09:48:00,0.0200,93.6
2023-03-11 09:50:00,0,89.1
2023-03-11 09:52:00,0,164
2023-03-11 09:54:00,0,86.5
2023-03-11 09:56:00,0,86.1
2023-03-11 09:58:00,0,92.9
2023-03-11 10:00:00,0,86.9
2023-03-11 10:02:00,0.0600,138
2023-03-11 10:04:00,0.140,87.5
2023-03-11 10:06:00,0.100,87.0
2023-03-11 10:08:00,0.0600,92.1
2023-03-11 10:10:00,0,87.3
2023-03-11 10:12:00,0,115
2023-03-11 10:14:00,0,89.6
2023-03-11 10:16:00,0,86.6
2023-03-11 10:18:00,0,94.8
2023-03-11 10:20:00,0,86.6
2023-03-11 10:22:00,0,91.9
2023-03-11 10:24:00,0,88.8
2023-03-11 10:26:00,0.0200,87.7
