"Time","hits:denial","hits:success","misses"
2023-03-23 03:00:00,0,0.0167,0.267
2023-03-23 03:04:00,0.204,0.213,0.233
2023-03-23 03:08:00,0,0.0167,0.267
2023-03-23 03:12:00,0.175,0.183,0.283
2023-03-23 03:16:00,0,0,0.175
2023-03-23 03:20:00,0,0.0125,0.354
2023-03-23 03:24:00,0.175,0.179,0.229
2023-03-23 03:28:00,0,0.00833,0.292
2023-03-23 03:32:00,0,0.00833,0.208
2023-03-23 03:36:00,0.175,0.175,0.192
2023-03-23 03:40:00,0,0.0167,0.325
2023-03-23 03:44:00,0.175,0.183,0.250
2023-03-23 03:48:00,0.0500,0.0333,0.275
2023-03-23 03:52:00,0,0.00417,0.238
2023-03-23 03:56:00,0.175,0.175,0.167
2023-03-23 04:00:00,0,0.0125,0.296
2023-03-23 04:04:00,0.175,0.179,0.254
2023-03-23 04:08:00,0,0.0167,0.317
2023-03-23 04:12:00,0,0.00833,0.267
2023-03-23 04:16:00,0.425,0.425,0.242
2023-03-23 04:20:00,0,0.0167,0.325
2023-03-23 04:24:00,0,0.00417,0.238
2023-03-23 04:28:00,0.175,0.183,0.308
2023-03-23 04:32:00,0,0.00417,0.263
2023-03-23 04:36:00,0.175,0.175,0.142
2023-03-23 04:40:00,0,0.0167,0.325
2023-03-23 04:44:00,0,0.00417,0.238
2023-03-23 04:48:00,0.225,0.200,0.350
2023-03-23 04:52:00,0,0.00833,0.233
2023-03-23 04:56:00,0,0,0.200
2023-03-23 05:00:00,0.175,0.192,0.333
2023-03-23 05:04:00,0,0.00833,0.208
2023-03-23 05:08:00,0.175,0.192,0.308
2023-03-23 05:12:00,0,0.00833,0.267
2023-03-23 05:16:00,0,0,0.175
2023-03-23 05:20:00,0.175,0.188,0.371
2023-03-23 05:24:00,0,0.00833,0.233
2023-03-23 05:28:00,0.175,0.192,0.308
2023-03-23 05:32:00,0,0.00417,0.229
2023-03-23 05:36:00,0,0,0.175
