"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-15 10:00:00,0,0,0,58186,58186,0
2023-03-15 10:02:00,0,0,0,293160,293160,0
2023-03-15 10:04:00,0,0,0,81601,81601,0
2023-03-15 10:06:00,0,0,0,103676,103676,0
2023-03-15 10:08:00,0,0,0,131732,131732,0
2023-03-15 10:10:00,0,0,0,50358,50358,0
2023-03-15 10:12:00,0,0,0,113414,113414,0
2023-03-15 10:14:00,0,0,0,87130,87130,0
2023-03-15 10:16:00,0,0,0,65172,65172,0
2023-03-15 10:18:00,0,0,0,132506,132506,0
2023-03-15 10:20:00,0,0,0,43964,43964,0
2023-03-15 10:22:00,0,0,0,109113,109113,0
2023-03-15 10:24:00,0,0,0,86630,86630,0
2023-03-15 10:26:00,0,0,0,66059,66059,0
2023-03-15 10:28:00,0,0,0,115166,115166,0
2023-03-15 10:30:00,0,0,0,47650,47650,0
2023-03-15 10:32:00,0,0,0,134303,134303,0
2023-03-15 10:34:00,0,0,0,110660,110660,0
2023-03-15 10:36:00,0,0,0,66947,66947,0
2023-03-15 10:38:00,22.8,22.8,0,112799,112799,0
2023-03-15 10:40:00,0,0,0,45261,45261,0
2023-03-15 10:42:00,0,0,0,111093,111093,0
2023-03-15 10:44:00,0,0,0,89042,89042,0
2023-03-15 10:46:00,0,0,0,70315,70315,0
2023-03-15 10:48:00,0,0,0,107566,107566,0
2023-03-15 10:50:00,0,0,0,45511,45511,0
2023-03-15 10:52:00,0,0,0,110000,110000,0
2023-03-15 10:54:00,0,0,0,81010,81010,0
2023-03-15 10:56:00,0,0,0,65354,65354,0
2023-03-15 10:58:00,0,0,0,111457,111457,0
2023-03-15 11:00:00,0,0,0,48174,48174,0
2023-03-15 11:02:00,0,0,0,155989,155989,0
2023-03-15 11:04:00,0,0,0,131755,131755,0
2023-03-15 11:06:00,0,0,0,66287,66287,0
2023-03-15 11:08:00,0,0,0,113641,113641,0
2023-03-15 11:10:00,45.5,45.5,0,48447,48447,0
2023-03-15 11:12:00,45.5,45.5,0,106587,106587,0
2023-03-15 11:14:00,0,0,0,87836,87836,0
