"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc19baac49013b)","Transmit Total (lxc19bdc82a2f8f)","Transmit Total (lxc1b15a2b5a9b5)","Transmit Total (lxc3a49c4605d4a)","Transmit Total (lxc3f917ecdd144)","Transmit Total (lxc4861fd3a4dcf)","Transmit Total (lxc4a88113a0197)","Transmit Total (lxc4b2dfaf1f74a)","Transmit Total (lxc5a020ca534a0)","Transmit Total (lxc5cf8d3667393)","Transmit Total (lxc65ec27df4c0e)","Transmit Total (lxc743fe122abe5)","Transmit Total (lxc7d95b9b6996f)","Transmit Total (lxc95534620e067)","Transmit Total (lxc9a7e0a10e978)","Transmit Total (lxc9ce1df3cef22)","Transmit Total (lxc9e21ad79a680)","Transmit Total (lxc9f3e81538c96)","Transmit Total (lxc_health)","Transmit Total (lxcaaca9437fdda)","Transmit Total (lxcaaf1223a92e5)","Transmit Total (lxcc21393e88703)","Transmit Total (lxcd26f8087f5ee)","Transmit Total (lxce343dc06c7ec)","Transmit Total (lxce4b97a3a4d29)","Transmit Total (lxced3e9eb0aabf)","Transmit Total (lxcf169989722c7)","Transmit Total (lxcf489e20e115b)","Transmit Total (lxcfa7642c28950)","Transmit Total (lxcfb46c47f9dae)","Transmit Total (lxcfbc3aeaf7c5d)","Transmit Total (lxcff8e8ef11844)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc19baac49013b)","Receive Total (lxc19bdc82a2f8f)","Receive Total (lxc1b15a2b5a9b5)","Receive Total (lxc3a49c4605d4a)","Receive Total (lxc3f917ecdd144)","Receive Total (lxc4861fd3a4dcf)","Receive Total (lxc4a88113a0197)","Receive Total (lxc4b2dfaf1f74a)","Receive Total (lxc5a020ca534a0)","Receive Total (lxc5cf8d3667393)","Receive Total (lxc65ec27df4c0e)","Receive Total (lxc743fe122abe5)","Receive Total (lxc7d95b9b6996f)","Receive Total (lxc95534620e067)","Receive Total (lxc9a7e0a10e978)","Receive Total (lxc9ce1df3cef22)","Receive Total (lxc9e21ad79a680)","Receive Total (lxc9f3e81538c96)","Receive Total (lxc_health)","Receive Total (lxcaaca9437fdda)","Receive Total (lxcaaf1223a92e5)","Receive Total (lxcc21393e88703)","Receive Total (lxcd26f8087f5ee)","Receive Total (lxce343dc06c7ec)","Receive Total (lxce4b97a3a4d29)","Receive Total (lxced3e9eb0aabf)","Receive Total (lxcf169989722c7)","Receive Total (lxcf489e20e115b)","Receive Total (lxcfa7642c28950)","Receive Total (lxcfb46c47f9dae)","Receive Total (lxcfbc3aeaf7c5d)","Receive Total (lxcff8e8ef11844)"
2023-03-04 18:20:00,0,12112,12985,73637,0,87.2,1638,0,0,0,66.4,130,123,166,65.7,222,32.1,70081,126,420,89.8,0,2008,32.3,6968,4.40,288,76.7,1811,122,4.14,0,297,0,426,1846,154,12112,0,12546,73019,0,66.2,90.8,0,0,0,41.4,21.9,25.8,105,40.7,228,27.6,2458,21.9,503,95.0,0.389,2322,26.2,1039,5.15,748,3541,166,20.9,4.27,0,447,0,6278,195,135
2023-03-04 18:22:00,0,10290,12254,95180,0,87.2,143,0,0.389,0,66.4,130,129,163,65.7,225,32.1,70060,132,437,89.8,0,1894,32.3,6781,3.27,175,77.2,1747,127,4.13,0,297,0,424,1776,153,10290,0,10481,70860,0,66.2,78.7,0,0,0,42.1,27.2,22.2,95.9,40.6,226,22.9,2468,27.8,519,95,0,2180,26.2,999,3.27,604,3540,169,26.8,4.27,0,447,0,6273,203,135
2023-03-04 18:24:00,0,10678,12715,93039,0,87.2,202,0,0,0,65.3,119,118,161,66.1,221,32.9,70109,121,362,90.2,0.389,1986,32.3,6869,4.74,174,119,1833,116,4.13,0,299,0,426,1851,154,10678,0,10823,71352,0,66.2,73.1,0,0,0,40.6,20.0,20.0,93.9,41,223,22.7,2467,20.9,407,95,0,2288,26.2,1051,5.52,596,3585,184,20.0,4.27,0.389,447,0,6279,203,137
2023-03-04 18:26:00,0,11193,13288,75354,0,86.5,274,0,0,0,65.7,113,112,161,66.4,223,32.3,70167,115,430,90.5,0,1999,32.3,7035,3.93,173,120,1886,111,4.13,0,300,0,431,1900,155,11193,0,11372,76755,0,65.5,81.6,0,0,0,40.6,19,19,93.4,41,226,21.4,2462,20.0,510,95.4,0,2176,26.2,1058,4.36,598,3586,166,19,4.27,0,448,0,6386,182,135
2023-03-04 18:28:00,0,10779,35159,91118,0,85,335,0,0,0,66.4,119,118,165,66.4,223,31.5,70076,115,427,89.8,0,1950,32.3,6794,4.77,22059,77.5,1764,116,4.13,0,499,0,1717,1830,155,10779,0,13492,74196,0,64,89.1,0,0,0,41.7,20.0,20.0,105,41,230,21.0,2462,20.0,520,94.6,0,2310,26.2,1040,5.15,24605,3563,160,20.3,4.27,0,594,0,25846,206,134
2023-03-04 18:30:00,0,11652,17098,76057,0,85.7,202,0,0,0.389,66.4,130,129,160,66.8,220,31.1,70139,121,431,89.8,0,2006,32.3,6963,5.56,4196,77,1840,127,4.13,0,501,0,965,1887,155,11652,0,12563,73018,0,64.7,73.1,0,0,0,41.7,21.9,21.9,92.1,41.4,220,20.1,2465,20.9,525,94.6,0,2307,26.2,1047,6.38,5028,3540,168,22.2,4.27,0,594,0,9865,222,135
2023-03-04 18:32:00,0,10399,12263,69274,0,87.2,143,0,0,0.389,66.0,118,117,160,66.1,220,32.5,70045,120,436,89.7,0,1897,31.8,6773,4.76,180,75.7,1760,116,3.67,0.389,299,0,425,1774,153,10399,0,10593,70233,0,66.2,78.6,0,0,0,42.1,19.9,19.9,91.3,41.0,221,21.5,2469,20.9,520,95.0,0,2177,25.7,1023,5.19,603,3522,163,19.9,3.80,0,447,0,6278,184,134
2023-03-04 18:34:00,0,10927,12721,69966,0,87.2,202,0,0,0,66.4,124,123,166,66.1,223,33.7,70130,121,362,90.9,0,1994,31.6,6866,6.14,176,120,1826,122,3.67,0.389,298,0,423,1849,153,10927,0,11073,70797,0,66.2,73.1,0,0,0,41.4,20.9,20.9,99.1,40.6,226,23.4,2469,21.3,409,94.6,0,2285,25.5,1066,6.19,596,3614,156,20.9,3.80,0,447,0,6282,200,135
2023-03-04 18:36:00,0,11559,13271,77580,0,87.2,262,0.389,0,0,66.8,129,123,161,66.4,223,32.3,70157,126,394,90.1,0,2014,31.8,7070,3.97,173,121,1881,121,3.43,0,297,0,429,1903,154,11559,0,11718,72237,0,66.2,74.2,0.389,0,0,41.7,21.9,20.9,94.0,41,230,21.5,2464,22.2,458,95,0,2195,25.7,1044,3.97,599,3587,145,20.9,3.57,0,447,0,6336,178,135
2023-03-04 18:38:00,0,11444,35195,91134,0,87.2,144,0.389,0,0,65.7,130,129,160,66.1,223,32.1,70019,121,423,89.4,0,1936,32.0,6733,4.77,22125,76.2,1762,128,3.43,0,500,0,1714,1777,155,11444,0,14155,74955,0,66.2,78.7,0.389,0,0,41.4,21.9,21.9,97.5,41.0,229,21.8,2459,20.9,512,95.0,0,2310,26.0,1018,5.16,24626,3541,163,21.9,3.57,0,594,0,25797,185,137
2023-03-04 18:40:00,0,11598,21242,104906,0,87.2,203,0,0,0,66.1,124,123,163,65.7,221,32.1,70121,121,431,90.1,0,1992,32.0,6880,5.57,8225,76.9,1830,122,3.43,0,501,0,1143,1834,155,11598,0,12918,74103,0,66.2,73.1,0,0,0,41.4,20.9,20.9,95.5,41.4,220,22.4,2462,20.9,522,95,0,2306,26.0,1037,6.41,9413,3540,164,20.9,3.57,0,594,0,13529,173,137
2023-03-04 18:42:00,0,10811,12781,95707,0,87.6,1763,0,0,0,66.8,119,118,158,65.7,221,32.1,70114,121,438,90.1,0,1961,32.3,6895,4.17,176,76.3,1814,116,3.67,0,298,0,424,1844,154,10811,0,11002,71622,0,66.2,102,0,0,0,41.7,20.0,20.0,90.2,40.6,221,22.0,2466,20.9,521,95,0,2191,26.2,1048,4.59,600,3539,165,20.0,3.80,0,447,0,6284,193,135
2023-03-04 18:44:00,0,10245,12222,65004,0,87.2,149,0,0,0,66.4,124,123,163,66.1,223,32.9,70133,121,395,90.1,0,1929,32.3,6720,3.27,173,120,1752,122,4.13,0,297,0,430,1780,151,10245,0,10407,69671,0,66.2,79.0,0,0,0,41.4,20.9,20.9,95.7,41,224,22.3,2464,20.9,454,95,0,2279,26.2,1036,3.27,600,3556,169,20.9,4.27,0,447,0,6388,189,135
2023-03-04 18:46:00,0,10390,12739,82315,0,86.5,206,0,0,0,66.8,119,118,166,65.7,222,30.7,70135,115,398,90.1,0,1954,32.3,6937,4.30,178,121,1825,116,4.13,0,296,0,423,1831,152,10390,0,10553,70593,0,65.5,80.9,0,0,0,42.1,20.0,20.0,105,41,224,19.7,2468,20.0,460,95,0,2179,26.2,1057,4.69,600,3535,181,20.0,4.27,0,447,0,6276,192,136
2023-03-04 18:48:00,0,11355,35043,91866,0,87.2,146,0,0,0,66.1,124,123,158,66.1,223,32.1,70068,126,423,90.5,0,1949,32.3,6733,3.93,21834,75.9,1758,122,4.13,0,502,0,1719,1778,153,11355,0,14053,74889,0,66.2,86.5,0,0,0.389,41.7,20.9,20.9,95.6,41.8,229,21.5,2461,21.9,516,95,0,2313,26.2,1050,4.36,24491,3494,164,20.9,4.27,0,594,0,25636,190,135
2023-03-04 18:50:00,0,11920,25417,86942,0,87.2,201,0,0,0,66.1,124,123,159,66.1,219,32.9,70114,115,428,90.1,0,2007,32.3,6949,5.33,12129,76.5,1820,122,4.13,0,500,0,1295,1845,153,11920,0,13637,74387,0,66.2,72.8,0,0,0,41.7,20.9,20.9,90.2,40.6,219,22.9,2464,20.0,524,95,0,2315,26.2,1034,11.2,13787,3539,164,20.9,4.27,0,594,0,16751,198,135
2023-03-04 18:52:00,0,10593,12755,74531,0,87.2,197,0,0,0,66.8,119,123,164,65.7,220,31.5,70105,121,408,90.5,0,1952,32.3,6975,3.93,175,77.7,1826,122,3.67,0,296,0,414,1836,154,10593,0,10769,70707,0,66.2,72.8,0,0,0,41.4,20.0,20.9,97.5,40.6,221,21.4,2469,20.9,474,95,0,2182,26.2,1093,4.32,607,3599,172,20.9,3.80,0,447,0,6169,191,135
2023-03-04 18:54:00,0,10250,12219,65609,0,87.2,672,0,0,0,66.4,118,117,166,65.7,223,31.5,70140,120,392,90.5,0,1935,32.3,6770,3.27,173,119,1758,116,3.43,0,298,0,422,1790,155,10250,0,10413,69913,0,66.2,93.6,0,0,0,41.4,20.0,20.0,99.5,40.6,225,21.2,2475,20.9,450,95,0,2290,26.2,1042,3.27,600,3585,164,20.0,3.57,0,447,0,6276,209,136
2023-03-04 18:56:00,0,10172,12727,71080,0,87.2,2170,0,0,0,66.7,135,129,162,65.7,225,32.1,70115,132,393,91.2,0,1953,32.3,6913,4.87,177,122,1818,127,3.43,0,296,0,421,1843,154,10172,0,10335,70283,0,66.2,105,0,0,0,41.4,22.8,22.4,95.2,40.6,228,21.7,2455,22.8,462,95,0,2200,26.2,1043,10.8,605,3587,169,21.9,3.57,0,447,0,6277,198,136
2023-03-04 18:58:00,0,11024,35116,90817,0,87.2,397,0,0,0,66.8,135,134,157,66.1,221,60.9,70059,126,426,91.2,0,1933,32.3,6726,4.07,21966,77.9,1774,132,3.43,0,501,0,1718,1786,154,11024,0,13736,74608,0,66.2,90.3,0,0.389,0,42.1,22.8,22.8,99.4,40.6,225,73.7,2456,21.9,524,95,0,2302,26.2,1027,9.59,24577,3548,179,22.8,3.57,0,594,0,25739,196,135
2023-03-04 19:00:00,0,11760,29573,89655,0,87.2,470,0,0,0,66.8,135,135,161,65.7,220,34.8,70111,126,459,89.8,0,1996,32.3,6907,4.30,16099,76.6,1823,133,3.43,0,502,0,1466,1836,155,11760,0,13893,74812,0,66.2,92.1,0,0.389,0,41.7,22.8,22.8,98.8,40.3,221,30.2,2479,21.9,569,95,0,2310,26.2,1059,5.43,18129,3540,153,22.8,3.57,0,595,0,20409,191,135
2023-03-04 19:02:00,0,11280,13290,73008,0,86.5,1594,0,0,0,66.1,130,129,163,66.1,223,32.5,70072,121,403,89.4,0,2004,31.8,7003,5.80,159,76.5,1888,127,3.43,0,296,0,425,1906,154,11280,0,11453,71737,0,65.5,95.9,0,0,0,41,21.9,21.9,95.5,41,224,22.5,2461,20.9,470,95,0,2189,25.7,1033,6.85,597,3539,167,21.9,3.57,0,447,0,6281,199,134
2023-03-04 19:04:00,0.389,9822,12210,65855,0,85.7,1477,0,0,0,65.7,119,118,160,66.1,228,32.1,70034,110,394,90.5,0,1933,31.6,6713,5,159,117,1756,116,3.43,0,296,0,424,1771,154,9822,0.389,9984,69338,0,64.7,100.0,0,0,0,42.1,20.0,20.0,91.6,41,230,21.8,2460,19,454,95,0,2290,25.5,1011,4.92,602,3555,176,20.0,3.57,0,447,0,6282,209,142
2023-03-04 19:06:00,0,10952,12759,75051,0,85.7,202,0,0,0,66.1,130,129,163,66.4,221,31.5,70123,121,405,90.9,0,1968,31.8,6972,4.17,169,119,1825,128,3.43,0,297,0.389,420,1837,152,10952,0,11119,71316,0,64.7,73.1,0,0,0,41.4,21.9,21.9,95.2,41,224,21.0,2452,20.9,473,95,0,2194,25.7,1061,4.59,600,3557,160,21.9,3.57,0,446,0,6277,177,135
2023-03-04 19:08:00,0,11806,35017,116036,0,87.2,131,0,0,0,66.1,135,135,161,66.8,219,32.8,70077,126,398,90.9,0,1959,32.3,6698,3.93,21876,76.2,1752,133,3.90,0,500,0,1718,1767,153,11806,0,14501,76131,0,66.2,71.3,0,0,0,41.4,22.8,28.3,99.6,41.4,225,26.8,2463,21.9,475,95,0,2320,26.2,1049,4.34,24489,3540,174,22.8,4.03,0,593,0,25658,185,135
2023-03-04 19:10:00,0,11927,33790,118667,0,87.2,216,0,0,0,66.1,130,129,159,66.8,223,32.8,70123,121,457,90.5,0,2001,32.3,6894,5.47,20150,77.1,1817,127,4.13,0,499,0,1639,1851,155,11927,0,14478,76484,0,66.2,80.5,0,0,0,41.4,27.3,21.9,91.9,41.4,224,26.8,2455,25.9,569,95,0,2307,26.2,1054,6.32,22586,3539,168,27.6,4.27,0,594,0,23999,190,137
2023-03-04 19:12:00,0,11103,13269,73712,0,87.2,261,0,0,0,66.1,123,123,160,66.4,227,33.5,70230,126,408,91.2,0,2006,32.0,7077,4.53,171,76.1,1892,121,4.13,0,296,0,423,1914,155,11103,0,11278,71949,0,66.2,74.2,0,0,0,41,20.9,20.9,92.1,41,228,24.2,2457,26.9,473,95,0,2180,26.0,1026,4.96,602,3539,171,26.6,4.27,0,447,0.389,6285,208,135
2023-03-04 19:14:00,0,10178,12224,65623,0,87.2,143,0,0,0,66.1,135,135,161,66.4,222,32.1,70140,132,424,89.4,0,1932,32.0,6759,4.12,174,120,1749,133,4.52,0,298,0,422,1815,155,10178,0,10353,69914,0,66.2,78.7,0,0,0,41.4,22.8,22.8,93.6,41,223,21.6,2465,22.8,506,95,0,2285,25.5,1051,3.73,603,3556,176,22.8,4.27,0,447,0,6287,202,135
2023-03-04 19:16:00,0,10676,12747,75401,0,87.2,1772,0,0,0,65.7,123,123,160,66.4,221,32.1,70131,121,425,90.1,0,1959,31.6,6946,5.57,175,121,1813,121,4.13,0,298,0,423,1845,152,10676,0,10852,70784,0,66.2,104,0,0,0,41.7,20.9,20.9,91.4,41,221,21.8,2458,20.9,502,95,0.389,2190,25.5,1041,6.32,598,3558,152,20.9,4.27,0,447,0,6285,191,135
2023-03-04 19:18:00,0,11545,35139,96565,0,87.2,130,0,0,0,65.7,130,129,163,65.7,223,30.7,70057,126,398,90.1,0,1952,32.0,6739,5.10,22043,76.1,1750,127,3.90,0,498,0,1717,1775,155,11545,0,14249,75102,0,66.2,71.3,0,0,0,41.4,21.9,21.9,101,41,230,20.1,2461,21.9,474,95,0.389,2316,26.0,1053,5.89,24612,3539,167,21.9,4.42,0,594,0,25816,195,137
2023-03-04 19:20:00,0,12026,35737,100400,0,87.2,215,0,0,0,65.3,130,129,161,66.1,225,32.9,70113,126,456,90.1,0,1999,32.3,6991,3.27,22042,75.5,1843,127,3.67,0,498,0,1719,1870,155,12026,0,14758,76326,0,66.6,80.5,0,0,0,40.3,21.9,21.9,94.2,41.4,232,22.6,2455,21.9,567,95,0,2311,26.2,1022,3.27,24613,3539,172,21.9,4.19,0,594,0,25812,205,135
2023-03-04 19:22:00,0,11072,13290,74870,0,86.5,452,0,0.389,0,66.1,119,118,163,65.7,223,30.7,70165,121,409,89.4,0,2000,32.3,7062,3.50,174,76.0,1893,116,3.67,0,299,0,421,1903,154,11072,0,11248,71587,0,65.9,84.7,0,0,0,41.4,20.0,20.0,95.8,41,224,19.7,2462,20.9,476,95,0,2179,26.2,1025,3.50,598,3540,176,20.0,3.80,0,447,0,6279,190,135
2023-03-04 19:24:00,0,10094,12201,75348,0,87.2,130,0,0.389,0,66.4,130,129,164,66.1,220,32.9,70093,121,365,89.8,0.389,1928,32.3,6719,4.40,173,122,1770,127,3.43,0,298,0,422,1780,156,10094,0,10242,69742,0,66.2,71.3,0,0,0,41.8,21.9,21.9,97.2,41,221,22.4,2464,20.9,412,95,0,2276,26.2,1026,4.77,597,3556,164,21.9,3.57,0.389,447,0,6277,180,136
2023-03-04 19:26:00,0,10294,12755,70961,0,87.2,219,0,0,0,66.8,130,129,161,66.1,218,32.1,70127,132,427,90.2,0.389,1956,32.3,6907,5.93,177,123,1809,127,3.43,0,298,0,424,1848,154,10294,0,10471,70583,0,66.2,87.9,0,0,0,41.4,21.9,21.9,93.6,40.6,217,21.6,2470,22.8,504,95,0,2176,26.2,1048,6.74,605,3558,162,21.9,3.57,0.389,447,0,6277,194,135
2023-03-04 19:28:00,0,11172,35601,92786,0,87.2,197,0,0,0,66.1,135,135,160,66.1,222,31.5,70133,126,400,90.1,0,2004,32.3,6822,3.93,21932,77.8,1809,133,3.43,0,497,0,1717,1823,154,11172,0,13866,75160,0,66.2,72.8,0,0,0,41.4,23.2,22.8,98.1,41,228,20.6,2462,21.9,477,95,0,2308,26.2,1024,4.31,24561,3540,167,22.8,3.57,0,594,0,25711,186,135
2023-03-04 19:30:00,0,11243,35166,94246,0,87.2,149,0,0,0.389,66.1,118,117,158,65.7,226,31.9,70081,115,459,90.1,0,1952,32.3,6772,3.93,21935,77.2,1743,116,3.43,0,499,0,1719,1768,155,11243,0,13966,74914,0,66.2,79.0,0,0,0,41.4,20.0,20.3,90.3,40.6,234,20.6,2458,20.0,567,95.4,0,2306,26.2,1019,4.31,24560,3540,179,20.3,3.57,0,593,0,25713,202,135
2023-03-04 19:32:00,0,10812,12785,72519,0,87.2,1652,0,0,0,66.1,124,124,162,65.3,223,32.1,70145,121,437,90.9,0,1951,32.3,6927,3.27,178,76.2,1819,122,3.43,0,298,0,426,1841,154,10812,0,11002,70974,0,66.2,98.9,0.389,0,0,41,20.9,20.9,93.7,39.9,224,21.4,2469,20.9,517,95,0,2174,26.2,1050,3.27,603,3539,161,20.9,3.57,0,447,0,6275,195,136
2023-03-04 19:34:00,0,10316,12190,66913,0,87.2,1567,0.389,0,0,65.3,129,128,159,66.1,222,31.5,70083,126,365,89.8,0,1914,32.3,6751,5.11,173,120,1758,127,3.43,0.389,297,0,424,1776,155,10316,0,10465,69983,0,66.2,89.4,0,0,0,40.6,21.9,21.9,90.1,41,222,20.6,2459,22.2,409,95,0,2265,26.2,1044,5.91,602,3557,147,21.9,3.57,0,447,0,6275,215,136
2023-03-04 19:36:00,0,10314,12765,98607,0,87.2,216,0,0,0,66.8,141,140,166,65.7,226,32.9,70076,132,429,90.9,0,1966,32.3,6972,3.94,177,122,1826,139,3.43,0,299,0,425,1837,153,10314,0,10490,71253,0,66.2,80.5,0,0,0,41.4,23.8,23.8,104,41.0,229,22.9,2451,22.8,506,94.7,0,2186,26.2,1032,4.30,606,3590,180,23.8,3.57,0,448,0,6276,195,135
2023-03-04 19:38:00,0,11572,35696,93875,0,87.2,197,0,0,0,66.4,135,135,162,66.1,222,32.1,70114,137,407,89.4,0,2010,32.3,6831,3.27,21982,77.5,1814,133,3.90,0,504,0,1712,1833,153,11572,0,14278,75489,0,66.2,72.8,0,0,0,41,22.8,22.8,101,41,230,21.9,2457,23.8,489,95,0,2312,26.2,1046,3.27,24620,3570,180,22.8,4.03,0,594,0,25783,198,137
2023-03-04 19:40:00,0,12072,35725,96833,0,85.7,195,0,0,0,66.4,130,129,161,66.1,223,32.1,70110,132,429,89.4,0,1993,32.3,6885,4.31,21987,77.5,1799,127,4.13,0,504,0,1714,1839,154,12072,0,14786,76177,0,64.7,72.8,0,0,0,41.4,21.9,21.9,93.7,40.6,224,21.8,2465,22.8,522,95,0,2304,26.2,1046,4.69,24626,3563,168,21.9,4.27,0,594,0,25788,198,137
2023-03-04 19:42:00,0,10433,12770,71627,0,86.1,215,0,0,0,66.1,124,123,160,66.1,222,34.3,70196,121,439,89.4,0,1954,32.3,6906,5.01,173,76.4,1810,122,3.90,0,297,0,425,1843,154,10433,0,10624,70735,0,64.7,80.5,0,0,0,41,20.9,20.9,92.1,40.6,223,24.3,2464,20.9,520,95,0,2180,26.2,1057,9.88,597,3539,174,20.9,4.03,0,447,0,6279,197,135
2023-03-04 19:44:00,0,9811,12196,65375,0,87.6,384,0,0,0,65.7,135,135,167,66.4,225,31.5,70057,131,367,89.4,0,1932,32.3,6735,5.47,180,120,1765,133,3.43,0,298,0,433,1761,153,9811,0,9965,69337,0,66.2,82.9,0,0,0,40.6,22.8,22.8,101,41,227,20.7,2455,22.8,421,95,0,2301,26.2,1037,10.3,599,3586,175,22.8,3.57,0,447,0,6388,211,135
2023-03-04 19:46:00,0,10884,12765,71530,0,87.2,216,0,0,0,66.1,141,140,160,66.4,225,30.7,70138,137,424,89.8,0,1961,32.3,6969,4.77,174,120,1838,139,3.43,0,300,0,426,1864,151,10884,0,11060,71379,0,66.2,80.5,0,0,0,41.4,23.8,23.8,91.6,41,232,19.7,2460,23.8,506,95,0,2205,26.2,1057,10.7,600,3558,162,23.8,3.57,0,447,0,6287,199,135
2023-03-04 19:48:00,0,11661,34486,92766,0,87.2,804,0,0,0,66.4,130,129,160,66.4,222,32.9,70174,126,380,90.5,0,2034,32.3,7000,3.97,20536,76.6,1879,127,3.43,0,299,0,1283,1910,153,11661,0,13873,75340,0,66.2,96.2,0,0,0,41.7,21.9,21.9,97.9,41.8,229,27.8,2466,21.9,435,95,0,2295,26.2,1065,3.97,22931,3539,168,21.9,3.57,0,447,0,24358,202,137
2023-03-04 19:50:00,0,10739,35026,96030,0,87.2,658,0,0,0,66.4,130,129,164,65.7,220,32.3,70043,121,428,90.1,0,1925,32.3,6795,4.76,21922,76.6,1745,127,3.43,0,500,0,1720,1761,155,10739,0,13446,74619,0,66.2,85.8,0,0,0,42.4,21.8,21.8,97.5,41.7,221,26.5,2478,20.9,523,95.0,0,2291,26.2,1027,5.21,24476,3538,154,21.8,3.57,0,594,0,25717,207,135
2023-03-04 19:52:00,0,10707,12779,74631,0,87.2,215,0,0,0,66.8,124,123,159,66.1,221,30.7,70134,121,437,90.1,0,1964,32.3,6988,4.77,179,77.4,1854,122,3.67,0,297,0,423,1848,155,10707,0,10898,71204,0,66.2,80.5,0,0,0,41.7,20.9,20.9,91.9,41,223,20.1,2464,20.9,521,95,0,2185,26.2,1043,5.19,611,3569,181,20.9,3.80,0,447,0,6283,211,135
2023-03-04 19:54:00,0,10444,12189,65662,0,87.2,132,0,0,0,66.8,130,129,160,66.8,223,30.7,70060,126,362,89.4,0,1936,32.3,6705,4.07,156,121,1756,127,4.13,0,296,0,425,1780,152,10444,0,10595,70024,0,66.2,71.3,0,0,0.389,41.7,21.9,21.9,91.6,41.4,225,20.4,2463,21.9,409,95,0,2288,26.2,1015,4.43,606,3556,153,21.9,4.27,0,447,0,6384,173,141
2023-03-04 19:56:00,0,10859,12766,95870,0,87.2,395,0,0,0,66.1,124,123,160,66.1,221,32.9,70166,121,394,89.8,0,1959,32.3,6957,4.87,168,123,1843,122,4.14,0,298,0,431,1873,153,10859,0,11023,71748,0,66.2,83.6,0,0,0,41.4,20.9,25.9,91.9,41.0,221,28.3,2468,20.9,457,95.0,0,2180,26.2,1028,5.62,597,3559,160,20.9,4.27,0,447,0,6385,193,141
2023-03-04 19:58:00,0,12367,30251,113903,0,86.5,1607,0,0,0,66.1,119,118,163,65.7,221,32.9,70181,120,380,89.8,0,2042,31.8,6997,3.50,16465,77.4,1891,116,3.67,0,298,0,1120,1903,155,12367,0,14172,76000,0,65.5,103,0,0,0,41.7,25.1,25.0,102,40.6,227,28.6,2468,20.9,438,95,0,2302,25.7,1046,3.50,18454,3540,183,24.9,3.80,0,447,0,21008,212,135
2023-03-04 20:00:00,0,11248,35167,107882,0,88.2,1464,0,0,0,66.1,130,129,166,66.1,223,56.1,69983,121,433,89.8,0,1943,31.8,6807,4.77,22025,77,1775,127,3.43,0,501,0,1715,1817,154,11248,0,13963,74781,0,66.8,91.9,0,0.389,0,41.4,21.9,21.9,101,41,231,63.2,2449,26.5,527,95,0,2307,25.7,1033,5.13,24580,3540,159,26.8,3.57,0,594,0,25812,211,135
2023-03-04 20:02:00,0,11035,12793,72764,0,88.2,216,0,0,0,66.4,129,128,161,66.1,221,77.7,70115,120,432,90.1,0,1958,31.8,6955,4.54,171,76.3,1844,127,3.43,0,296,0.389,423,1896,154,11035,0,11225,71138,0,66.8,80.5,0,0,0,41,21.9,21.9,93.8,40.6,221,97.9,2449,20.9,516,95,0,2182,25.7,1031,4.96,596,3539,157,21.9,3.57,0,447,0,6274,205,137
2023-03-04 20:04:00,0,10423,12231,65952,0,87.4,145,0,0,0,66.1,119,118,162,65.7,221,35.1,70072,110,390,90.1,0,1931,32.3,6734,4.07,176,123,1751,116,3.43,0,296,0.389,423,1771,153,10423,0,10583,70006,0,66.1,79.0,0,0,0,41,20.0,20.0,95.4,39.9,221,24.3,2460,19,451,95,0,2282,26.2,1032,4.45,603,3580,165,20.0,3.57,0,447,0,6277,188,135
2023-03-04 20:06:00,0,18997,13619,197578,0,87.9,204,0,0,0,66.8,129,128,775,66.4,1034,445,70150,126,403,90.5,0,2146,32.3,22530,4.30,231,124,2667,127,3.43,0,298,0,422,2279,157,18997,0,19128,90199,0,65.8,73.5,0,0,0,41.7,21.9,21.9,118,41,248,36.1,2466,21.9,472,95,0,3317,26.2,2386,5.07,600,3611,216,21.9,3.57,0,446,0,6273,242,135
2023-03-04 20:08:00,0.389,14398,25780,123199,0,86.9,274,0,0,0,66.8,135,135,457,66.4,611,228,70222,132,384,89.4,0,2080,31.8,8398,4.90,12043,75.6,2275,133,3.67,0,298,0,926,2110,157,14398,0.389,15753,79518,0,65.2,81.6,0,0,0,41.7,22.8,22.8,115,41,244,28.8,2472,22.8,441,95,0,2339,25.7,1110,5.66,13636,3569,195,22.8,3.80,0,446,0,16789,224,135
2023-03-04 20:10:00,0.389,11153,35109,96292,0,86.5,130,0,0,0,66.4,135,135,168,66.4,225,30.7,70084,126,423,90.1,0,1944,31.6,6812,4.40,21942,76.3,1750,133,4.13,0,498,0,1717,1772,156,11153,0.389,13873,75588,0,65.5,71.3,0,0,0,41,22.8,22.8,99.9,41,230,20.1,2458,21.9,520,95,0,2305,25.5,1040,4.82,24520,3539,179,22.8,4.27,0,593,0,25710,190,135
