"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc19baac49013b)","Transmit Total (lxc19bdc82a2f8f)","Transmit Total (lxc1b15a2b5a9b5)","Transmit Total (lxc3a49c4605d4a)","Transmit Total (lxc3f917ecdd144)","Transmit Total (lxc4861fd3a4dcf)","Transmit Total (lxc4a88113a0197)","Transmit Total (lxc4b2dfaf1f74a)","Transmit Total (lxc5a020ca534a0)","Transmit Total (lxc5cf8d3667393)","Transmit Total (lxc65ec27df4c0e)","Transmit Total (lxc743fe122abe5)","Transmit Total (lxc7d95b9b6996f)","Transmit Total (lxc95534620e067)","Transmit Total (lxc9a7e0a10e978)","Transmit Total (lxc9ce1df3cef22)","Transmit Total (lxc9e21ad79a680)","Transmit Total (lxc9f3e81538c96)","Transmit Total (lxc_health)","Transmit Total (lxcaaca9437fdda)","Transmit Total (lxcaaf1223a92e5)","Transmit Total (lxcc21393e88703)","Transmit Total (lxcd26f8087f5ee)","Transmit Total (lxce343dc06c7ec)","Transmit Total (lxce4b97a3a4d29)","Transmit Total (lxced3e9eb0aabf)","Transmit Total (lxcf169989722c7)","Transmit Total (lxcf489e20e115b)","Transmit Total (lxcfa7642c28950)","Transmit Total (lxcfb46c47f9dae)","Transmit Total (lxcfbc3aeaf7c5d)","Transmit Total (lxcff8e8ef11844)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc19baac49013b)","Receive Total (lxc19bdc82a2f8f)","Receive Total (lxc1b15a2b5a9b5)","Receive Total (lxc3a49c4605d4a)","Receive Total (lxc3f917ecdd144)","Receive Total (lxc4861fd3a4dcf)","Receive Total (lxc4a88113a0197)","Receive Total (lxc4b2dfaf1f74a)","Receive Total (lxc5a020ca534a0)","Receive Total (lxc5cf8d3667393)","Receive Total (lxc65ec27df4c0e)","Receive Total (lxc743fe122abe5)","Receive Total (lxc7d95b9b6996f)","Receive Total (lxc95534620e067)","Receive Total (lxc9a7e0a10e978)","Receive Total (lxc9ce1df3cef22)","Receive Total (lxc9e21ad79a680)","Receive Total (lxc9f3e81538c96)","Receive Total (lxc_health)","Receive Total (lxcaaca9437fdda)","Receive Total (lxcaaf1223a92e5)","Receive Total (lxcc21393e88703)","Receive Total (lxcd26f8087f5ee)","Receive Total (lxce343dc06c7ec)","Receive Total (lxce4b97a3a4d29)","Receive Total (lxced3e9eb0aabf)","Receive Total (lxcf169989722c7)","Receive Total (lxcf489e20e115b)","Receive Total (lxcfa7642c28950)","Receive Total (lxcfb46c47f9dae)","Receive Total (lxcfbc3aeaf7c5d)","Receive Total (lxcff8e8ef11844)"
2023-03-04 11:20:00,0,12046,12785,73833,0,87.2,3225,0,0,0,66.4,136,134,167,66.1,231,32.2,69972,126,411,89.8,0,1992,31.6,6984,3.97,183,76.3,1816,133,3.67,0,299,0,424,1846,152,12046,0,12215,72452,0,66.2,122,0,0,0,41.7,22.8,22.8,98.3,41,234,20.7,2464,22.2,487,95,0,2309,25.5,1053,3.97,603,3539,175,22.8,3.80,0,447,0,6274,200,135
2023-03-04 11:22:00,0,10876,36027,100883,0,86.4,1703,0,0,0,66.4,135,134,167,66.4,230,30.7,70051,137,451,89.4,0,2002,32.0,7143,4.53,21858,76.7,1908,133,4.36,0,502,0,1719,1921,151,10876,0,13600,75204,0,65.4,93.7,0,0,0,41.3,22.8,22.8,103,41.0,236,20.1,2468,23.7,553,95.3,0,2187,26.0,1073,4.90,24466,3538,176,22.8,4.50,0,594,0,25648,194,136
2023-03-04 11:24:00,0,9354,34939,92033,0,87.2,130,0.389,0,0.389,66.8,135,134,160,66.1,218,30.7,69913,125,411,89.8,0,1922,32.3,6680,3.27,21846,120,1751,132,4.60,0.389,502,0,1719,1775,155,9354,0,12056,72424,0,66.2,71.3,0.389,0,0,41.4,22.8,22.8,91.7,40.6,217,20.1,2449,21.9,491,95.4,0,2267,26.2,1025,3.27,24469,3511,158,22.8,4.73,0,594,0,25665,185,136
2023-03-04 11:26:00,0,10222,12734,72736,0,87.2,216,0.389,0,0.389,66.8,141,140,164,65.7,223,32.9,70047,137,424,89.8,0,1974,32.3,6900,5.70,178,123,1830,138,4.13,0.389,298,0,425,1849,154,10222,0,10402,70369,0,66.2,80.5,0.389,0,0,41.4,23.8,23.8,97.9,40.3,223,22.7,2461,23.8,502,95,0,2266,26.2,1024,6.46,608,3558,147,23.8,4.66,0.389,447,0,6281,183,135
2023-03-04 11:28:00,0,12236,12709,71509,0,87.2,390,0,0,0,66.8,141,140,161,66.0,220,32.9,70017,132,350,90.1,0,1955,32.3,6854,5.34,176,76.8,1809,138,3.67,0,296,0,425,1837,153,12236,0,12374,72116,0,66.2,90.6,0,0,0,41.7,23.7,23.7,93.8,40.6,221,22.8,2454,22.8,391,94.6,0,2202,26.2,1042,6.13,600,3493,166,23.7,4.19,0.389,447,0,6279,200,135
2023-03-04 11:30:00,0,12080,12296,72057,0,87.2,150,0,0,0,66.4,135,134,165,65.7,223,31.5,69928,132,414,90.5,0,1937,32.3,6812,3.27,165,76.5,1783,133,3.90,0,298,0,421,1790,154,12080,0,12245,71738,0,66.2,79.0,0,0,0,41.7,22.8,22.8,104,40.3,229,20.6,2450,22.8,489,95,0,2304,26.2,1051,3.27,588,3539,182,22.8,4.03,0,446,0,6281,192,135
2023-03-04 11:32:00,0,10697,35582,106390,0,87.2,217,0,0,0,66.1,130,134,166,65.7,220,31.5,69986,132,487,90.1,0,1949,31.8,6896,5.83,22000,76.6,1828,133,3.90,0,503,0,1723,1839,154,10697,0,13443,74550,0,66.2,80.5,0,0,0,41.7,21.9,22.8,104,40.6,227,20.5,2452,22.8,611,95,0,2175,25.7,1040,11.7,24512,3540,171,22.8,4.03,0,594,0,25791,163,137
2023-03-04 11:34:00,0,9801,34977,100599,0,87.2,131,0,0,0,66.4,118,117,158,65.7,223,32.1,69919,120,411,89.8,0,1912,31.6,6651,3.47,21998,124,1735,116,3.67,0,503,0,1726,1767,154,9801,0,12513,72938,0,66.2,71.3,0,0,0.389,41.7,20.0,20.0,89.7,40.6,225,21.6,2457,20.9,498,95,0,2274,25.5,993,9,24506,3557,161,20.0,3.80,0,594,0,25790,208,137
2023-03-04 11:36:00,0,11368,12769,75764,0,87.2,216,0,0,0,66.1,124,123,160,65.7,223,32.1,69991,121,426,90.9,0,1993,31.8,6913,3.57,177,125,1814,122,3.67,0,296,0,424,1833,152,11368,0,11544,71604,0,66.2,80.5,0,0,0,41.4,20.9,20.9,92.9,41.0,225,21.6,2457,20.9,499,95,0,2301,25.7,1038,4.09,601,3559,176,20.9,3.80,0,447,0,6285,204,135
2023-03-04 11:38:00,0,12307,12703,69311,0,87.2,196,0,0,0,66.1,118,123,164,65.7,219,32.1,69981,115,354,91.6,0,1978,32.3,6906,5.80,162,77.9,1846,121,4.13,0,296,0,421,1846,154,12307,0,12450,72376,0,66.2,72.8,0,0,0,41,20.0,20.9,97.5,40.3,219,21.8,2456,20.0,396,94.6,0,2246,26.2,1086,12.0,599,3540,166,20.9,4.27,0,447,0,6283,185,135
