"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-22 00:22:00,0,0,0,84719,84719,0
2023-03-22 00:24:00,68.3,68.3,0,73591,73591,0
2023-03-22 00:26:00,0,0,0,54477,54477,0
2023-03-22 00:28:00,0,0,0,89771,89771,0
2023-03-22 00:30:00,0,0,0,38252,38252,0
2023-03-22 00:32:00,0,0,0,108908,108908,0
2023-03-22 00:34:00,0,0,0,97872,97872,0
2023-03-22 00:36:00,0,0,0,56423,56423,0
2023-03-22 00:38:00,0,0,0,91070,91070,0
2023-03-22 00:40:00,0,0,0,42962,42962,0
2023-03-22 00:42:00,0,0,0,84673,84673,0
2023-03-22 00:44:00,0,0,0,72704,72704,0
2023-03-22 00:46:00,0,0,0,56730,56730,0
2023-03-22 00:48:00,0,0,0,98258,98258,0
2023-03-22 00:50:00,0,0,0,43031,43031,0
2023-03-22 00:52:00,705,705,0,83831,83831,0
2023-03-22 00:54:00,0,0,0,72499,72499,0
2023-03-22 00:56:00,0,0,0,50449,50449,0
2023-03-22 00:58:00,0,0,0,84446,84446,0
2023-03-22 01:00:00,0,0,0,41543,41543,0
2023-03-22 01:02:00,0,0,0,131026,131026,0
2023-03-22 01:04:00,0,0,0,96825,96825,0
2023-03-22 01:06:00,0,0,0,50836,50836,0
2023-03-22 01:08:00,0,0,0,86107,86107,0
2023-03-22 01:10:00,0,0,0,43167,43167,0
2023-03-22 01:12:00,0,0,0,86448,86448,0
2023-03-22 01:14:00,0,0,0,73887,73887,0
2023-03-22 01:16:00,0,0,0,50540,50540,0
2023-03-22 01:18:00,0,0,0,84287,84287,0
2023-03-22 01:20:00,182,182,0,41119,41119,0
2023-03-22 01:22:00,182,182,0,81078,81078,0
2023-03-22 01:24:00,0,0,0,74775,74775,0
2023-03-22 01:26:00,0,0,0,53316,53316,0
2023-03-22 01:28:00,0,0,0,90886,90886,0
2023-03-22 01:30:00,0,0,0,41893,41893,0
2023-03-22 01:32:00,296,296,0,103993,103993,0
2023-03-22 01:34:00,237316,237316,0,123743,123743,0
2023-03-22 01:36:00,417997,417997,0,1727192,1727283,0
2023-03-22 01:38:00,0,0,0,88701,88701,0
2023-03-22 01:40:00,0,0,0,39868,39868,0
2023-03-22 01:42:00,0,0,0,112731,112731,0
2023-03-22 01:44:00,0,0,0,99465,99465,0
2023-03-22 01:46:00,0,0,0,53316,53316,0
2023-03-22 01:48:00,0,0,0,86744,86744,0
2023-03-22 01:50:00,0,0,0,39049,39049,0
2023-03-22 01:52:00,0,0,0,90977,90977,0
2023-03-22 01:54:00,0,0,0,78302,78302,0
2023-03-22 01:56:00,0,0,0,51473,51473,0
2023-03-22 01:58:00,0,0,0,83445,83445,0
2023-03-22 02:00:00,0,0,0,40892,40892,0
2023-03-22 02:02:00,22.8,22.8,0,270746,270746,0
2023-03-22 02:04:00,22.8,22.8,0,79940,79940,0
2023-03-22 02:06:00,0,0,0,55000,55000,0
2023-03-22 02:08:00,0,0,0,82716,82716,0
2023-03-22 02:10:00,205,205,0,42917,42917,0
2023-03-22 02:12:00,205,205,0,109454,109454,0
2023-03-22 02:14:00,0,0,0,108362,108362,0
2023-03-22 02:16:00,0,0,0,44078,44078,0
2023-03-22 02:18:00,0,0,0,114779,114779,0
2023-03-22 02:20:00,205,205,0,45579,45579,0
2023-03-22 02:22:00,205,205,0,88246,88246,0
2023-03-22 02:24:00,0,0,0,82853,82853,0
2023-03-22 02:26:00,0,0,0,41961,41961,0
2023-03-22 02:28:00,364,364,0,86744,86744,0
2023-03-22 02:30:00,296,296,0,45748,45748,0
2023-03-22 02:32:00,0,0,0,112754,112754,0
2023-03-22 02:34:00,0,0,0,110455,110455,0
2023-03-22 02:36:00,0,0,0,40687,40687,0
2023-03-22 02:38:00,0,0,0,84946,84946,0
2023-03-22 02:40:00,0,0,0,45943,45943,0
2023-03-22 02:42:00,0,0,0,88997,88997,0
2023-03-22 02:44:00,0,0,0,83012,83012,0
2023-03-22 02:46:00,0,0,0,37592,37592,0
2023-03-22 02:48:00,0,0,0,90590,90590,0
2023-03-22 02:50:00,0,0,0,48538,48538,0
2023-03-22 02:52:00,0,0,0,86039,86039,0
2023-03-22 02:54:00,0,0,0,87609,87609,0
2023-03-22 02:56:00,0,0,0,42908,42908,0
2023-03-22 02:58:00,0,0,0,86357,86357,0
2023-03-22 03:00:00,0,0,0,40095,40095,0
2023-03-22 03:02:00,0,0,0,127295,127295,0
2023-03-22 03:04:00,0,0,0,127590,127590,0
2023-03-22 03:06:00,0,0,0,38025,38025,0
2023-03-22 03:08:00,0,0,0,81920,81920,0
2023-03-22 03:10:00,0,0,0,38548,38548,0
2023-03-22 03:12:00,0,0,0,89725,89725,0
2023-03-22 03:14:00,114,114,0,83285,83285,0
2023-03-22 03:16:00,114,114,0,44237,44237,0
2023-03-22 03:18:00,0,0,0,88018,88018,0
2023-03-22 03:20:00,0,0,0,42121,42121,0
2023-03-22 03:22:00,0,0,0,84446,84446,0
2023-03-22 03:24:00,0,0,0,84400,84400,0
2023-03-22 03:26:00,0,0,0,38389,38389,0
2023-03-22 03:28:00,0,0,0,87086,87086,0
2023-03-22 03:30:00,0,0,0,44100,44100,0
2023-03-22 03:32:00,0,0,0,108703,108703,0
2023-03-22 03:34:00,0,0,0,108567,108567,0
2023-03-22 03:36:00,0,0,0,39799,39799,0
2023-03-22 03:38:00,0,0,0,85424,85424,0
2023-03-22 03:40:00,0,0,0,44396,44396,0
2023-03-22 03:42:00,0,0,0,109978,109978,0
2023-03-22 03:44:00,0,0,0,112913,112913,0
2023-03-22 03:46:00,0,0,0,46876,46876,0
2023-03-22 03:48:00,0,0,0,88769,88769,0
2023-03-22 03:50:00,0,0,0,42439,42439,0
2023-03-22 03:52:00,0,0,0,87359,87359,0
2023-03-22 03:54:00,137,137,0,88633,88633,0
2023-03-22 03:56:00,0,0,0,41051,41051,0
2023-03-22 03:58:00,0,0,0,84787,84787,0
2023-03-22 04:00:00,0,0,0,42303,42303,0
2023-03-22 04:02:00,0,0,0,264215,264215,0
2023-03-22 04:04:00,0,0,0,91953,91953,0
2023-03-22 04:06:00,0,0,0,42894,42894,0
2023-03-22 04:08:00,0,0,0,87427,87427,0
2023-03-22 04:10:00,0,0,0,45124,45124,0
2023-03-22 04:12:00,0,0,0,85311,85311,0
2023-03-22 04:14:00,614,614,0,89270,89270,0
2023-03-22 04:16:00,0,0,0,40710,40710,0
2023-03-22 04:18:00,0,0,0,107224,107224,0
2023-03-22 04:20:00,0,0,0,43645,43645,0
2023-03-22 04:22:00,0,0,0,92069,92069,0
2023-03-22 04:24:00,0,0,0,86471,86471,0
2023-03-22 04:26:00,0,0,0,37820,37820,0
2023-03-22 04:28:00,0,0,0,84992,84992,0
2023-03-22 04:30:00,0,0,0,45124,45124,0
2023-03-22 04:32:00,0,0,0,112822,112822,0
2023-03-22 04:34:00,0,0,0,107725,107725,0
2023-03-22 04:36:00,0,0,0,46831,46831,0
2023-03-22 04:38:00,0,0,0,89475,89475,0
2023-03-22 04:40:00,0,0,0,39868,39868,0
2023-03-22 04:42:00,0,0,0,83536,83536,0
2023-03-22 04:44:00,0,0,0,87108,87108,0
2023-03-22 04:46:00,0,0,0,41415,41415,0
2023-03-22 04:48:00,0,0,0,87677,87677,0
2023-03-22 04:50:00,0,0,0,45989,45989,0
2023-03-22 04:52:00,0,0,0,84036,84036,0
2023-03-22 04:54:00,0,0,0,84082,84082,0
2023-03-22 04:56:00,0,0,0,41415,41415,0
2023-03-22 04:58:00,0,0,0,85060,85060,0
2023-03-22 05:00:00,0,0,0,47204,47204,0
2023-03-22 05:02:00,0,0,0,137808,137808,0
2023-03-22 05:04:00,0,0,0,139719,139719,0
2023-03-22 05:06:00,0,0,0,48037,48037,0
2023-03-22 05:08:00,0,0,0,84196,84196,0
2023-03-22 05:10:00,0,0,0,38889,38889,0
2023-03-22 05:12:00,0,0,0,84719,84719,0
2023-03-22 05:14:00,0,0,0,82398,82398,0
2023-03-22 05:16:00,0,0,0,40164,40164,0
2023-03-22 05:18:00,0,0,0,85424,85424,0
2023-03-22 05:20:00,0,0,0,39049,39049,0
2023-03-22 05:22:00,0,0,0,81852,81852,0
2023-03-22 05:24:00,0,0,0,84355,84355,0
2023-03-22 05:26:00,0,0,0,37956,37956,0
2023-03-22 05:28:00,0,0,0,84378,84378,0
2023-03-22 05:30:00,0,0,0,42871,42871,0
2023-03-22 05:32:00,0,0,0,106359,106359,0
2023-03-22 05:34:00,0,0,0,108225,108225,0
2023-03-22 05:36:00,0,0,0,38502,38502,0
2023-03-22 05:38:00,114,114,0,95027,95027,0
2023-03-22 05:40:00,0,0,0,43395,43395,0
2023-03-22 05:42:00,0,0,0,105176,105176,0
2023-03-22 05:44:00,0,0,0,111502,111502,0
2023-03-22 05:46:00,0,0,0,41643,41643,0
2023-03-22 05:48:00,0,0,0,88087,88087,0
2023-03-22 05:50:00,0,0,0,39822,39822,0
2023-03-22 05:52:00,0,0,0,81920,81920,0
2023-03-22 05:54:00,0,0,0,82284,82284,0
2023-03-22 05:56:00,0,0,0,38753,38753,0
2023-03-22 05:58:00,0,0,0,84417,84417,0
2023-03-22 06:00:00,0,0,0,40846,40846,0
2023-03-22 06:02:00,0,0,0,718848,718848,0
2023-03-22 06:04:00,0,0,0,84855,84855,0
2023-03-22 06:06:00,0,0,0,40346,40346,0
2023-03-22 06:08:00,0,0,0,88519,88519,0
2023-03-22 06:10:00,0,0,0,44942,44942,0
2023-03-22 06:12:00,0,0,0,82011,82011,0
2023-03-22 06:14:00,0,0,0,83513,83513,0
2023-03-22 06:16:00,0,0,0,43782,43782,0
2023-03-22 06:18:00,0,0,0,109409,109409,0
2023-03-22 06:20:00,0,0,0,40323,40323,0
2023-03-22 06:22:00,0,0,0,86107,86107,0
2023-03-22 06:24:00,0,0,0,86494,86494,0
2023-03-22 06:26:00,0,0,0,42234,42234,0
2023-03-22 06:28:00,91.0,91.0,0,90112,90112,0
2023-03-22 06:30:00,0,0,0,43076,43076,0
2023-03-22 06:32:00,0,0,0,111889,111889,0
2023-03-22 06:34:00,0,0,0,115780,115780,0
2023-03-22 06:36:00,0,0,0,37365,37365,0
2023-03-22 06:38:00,0,0,0,84924,84924,0
2023-03-22 06:40:00,0,0,0,43145,43145,0
2023-03-22 06:42:00,0,0,0,88451,88451,0
2023-03-22 06:44:00,0,0,0,82830,82830,0
2023-03-22 06:46:00,0,0,0,36341,36341,0
2023-03-22 06:48:00,0,0,0,81465,81465,0
2023-03-22 06:50:00,0,0,0,41006,41006,0
2023-03-22 06:52:00,134030,135122,0,703442,703556,0
2023-03-22 06:54:00,134918,136010,0,1161239,1161421,0
2023-03-22 06:56:00,182,182,0,40027,40027,0
2023-03-22 06:58:00,4324,4324,0,100534,100534,0
2023-03-22 07:00:00,4324,4324,0,57890,57890,0
2023-03-22 07:02:00,0,0,0,130253,130253,0
2023-03-22 07:04:00,0,0,0,127295,127295,0
2023-03-22 07:06:00,0,0,0,39526,39526,0
2023-03-22 07:08:00,0,0,0,82762,82762,0
2023-03-22 07:10:00,0,0,0,38753,38753,0
2023-03-22 07:12:00,0,0,0,78393,78393,0
2023-03-22 07:14:00,0,0,0,87265,87265,0
2023-03-22 07:16:00,0,0,0,40732,40732,0
2023-03-22 07:18:00,0,0,0,85333,85333,0
2023-03-22 07:20:00,0,0,0,41779,41779,0
2023-03-22 07:22:00,0,0,0,85834,85834,0
2023-03-22 07:24:00,0,0,0,85925,85925,0
2023-03-22 07:26:00,0,0,0,42143,42143,0
2023-03-22 07:28:00,0,0,0,84014,84014,0
2023-03-22 07:30:00,0,0,0,39822,39822,0
2023-03-22 07:32:00,0,0,0,107156,107156,0
2023-03-22 07:34:00,0,0,0,109340,109340,0
2023-03-22 07:36:00,0,0,0,40209,40209,0
2023-03-22 07:38:00,0,0,0,84605,84605,0
2023-03-22 07:40:00,0,0,0,43531,43531,0
2023-03-22 07:42:00,0,0,0,108544,108544,0
2023-03-22 07:44:00,0,0,0,113300,113300,0
2023-03-22 07:46:00,0,0,0,46763,46763,0
2023-03-22 07:48:00,250,250,0,85038,85038,0
2023-03-22 07:50:00,250,250,0,44169,44169,0
2023-03-22 07:52:00,0,0,0,82170,82170,0
2023-03-22 07:54:00,0,0,0,83738,83738,0
2023-03-22 07:56:00,0,0,0,44146,44146,0
2023-03-22 07:58:00,0,0,0,91022,91022,0
2023-03-22 08:00:00,0,0,0,43167,43167,0
2023-03-22 08:02:00,0,0,0,256478,256478,0
2023-03-22 08:04:00,0,0,0,85857,85857,0
2023-03-22 08:06:00,0,0,0,42121,42121,0
2023-03-22 08:08:00,0,0,0,83285,83285,0
2023-03-22 08:10:00,0,0,0,37911,37911,0
2023-03-22 08:12:00,0,0,0,83945,83945,0
2023-03-22 08:14:00,0,0,0,87836,87836,0
2023-03-22 08:16:00,0,0,0,40596,40596,0
2023-03-22 08:18:00,0,0,0,107133,107133,0
2023-03-22 08:20:00,0,0,0,42894,42894,0
2023-03-22 08:22:00,0,0,0,87996,87996,0
2023-03-22 08:24:00,0,0,0,84082,84082,0
2023-03-22 08:26:00,0,0,0,39208,39208,0
2023-03-22 08:28:00,0,0,0,83399,83399,0
2023-03-22 08:30:00,0,0,0,40459,40459,0
2023-03-22 08:32:00,0,0,0,107975,107975,0
2023-03-22 08:34:00,0,0,0,109864,109864,0
2023-03-22 08:36:00,0,0,0,40232,40232,0
2023-03-22 08:38:00,0,0,0,84605,84605,0
2023-03-22 08:40:00,0,0,0,43304,43304,0
2023-03-22 08:42:00,0,0,0,88155,88155,0
2023-03-22 08:44:00,0,0,0,85902,85902,0
2023-03-22 08:46:00,0,0,0,38025,38025,0
2023-03-22 08:48:00,0,0,0,82944,82944,0
2023-03-22 08:50:00,0,0,0,45193,45193,0
2023-03-22 08:52:00,0,0,0,86988,86988,0
2023-03-22 08:54:00,0,0,0,83035,83035,0
2023-03-22 08:56:00,0,0,0,42052,42052,0
2023-03-22 08:58:00,0,0,0,88610,88610,0
2023-03-22 09:00:00,0,0,0,40095,40095,0
2023-03-22 09:02:00,0,0,0,134599,134599,0
2023-03-22 09:04:00,0,0,0,109932,109932,0
2023-03-22 09:06:00,0,0,0,41415,41415,0
2023-03-22 09:08:00,0,0,0,89543,89543,0
2023-03-22 09:10:00,0,0,0,42917,42917,0
2023-03-22 09:12:00,0,0,0,83604,83604,0
2023-03-22 09:14:00,0,0,0,81874,81874,0
2023-03-22 09:16:00,0,0,0,37114,37114,0
