"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05f9280b1f7d)","Transmit Total (lxc0ba74fa7007d)","Transmit Total (lxc25abdb9518a6)","Transmit Total (lxc2e15697085ba)","Transmit Total (lxc351b734952bf)","Transmit Total (lxc439d18cf1dfb)","Transmit Total (lxc455426f94f9c)","Transmit Total (lxc479ad4d1b42f)","Transmit Total (lxc48fb769fcb98)","Transmit Total (lxc51649e01d43c)","Transmit Total (lxc6652d1a74bef)","Transmit Total (lxc71c73856a325)","Transmit Total (lxc75487fceda84)","Transmit Total (lxc7de18daac863)","Transmit Total (lxc943bedc4eaa3)","Transmit Total (lxc958e3c40dcda)","Transmit Total (lxc9b6e428e64f8)","Transmit Total (lxc9c44d2cefee9)","Transmit Total (lxc_health)","Transmit Total (lxcf05a48dbfe36)","Transmit Total (lxcf1111066d3f9)","Transmit Total (lxcf6a76edb12f4)","Transmit Total (lxcfd79045a9c86)","Transmit Total (lxcffe99ab4c80b)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05f9280b1f7d)","Receive Total (lxc0ba74fa7007d)","Receive Total (lxc25abdb9518a6)","Receive Total (lxc2e15697085ba)","Receive Total (lxc351b734952bf)","Receive Total (lxc439d18cf1dfb)","Receive Total (lxc455426f94f9c)","Receive Total (lxc479ad4d1b42f)","Receive Total (lxc48fb769fcb98)","Receive Total (lxc51649e01d43c)","Receive Total (lxc6652d1a74bef)","Receive Total (lxc71c73856a325)","Receive Total (lxc75487fceda84)","Receive Total (lxc7de18daac863)","Receive Total (lxc943bedc4eaa3)","Receive Total (lxc958e3c40dcda)","Receive Total (lxc9b6e428e64f8)","Receive Total (lxc9c44d2cefee9)","Receive Total (lxc_health)","Receive Total (lxcf05a48dbfe36)","Receive Total (lxcf1111066d3f9)","Receive Total (lxcf6a76edb12f4)","Receive Total (lxcfd79045a9c86)","Receive Total (lxcffe99ab4c80b)"
2023-03-11 09:12:00,0,69.6,22428,68475,0,4.27,66.1,296,2553,0,120,0,1759,0,0.389,66.4,4.13,0,118,1471,115,38192,19,32.3,0,1778,0,117,14152,69.6,0,33422,68423,0,4.13,41.4,447,1266,0,20.9,0,163,0,0,41.4,4.27,0,20.0,15503,20.0,17934,38.5,26.2,0,186,0,27.7,3311
2023-03-11 09:14:00,0,71.1,32027,85448,0,4.27,66.1,500,2551,49.3,121,0,1802,62.0,0,66.4,3.67,0,124,1508,122,38276,365,32.3,0,1829,0,123,13216,71.1,0,39728,75600,0,4.13,40.6,596,1263,30.6,20.9,0,135,156,0,41.4,3.80,0,20.9,15500,21.3,26244,614,26.2,0,170,0,29.0,3615
2023-03-11 09:16:00,0,70.4,19587,47124,0,4.27,65.7,296,2580,0,121,0,1765,0,0,66.8,3.43,0,124,1622,122,38319,19.0,32.3,0,1793,0,123,15995,70.4,0,16506,49950,0,4.13,40.3,447,1277,0,20.9,0,158,0,0,41.4,3.57,0,20.9,15634,21.3,16843,38.5,26.2,0,187,0,29.0,3362
2023-03-11 09:18:00,0,69.6,19618,47756,0,4.27,66.0,296,2552,0.600,132,0,1867,0,0,66.4,3.90,0,135,1640,133,38251,19.0,32.6,0,1891,0,134,12130,69.6,0,16462,46476,0,4.13,41.0,447,1266,0.600,22.8,0,179,0,0,41.0,4.03,0,22.8,15574,22.8,16829,38.5,26.4,0,204,0,31.6,3844
2023-03-11 09:20:00,0,69.6,21245,49269,0,4.27,66.1,296,2550,0.600,132,0,1801,0,0,65.8,4.13,0,135,1591,133,38244,19,32.6,0,1820,0,134,14822,69.6,0,16487,48949,0,4.13,41,447,1263,0.600,22.8,0,170,0,0,40.3,4.27,0,22.8,15582,22.8,18458,38.5,26.4,0,196,0,31.6,3663
2023-03-11 09:22:00,0,70.4,22421,62166,0,4.27,66.4,296,2549,0,126,0,1742,0,0,66.1,3.90,0,124,1502,122,38212,19,32.1,0,1767,0,123,14129,70.4,0,27634,61307,0,4.13,41,446,1263,0,21.9,0,159,0,0,40.6,4.03,0,20.9,15530,20.9,18499,38.5,26.0,0,183,0,29.0,3269
2023-03-11 09:24:00,0,70.8,23593,76441,0,4.27,66.5,502,2551,47.5,121,0,1793,62.0,0,66.5,3.44,0,124,1579,122,38329,361,31.9,0,1828,0,123,11709,70.8,0,39583,74021,0,4.14,41.0,595,1263,30.6,20.9,0,159,156,0,41.0,3.57,0,20.9,15574,20.9,17842,614,25.7,0,204,0,29.0,3553
2023-03-11 09:26:00,0,70,21197,48985,0,4.27,66.4,296,2552,0,125,0,1740,0,0,66.4,3.67,0,129,1589,126,38327,19,31.9,0,1767,0,128,14292,70,0,16503,48259,0,4.13,41,446,1266,0,21.9,0,160,0,0,41,3.80,0,21.9,15644,21.9,18433,38.5,25.7,0,204,0,30.3,3353
2023-03-11 09:28:00,0,69.6,19162,47293,0,4.27,66.4,295,2552,0.600,121,0,1869,0,0,66.8,3.90,0,124,1706,122,38298,19.0,32.3,0,1881,0,123,12083,69.6,0,16444,46410,0,4.13,41.0,447,1266,0.600,20.9,0,160,0,0,41.4,4.03,0,25.9,15632,20.9,16440,38.5,26.2,0,171,0,33.9,3866
2023-03-11 09:30:00,0,69.6,20538,48679,0,4.27,66.8,296,2549,0.600,120,0,1806,0,0,66.1,3.90,0,123,1653,122,38339,19.0,32.3,0,1823,0,123,16679,69.6,0,16524,50939,0,4.13,41.4,447,1261,0.600,25.9,0,171,0,0,40.6,4.03,0,25.9,15627,25.8,17799,38.5,26.2,0,197,0,33.9,3747
2023-03-11 09:32:00,0,71.8,27198,61842,0,4.27,67.2,296,2551,0,126,0,1747,0,0,66.5,4.13,0,124,1613,122,38373,19,32.6,0,1774,0,123,14281,71.8,0,22542,55361,0,4.13,41.8,447,1263,0,21.9,0,158,0,0,41.4,4.27,0,20.9,15638,20.9,23885,38.5,26.4,0,195,0,29.0,3290
2023-03-11 09:34:00,0,71.5,24137,77133,0,4.27,66.4,500,2579,48.6,132,0,1880,62.0,0,66.1,4.37,0,135,1718,133,38313,364,33.2,0,1909,0,134,12234,71.5,0,39516,74594,0,4.13,41.4,597,1277,30.6,22.8,0,154,156,0,41.0,4.50,0,22.8,15632,22.8,18476,595,26.7,0,193,0,31.6,3817
2023-03-11 09:36:00,0,69.6,29821,57792,0,4.66,65.6,296,2552,0,126,0,1690,0,0,65.7,4.13,0,130,1482,127,38330,19,33.2,0,1702,0,129,13715,69.6,0,16553,47423,0,4.13,40.6,447,1265,0,21.9,0,172,0,0,40.6,4.27,0,21.9,15564,21.9,27058,38.5,26.7,0,199,0,30.3,3038
2023-03-11 09:38:00,0.389,70,20309,48367,0,4.66,66.1,295,2550,0.600,121,0,1854,0,0,66.1,4.13,0,124,1616,122,38229,19,32.3,0,1882,0,123,12088,70,0.389,16452,46380,0,4.13,41,447,1263,0.600,20.9,0,167,0,0,41,4.27,0,20.9,15555,20.9,17513,38.5,26.2,0,188,0,29.0,3820
2023-03-11 09:40:00,0.389,70.4,28546,57133,0,4.27,66.4,296,2551,0.600,126,0.389,1807,0,0,66.1,4.13,0,130,1509,127,38256,19.0,32.3,0,1819,0,129,14847,70.4,0.389,16558,49216,0,4.13,41.4,447,1268,0.600,21.9,0,166,0,0,40.6,4.27,0,21.9,15524,21.9,25673,38.5,26.2,0,189,0,30.3,3644
2023-03-11 09:42:00,0,70,20561,48997,0,4.50,66.4,296,2552,0,126,0.389,1761,0,0,65.7,3.90,0,124,1550,116,38250,19,32.3,0,1767,0,123,14180,70,0,17206,48829,0,4.37,41.4,447,1270,0,21.9,0,167,0,0,40.6,4.03,0,20.9,15598,20.5,17692,38.5,26.2,0,189,0,29.0,3353
2023-03-11 09:44:00,0,70.7,27017,80384,0,4.97,66.4,501,2579,50.4,120,0,1885,62.0,0,66.4,3.43,0,118,1614,115,38256,375,32.3,0,1909,0,117,13894,70.7,0,39584,76352,0,4.83,41.4,597,1277,30.6,20.9,0,153,157,0,41.4,3.57,0,19.9,15536,19.9,21251,615,26.2,0,192,0,27.6,3974
2023-03-11 09:46:00,0,70.4,21319,48655,0,4.74,66.1,296,2550,0,115,0,1689,0,0,66.8,3.44,0,113,1478,111,38300,19.0,32.4,0,1715,0,112,15346,70.4,0,16518,49056,0,4.60,41.0,447,1262,0,20.0,0,169,0,0,41.0,3.57,0,19.0,15566,19.0,18509,38.5,26.2,0,199,0,26.3,3001
2023-03-11 09:48:00,0,70,21398,49629,0,4.27,66.4,295,2551,0.600,115,0,1862,0,0,66.1,3.90,0,118,1702,115,38335,19,32.3,0,1891,0,117,12129,70,0,16462,46360,0,4.13,41.4,447,1264,0.600,20.0,0.389,168,0,0,40.6,4.03,0,20.0,15626,20.0,18680,38.5,26.2,0,192,0,27.7,3839
2023-03-11 09:50:00,0,69.3,20672,48666,0,4.27,66.4,296,2551,0.600,115,0,1804,0,0,66.4,4.13,0,119,1567,116,38260,19,32.3,0,1878,0,118,14852,69.3,0,16539,49038,0,4.13,41.4,447,1265,0.600,20.0,0,162,0,0,41,4.27,0,20.0,15556,20.0,17836,38.5,26.2,0,196,0,27.7,3676
2023-03-11 09:52:00,0,70.4,21110,48742,0,4.27,66.1,296,2551,0,115,0,1765,0,0,65.7,3.90,0,118,1462,116,38222,19,32.3,0,1859,0,117,14141,70.4,0,16505,47846,0,4.13,41.4,447,1265,0,20.0,0,164,0,0,40.3,4.03,0,20.0,15517,20.0,18241,38.5,26.2,0,209,0,27.7,3316
2023-03-11 09:54:00,0,71.1,22316,75471,0,4.27,66.4,500,2548,46.8,132,0,1873,62,0,65.7,3.43,0,135,1587,133,38213,386,32.3,0,1911,0,134,12259,71.1,0,39653,74708,0,4.13,41.8,596,1261,30.6,22.8,0,174,155,0.389,40.3,3.57,0,23.2,15536,22.8,16485,657,26.2,0,214,0.389,31.6,3890
2023-03-11 09:56:00,0,69.6,20694,48047,0,4.27,66.4,296,2551,0,121,0,1688,0,0,66.4,3.43,0,124,1493,122,38284,19,32.3,0,1701,0,123,13734,69.6,0,16505,47343,0,4.52,40.6,448,1270,0,21.3,0,178,0,0,41,3.57,0,20.9,15592,20.9,17882,38.5,26.2,0.389,201,0,29.0,3039
2023-03-11 09:58:00,0,68.2,20540,48389,0,4.73,66.4,295,2551,0,126,0,1807,0,0,66.1,3.90,0,135,1576,133,38255,19,32.3,0,1834,0.389,134,11568,68.2,0,16473,45444,0,4.99,40.6,448,1270,0,22.2,0,158,0,0,41,4.03,0.389,22.8,15554,22.8,17716,38.9,26.2,0.389,180,0,31.6,3545
2023-03-11 10:00:00,0,70,21450,49512,0,4.97,66.4,297,2552,0.600,127,0,1799,0,0,66.4,4.13,0.389,130,1576,127,38287,19.4,32.3,0,1831,0.389,129,16481,70,0,16516,50702,0,4.83,41,447,1264,0.600,21.9,0,157,0.389,0,41.8,4.27,0.389,21.9,15566,21.9,18647,38.9,26.2,0,190,0,30.7,3697
2023-03-11 10:02:00,0,70.0,26531,54607,0,4.97,66.8,296,2578,0.389,131,0,1763,0.389,0,66.3,4.29,0.389,135,1548,132,38298,19.4,32.3,0,1783,0,134,14355,70.0,0,16501,48219,0,4.83,41.4,447,1275,0,22.8,0,178,0.389,0,41.4,4.03,0,22.8,15564,22.8,23737,38.5,26.2,0,193,0,32.0,3316
2023-03-11 10:04:00,0,70.0,23648,76862,0,4.97,66.4,500,2553,44.6,126,0,1857,62.4,0,65.6,3.82,0,130,1637,127,38272,383,32.3,0,1890,0,129,12281,70.0,0,39636,74708,0,4.83,41.0,595,1266,30.6,21.9,0,170,156,0,40.3,3.57,0,21.9,15583,21.9,17835,669,26.2,0,184,0,30.3,3919
2023-03-11 10:06:00,0,69.3,29186,57819,0,4.97,66.8,296,2552,0,126,0,1813,0,0.389,65.7,3.43,0,136,1642,133,38422,19.0,32.3,0,1833,0,134,14849,69.3,0,16571,49262,0,4.83,41.7,446,1264,0.389,21.9,0,168,0,0,40.3,3.57,0,22.8,15628,22.8,26459,38.5,26.2,0,169,0,31.6,3658
2023-03-11 10:08:00,0,68.9,19747,47163,0,4.97,67.2,296,2549,0,132,0,1747,0,0.389,65.7,3.43,0,130,1550,127,38302,19.0,32.3,0,1763,0,129,10985,68.9,0,16472,44747,0,4.83,41.7,447,1261,0.389,22.8,0,152,0,0,40.3,3.57,0,21.9,15590,21.9,16968,38.5,26.2,0,188,0,30.3,3162
2023-03-11 10:10:00,0,70.7,22332,50507,0,4.97,66.4,296,2550,0.600,126,0,1806,0,0,66.1,3.43,0,124,1585,122,38302,19,32.3,0,1830,0,124,14887,70.7,0,16536,49249,0,4.83,41,447,1263,0.600,21.9,0,150,0,0,40.6,3.96,0,20.9,15569,20.9,19530,38.5,26.2,0,211,0,29.0,3703
2023-03-11 10:12:00,0,70,21186,48857,0,4.50,66.1,296,2581,0,121,0,1753,0,0,66.1,3.43,0,124,1533,122,38277,19,32.3,0.389,1777,0,123,14241,70,0,16496,48189,0,4.37,40.6,447,1279,0,20.9,0,150,0,0,40.6,3.57,0,20.9,15556,20.9,18383,38.5,26.2,0,175,0,29.0,3316
2023-03-11 10:14:00,0,69.3,24319,77642,0,4.03,66.4,499,2552,44.6,115,0,1863,62,0,65.7,3.90,0,119,1639,116,38304,382,32.3,0,1898,0,118,13794,69.3,0,39684,76367,0,3.90,41.4,595,1264,30.6,20.0,0,150,154,0,40.3,4.03,0,20.0,15578,20.0,18531,669,26.2,0,185,0,27.7,3932
2023-03-11 10:16:00,0,70.3,21547,50258,0,4.26,66.4,498,2549,44.5,115,0,1808,62.0,0,66.4,4.13,0,118,1582,115,38254,381,32.3,0,1833,0,118,16460,70.3,0,17291,51967,0,4.13,41.3,595,1262,30.5,19.9,0,191,154,0,41.0,4.26,0,25.7,15559,20.3,17921,668,26.2,0,202,0,33.1,3719
2023-03-11 10:18:00,0,70,21253,48813,0,4.27,66.1,295,2551,0,121,0,1740,0,0,66.1,3.67,0,124,1593,122,38327,19,32.3,0,1762,0,123,10974,70,0,16462,44745,0,4.13,41,447,1264,0,26.2,0,151,0,0,40.6,3.80,0,26.7,15602,26.3,18531,38.5,26.2,0,180,0,34.5,3202
2023-03-11 10:20:00,0,69.6,19288,47206,0,4.27,66.0,296,2548,0.600,120,0,1819,0,0,66.5,3.43,0,123,1584,121,38273,19.0,32.3,0,1833,0,123,14877,69.6,0,16497,49033,0,4.13,41.0,447,1261,0.600,20.9,0,177,0,0,41.0,3.57,0,20.9,15555,20.9,16471,38.5,26.2,0,199,0,29.0,3673
2023-03-11 10:22:00,0,69.6,20620,47816,0,4.50,66.8,296,2551,0,126,0,1685,0,0,66.4,3.43,0,124,1346,122,38142,19,32.3,0,1709,0,123,13585,69.6,0,16477,47089,0,4.37,41.4,447,1264,0,21.9,0,182,0,0,41,3.57,0,20.9,15436,20.9,17677,38.5,26.2,0,211,0,29.0,2918
2023-03-11 10:24:00,0,70.0,29630,83394,0,4.97,66.8,500,2551,43.5,126,0,1859,62.0,0,66.1,3.43,0,123,1628,122,38327,379,32.3,0,1887,0,123,12289,70.0,0,39776,74869,0,4.83,41.4,595,1270,30.6,21.9,0,174,155,0,41.0,3.57,0,20.9,15565,20.9,23843,669,26.2,0,211,0,29.0,3898
2023-03-11 10:26:00,0,71.1,22571,56066,0,4.97,66.4,501,2548,43.5,126,0,1820,62,0,65.3,3.43,0,130,1652,127,38339,379,32.3,0,1846,0,129,14866,71.1,0,21707,55636,0,4.83,41,595,1261,30.6,21.9,0,168,155,0,39.9,3.57,0,21.9,15639,21.9,18566,669,26.2,0,201,0,30.3,3682
2023-03-11 10:28:00,0,70.4,29927,58182,0,4.50,66.4,296,2552,0,121,0,1763,0,0,65.8,3.43,0,124,1590,122,38433,19,32.3,0,1776,0,123,11007,70.4,0,16555,44931,0,4.37,41,447,1264,0,20.9,0,166,0,0,40.3,3.57,0,20.9,15615,20.9,27215,38.5,26.2,0,182,0,29.0,3218
2023-03-11 10:30:00,0,70.0,20710,49185,0,4.27,65.3,296,2580,0.600,126,0,1911,0,0,66.5,3.43,0,141,1717,138,38373,19.0,32.3,0,1925,0,140,17361,70.0,0,16575,51990,0,4.13,39.9,447,1278,0.600,21.8,0,167,0,0,41.0,3.57,0,23.7,15641,23.7,17958,38.5,26.2,0,194,0,32.9,4093
2023-03-11 10:32:00,0,70.7,29156,56980,0,4.27,66.0,296,2551,0,121,0,1702,0,0,66.4,3.43,0,124,1553,122,38402,19.0,32.3,0,1718,0,123,13691,70.7,0,16549,47330,0,4.13,40.6,447,1264,0,20.9,0,160,0,0,41.0,3.57,0,20.9,15634,20.9,26458,38.5,26.2,0,183,0,29.0,2928
2023-03-11 10:34:00,0,69.6,22868,76184,0,4.66,66.8,501,2551,44.9,121,0,1862,62.0,0,66.4,3.43,0,119,1684,116,38320,382,32.3,0,1886,0,118,12256,69.6,0,39805,74725,0,4.13,41.4,596,1262,30.6,20.9,0,154,156,0,41.0,3.57,0,20.0,15613,20.0,17109,669,26.2,0,203,0,27.7,3891
2023-03-11 10:36:00,0,70.0,24419,63161,0,4.27,66.4,500,2551,44.9,121,0,1805,62.0,0,66.0,3.43,0,124,1633,122,38362,381,32.3,0,1818,0,123,14856,70.0,0,26499,61367,0,4.13,41.4,596,1264,30.6,20.9,0,174,156,0,40.6,3.57,0,20.9,15627,20.9,19942,669,26.2,0,188,0,29.0,3669
2023-03-11 10:38:00,0,70.4,21484,48990,0,4.27,66.8,295,2552,0,115,0,1756,0,0,66.1,3.43,0,119,1585,115,38372,19.0,32.7,0,1780,0,118,11034,70.4,0,16492,44769,0,4.13,41.7,447,1265,0,20.0,0,160,0,0,41.0,3.57,0,20.0,15629,20.0,18741,38.5,26.2,0,182,0,27.7,3205
2023-03-11 10:40:00,0.389,70.7,21488,49947,0,4.27,66.8,296,2581,0.600,121,0,1881,0,0,66.1,3.43,0,124,1636,122,38281,19,32.3,0,1908,0,123,15537,70.7,0.389,16525,50084,0,4.13,41.7,447,1279,0.600,20.9,0,160,0,0,41,3.57,0,20.9,15560,20.9,18671,38.5,26.2,0,203,0,29.0,4046
