"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05f9280b1f7d)","Transmit Total (lxc0ba74fa7007d)","Transmit Total (lxc25abdb9518a6)","Transmit Total (lxc2e15697085ba)","Transmit Total (lxc351b734952bf)","Transmit Total (lxc439d18cf1dfb)","Transmit Total (lxc455426f94f9c)","Transmit Total (lxc479ad4d1b42f)","Transmit Total (lxc48fb769fcb98)","Transmit Total (lxc51649e01d43c)","Transmit Total (lxc6652d1a74bef)","Transmit Total (lxc71c73856a325)","Transmit Total (lxc75487fceda84)","Transmit Total (lxc7de18daac863)","Transmit Total (lxc943bedc4eaa3)","Transmit Total (lxc958e3c40dcda)","Transmit Total (lxc9b6e428e64f8)","Transmit Total (lxc9c44d2cefee9)","Transmit Total (lxc_health)","Transmit Total (lxcf05a48dbfe36)","Transmit Total (lxcf1111066d3f9)","Transmit Total (lxcf6a76edb12f4)","Transmit Total (lxcfd79045a9c86)","Transmit Total (lxcffe99ab4c80b)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05f9280b1f7d)","Receive Total (lxc0ba74fa7007d)","Receive Total (lxc25abdb9518a6)","Receive Total (lxc2e15697085ba)","Receive Total (lxc351b734952bf)","Receive Total (lxc439d18cf1dfb)","Receive Total (lxc455426f94f9c)","Receive Total (lxc479ad4d1b42f)","Receive Total (lxc48fb769fcb98)","Receive Total (lxc51649e01d43c)","Receive Total (lxc6652d1a74bef)","Receive Total (lxc71c73856a325)","Receive Total (lxc75487fceda84)","Receive Total (lxc7de18daac863)","Receive Total (lxc943bedc4eaa3)","Receive Total (lxc958e3c40dcda)","Receive Total (lxc9b6e428e64f8)","Receive Total (lxc9c44d2cefee9)","Receive Total (lxc_health)","Receive Total (lxcf05a48dbfe36)","Receive Total (lxcf1111066d3f9)","Receive Total (lxcf6a76edb12f4)","Receive Total (lxcfd79045a9c86)","Receive Total (lxcffe99ab4c80b)"
2023-03-11 08:30:00,0,70.4,21565,49831,0,4.73,66.1,296,3155,0.600,132,0,2689,0,0.389,65.3,3.90,0,136,2079,133,39210,19,32.3,0.389,2426,0,135,21465,70.4,0,16511,58971,0,4.60,40.6,447,1292,0.600,22.8,0,196,0,0,39.9,4.03,0,22.8,16252,22.8,18841,38.5,26.2,0,228,0,32.0,3829
2023-03-11 08:32:00,0,69.3,22373,75558,0,4.27,66.1,499,2559,58.2,126,0,1881,62.7,0,65.3,3.90,0,130,1715,127,38697,343,32.7,0,1892,0,129,16638,69.3,0,39480,79268,0,4.13,40.6,596,1270,32.1,21.9,0,199,148,0,39.9,4.03,0,21.9,16044,22.2,16866,439,26.2,0,218,0,30.3,4082
2023-03-11 08:34:00,0,68.9,22110,58652,0,4.27,66.4,499,2555,58.2,110,0,1811,62.7,0,66.1,3.90,0,113,1643,111,38723,343,32.7,0,1826,0,112,11787,68.9,0,24591,55925,0,4.13,41.0,596,1266,32.1,19.0,0,183,148,0,40.6,4.03,0,19.0,16059,19.4,18008,440,26.2,0,194,0,26.3,3620
2023-03-11 08:36:00,0,69.6,20637,48323,0,4.50,66.1,296,2550,0,115,0.389,1739,0,0,66.4,3.90,0,113,1623,110,38714,19,32.3,0,1770,0,112,14379,69.6,0,16480,48204,0,4.37,41,447,1263,0,20.0,0,176,0,0,41,4.03,0,19,16056,19,17909,38.5,26.2,0,198,0,26.3,3373
2023-03-11 08:38:00,0,71.1,21300,49356,0,4.97,66.1,295,2552,0.600,121,0,1823,0,0,66.4,4.37,0,124,1675,122,38711,19,32.3,0,1845,0,123,11751,71.1,0,16428,45952,0,4.83,41.4,447,1266,0.600,20.9,0,189,0,0,41,4.50,0,20.9,16058,20.9,18607,38.5,26.2,0,234,0,29.0,3602
2023-03-11 08:40:00,0,70.4,26503,54380,0,4.73,66.1,295,2577,0,126,0,1705,0,0,66.1,4.13,0,130,1506,126,38694,19,32.3,0,1720,0,129,13971,70.4,0,16522,48042,0,4.60,41.4,447,1276,0,26.8,0,161,0,0,40.6,4.27,0,26.8,15968,26.8,23708,38.5,26.2,0,192,0,35.2,3065
2023-03-11 08:42:00,0.389,69.6,23849,77003,0,4.27,66.4,501,2551,51.5,132,0,1862,62.0,0,66.0,3.90,0,130,1648,127,38672,343,32.3,0,1888,0,129,15275,69.6,0.389,39489,77834,0,4.13,41.0,595,1264,30.6,27.7,0.389,173,156,0,40.6,4.03,0,21.8,15980,26.8,18188,535,26.2,0,195,0,30.3,3923
2023-03-11 08:44:00,0,71.1,32498,85871,0,4.66,66.0,501,2551,51.5,125,0,1811,62.0,0,65.7,3.67,0,130,1643,127,38782,343,32.3,0,1835,0,128,13254,71.1,0,39552,75426,0,4.13,40.6,595,1264,30.6,21.8,0,170,156,0,41.0,3.80,0,21.8,16029,21.8,26909,535,26.2,0,190,0,30.3,3616
2023-03-11 08:46:00,0,70.3,20401,48010,0,4.50,66.4,295,2549,0,126,0,1760,0,0,66.0,3.90,0,130,1602,127,38671,19.0,32.3,0,1767,0,129,15937,70.3,0,16471,49837,0,4.36,41.0,447,1267,0,21.8,0,158,0,0,41.0,4.03,0,21.8,16024,21.8,17658,38.5,26.2,0,178,0,30.3,3393
2023-03-11 08:48:00,0,69.6,28809,58162,0,4.97,67.1,295,7457,0.600,126,0,11499,0,0,66.4,3.90,0,130,5367,127,38851,19,32.3,0,6818,0,129,35511,69.6,0,16526,95446,0,4.83,41.7,447,1295,0.600,21.9,0,222,0,0,41,4.03,0,21.9,15924,21.9,26098,38.5,26.2,0,228,0,30.3,4257
2023-03-11 08:50:00,0,69.6,19894,47633,0,4.97,66.7,296,7629,0,115,0,11711,0,0,66.8,4.13,0,119,5346,116,38603,19,32.3,0,6900,0,118,38479,69.6,0,16513,98473,0,4.83,41.7,447,1289,0,20.0,0,228,0,0,41,4.27,0,20.0,15732,20.0,17128,38.5,26.2,0,268,0,27.7,3380
2023-03-11 08:52:00,0,70,25530,79363,0,4.27,66.1,501,2906,50.4,121,0,2522,62,0,66.8,4.13,0,124,1980,122,38464,338,32.3,0,2349,0,123,21580,70,0,39640,86050,0,4.13,41.4,595,1270,30.6,21.3,0,209,156,0,41,4.27,0,21.3,15646,20.9,19907,559,26.2,0,264,0,29.0,4280
2023-03-11 08:54:00,0,70.0,24298,77446,0,4.27,66.1,500,2557,50.4,126,0,1817,62.0,0,66.4,4.52,0,130,1622,127,38295,338,32.1,0,1829,0.389,129,13745,70.0,0,39586,80845,0,4.52,40.7,596,1266,30.6,22.2,0,175,156,0,41.4,4.27,0,22.2,15594,21.8,18649,559,26.0,0,225,0.389,30.3,3700
2023-03-11 08:56:00,0,69.6,21500,49260,0,4.27,66.4,296,2557,0,132,0,1768,0,0,66.4,4.52,0,135,1619,133,38326,19,32.3,0,1778,0.389,134,14342,69.6,0,16492,48229,0,4.52,40.6,447,1267,0,22.8,0,164,0,0,41,4.27,0,22.8,15632,22.8,18771,38.5,26.2,0,195,0.389,31.6,3360
2023-03-11 08:58:00,0,69.6,20606,48786,0,4.27,65.7,296,2548,0.600,125,0,1884,0.389,0,66.1,3.67,0,130,1675,126,38309,19.4,32.3,0,1898,0,129,12139,69.6,0,16459,46421,0,4.13,40.6,448,1261,0.600,21.9,0,173,0.389,0.389,41.0,3.80,0,21.9,15613,21.9,17853,38.5,26.2,0,201,0,30.3,3846
2023-03-11 09:00:00,0,69.6,21053,48306,0,4.27,66.1,296,2551,0.600,127,0,1683,0,0,66.1,3.67,0,130,1528,127,38299,19,32.3,0,1697,0,129,15408,69.6,0,16499,48992,0,4.13,41,447,1265,0.600,21.9,0,134,0,0,40.6,3.80,0,21.9,15618,21.9,18279,38.5,26.2,0.389,182,0,30.3,3007
2023-03-11 09:02:00,0,70,21804,74837,0,4.27,66.4,399,2551,20.3,132,0,1888,31,0,65.7,3.67,0,141,1698,138,38280,180,32.1,0,1897,0,140,15443,70,0,39303,77462,0,4.13,41.4,521,1264,14.4,22.8,0,172,77.9,0,40.3,3.80,0.389,23.8,15626,23.8,16511,317,26.0,0,192,0,32.9,3990
2023-03-11 09:04:00,0,69.3,23620,76410,0,4.27,66.1,501,2551,49.3,137,0,1817,62,0,66.1,3.90,0.389,141,1648,138,38331,368,32.1,0,1831,0,140,11688,69.3,0,39625,73864,0,4.13,41,596,1264,31.0,23.8,0,169,156,0,40.6,4.03,0,23.8,15620,23.8,17964,602,26.0,0,188,0,33.3,3602
2023-03-11 09:06:00,0,70,20443,48058,0,4.27,66.1,296,2580,0,132,0,1771,0,0,66.4,4.13,0,136,1620,133,38286,19,32.3,0.389,1789,0,134,14375,70,0,16492,48290,0,4.13,41.4,447,1279,0,22.8,0,151,0,0,41,4.27,0,22.8,15637,22.8,17693,38.5,26.2,0,176,0,31.6,3338
2023-03-11 09:08:00,0,70.4,21399,49692,0,4.27,66.4,296,2549,0.600,126,0,1864,0,0,66.4,4.37,0,141,1697,138,38319,19.0,32.3,0,1885,0,140,12148,70.4,0,16465,46522,0,4.13,41.4,447,1267,0.600,21.8,0,157,0,0,41.0,4.89,0,23.7,15626,23.7,18669,38.5,26.2,0,180,0,32.9,3886
2023-03-11 09:10:00,0,70.0,26525,54265,0,4.27,66.5,297,2553,0.600,121,0,1703,0,0.389,66.5,4.37,0,130,1558,127,38448,19.0,32.4,0,1717,0,129,13770,70.0,0,16594,47592,0,4.14,41.4,447,1265,0.600,20.9,0,164,0,0,41.0,4.50,0,21.9,15641,21.9,23799,38.5,26.2,0,186,0,30.3,3017
