"Time","Receive Errors (cilium_host)","Receive Errors (cilium_net)","Receive Errors (cilium_vxlan)","Receive Errors (eno1)","Receive Errors (eno2)","Receive Errors (lxc05f9280b1f7d)","Receive Errors (lxc0ba74fa7007d)","Receive Errors (lxc25abdb9518a6)","Receive Errors (lxc2e15697085ba)","Receive Errors (lxc351b734952bf)","Receive Errors (lxc439d18cf1dfb)","Receive Errors (lxc455426f94f9c)","Receive Errors (lxc479ad4d1b42f)","Receive Errors (lxc48fb769fcb98)","Receive Errors (lxc51649e01d43c)","Receive Errors (lxc6652d1a74bef)","Receive Errors (lxc71c73856a325)","Receive Errors (lxc75487fceda84)","Receive Errors (lxc7de18daac863)","Receive Errors (lxc943bedc4eaa3)","Receive Errors (lxc958e3c40dcda)","Receive Errors (lxc9b6e428e64f8)","Receive Errors (lxc9c44d2cefee9)","Receive Errors (lxc_health)","Receive Errors (lxcf05a48dbfe36)","Receive Errors (lxcf1111066d3f9)","Receive Errors (lxcf6a76edb12f4)","Receive Errors (lxcfd79045a9c86)","Receive Errors (lxcffe99ab4c80b)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05f9280b1f7d)","Receive Total (lxc0ba74fa7007d)","Receive Total (lxc25abdb9518a6)","Receive Total (lxc2e15697085ba)","Receive Total (lxc351b734952bf)","Receive Total (lxc439d18cf1dfb)","Receive Total (lxc455426f94f9c)","Receive Total (lxc479ad4d1b42f)","Receive Total (lxc48fb769fcb98)","Receive Total (lxc51649e01d43c)","Receive Total (lxc6652d1a74bef)","Receive Total (lxc71c73856a325)","Receive Total (lxc75487fceda84)","Receive Total (lxc7de18daac863)","Receive Total (lxc943bedc4eaa3)","Receive Total (lxc958e3c40dcda)","Receive Total (lxc9b6e428e64f8)","Receive Total (lxc9c44d2cefee9)","Receive Total (lxc_health)","Receive Total (lxcf05a48dbfe36)","Receive Total (lxcf1111066d3f9)","Receive Total (lxcf6a76edb12f4)","Receive Total (lxcfd79045a9c86)","Receive Total (lxcffe99ab4c80b)","Transmit Errors (cilium_host)","Transmit Errors (cilium_net)","Transmit Errors (cilium_vxlan)","Transmit Errors (eno1)","Transmit Errors (eno2)","Transmit Errors (lxc05f9280b1f7d)","Transmit Errors (lxc0ba74fa7007d)","Transmit Errors (lxc25abdb9518a6)","Transmit Errors (lxc2e15697085ba)","Transmit Errors (lxc351b734952bf)","Transmit Errors (lxc439d18cf1dfb)","Transmit Errors (lxc455426f94f9c)","Transmit Errors (lxc479ad4d1b42f)","Transmit Errors (lxc48fb769fcb98)","Transmit Errors (lxc51649e01d43c)","Transmit Errors (lxc6652d1a74bef)","Transmit Errors (lxc71c73856a325)","Transmit Errors (lxc75487fceda84)","Transmit Errors (lxc7de18daac863)","Transmit Errors (lxc943bedc4eaa3)","Transmit Errors (lxc958e3c40dcda)","Transmit Errors (lxc9b6e428e64f8)","Transmit Errors (lxc9c44d2cefee9)","Transmit Errors (lxc_health)","Transmit Errors (lxcf05a48dbfe36)","Transmit Errors (lxcf1111066d3f9)","Transmit Errors (lxcf6a76edb12f4)","Transmit Errors (lxcfd79045a9c86)","Transmit Errors (lxcffe99ab4c80b)","Receive Dropped (cilium_host)","Receive Dropped (cilium_net)","Receive Dropped (cilium_vxlan)","Receive Dropped (eno1)","Receive Dropped (eno2)","Receive Dropped (lxc05f9280b1f7d)","Receive Dropped (lxc0ba74fa7007d)","Receive Dropped (lxc25abdb9518a6)","Receive Dropped (lxc2e15697085ba)","Receive Dropped (lxc351b734952bf)","Receive Dropped (lxc439d18cf1dfb)","Receive Dropped (lxc455426f94f9c)","Receive Dropped (lxc479ad4d1b42f)","Receive Dropped (lxc48fb769fcb98)","Receive Dropped (lxc51649e01d43c)","Receive Dropped (lxc6652d1a74bef)","Receive Dropped (lxc71c73856a325)","Receive Dropped (lxc75487fceda84)","Receive Dropped (lxc7de18daac863)","Receive Dropped (lxc943bedc4eaa3)","Receive Dropped (lxc958e3c40dcda)","Receive Dropped (lxc9b6e428e64f8)","Receive Dropped (lxc9c44d2cefee9)","Receive Dropped (lxc_health)","Receive Dropped (lxcf05a48dbfe36)","Receive Dropped (lxcf1111066d3f9)","Receive Dropped (lxcf6a76edb12f4)","Receive Dropped (lxcfd79045a9c86)","Receive Dropped (lxcffe99ab4c80b)","Transmit Dropped (cilium_host)","Transmit Dropped (cilium_net)","Transmit Dropped (cilium_vxlan)","Transmit Dropped (eno1)","Transmit Dropped (eno2)","Transmit Dropped (lxc05f9280b1f7d)","Transmit Dropped (lxc0ba74fa7007d)","Transmit Dropped (lxc25abdb9518a6)","Transmit Dropped (lxc2e15697085ba)","Transmit Dropped (lxc351b734952bf)","Transmit Dropped (lxc439d18cf1dfb)","Transmit Dropped (lxc455426f94f9c)","Transmit Dropped (lxc479ad4d1b42f)","Transmit Dropped (lxc48fb769fcb98)","Transmit Dropped (lxc51649e01d43c)","Transmit Dropped (lxc6652d1a74bef)","Transmit Dropped (lxc71c73856a325)","Transmit Dropped (lxc75487fceda84)","Transmit Dropped (lxc7de18daac863)","Transmit Dropped (lxc943bedc4eaa3)","Transmit Dropped (lxc958e3c40dcda)","Transmit Dropped (lxc9b6e428e64f8)","Transmit Dropped (lxc9c44d2cefee9)","Transmit Dropped (lxc_health)","Transmit Dropped (lxcf05a48dbfe36)","Transmit Dropped (lxcf1111066d3f9)","Transmit Dropped (lxcf6a76edb12f4)","Transmit Dropped (lxcfd79045a9c86)","Transmit Dropped (lxcffe99ab4c80b)","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05f9280b1f7d)","Transmit Total (lxc0ba74fa7007d)","Transmit Total (lxc25abdb9518a6)","Transmit Total (lxc2e15697085ba)","Transmit Total (lxc351b734952bf)","Transmit Total (lxc439d18cf1dfb)","Transmit Total (lxc455426f94f9c)","Transmit Total (lxc479ad4d1b42f)","Transmit Total (lxc48fb769fcb98)","Transmit Total (lxc51649e01d43c)","Transmit Total (lxc6652d1a74bef)","Transmit Total (lxc71c73856a325)","Transmit Total (lxc75487fceda84)","Transmit Total (lxc7de18daac863)","Transmit Total (lxc943bedc4eaa3)","Transmit Total (lxc958e3c40dcda)","Transmit Total (lxc9b6e428e64f8)","Transmit Total (lxc9c44d2cefee9)","Transmit Total (lxc_health)","Transmit Total (lxcf05a48dbfe36)","Transmit Total (lxcf1111066d3f9)","Transmit Total (lxcf6a76edb12f4)","Transmit Total (lxcfd79045a9c86)","Transmit Total (lxcffe99ab4c80b)"
2023-03-11 14:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644,0,8.78,73.1,0,0.0667,0.544,3.33,6.86,0.0111,0.256,0,2.06,0,0,0.533,0.0500,0,0.256,5.66,0.256,13.7,0.106,0.322,0,2.44,0,0.383,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644,10.5,79.3,0,0.0667,0.989,3.35,7.83,0.0111,0.256,0,2.79,0,0,0.978,0.0500,0,0.256,5.97,0.256,12.5,0.200,0.389,0,2.93,0,0.256,22.6
2023-03-11 14:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650,0,7.76,70.4,0,0.0667,0.550,3.33,6.92,0.00556,0.244,0,1.96,0,0,0.533,0.0500,0,0.267,6.57,0.267,12.7,0.100,0.322,0,2.47,0,0.406,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650,8.88,73.2,0,0.0667,0.989,3.34,7.91,0,0.244,0,2.84,0,0,0.983,0.0500,0,0.267,6.73,0.267,12.3,0.200,0.389,0,3.02,0,0.267,23.4
2023-03-11 14:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,31.0,125,0,0.0667,0.550,4.25,6.97,0.267,0.267,0,1.91,0.411,0,0.533,0.0500,0,0.267,6.72,0.267,14.7,1.94,0.333,0,2.24,0,0.400,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,31.0,129,0,0.0667,1,4.31,7.94,0.322,0.267,0,2.75,0.333,0.00556,0.983,0.0556,0,0.267,7.13,0.267,13.6,2.09,0.400,0,2.98,0,0.272,23.4
2023-03-11 14:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,29.4,120,0,0.0667,0.544,4.26,6.88,0.267,0.233,0,1.88,0.411,0,0.539,0.0500,0,0.244,6.16,0.244,12.1,1.94,0.333,0,2.29,0,0.367,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,28.9,120,0,0.0667,0.994,4.30,7.84,0.322,0.233,0,2.78,0.333,0,0.989,0.0500,0,0.244,6.40,0.244,11.6,2.09,0.400,0,3.09,0,0.244,21.9
2023-03-11 14:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,8.45,74.7,0,0.0667,0.545,3.33,6.85,0,0.244,0,2.02,0,0,0.545,0.0500,0,0.244,6.57,0.244,13.7,0.100,0.328,0,2.38,0,0.367,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,9.92,79.9,0,0.0667,0.995,3.33,7.83,0,0.244,0,2.71,0,0,0.995,0.0500,0,0.244,6.73,0.244,12.9,0.200,0.394,0,2.95,0,0.244,23.7
2023-03-11 14:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,7.46,68.6,0,0.0778,0.545,3.33,6.88,0.0111,0.244,0,1.96,0,0,0.539,0.0500,0,0.233,6.11,0.233,11.6,0.100,0.322,0,2.38,0,0.350,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,8.18,72.1,0,0.0778,0.995,3.33,7.85,0.0111,0.244,0,2.78,0,0,0.989,0.0500,0,0.233,6.20,0.233,11.6,0.200,0.389,0.00556,3.04,0,0.233,22.3
2023-03-11 14:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634,0,8.19,68.8,0,0.0834,0.545,3.34,6.87,0.00556,0.245,0,2.16,0,0,0.545,0.0500,0,0.245,6.66,0.245,13.4,0.100,0.328,0,2.49,0,0.367,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634,9.17,75.8,0,0.0834,0.990,3.36,7.84,0.00556,0.245,0,2.65,0,0,0.990,0.0500,0,0.245,7.02,0.245,12.8,0.200,0.395,0.00556,2.91,0,0.245,22.9
2023-03-11 14:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,29.9,122,0,0.0833,0.544,4.25,6.96,0.267,0.244,0,2.14,0.433,0,0.550,0.0556,0,0.244,5.68,0.250,11.5,1.94,0.333,0,2.58,0,0.367,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,29.0,123,0,0.0833,0.994,4.35,7.93,0.378,0.244,0,2.64,0.333,0,0.989,0.0556,0,0.244,5.89,0.244,11.4,2.19,0.400,0,2.97,0,0.244,23.2
2023-03-11 14:28:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,29.7,118,0,0.0833,0.544,4.25,6.88,0.267,0.256,0,2.09,0.433,0,0.539,0.0556,0,0.256,5.70,0.261,11.5,1.94,0.333,0,2.57,0,0.383,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,28.9,122,0,0.0833,0.994,4.33,7.84,0.378,0.256,0,2.63,0.333,0,0.983,0.0556,0,0.256,5.87,0.256,11.3,2.19,0.400,0,2.95,0,0.256,21.7
2023-03-11 14:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,7.74,72.6,0,0.0833,0.544,3.33,6.84,0,0.267,0,2.19,0,0,0.539,0.0556,0,0.256,6.64,0.256,12.3,0.100,0.333,0,2.47,0,0.383,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,8.59,74.1,0,0.0889,0.989,3.34,7.82,0,0.267,0,2.61,0,0,0.989,0.0556,0,0.256,6.74,0.256,12.1,0.200,0.400,0,2.85,0,0.256,23.9
2023-03-11 14:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650,0,7.56,68.2,0,0.0667,0.550,3.33,6.88,0.0111,0.256,0,1.99,0,0,0.533,0.0611,0,0.256,6.63,0.256,12.6,0.1000,0.333,0,2.31,0,0.383,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650,8.60,71.3,0,0.0667,0.994,3.33,7.85,0.0111,0.256,0,2.58,0,0,0.983,0.0611,0,0.256,6.81,0.256,12.2,0.200,0.400,0,2.93,0,0.256,21.9
2023-03-11 14:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0,7.19,68.3,0,0.0667,0.539,3.33,6.87,0.0111,0.256,0,2.06,0,0,0.528,0.0667,0,0.256,6.65,0.256,12.5,0.100,0.333,0,2.26,0,0.383,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,8.33,71.7,0,0.0667,0.989,3.33,7.84,0.0111,0.256,0,2.75,0,0,0.978,0.0667,0,0.256,7.13,0.256,11.9,0.200,0.400,0,3.01,0,0.256,22.8
2023-03-11 14:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,0,23.9,113,0,0.0667,0.539,3.33,6.93,0,0.256,0,1.93,0,0,0.533,0.0611,0,0.256,6.62,0.256,12.7,0.1000,0.333,0,2.41,0,0.383,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633,23.6,113,0,0.0667,0.989,3.33,7.92,0,0.256,0,2.67,0,0,0.983,0.0611,0,0.256,7.04,0.256,12.1,0.200,0.400,0,2.96,0,0.256,23.1
2023-03-11 14:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,29.2,117,0,0.0667,0.550,4.27,6.84,0.267,0.244,0,1.90,0.394,0,0.539,0.0500,0,0.244,6.66,0.244,12.6,1.94,0.333,0,2.46,0,0.367,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,28.8,120,0,0.0667,1,4.30,7.82,0.311,0.244,0,2.63,0.333,0,0.989,0.0500,0,0.244,6.97,0.244,12.0,2.09,0.400,0,2.88,0,0.244,21.4
2023-03-11 14:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0,7.77,73.4,0,0.0667,0.550,3.33,6.91,0,0.233,0,2.03,0,0,0.533,0.0500,0,0.233,5.62,0.233,11.8,0.100,0.328,0,2.57,0,0.350,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,8.89,74.2,0,0.0667,1,3.33,7.87,0,0.233,0,2.78,0,0,0.983,0.0500,0,0.233,5.88,0.233,11.4,0.200,0.394,0,2.84,0,0.233,23.5
2023-03-11 14:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,8.51,71.7,0,0.0667,0.550,3.33,6.89,0.0111,0.233,0,2.05,0,0,0.539,0.0611,0,0.233,5.56,0.233,12.3,0.100,0.317,0,2.41,0,0.350,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,9.18,76.2,0,0.0667,1,3.33,7.86,0.0111,0.233,0,2.74,0,0,0.989,0.0611,0,0.233,5.78,0.233,12.2,0.200,0.383,0,2.86,0,0.233,21.9
2023-03-11 14:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0.00555,7.58,69.7,0,0.0667,0.550,3.32,6.84,0.0111,0.233,0,1.94,0,0,0.550,0.0667,0,0.244,5.73,0.244,11.6,0.1000,0.317,0,2.47,0,0.367,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555,0.639,8.46,73.5,0,0.0667,1.000,3.34,7.82,0.0111,0.233,0,2.63,0,0,0.994,0.0667,0,0.244,6.02,0.244,11.3,0.200,0.383,0,2.98,0,0.244,22.8
2023-03-11 14:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,0.00556,21.6,106,0,0.0667,0.544,3.33,6.92,0,0.256,0,1.98,0,0,0.544,0.0611,0,0.244,6.67,0.244,14.2,0.100,0.328,0,2.24,0,0.367,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556,0.622,22.2,111,0,0.0667,0.989,3.34,7.91,0,0.256,0,2.62,0,0,0.994,0.0611,0,0.244,7.04,0.244,13.2,0.200,0.394,0,2.94,0,0.244,23.2
2023-03-11 14:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,29.6,117,0,0.0667,0.545,4.26,6.86,0.267,0.267,0,1.95,0.444,0,0.539,0.0500,0,0.244,5.36,0.244,11.5,1.94,0.333,0,2.29,0,0.367,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,29.1,120,0,0.0667,0.989,4.34,7.83,0.372,0.267,0.00556,2.64,0.333,0,0.995,0.0500,0,0.244,5.58,0.244,10.8,2.16,0.406,0,2.89,0,0.244,21.3
2023-03-11 14:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,8.83,72.6,0,0.0667,0.544,3.34,6.90,0,0.244,0,1.97,0,0,0.533,0.0500,0,0.244,4.35,0.244,11.6,0.100,0.333,0,2.47,0,0.367,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,10.4,79.2,0,0.0667,0.994,3.35,7.87,0,0.244,0.00556,2.68,0,0,0.989,0.0500,0,0.244,4.14,0.244,11.0,0.200,0.406,0,3.03,0,0.244,23.4
2023-03-11 14:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,7.50,70.1,0,0.0667,0.539,3.33,6.88,0.0111,0.256,0,2.12,0,0,0.539,0.0556,0,0.256,6.02,0.256,11.5,0.100,0.333,0,2.69,0,0.383,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,8.31,72.7,0,0.0667,0.989,3.34,7.84,0.0111,0.256,0,2.57,0,0,0.989,0.0556,0,0.256,5.97,0.256,11.4,0.200,0.400,0,3.09,0,0.256,22.7
2023-03-11 14:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,0,7.99,66.6,0,0.0667,0.555,3.33,6.84,0.0111,0.256,0,2.02,0,0.00555,0.544,0.0667,0,0.267,6.78,0.267,13.3,0.1000,0.333,0,2.67,0,0.400,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,9.20,74.4,0,0.0667,1.000,3.34,7.82,0.0111,0.256,0,2.66,0,0,0.994,0.0667,0,0.267,6.93,0.267,12.6,0.200,0.400,0,2.81,0.00555,0.267,21.5
2023-03-11 14:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,16.9,94.9,0,0.0667,0.550,3.33,6.96,0,0.244,0,2.12,0,0,0.544,0.0611,0,0.244,5.69,0.244,11.7,0.100,0.333,0,2.70,0,0.367,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,17.1,96.4,0,0.0667,1,3.34,7.93,0,0.244,0,2.77,0,0,0.989,0.0611,0,0.244,5.98,0.244,11.3,0.200,0.400,0,2.76,0,0.244,23.1
