"Time","sum({__name__=~""node_memory_MemTotal_bytes|windows_cs_physical_memory_bytes""}) - sum({__name__=~""node_memory_MemAvailable_bytes|windows_os_physical_memory_free_bytes""})"
2023-03-16 18:00:00,11714473984
2023-03-16 18:20:00,11670749184
2023-03-16 18:40:00,11822575616
2023-03-16 19:00:00,11905744896
2023-03-16 19:20:00,11587616768
2023-03-16 19:40:00,11795464192
2023-03-16 20:00:00,11850432512
2023-03-16 20:20:00,11729833984
2023-03-16 20:40:00,11708981248
2023-03-16 21:00:00,11798978560
2023-03-16 21:20:00,11884548096
2023-03-16 21:40:00,11964694528
2023-03-16 22:00:00,11638497280
2023-03-16 22:20:00,11855720448
2023-03-16 22:40:00,11655553024
2023-03-16 23:00:00,11574456320
2023-03-16 23:20:00,11593281536
2023-03-16 23:40:00,11792035840
2023-03-17 00:00:00,11582976000
2023-03-17 00:20:00,11994910720
2023-03-17 00:40:00,11951968256
2023-03-17 01:00:00,11702882304
2023-03-17 01:20:00,11846242304
2023-03-17 01:40:00,11663454208
2023-03-17 02:00:00,11820453888
2023-03-17 02:20:00,11591565312
2023-03-17 02:40:00,11653718016
2023-03-17 03:00:00,11744428032
2023-03-17 03:20:00,11791069184
2023-03-17 03:40:00,11978924032
2023-03-17 04:00:00,11637485568
2023-03-17 04:20:00,11636187136
2023-03-17 04:40:00,11687858176
2023-03-17 05:00:00,11866783744
2023-03-17 05:20:00,11604590592
2023-03-17 05:40:00,11687387136
2023-03-17 06:00:00,11775127552
2023-03-17 06:20:00,11840704512
2023-03-17 06:40:00,11898036224
2023-03-17 07:00:00,11689324544
2023-03-17 07:20:00,11835293696
2023-03-17 07:40:00,11804078080
2023-03-17 08:00:00,11891449856
2023-03-17 08:20:00,11627401216
2023-03-17 08:40:00,11788046336
2023-03-17 09:00:00,11650174976
2023-03-17 09:20:00,11884580864
2023-03-17 09:40:00,11978915840
2023-03-17 10:00:00,11742642176
2023-03-17 10:20:00,11613642752
2023-03-17 10:40:00,11782086656
2023-03-17 11:00:00,11809107968
2023-03-17 11:20:00,11797512192
2023-03-17 11:40:00,11698929664
2023-03-17 12:00:00,11583787008
2023-03-17 12:20:00,11608006656
2023-03-17 12:40:00,11649339392
2023-03-17 13:00:00,11746508800
2023-03-17 13:20:00,12005556224
2023-03-17 13:40:00,11828162560
2023-03-17 14:00:00,11844009984
2023-03-17 14:20:00,11754250240
2023-03-17 14:40:00,11802099712
2023-03-17 15:00:00,11806859264
2023-03-17 15:20:00,11677921280
2023-03-17 15:40:00,11785506816
2023-03-17 16:00:00,11606433792
2023-03-17 16:20:00,11961425920
2023-03-17 16:40:00,11892944896
2023-03-17 17:00:00,11954495488
2023-03-17 17:20:00,11836235776
2023-03-17 17:40:00,11639074816
2023-03-17 18:00:00,11560357888
2023-03-17 18:20:00,11629813760
2023-03-17 18:40:00,11830554624
2023-03-17 19:00:00,11848704000
2023-03-17 19:20:00,11973603328
2023-03-17 19:40:00,11998715904
2023-03-17 20:00:00,11868282880
2023-03-17 20:20:00,11819896832
2023-03-17 20:40:00,11796066304
2023-03-17 21:00:00,11883442176
2023-03-17 21:20:00,11609296896
2023-03-17 21:40:00,11613188096
2023-03-17 22:00:00,11751489536
2023-03-17 22:20:00,11797610496
2023-03-17 22:40:00,11878985728
2023-03-17 23:00:00,11766079488
2023-03-17 23:20:00,11551563776
2023-03-17 23:40:00,11910131712
2023-03-18 00:00:00,11792781312

