"Time","Receive Errors (172.16.66.87:9796)","Receive Errors (172.16.66.90:9796)","Receive Errors (172.16.66.91:9796)","Receive Total (172.16.66.87:9796)","Receive Total (172.16.66.90:9796)","Receive Total (172.16.66.91:9796)","Transmit Errors (172.16.66.87:9796)","Transmit Errors (172.16.66.90:9796)","Transmit Errors (172.16.66.91:9796)","Receive Dropped (172.16.66.87:9796)","Receive Dropped (172.16.66.90:9796)","Receive Dropped (172.16.66.91:9796)","Transmit Dropped (172.16.66.87:9796)","Transmit Dropped (172.16.66.90:9796)","Transmit Dropped (172.16.66.91:9796)","Transmit Total (172.16.66.87:9796)","Transmit Total (172.16.66.90:9796)","Transmit Total (172.16.66.91:9796)"
2023-03-04 12:56:00,0,0,0,220,158,128,0,0,0,0,0,0,0,0,0,221,148,157
2023-03-04 12:58:00,0,0,0,203,159,120,0,0,0,0,0,0,0,0,0,200,151,148
2023-03-04 13:00:00,0,0,0,204,163,131,0,0,0,0,0,0,0,0,0,211,154,152
2023-03-04 13:02:00,0,0,0,203,160,121,0,0,0,0,0,0,0,0,0,204,149,150
2023-03-04 13:04:00,0,0,0,276,227,127,0,0,0,0,0,0,0,0,0,285,216,156
2023-03-04 13:06:00,0,0,0,235,164,126,0,0,0,0,0,0,0,0,0,240,152,155
2023-03-04 13:08:00,0,0,0,206,160,119,0,0,0,0,0,0,0,0,0,203,149,147
2023-03-04 13:10:00,0,0,0,211,168,126,0,0,0,0,0,0,0,0,0,207,153,150
2023-03-04 13:12:00,0,0,0,207,160,124,0,0,0,0,0,0,0,0,0,206,150,151
2023-03-04 13:14:00,0,0,0,279,227,126,0,0,0,0,0,0,0,0,0,287,216,156
2023-03-04 13:16:00,0,0,0,249,160,129,0,0,0,0,0,0,0,0,0,252,149,157
2023-03-04 13:18:00,0,0,0,206,185,123,0,0,0,0,0,0,0,0,0,202,167,150
2023-03-04 13:20:00,0,0,0,217,188,122,0,0,0,0,0,0,0,0,0,226,168,151
2023-03-04 13:22:00,0,0,0,206,159,122,0,0,0,0,0,0,0,0,0,204,149,152
2023-03-04 13:24:00,0,0,0,277,222,127,0,0,0,0,0,0,0,0,0,285,214,158
2023-03-04 13:26:00,0,0,0,264,163,128,0,0,0,0,0,0,0,0,0,273,153,157
2023-03-04 13:28:00,0,0,0,206,163,125,0,0,0,0,0,0,0,0,0,204,157,153
2023-03-04 13:30:00,0,0,0,209,165,124,0,0,0,0,0,0,0,0,0,209,156,152
2023-03-04 13:32:00,0,0,0,203,162,122,0,0,0,0,0,0,0,0,0,200,153,151
2023-03-04 13:34:00,0,0,0,275,222,126,0,0,0,0,0,0,0,0,0,283,213,156
2023-03-04 13:36:00,0,0,0,277,181,129,0,0,0,0,0,0,0,0,0,287,169,158
2023-03-04 13:38:00,0,0,0,218,185,120,0,0,0,0,0,0,0,0,0,221,165,150
2023-03-04 13:40:00,0,0,0,223,194,125,0,0,0,0,0,0,0,0,0,226,167,150
2023-03-04 13:42:00,0,0,0,213,165,129,0,0,0,0,0,0,0,0,0,203,148,150
2023-03-04 13:44:00,0,0,0,278,224,130,0,0,0,0,0,0,0,0,0,286,216,159
2023-03-04 13:46:00,0,0,0,276,191,130,0,0,0,0,0,0,0,0,0,288,181,159
2023-03-04 13:48:00,0,0,0,204,159,121,0,0,0,0,0,0,0,0,0,200,152,150
2023-03-04 13:50:00,0,0,0,208,167,122,0,0,0,0,0,0,0,0,0,209,157,151
2023-03-04 13:52:00,0,0,0,201,159,127,0,0,0,0,0,0,0,0,0,210,149,150
2023-03-04 13:54:00,0,0,0,275,224,128,0,0,0,0,0,0,0,0,0,285,216,158
2023-03-04 13:56:00,0,0,0,276,203,131,0,0,0,0,0,0,0,0,0,287,194,160
2023-03-04 13:58:00,0,0,0,203,157,117,0,0,0,0,0,0,0,0,0,200,150,148
2023-03-04 14:00:00,0,0,0,208,167,119,0,0,0,0,0,0,0,0,0,207,155,148
2023-03-04 14:02:00,0,0,0,204,161,123,0,0,0,0,0,0,0,0,0,202,149,150
2023-03-04 14:04:00,0,0,0,268,226,129,0,0,0,0,0,0,0,0,0,277,216,157
2023-03-04 14:06:00,0,0,0,288,252,130,0,0,0,0,0,0,0,0,0,310,228,158
2023-03-04 14:08:00,0,0,0,213,186,121,0,0,0,0,0,0,0,0,0,216,168,149
2023-03-04 14:10:00,0,0,0,207,165,121,0,0,0,0,0,0,0,0,0,205,153,148
2023-03-04 14:12:00,0,0,0,204,157,120,0,0,0,0,0,0,0,0,0,202,146,149
2023-03-04 14:14:00,0,0,0,254,222,117,0,0,0,0,0,0,0,0,0,259,213,147
2023-03-04 14:16:00,0,0,0,280,227,128,0,0,0,0,0,0,0,0,0,291,216,157
2023-03-04 14:18:00,0,0,0,205,159,122,0,0,0,0,0,0,0,0,0,198,152,151
2023-03-04 14:20:00,0,0,0,209,167,124,0,0,0,0,0,0,0,0,0,208,156,151
2023-03-04 14:22:00,0,0,0,204,160,124,0,0,0,0,0,0,0,0,0,205,151,152
2023-03-04 14:24:00,0,0,0,237,224,122,0,0,0,0,0,0,0,0,0,243,217,150
2023-03-04 14:26:00,0,0,0,280,229,130,0,0,0,0,0,0,0,0,0,290,218,158
2023-03-04 14:28:00,0,0,0,206,183,122,0,0,0,0,0,0,0,0,0,198,165,150
2023-03-04 14:30:00,0,0,0,216,189,123,0,0,0,0,0,0,0,0,0,223,169,151
2023-03-04 14:32:00,0,0,0,202,157,119,0,0,0,0,0,0,0,0,0,203,147,149
2023-03-04 14:34:00,0,0,0,223,221,116,0,0,0,0,0,0,0,0,0,225,213,147
2023-03-04 14:36:00,0,0,0,281,234,127,0,0,0,0,0,0,0,0,0,292,221,156
2023-03-04 14:38:00,0,0,0,206,157,126,0,0,0,0,0,0,0,0,0,210,149,150
2023-03-04 14:40:00,0,0,0,206,163,131,0,0,0,0,0,0,0,0,0,215,154,153
2023-03-04 14:42:00,0,0,0,205,158,120,0,0,0,0,0,0,0,0,0,205,148,149
2023-03-04 14:44:00,0,0,0,209,215,117,0,0,0,0,0,0,0,0,0,210,206,147
2023-03-04 14:46:00,0,0,0,275,254,125,0,0,0,0,0,0,0,0,0,287,232,155
2023-03-04 14:48:00,0,0,0,211,179,117,0,0,0,0,0,0,0,0,0,216,160,148
2023-03-04 14:50:00,0,0,0,207,164,118,0,0,0,0,0,0,0,0,0,208,153,148
2023-03-04 14:52:00,0,0,0,204,160,120,0,0,0,0,0,0,0,0,0,207,149,150
2023-03-04 14:54:00,0,0,0,199,199,118,0,0,0,0,0,0,0,0,0,198,191,149
2023-03-04 14:56:00,0,0,0,281,231,128,0,0,0,0,0,0,0,0,0,290,219,157
2023-03-04 14:58:00,0,0,0,205,158,121,0,0,0,0,0,0,0,0,0,200,151,150
2023-03-04 15:00:00,0,0,0,205,164,122,0,0,0,0,0,0,0,0,0,206,155,150
2023-03-04 15:02:00,0,0,0,205,158,121,0,0,0,0,0,0,0,0,0,206,148,149
2023-03-04 15:04:00,0,0,0,204,190,122,0,0,0,0,0,0,0,0,0,199,183,151
2023-03-04 15:06:00,0,0,0,283,235,132,0,0,0,0,0,0,0,0,0,293,223,160
2023-03-04 15:08:00,0,0,0,204,156,119,0,0,0,0,0,0,0,0,0,200,149,149
2023-03-04 15:10:00,0,0,0,206,162,121,0,0,0,0,0,0,0,0,0,205,152,150
2023-03-04 15:12:00,0,0,0,204,186,122,0,0,0,0,0,0,0,0,0,206,163,150
2023-03-04 15:14:00,0,0,0,209,199,117,0,0,0,0,0,0,0,0,0,216,180,148
2023-03-04 15:16:00,0,0,0,279,226,126,0,0,0,0,0,0,0,0,0,288,214,155
2023-03-04 15:18:00,0,0,0,205,157,118,0,0,0,0,0,0,0,0,0,199,148,146
2023-03-04 15:20:00,0,0,0,209,165,122,0,0,0,0,0,0,0,0,0,209,154,150
2023-03-04 15:22:00,0,0,0,208,164,125,0,0,0,0,0,0,0,0,0,209,154,154
2023-03-04 15:24:00,0,0,0,202,158,119,0,0,0,0,0,0,0,0,0,200,151,149
2023-03-04 15:26:00,0,0,0,275,227,129,0,0,0,0,0,0,0,0,0,288,215,157
2023-03-04 15:28:00,0,0,0,215,157,119,0,0,0,0,0,0,0,0,0,213,149,149
2023-03-04 15:30:00,0,0,0,206,164,119,0,0,0,0,0,0,0,0,0,207,155,149
2023-03-04 15:32:00,0,0,0,204,163,129,0,0,0,0,0,0,0,0,0,213,151,152
2023-03-04 15:34:00,0,0,0,209,180,127,0,0,0,0,0,0,0,0,0,222,160,149
2023-03-04 15:36:00,0,0,0,281,233,128,0,0,0,0,0,0,0,0,0,293,219,156
2023-03-04 15:38:00,0,0,0,232,158,128,0,0,0,0,0,0,0,0,0,230,149,156
2023-03-04 15:40:00,0,0,0,209,166,124,0,0,0,0,0,0,0,0,0,203,156,151
2023-03-04 15:42:00,0,0,0,208,164,122,0,0,0,0,0,0,0,0,0,204,152,149
2023-03-04 15:44:00,0,0,0,202,157,120,0,0,0,0,0,0,0,0,0,199,147,147
2023-03-04 15:46:00,0,0,0,281,232,130,0,0,0,0,0,0,0,0,0,289,218,157
2023-03-04 15:48:00,0,0,0,246,160,130,0,0,0,0,0,0,0,0,0,246,151,157
2023-03-04 15:50:00,0,0,0,209,171,126,0,0,0,0,0,0,0,0,0,205,157,152
2023-03-04 15:52:00,0,0,0,212,168,127,0,0,0,0,0,0,0,0,0,207,153,150
2023-03-04 15:54:00,0,0,0,203,158,120,0,0,0,0,0,0,0,0,0,198,148,148
2023-03-04 15:56:00,0,0,0,281,229,129,0,0,0,0,0,0,0,0,0,290,216,156
2023-03-04 15:58:00,0,0,0,262,163,131,0,0,0,0,0,0,0,0,0,262,150,156
2023-03-04 16:00:00,0,0,0,218,192,123,0,0,0,0,0,0,0,0,0,220,167,148
2023-03-04 16:02:00,0,0,0,217,190,124,0,0,0,0,0,0,0,0,0,223,167,151
2023-03-04 16:04:00,0,0,0,204,160,121,0,0,0,0,0,0,0,0,0,199,150,149
2023-03-04 16:06:00,0,0,0,283,235,133,0,0,0,0,0,0,0,0,0,294,220,158
2023-03-04 16:08:00,0,0,0,270,169,131,0,0,0,0,0,0,0,0,0,276,159,158
2023-03-04 16:10:00,0,0,0,208,168,124,0,0,0,0,0,0,0,0,0,205,156,150
2023-03-04 16:12:00,0,0,0,208,169,126,0,0,0,0,0,0,0,0,0,208,156,152
2023-03-04 16:14:00,0,0,0,205,160,124,0,0,0,0,0,0,0,0,0,201,151,151
2023-03-04 16:16:00,0,0,0,278,231,133,0,0,0,0,0,0,0,0,0,288,218,158
2023-03-04 16:18:00,0,0,0,281,182,132,0,0,0,0,0,0,0,0,0,284,169,157
2023-03-04 16:20:00,0,0,0,209,166,122,0,0,0,0,0,0,0,0,0,204,152,148
2023-03-04 16:22:00,0,0,0,207,166,125,0,0,0,0,0,0,0,0,0,205,153,151
2023-03-04 16:24:00,0,0,0,204,157,128,0,0,0,0,0,0,0,0,0,208,147,150
2023-03-04 16:26:00,0,0,0,282,232,140,0,0,0,0,0,0,0,0,0,296,219,159
2023-03-04 16:28:00,0,0,0,287,220,129,0,0,0,0,0,0,0,0,0,301,197,156
2023-03-04 16:30:00,0,0,0,215,190,122,0,0,0,0,0,0,0,0,0,221,168,149
2023-03-04 16:32:00,0,0,0,204,164,124,0,0,0,0,0,0,0,0,0,205,152,151
2023-03-04 16:34:00,0,0,0,209,158,123,0,0,0,0,0,0,0,0,0,204,148,151
2023-03-04 16:36:00,0,0,0,280,231,131,0,0,0,0,0,0,0,0,0,287,216,157
2023-03-04 16:38:00,0,0,0,278,204,130,0,0,0,0,0,0,0,0,0,286,194,156
2023-03-04 16:40:00,0,0,0,208,162,123,0,0,0,0,0,0,0,0,0,204,149,149
2023-03-04 16:42:00,0,0,0,209,163,125,0,0,0,0,0,0,0,0,0,205,150,151
2023-03-04 16:44:00,0,0,0,208,161,125,0,0,0,0,0,0,0,0,0,205,152,152
2023-03-04 16:46:00,0,0,0,279,230,130,0,0,0,0,0,0,0,0,0,287,216,157
2023-03-04 16:48:00,0,0,0,287,240,129,0,0,0,0,0,0,0,0,0,300,218,156
2023-03-04 16:50:00,0,0,0,215,190,122,0,0,0,0,0,0,0,0,0,220,168,149
2023-03-04 16:52:00,0,0,0,207,164,125,0,0,0,0,0,0,0,0,0,206,153,152
2023-03-04 16:54:00,0,0,0,206,163,121,0,0,0,0,0,0,0,0,0,203,152,150
2023-03-04 16:56:00,0,0,0,263,229,124,0,0,0,0,0,0,0,0,0,269,215,151
2023-03-04 16:58:00,0,0,0,278,226,128,0,0,0,0,0,0,0,0,0,284,216,156
2023-03-04 17:00:00,0,0,0,205,163,121,0,0,0,0,0,0,0,0,0,203,152,149
2023-03-04 17:02:00,0,0,0,205,162,123,0,0,0,0,0,0,0,0,0,203,152,152
2023-03-04 17:04:00,0,0,0,213,186,122,0,0,0,0,0,0,0,0,0,221,167,150
2023-03-04 17:06:00,0,0,0,249,233,122,0,0,0,0,0,0,0,0,0,257,219,150
2023-03-04 17:08:00,0,0,0,278,226,129,0,0,0,0,0,0,0,0,0,288,218,157
2023-03-04 17:10:00,0,0,0,207,164,126,0,0,0,0,0,0,0,0,0,208,153,152
2023-03-04 17:12:00,0,0,0,206,163,125,0,0,0,0,0,0,0,0,0,204,153,152
2023-03-04 17:14:00,0,0,0,203,159,120,0,0,0,0,0,0,0,0,0,200,151,150
2023-03-04 17:16:00,0,0,0,235,225,120,0,0,0,0,0,0,0,0,0,238,213,148
2023-03-04 17:18:00,0,0,0,280,225,126,0,0,0,0,0,0,0,0,0,286,215,155
2023-03-04 17:20:00,0,0,0,216,185,118,0,0,0,0,0,0,0,0,0,225,163,148
2023-03-04 17:22:00,0,0,0,210,160,120,0,0,0,0,0,0,0,0,0,220,149,150
2023-03-04 17:24:00,0,0,0,203,160,128,0,0,0,0,0,0,0,0,0,208,152,150
2023-03-04 17:26:00,0,0,0,220,224,119,0,0,0,0,0,0,0,0,0,223,213,148
2023-03-04 17:28:00,0,0,0,278,227,128,0,0,0,0,0,0,0,0,0,285,219,155
2023-03-04 17:30:00,0,0,0,209,164,120,0,0,0,0,0,0,0,0,0,209,154,149
2023-03-04 17:32:00,0,0,0,204,160,121,0,0,0,0,0,0,0,0,0,203,150,151
2023-03-04 17:34:00,0,0,0,204,157,118,0,0,0,0,0,0,0,0,0,201,150,149
2023-03-04 17:36:00,0,0,0,214,226,125,0,0,0,0,0,0,0,0,0,212,211,152
