"Time","Load[5m] (172.16.66.87:9796)","Load[5m] (172.16.66.90:9796)","Load[5m] (172.16.66.91:9796)","Load[1m] (172.16.66.87:9796)","Load[1m] (172.16.66.90:9796)","Load[1m] (172.16.66.91:9796)","Load[15m] (172.16.66.87:9796)","Load[15m] (172.16.66.90:9796)","Load[15m] (172.16.66.91:9796)"
2023-03-04 11:00:00,0.530,1.28,0.220,0.350,0.990,0.210,0.870,1.03,0.450
2023-03-04 11:02:00,0.600,1.16,0.150,0.500,1.02,0.0600,0.850,1.01,0.400
2023-03-04 11:04:00,0.490,1.10,0.150,0.300,1.14,0.120,0.780,1,0.360
2023-03-04 11:06:00,0.470,1.39,0.240,0.350,1.75,0.500,0.740,1.12,0.370
2023-03-04 11:08:00,0.620,1.32,0.790,0.720,1.14,1.62,0.760,1.13,0.560
2023-03-04 11:10:00,0.450,1.95,0.740,0.180,2.04,0.770,0.680,1.41,0.560
2023-03-04 11:12:00,0.970,1.41,0.520,2.64,0.510,0.150,0.820,1.27,0.500
2023-03-04 11:14:00,1.42,1.48,0.360,2.85,0.900,0.0600,0.990,1.33,0.440
2023-03-04 11:16:00,1.16,1.17,0.320,1,0.640,0.220,0.950,1.23,0.410
2023-03-04 11:18:00,0.830,1.39,0.250,0.240,1.18,0.140,0.850,1.31,0.370
2023-03-04 11:20:00,0.820,2,0.280,0.590,2.29,0.220,0.850,1.55,0.370
2023-03-04 11:22:00,0.850,1.58,0.230,0.920,1.04,0.110,0.850,1.45,0.340
2023-03-04 11:24:00,0.670,1.24,0.230,0.450,0.620,0.150,0.780,1.34,0.330
2023-03-04 11:26:00,0.830,1,0.180,1.11,0.450,0.140,0.830,1.23,0.290
2023-03-04 11:28:00,1.31,0.870,0.160,1.43,0.610,0.0900,1.02,1.16,0.260
2023-03-04 11:30:00,0.960,1.48,0.110,0.350,2.31,0.0300,0.920,1.34,0.230
2023-03-04 11:32:00,0.830,1.19,0.0800,0.470,0.880,0.0200,0.880,1.25,0.210
2023-03-04 11:34:00,0.680,1.13,0.120,0.210,1.19,0.190,0.830,1.21,0.200
2023-03-04 11:36:00,0.730,1.63,0.150,0.500,2.61,0.190,0.840,1.37,0.190
2023-03-04 11:38:00,1.09,1.27,0.160,1.31,0.880,0.140,0.960,1.27,0.190
2023-03-04 11:40:00,0.800,2.16,0.210,0.330,4.94,0.330,0.870,1.56,0.200
2023-03-04 11:42:00,0.630,1.62,0.210,0.200,1.10,0.240,0.800,1.43,0.190
2023-03-04 11:44:00,0.650,1.20,0.280,0.610,0.490,0.310,0.790,1.30,0.220
2023-03-04 11:46:00,0.500,1.17,0.200,0.280,0.720,0.0900,0.710,1.29,0.190
2023-03-04 11:48:00,1.17,0.880,0.170,2.52,0.320,0.140,0.930,1.16,0.180
2023-03-04 11:50:00,1.35,0.760,0.120,1.57,0.560,0.0400,1.03,1.08,0.160
2023-03-04 11:52:00,1.21,0.900,0.110,1.10,1.19,0.110,1.01,1.09,0.150
