"Time","Receive Errors","Receive Total","Transmit Errors","Receive Dropped","Transmit Dropped","Transmit Total"
2023-03-11 13:08:00,0,607,0,0,0,609
2023-03-11 13:10:00,0,634,0,0,0,637
2023-03-11 13:12:00,0,642,0,0,0,645
2023-03-11 13:14:00,0,654,0,0,0,665
2023-03-11 13:16:00,0,841,0,0,0,856
2023-03-11 13:18:00,0,617,0,0,0,613
2023-03-11 13:20:00,0,628,0,0,0,634
2023-03-11 13:22:00,0,613,0,0,0,624
2023-03-11 13:24:00,0,637,0,0,0,644
2023-03-11 13:26:00,0,839,0,0,0,853
2023-03-11 13:28:00,0,631,0,0,0,635
2023-03-11 13:30:00,0,627,0,0,0,641
2023-03-11 13:32:00,0,613,0,0,0,623
2023-03-11 13:34:00,0,620,0,0,0,626
2023-03-11 13:36:00,0,850,0,0,0,859
2023-03-11 13:38:00,0,652,0,0,0,657
2023-03-11 13:40:00,0,629,0,0,0,634
2023-03-11 13:42:00,0,622,0,0,0,628
2023-03-11 13:44:00,0,622,0,0,0,637
2023-03-11 13:46:00,0,853,0,0,0,871
2023-03-11 13:48:00,0,669,0,0,0,674
2023-03-11 13:50:00,0,619,0,0,0,630
2023-03-11 13:52:00,0,614,0,0,0,627
2023-03-11 13:54:00,0,609,0,0,0,622
2023-03-11 13:56:00,0,837,0,0,0,851
2023-03-11 13:58:00,0,676,0,0,0,686
2023-03-11 14:00:00,0,617,0,0,0,629
2023-03-11 14:02:00,0,614,0,0,0,627
2023-03-11 14:04:00,0,611,0,0,0,624
2023-03-11 14:06:00,0,847,0,0,0,863
2023-03-11 14:08:00,0,712,0,0,0,723
2023-03-11 14:10:00,0,624,0,0,0,627
2023-03-11 14:12:00,0,627,0,0,0,630
2023-03-11 14:14:00,0,614,0,0,0,626
2023-03-11 14:16:00,0,834,0,0,0,853
2023-03-11 14:18:00,0,732,0,0,0,740
2023-03-11 14:20:00,0,636,0,0,0,643
2023-03-11 14:22:00,0,616,0,0,0,628
2023-03-11 14:24:00,0,614,0,0,0,623
2023-03-11 14:26:00,0,836,0,0,0,850
2023-03-11 14:28:00,0,744,0,0,0,757
2023-03-11 14:30:00,0,618,0,0,0,629
2023-03-11 14:32:00,0,612,0,0,0,621
2023-03-11 14:34:00,0,612,0,0,0,623
2023-03-11 14:36:00,0,853,0,0,0,866
2023-03-11 14:38:00,0,778,0,0,0,785
2023-03-11 14:40:00,0,627,0,0,0,631
2023-03-11 14:42:00,0,621,0,0,0,625
2023-03-11 14:44:00,0,618,0,0,0,627
2023-03-11 14:46:00,0,837,0,0,0,852
2023-03-11 14:48:00,0,788,0,0,0,799
2023-03-11 14:50:00,0,626,0,0,0,635
2023-03-11 14:52:00,0,618,0,0,0,629
2023-03-11 14:54:00,0,616,0,0,0,628
2023-03-11 14:56:00,0,813,0,0,0,827
2023-03-11 14:58:00,0,815,0,0,0,824
2023-03-11 15:00:00,0,626,0,0,0,635
2023-03-11 15:02:00,0,628,0,0,0,637
2023-03-11 15:04:00,0,619,0,0,0,627
2023-03-11 15:06:00,0,797,0,0,0,809
2023-03-11 15:08:00,0,829,0,0,0,843
2023-03-11 15:10:00,0,629,0,0,0,641
2023-03-11 15:12:00,0,640,0,0,0,639
2023-03-11 15:14:00,0,637,0,0,0,640
2023-03-11 15:16:00,0,795,0,0,0,804
2023-03-11 15:18:00,0,838,0,0,0,845
2023-03-11 15:20:00,0,637,0,0,0,641
2023-03-11 15:22:00,0,630,0,0,0,634
2023-03-11 15:24:00,0,633,0,0,0,636
2023-03-11 15:26:00,0,771,0,0,0,779
2023-03-11 15:28:00,0,824,0,0,0,836
2023-03-11 15:30:00,0,623,0,0,0,633
2023-03-11 15:32:00,0,609,0,0,0,619
2023-03-11 15:34:00,0,615,0,0,0,625
2023-03-11 15:36:00,0,760,0,0,0,769
2023-03-11 15:38:00,0,822,0,0,0,834
2023-03-11 15:40:00,0,630,0,0,0,636
2023-03-11 15:42:00,0,622,0,0,0,628
2023-03-11 15:44:00,0,635,0,0,0,641
2023-03-11 15:46:00,0,728,0,0,0,735
2023-03-11 15:48:00,0,828,0,0,0,838
2023-03-11 15:50:00,0,637,0,0,0,643
2023-03-11 15:52:00,0,619,0,0,0,624
2023-03-11 15:54:00,0,615,0,0,0,625
2023-03-11 15:56:00,0,706,0,0,0,712
2023-03-11 15:58:00,0,826,0,0,0,835
2023-03-11 16:00:00,0,635,0,0,0,644
2023-03-11 16:02:00,0,615,0,0,0,623
2023-03-11 16:04:00,0,623,0,0,0,634
2023-03-11 16:06:00,0,692,0,0,0,701
2023-03-11 16:08:00,0,824,0,0,0,838
2023-03-11 16:10:00,0,634,0,0,0,638
2023-03-11 16:12:00,0,619,0,0,0,621
2023-03-11 16:14:00,0,621,0,0,0,627
2023-03-11 16:16:00,0,681,0,0,0,686
2023-03-11 16:18:00,0,850,0,0,0,852
2023-03-11 16:20:00,0,646,0,0,0,647
2023-03-11 16:22:00,0,635,0,0,0,640
2023-03-11 16:24:00,0,636,0,0,0,641
2023-03-11 16:26:00,0,667,0,0,0,669
2023-03-11 16:28:00,0,832,0,0,0,839
2023-03-11 16:30:00,0,654,0,0,0,661
2023-03-11 16:32:00,0,608,0,0,0,618
2023-03-11 16:34:00,0,618,0,0,0,626
2023-03-11 16:36:00,0,649,0,0,0,652
2023-03-11 16:38:00,0,833,0,0,0,842
2023-03-11 16:40:00,0,683,0,0,0,686
2023-03-11 16:42:00,0,629,0,0,0,629
2023-03-11 16:44:00,0,639,0,0,0,642
2023-03-11 16:46:00,0,649,0,0,0,651
2023-03-11 16:48:00,0,827,0,0,0,837
2023-03-11 16:50:00,0,687,0,0,0,699
2023-03-11 16:52:00,0,613,0,0,0,622
2023-03-11 16:54:00,0,608,0,0,0,619
2023-03-11 16:56:00,0,641,0,0,0,647
2023-03-11 16:58:00,0,822,0,0,0,833
2023-03-11 17:00:00,0,697,0,0,0,712
2023-03-11 17:02:00,0,610,0,0,0,620
2023-03-11 17:04:00,0,615,0,0,0,624
2023-03-11 17:06:00,0,631,0,0,0,639
2023-03-11 17:08:00,0,834,0,0,0,847
2023-03-11 17:10:00,0,728,0,0,0,739
2023-03-11 17:12:00,0,621,0,0,0,625
2023-03-11 17:14:00,0,619,0,0,0,631
2023-03-11 17:16:00,0,652,0,0,0,654
2023-03-11 17:18:00,0,826,0,0,0,832
2023-03-11 17:20:00,0,740,0,0,0,752
2023-03-11 17:22:00,0,618,0,0,0,627
2023-03-11 17:24:00,0,615,0,0,0,622
2023-03-11 17:26:00,0,632,0,0,0,638
2023-03-11 17:28:00,0,822,0,0,0,834
2023-03-11 17:30:00,0,756,0,0,0,773
2023-03-11 17:32:00,0,627,0,0,0,625
2023-03-11 17:34:00,0,639,0,0,0,625
2023-03-11 17:36:00,0,643,0,0,0,642
2023-03-11 17:38:00,0,823,0,0,0,834
2023-03-11 17:40:00,0,775,0,0,0,788
2023-03-11 17:42:00,0,622,0,0,0,625
2023-03-11 17:44:00,0,617,0,0,0,627
2023-03-11 17:46:00,0,655,0,0,0,657
2023-03-11 17:48:00,0,821,0,0,0,835
2023-03-11 17:50:00,0,785,0,0,0,808
2023-03-11 17:52:00,0,612,0,0,0,625
2023-03-11 17:54:00,0,611,0,0,0,621
2023-03-11 17:56:00,0,636,0,0,0,643
2023-03-11 17:58:00,0,822,0,0,0,835
2023-03-11 18:00:00,0,808,0,0,0,829
2023-03-11 18:02:00,0,629,0,0,0,636
2023-03-11 18:04:00,0,642,0,0,0,646
2023-03-11 18:06:00,0,646,0,0,0,650
2023-03-11 18:08:00,0,790,0,0,0,800
2023-03-11 18:10:00,0,828,0,0,0,843
2023-03-11 18:12:00,0,620,0,0,0,626
2023-03-11 18:14:00,0,612,0,0,0,623
2023-03-11 18:16:00,0,627,0,0,0,634
2023-03-11 18:18:00,0,778,0,0,0,779
2023-03-11 18:20:00,0,831,0,0,0,844
2023-03-11 18:22:00,0,619,0,0,0,629
2023-03-11 18:24:00,0,615,0,0,0,623
2023-03-11 18:26:00,0,626,0,0,0,633
2023-03-11 18:28:00,0,756,0,0,0,763
2023-03-11 18:30:00,0,834,0,0,0,852
2023-03-11 18:32:00,0,617,0,0,0,624
2023-03-11 18:34:00,0,625,0,0,0,631
2023-03-11 18:36:00,0,639,0,0,0,644
2023-03-11 18:38:00,0,746,0,0,0,750
2023-03-11 18:40:00,0,850,0,0,0,863
2023-03-11 18:42:00,0,619,0,0,0,624
2023-03-11 18:44:00,0,611,0,0,0,621
2023-03-11 18:46:00,0,630,0,0,0,635
2023-03-11 18:48:00,0,726,0,0,0,725
2023-03-11 18:50:00,0,836,0,0,0,853
2023-03-11 18:52:00,0,613,0,0,0,623
2023-03-11 18:54:00,0,631,0,0,0,641
2023-03-11 18:56:00,0,642,0,0,0,645
2023-03-11 18:58:00,0,707,0,0,0,712
2023-03-11 19:00:00,0,1116,0,0,0,1081
2023-03-11 19:02:00,0,672,0,0,0,663
2023-03-11 19:04:00,0,629,0,0,0,638
2023-03-11 19:06:00,0,634,0,0,0,639
2023-03-11 19:08:00,0,681,0,0,0,686
2023-03-11 19:10:00,0,834,0,0,0,848
2023-03-11 19:12:00,0,613,0,0,0,614
2023-03-11 19:14:00,0,631,0,0,0,638
2023-03-11 19:16:00,0,634,0,0,0,638
2023-03-11 19:18:00,0,692,0,0,0,684
2023-03-11 19:20:00,0,846,0,0,0,857
2023-03-11 19:22:00,0,615,0,0,0,623
2023-03-11 19:24:00,0,639,0,0,0,649
2023-03-11 19:26:00,0,632,0,0,0,638
2023-03-11 19:28:00,0,655,0,0,0,660
2023-03-11 19:30:00,0,851,0,0,0,871
2023-03-11 19:32:00,0,631,0,0,0,639
2023-03-11 19:34:00,0,625,0,0,0,635
2023-03-11 19:36:00,0,625,0,0,0,633
2023-03-11 19:38:00,0,621,0,0,0,625
2023-03-11 19:40:00,0,850,0,0,0,857
2023-03-11 19:42:00,0,655,0,0,0,658
2023-03-11 19:44:00,0,628,0,0,0,637
2023-03-11 19:46:00,0,645,0,0,0,648
2023-03-11 19:48:00,0,627,0,0,0,628
2023-03-11 19:50:00,0,846,0,0,0,861
2023-03-11 19:52:00,0,665,0,0,0,674
