"Time","Transmit Total","Receive Total"
2023-03-23 03:00:00,801829,536777
2023-03-23 03:02:00,869222,600284
2023-03-23 03:04:00,813665,551142
2023-03-23 03:06:00,756574,498341
2023-03-23 03:08:00,772897,513368
2023-03-23 03:10:00,754361,516333
2023-03-23 03:12:00,881269,613612
2023-03-23 03:14:00,850346,583539
2023-03-23 03:16:00,763430,505209
2023-03-23 03:18:00,762174,505153
2023-03-23 03:20:00,760855,513701
2023-03-23 03:22:00,858873,600347
2023-03-23 03:24:00,914854,634503
2023-03-23 03:26:00,756783,496356
2023-03-23 03:28:00,761188,511272
2023-03-23 03:30:00,758687,497850
2023-03-23 03:32:00,843744,589571
2023-03-23 03:34:00,877783,631513
2023-03-23 03:36:00,771010,517059
2023-03-23 03:38:00,774201,529625
2023-03-23 03:40:00,813282,532215
2023-03-23 03:42:00,880623,604988
2023-03-23 03:44:00,914214,649688
2023-03-23 03:46:00,761931,508455
2023-03-23 03:48:00,764591,515830
2023-03-23 03:50:00,767090,507708
2023-03-23 03:52:00,777302,541252
2023-03-23 03:54:00,884451,609929
2023-03-23 03:56:00,763953,515423
2023-03-23 03:58:00,776479,527255
2023-03-23 04:00:00,774517,510245
2023-03-23 04:02:00,811218,550092
2023-03-23 04:04:00,933928,640341
2023-03-23 04:06:00,755007,505925
2023-03-23 04:08:00,788485,537790
2023-03-23 04:10:00,753215,503851
2023-03-23 04:12:00,752326,505815
2023-03-23 04:14:00,1059536,800583
2023-03-23 04:16:00,1165881,899994
2023-03-23 04:18:00,818756,538805
2023-03-23 04:20:00,784212,521659
2023-03-23 04:22:00,789455,531677
2023-03-23 04:24:00,777244,509476
2023-03-23 04:26:00,867104,625265
2023-03-23 04:28:00,866312,585409
2023-03-23 04:30:00,800446,526515
2023-03-23 04:32:00,763871,518971
2023-03-23 04:34:00,761920,500870
2023-03-23 04:36:00,863390,622022
2023-03-23 04:38:00,883135,606704
2023-03-23 04:40:00,761401,516748
2023-03-23 04:42:00,770323,501049
2023-03-23 04:44:00,758568,499931
2023-03-23 04:46:00,915788,654710
2023-03-23 04:48:00,889425,621876
2023-03-23 04:50:00,764194,520913
2023-03-23 04:52:00,779562,506868
2023-03-23 04:54:00,762734,504677
2023-03-23 04:56:00,844605,606420
2023-03-23 04:58:00,869617,611609
2023-03-23 05:00:00,755091,515069
2023-03-23 05:02:00,774434,508423
2023-03-23 05:04:00,763681,511354
2023-03-23 05:06:00,814108,566696
2023-03-23 05:08:00,883145,618961
2023-03-23 05:10:00,759006,520528
2023-03-23 05:12:00,780624,512960
2023-03-23 05:14:00,810273,538898
2023-03-23 05:16:00,840635,564722
2023-03-23 05:18:00,893049,622873
2023-03-23 05:20:00,752861,513532
2023-03-23 05:22:00,761537,501153
2023-03-23 05:24:00,760775,511699
2023-03-23 05:26:00,775414,515171
2023-03-23 05:28:00,881966,628856
2023-03-23 05:30:00,766840,506214
2023-03-23 05:32:00,766005,508029
2023-03-23 05:34:00,760968,514224
2023-03-23 05:36:00,777779,520831
2023-03-23 05:38:00,884108,630922
2023-03-23 05:40:00,820573,531498
2023-03-23 05:42:00,791169,530177
2023-03-23 05:44:00,777325,508602
2023-03-23 05:46:00,756425,503392
2023-03-23 05:48:00,902340,643456
2023-03-23 05:50:00,838779,556108
2023-03-23 05:52:00,775922,525796
2023-03-23 05:54:00,782040,510697
2023-03-23 05:56:00,757698,508917
2023-03-23 05:58:00,883021,621830
2023-03-23 06:00:00,827475,560132
2023-03-23 06:02:00,772740,522082
2023-03-23 06:04:00,774942,505370
2023-03-23 06:06:00,758460,519011
2023-03-23 06:08:00,898540,623612
2023-03-23 06:10:00,891264,609085
2023-03-23 06:12:00,769095,522255
2023-03-23 06:14:00,763995,512267
2023-03-23 06:16:00,753019,522337
2023-03-23 06:18:00,885700,626112
2023-03-23 06:20:00,857494,624198
