"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf97c652df312)"
2023-03-15 10:00:00,0,81.8,23147,51043,0,0,0,0.389,0,176,295,130,454,66.4,446,38.5,0,586,32.3,0,38.5,1690,4.50,449,0,66.4,41684,19.4,1718,6607,1079,81.8,0,35373,59202,0,0,0,0,0,224,109,30.3,254,41,250,19,0,701,26.2,0,19,153,4.37,251,0,41.4,18516,38.5,191,1035,1072
2023-03-15 10:02:00,0,76.7,36449,90234,0,0,0,0,64.6,176,291,130,454,65.8,452,530,0,613,32.0,0.389,38.5,1947,4.66,449,0,65.8,41846,19,1988,7128,1873,76.7,0,59605,89812,0,0,0,0,151,223,110,30.3,254,40.3,257,406,0,723,26.0,0,19,175,4.13,251,0,40.6,28278,38.5,208,1066,1862
2023-03-15 10:04:00,0,71.9,25083,53235,0,0,0,0,0,178,292,124,454,66.7,446,38.5,0,589,31.6,0.389,38.5,1803,4.42,448,0,65.7,41731,19,1815,6858,1343,71.9,0,35674,60286,0,0,0,0,0,223,106,29.0,254,41.4,251,19,0,698,25.5,0,19,195,3.90,249,0,40.3,20193,38.5,209,1085,1341
2023-03-15 10:06:00,0.389,75.2,33449,64319,0,0,0,0,0,176,15605,107,454,66.3,447,38.5,0,585,31.6,0,38.9,3388,4.27,448,0,66.0,41729,19,2147,21422,4458,75.2,0.389,36549,96044,0,0,0,0,0,224,660,25.0,254,41.4,251,19,0,703,25.5,0.389,19,296,4.13,250,0,40.6,27703,38.5,234,2363,2376
2023-03-15 10:08:00,0,81.1,26258,56660,0,0,0,0,0,177,15607,119,454,65.0,448,38.5,0,583,32.0,0,38.5,3468,4.27,450,0,65.7,41644,19,2221,21629,4724,81.1,0,36740,96869,0,0,0,0,0,225,655,27.7,254,39.5,252,19,0,699,26.0,0,19,292,4.13,252,0,40.6,20238,38.5,224,2412,2639
2023-03-15 10:10:00,0,78.2,22369,50406,0,0.389,0,0,0,180,294,124,455,65.7,446,38.5,0.389,587,32.3,0,38.5,1725,4.27,447,0,65.8,41657,19,1746,6755,1078,78.2,0,35350,59316,0,0,0.389,0,0,222,109,29.0,255,40.6,250,19,0,699,26.2,0,19.4,194,4.13,249,0,40.6,17747,38.5,222,1158,1080
2023-03-15 10:12:00,0,80.4,35655,89115,0,0,0,0,62,177,294,119,454,66.1,447,571,0,590,32.0,0,38.5,1953,4.03,449,0,66.1,41702,19,1969,7188,1863,80.4,0,59240,89500,0,0,0,0,149,224,105,27.7,254,41.4,252,387,0,698,26.0,0,19,205,3.90,252,0,41,27527,38.5,227,1105,1868
2023-03-15 10:14:00,0,81.8,27286,72497,0,0,0.389,0,65.2,177,299,124,454,66.4,435,571,0,589,31.6,0,38.5,1882,4.03,449,0,66.0,41645,19,1901,7046,1598,81.8,0,51889,80293,0,0,0,0,152,224,111,29.0,259,41,245,387,0,699,25.5,0,19,197,3.90,251,0,41,20076,38.5,220,1145,1599
2023-03-15 10:16:00,0,74.9,31234,59776,0,0,0,0,3.22,176,296,119,443,66.1,435,38.5,0,587,31.6,0,38.5,1706,4.27,437,0,65.8,41726,19,1745,6663,1072,74.9,0,35408,59270,0,0,0,0,3.06,225,111,27.7,253,40.6,245,19,0,699,25.5,0,19,164,4.13,244,0,41,26619,38.5,206,1080,1072
2023-03-15 10:18:00,0,74.5,25680,53837,0,0,0,0,0,175,293,130,443,66.1,448,38.5,0,586,31.6,0,38.5,1931,4.73,436,0,65.8,41742,19,1965,7091,1875,74.5,0,36202,61242,0,0,0,0,0,226,107,30.3,248,40.6,259,19,0,701,25.5,0,19,150,4.60,244,0,41.4,20280,38.5,184,1080,1867
2023-03-15 10:20:00,0,83.3,24379,52425,0,0,0,0,0,176,295,136,455,65.7,449,38.5,0,587,31.6,0,38.5,1717,4.97,455,0,65.1,41742,19,1741,6721,1083,83.3,0,35418,59428,0.389,0,0,0,0,224,110,31.6,260,40.6,253,19,0,702,25.5,0,19,146,4.83,252,0,39.9,19753,38.5,176,1104,1079
2023-03-15 10:22:00,0,77.1,38168,91766,0,0,0,0,62.4,177,296,124,454,65.7,448,668,0,590,31.8,0,38.5,1945,4.73,450,0.389,65.4,41813,19,1968,7221,1874,77.1,0,59376,89690,0.389,0,0,0,154,223,116,29.0,254,40.3,253,438,0,698,25.7,0,19,169,4.60,252,0,40.3,29995,38.5,187,1119,1865
2023-03-15 10:24:00,0,73.8,27271,80007,0,0,0,0,62.4,179,295,124,455,65.7,447,668,0,585,32.3,0,38.5,1947,4.27,448,0.389,65.8,41711,19,1974,7105,1874,73.8,0,59292,89461,0,0,0,0,154,222,109,29.0,255,41,257,438,0,700,26.2,0,19,156,4.13,255,0,40.3,19082,38.5,193,1079,1863
2023-03-15 10:26:00,0,80,33377,62173,0.389,0,0,0,0,176,296,119,454,66.1,449,38.5,0,586,32.3,0,38.5,1703,4.27,450,0,65.8,41799,19,1740,6655,1082,80,0,35466,59392,0,0,0,0,0,223,109,32.6,254,42.5,260,19,0,700,26.2,0,19,163,4.13,257,0,40.3,28787,38.5,207,1074,1074
2023-03-15 10:28:00,0,81.1,25593,53848,0.389,0,0,0,0,176,300,130,456,65.3,451,38.5,0,587,32.3,0,38.5,1944,4.27,451,0,65.0,41747,19,1962,7153,1867,81.1,0,36189,61431,0,0,0,0,0,224,118,35.2,256,41.0,256,19,0,701,26.2,0,19,191,4.13,253,0,39.5,20178,38.5,221,1109,1865
2023-03-15 10:30:00,0,81.1,29006,57533,0,0,0,0,0,177,294,136,456,65.7,447,38.5,0,587,32.3,0,38.5,1736,4.27,450,0,65.5,41720,19,1748,6720,1067,81.1,0,35382,59516,0,0,0,0,0,225,115,32.0,257,40.6,251,19,0,700,26.2,0,19,207,4.13,251,0,41,24393,38.5,228,1133,1067
2023-03-15 10:32:00,0,76.7,26859,68831,0,0,0,0,0,176,292,129,452,66.0,449,38.5,0,586,32.3,0,38.5,1961,4.50,448,0,65.8,41703,19,2000,7147,1863,76.7,0,48758,76621,0,0,0,0,0,226,108,30.3,252,41,254,19,0,702,26.2,0,19,186,4.37,249,0,41.7,20264,38.5,224,1103,1868
2023-03-15 10:34:00,0,79.3,26303,79151,0,0,0,0,62,176,301,130,454,65.6,446,734,0,589,32.3,0,38.5,1938,4.50,450,0,65.8,41705,19,1980,7055,1874,79.3,0,59532,89566,0,0,0,0,152,226,120,30.3,254,40.3,249,466,0.389,700,26.2,0,19,166,4.37,253,0,41.4,18090,38.5,207,1052,1869
2023-03-15 10:36:00,0,77.8,32430,61079,0,0,0,0,0,177,296,130,457,65.7,447,38.5,0,590,32.3,0,38.5,1699,4.27,449,0,65.8,41768,19,1711,6728,1082,77.8,0,35446,59463,0,0,0,0,0,224,114,30.3,257,40.3,251,19,0,698,26.2,0,19,159,4.13,250,0,41.4,27831,38.5,183,1064,1071
2023-03-15 10:38:00,0,77.4,25603,53829,0,0,0,0,0,179,293,119,456,65.8,449,38.5,0,590,31.8,0,38.5,1931,4.27,452,0,65.4,41705,19,1941,7223,1873,77.4,0,36185,61447,0,0,0,0,0,222,107,27.7,256,40.3,255,19,0,693,25.7,0,19,185,4.13,253,0,40.3,20194,38.5,202,1117,1863
2023-03-15 10:40:00,0,80.7,31586,60162,0,0,0,0,0,179,293,119,453,65.8,448,38.5,0,589,31.6,0,38.5,1687,4.50,452,0,65.8,41712,19,1723,6610,1083,80.7,0,35393,59350,0,0.389,0,0,0,221,106,27.7,252,40.6,251,19,0,699,25.5,0,19,166,4.37,252,0,40.6,26981,38.5,202,1036,1082
2023-03-15 10:42:00,0,76.0,25374,53511,0,0,0,0,0,179,301,130,457,65.8,448,38.5,0,589,31.8,0,36.4,1869,4.27,447,0,65.3,41654,17.9,1890,6979,1611,76.0,0,35867,60482,0,0.389,0,0,0,220,122,30.3,258,41,251,19,0,697,25.7,0,17.9,177,4.52,249,0,40.3,20230,36.4,202,1046,1605
2023-03-15 10:44:00,0,75.2,26241,79076,0,0,0,0,62,178,300,141,456,65.8,446,746,0,589,32.3,0,36.4,1944,4.03,449,0,65.8,41700,17.9,1967,7134,1871,75.2,0,59476,89665,0,0,0,0,154,221,116,32.9,256,40.3,250,469,0,697,26.2,0,17.9,172,4.29,251,0,40.6,18004,36.4,195,1117,1859
2023-03-15 10:46:00,0,78.9,32513,61453,0,0,0,0,0,178,288,130,454,65.8,452,38.5,0,588,32.3,0,38.5,1733,4.27,452,0,65.8,41870,19,1789,7307,1085,78.9,0,35519,60230,0,0,0,0,0,222,105,30.3,253,40.3,257,19,0,699,26.2,0,19,206,4.13,253,0,40.3,27897,38.5,238,1154,1078
2023-03-15 10:48:00,0,76.3,25139,53430,0,0,0,0,0,176,293,130,456,65.7,455,38.5,0,586,32.3,0,38.5,1945,4.50,452,0,65.4,41730,19,1966,7670,1874,76.3,0,36183,61991,0,0,0,0.389,0,224,112,30.3,255,40.6,254,19,0,702,26.2,0,19,203,4.37,254,0.389,39.9,19733,38.9,229,1104,1866
