"Time","/dev/mapper/ubuntu--vg-ubuntu--lv","/dev/vda1","/dev/vda2","/dev/vdb1","none","shm","tmpfs"
2023-03-15 10:00:00,0.779,0.00566,0.130,4.87e-7,,0,0.0335
2023-03-15 10:02:00,0.773,0.00566,0.130,4.87e-7,,0,0.0337
2023-03-15 10:04:00,0.773,0.00566,0.130,4.87e-7,,0,0.0338
2023-03-15 10:06:00,0.773,0.00566,0.130,4.87e-7,,0,0.0340
2023-03-15 10:08:00,0.773,0.00566,0.130,4.87e-7,,0,0.0341
2023-03-15 10:10:00,0.773,0.00566,0.130,4.87e-7,,0,0.0342
2023-03-15 10:12:00,0.773,0.00566,0.130,4.87e-7,,0,0.0344
2023-03-15 10:14:00,0.773,0.00566,0.130,4.87e-7,,0,0.0345
2023-03-15 10:16:00,0.774,0.00566,0.130,4.87e-7,,0,0.0347
2023-03-15 10:18:00,0.774,0.00566,0.130,4.87e-7,,0,0.0348
2023-03-15 10:20:00,0.774,0.00566,0.130,4.87e-7,,0,0.0349
2023-03-15 10:22:00,0.774,0.00566,0.130,4.87e-7,,0,0.0351
2023-03-15 10:24:00,0.774,0.00566,0.130,4.87e-7,,0,0.0352
2023-03-15 10:26:00,0.774,0.00566,0.130,4.87e-7,,0,0.0354
2023-03-15 10:28:00,0.774,0.00566,0.130,4.87e-7,,0,0.0355
2023-03-15 10:30:00,0.774,0.00566,0.130,4.87e-7,,0,0.0356
2023-03-15 10:32:00,0.774,0.00566,0.130,4.87e-7,,0,0.0358
2023-03-15 10:34:00,0.774,0.00566,0.130,4.87e-7,,0,0.0359
2023-03-15 10:36:00,0.774,0.00566,0.130,4.87e-7,,0,0.0360
2023-03-15 10:38:00,0.774,0.00566,0.130,4.87e-7,,0,0.0362
2023-03-15 10:40:00,0.774,0.00566,0.130,4.87e-7,,0,0.0363
2023-03-15 10:42:00,0.774,0.00566,0.130,4.87e-7,,0,0.0365
2023-03-15 10:44:00,0.774,0.00566,0.130,4.87e-7,,0,0.0366
2023-03-15 10:46:00,0.775,0.00566,0.130,4.87e-7,,0,0.0367
2023-03-15 10:48:00,0.775,0.00566,0.130,4.87e-7,,0,0.0369
2023-03-15 10:50:00,0.775,0.00566,0.130,4.87e-7,,0,0.0370
2023-03-15 10:52:00,0.775,0.00566,0.130,4.87e-7,,0,0.0372
2023-03-15 10:54:00,0.775,0.00566,0.130,4.87e-7,,0,0.0373
2023-03-15 10:56:00,0.775,0.00566,0.130,4.87e-7,,0,0.0374
2023-03-15 10:58:00,0.775,0.00566,0.130,4.87e-7,,0,0.0376
2023-03-15 11:00:00,0.775,0.00566,0.130,4.87e-7,,0,0.0377
2023-03-15 11:02:00,0.776,0.00566,0.130,4.87e-7,,0,0.0379
2023-03-15 11:04:00,0.776,0.00566,0.130,4.87e-7,,0,0.0380
2023-03-15 11:06:00,0.776,0.00566,0.130,4.87e-7,,0,0.0381
2023-03-15 11:08:00,0.776,0.00566,0.130,4.87e-7,,0,0.0383
2023-03-15 11:10:00,0.776,0.00566,0.130,4.87e-7,,0,0.0384
2023-03-15 11:12:00,0.776,0.00566,0.130,4.87e-7,,0,0.0386
2023-03-15 11:14:00,0.776,0.00566,0.130,4.87e-7,,0,0.0387
2023-03-15 11:16:00,0.776,0.00566,0.130,4.87e-7,,0,0.0388
2023-03-15 11:18:00,0.776,0.00566,0.130,4.87e-7,,0,0.0390
2023-03-15 11:20:00,0.776,0.00566,0.130,4.87e-7,,0,0.0391
2023-03-15 11:22:00,0.777,0.00566,0.130,4.87e-7,,0,0.0392
2023-03-15 11:24:00,0.777,0.00566,0.130,4.87e-7,,0,0.0394
2023-03-15 11:26:00,0.777,0.00566,0.130,4.87e-7,,0,0.0395
2023-03-15 11:28:00,0.777,0.00566,0.130,4.87e-7,,0,0.0397
2023-03-15 11:30:00,0.777,0.00566,0.130,4.87e-7,,0,0.0398
2023-03-15 11:32:00,0.777,0.00566,0.130,4.87e-7,,0,0.0399
2023-03-15 11:34:00,0.777,0.00566,0.130,4.87e-7,,0,0.0401
2023-03-15 11:36:00,0.777,0.00566,0.130,4.87e-7,,0,0.0402
2023-03-15 11:38:00,0.777,0.00566,0.130,4.87e-7,,0,0.0404
2023-03-15 11:40:00,0.777,0.00566,0.130,4.87e-7,,0,0.0405
2023-03-15 11:42:00,0.777,0.00566,0.130,4.87e-7,,0,0.0406
2023-03-15 11:44:00,0.777,0.00566,0.130,4.87e-7,,0,0.0408
2023-03-15 11:46:00,0.777,0.00566,0.130,4.87e-7,,0,0.0409
2023-03-15 11:48:00,0.777,0.00566,0.130,4.87e-7,,0,0.0411
2023-03-15 11:50:00,0.777,0.00566,0.130,4.87e-7,,0,0.0412
2023-03-15 11:52:00,0.778,0.00566,0.130,4.87e-7,,0,0.0413
2023-03-15 11:54:00,0.778,0.00566,0.130,4.87e-7,,0,0.0415
2023-03-15 11:56:00,0.778,0.00566,0.130,4.87e-7,,0,0.0416
2023-03-15 11:58:00,0.778,0.00566,0.130,4.87e-7,,0,0.0418
2023-03-15 12:00:00,0.778,0.00566,0.130,4.87e-7,,0,0.0419
2023-03-15 12:02:00,0.777,0.00566,0.130,4.87e-7,,0,0.0420
2023-03-15 12:04:00,0.777,0.00566,0.130,4.87e-7,,0,0.0422
2023-03-15 12:06:00,0.777,0.00566,0.130,4.87e-7,,0,0.0423
2023-03-15 12:08:00,0.777,0.00566,0.130,4.87e-7,,0,0.0424
2023-03-15 12:10:00,0.777,0.00566,0.130,4.87e-7,,0,0.0426
2023-03-15 12:12:00,0.777,0.00566,0.130,4.87e-7,,0,0.0427
2023-03-15 12:14:00,0.778,0.00566,0.130,4.87e-7,,0,0.0429
2023-03-15 12:16:00,0.778,0.00566,0.130,4.87e-7,,0,0.0430
2023-03-15 12:18:00,0.778,0.00566,0.130,4.87e-7,,0,0.0431
2023-03-15 12:20:00,0.778,0.00566,0.130,4.87e-7,,0,0.0433
2023-03-15 12:22:00,0.778,0.00566,0.130,4.87e-7,,0,0.0434
2023-03-15 12:24:00,0.778,0.00566,0.130,4.87e-7,,0,0.0436
2023-03-15 12:26:00,0.778,0.00566,0.130,4.87e-7,,0,0.0437
2023-03-15 12:28:00,0.778,0.00566,0.130,4.87e-7,,0,0.0438
2023-03-15 12:30:00,0.778,0.00566,0.130,4.87e-7,,0,0.0440
2023-03-15 12:32:00,0.778,0.00566,0.130,4.87e-7,,0,0.0441
2023-03-15 12:34:00,0.778,0.00566,0.130,4.87e-7,,0,0.0443
2023-03-15 12:36:00,0.778,0.00566,0.130,4.87e-7,,0,0.0444
2023-03-15 12:38:00,0.778,0.00566,0.130,4.87e-7,,0,0.0445
