"Time","Read (sda)","Write (sda)"
2023-03-04 16:52:00,0,88997
2023-03-04 16:54:00,0,43622
2023-03-04 16:56:00,0,89834
2023-03-04 16:58:00,0,45807
2023-03-04 17:00:00,0,90158
2023-03-04 17:02:00,0,89343
2023-03-04 17:04:00,0,43531
2023-03-04 17:06:00,0,89247
2023-03-04 17:08:00,0,44237
2023-03-04 17:10:00,0,88815
2023-03-04 17:12:00,0,89748
2023-03-04 17:14:00,0,43211
2023-03-04 17:16:00,0,90112
2023-03-04 17:18:00,0,45352
2023-03-04 17:20:00,0,90722
2023-03-04 17:22:00,0,91045
2023-03-04 17:24:00,0,45375
2023-03-04 17:26:00,0,90762
2023-03-04 17:28:00,0,45739
2023-03-04 17:30:00,0,91500
2023-03-04 17:32:00,0,90199
2023-03-04 17:34:00,0,44396
2023-03-04 17:36:00,0,89498
2023-03-04 17:38:00,0,44305
2023-03-04 17:40:00,0,90180
2023-03-04 17:42:00,3914,92342
2023-03-04 17:44:00,0,44055
2023-03-04 17:46:00,0,89202
2023-03-04 17:48:00,0,45420
2023-03-04 17:50:00,0,90704
2023-03-04 17:52:00,0,90999
2023-03-04 17:54:00,0,45397
2023-03-04 17:56:00,0,89834
2023-03-04 17:58:00,0,44373
2023-03-04 18:00:00,0,88860
2023-03-04 18:02:00,0,89229
2023-03-04 18:04:00,0,45033
2023-03-04 18:06:00,0,89293
2023-03-04 18:08:00,0,44603
2023-03-04 18:10:00,0,90453
2023-03-04 18:12:00,0,89657
2023-03-04 18:14:00,0,43807
2023-03-04 18:16:00,0,88883
2023-03-04 18:18:00,0,44419
2023-03-04 18:20:00,0,91109
2023-03-04 18:22:00,0,90590
2023-03-04 18:24:00,0,44988
2023-03-04 18:26:00,0,90517
2023-03-04 18:28:00,0,45534
2023-03-04 18:30:00,0,90817
2023-03-04 18:32:00,0,89539
2023-03-04 18:34:00,0,44214
2023-03-04 18:36:00,0,90271
2023-03-04 18:38:00,0,44125
2023-03-04 18:40:00,0,89725
2023-03-04 18:42:00,0,88223
2023-03-04 18:44:00,0,41527
2023-03-04 18:46:00,0,87950
2023-03-04 18:48:00,0,40050
2023-03-04 18:50:00,0,86740
2023-03-04 18:52:00,0,87131
2023-03-04 18:54:00,0,41688
2023-03-04 18:56:00,0,86903
2023-03-04 18:58:00,0,40505
2023-03-04 19:00:00,0,86084
2023-03-04 19:02:00,0,86062
2023-03-04 19:04:00,0,40664
2023-03-04 19:06:00,0,87245
2023-03-04 19:08:00,0,41210
2023-03-04 19:10:00,0,88041
2023-03-04 19:12:00,0,87381
2023-03-04 19:14:00,0,41461
2023-03-04 19:16:00,0,86175
2023-03-04 19:18:00,0,42826
2023-03-04 19:20:00,0,88364
2023-03-04 19:22:00,0,86016
2023-03-04 19:24:00,0,41665
2023-03-04 19:26:00,0,88182
2023-03-04 19:28:00,0,42553
2023-03-04 19:30:00,0,87017
2023-03-04 19:32:00,0,87745
2023-03-04 19:34:00,0,40710
2023-03-04 19:36:00,0,86426
2023-03-04 19:38:00,0,41076
2023-03-04 19:40:00,0,88087
2023-03-04 19:42:00,0,86676
2023-03-04 19:44:00,0,41690
2023-03-04 19:46:00,0,87177
2023-03-04 19:48:00,0,40801
2023-03-04 19:50:00,0,87135
2023-03-04 19:52:00,0,87563
2023-03-04 19:54:00,0,42416
2023-03-04 19:56:00,0,87309
2023-03-04 19:58:00,0,40710
2023-03-04 20:00:00,0,87859
2023-03-04 20:02:00,0,86448
2023-03-04 20:04:00,0,40573
2023-03-04 20:06:00,0,97872
2023-03-04 20:08:00,0,40780
2023-03-04 20:10:00,0,86926
2023-03-04 20:12:00,0,88678
2023-03-04 20:14:00,0,44305
2023-03-04 20:16:00,0,86721
2023-03-04 20:18:00,0,43873
2023-03-04 20:20:00,0,92415
2023-03-04 20:22:00,0,90294
2023-03-04 20:24:00,0,43486
2023-03-04 20:26:00,0,88910
2023-03-04 20:28:00,0,40914
2023-03-04 20:30:00,0,87996
2023-03-04 20:32:00,0,87207
2023-03-04 20:34:00,0,40437
2023-03-04 20:36:00,0,86312
2023-03-04 20:38:00,0,40960
2023-03-04 20:40:00,0,85515
2023-03-04 20:42:00,0,85629
2023-03-04 20:44:00,0,53316
2023-03-04 20:46:00,0,86903
2023-03-04 20:48:00,0,40914
2023-03-04 20:50:00,0,87044
2023-03-04 20:52:00,0,86835
2023-03-04 20:54:00,0,42166
2023-03-04 20:56:00,0,86612
2023-03-04 20:58:00,0,39413
2023-03-04 21:00:00,0,86175
2023-03-04 21:02:00,0,87177
2023-03-04 21:04:00,0,40983
2023-03-04 21:06:00,0,87017
2023-03-04 21:08:00,0,41595
2023-03-04 21:10:00,0,87313
2023-03-04 21:12:00,0,88064
2023-03-04 21:14:00,0,40004
2023-03-04 21:16:00,71157,118943
2023-03-04 21:18:00,71157,80282
2023-03-04 21:20:00,0,87465
2023-03-04 21:22:00,0,87063
2023-03-04 21:24:00,0,41233
2023-03-04 21:26:00,0,85805
2023-03-04 21:28:00,0,40095
2023-03-04 21:30:00,0,85948
2023-03-04 21:32:00,0,86423
2023-03-04 21:34:00,0,41347
2023-03-04 21:36:00,0,86812
2023-03-04 21:38:00,0,40279
2023-03-04 21:40:00,0,86585
2023-03-04 21:42:00,0,86335
2023-03-04 21:44:00,0,41665
2023-03-04 21:46:00,0,86448
2023-03-04 21:48:00,0,40937
2023-03-04 21:50:00,0,87336
2023-03-04 21:52:00,0,89452
2023-03-04 21:54:00,0,41188
2023-03-04 21:56:00,0,87946
2023-03-04 21:58:00,0,41074
2023-03-04 22:00:00,0,86835
2023-03-04 22:02:00,0,87654
2023-03-04 22:04:00,0,40732
2023-03-04 22:06:00,0,86608
2023-03-04 22:08:00,0,39164
2023-03-04 22:10:00,0,86335
2023-03-04 22:12:00,0,86517
2023-03-04 22:14:00,0,40277
2023-03-04 22:16:00,0,85811
2023-03-04 22:18:00,0,42052
2023-03-04 22:20:00,0,87859
2023-03-04 22:22:00,0,87154
2023-03-04 22:24:00,0,41483
2023-03-04 22:26:00,0,79781
2023-03-04 22:28:00,0,34793
2023-03-04 22:30:00,0,80987
2023-03-04 22:32:00,0,81306
2023-03-04 22:34:00,0,34816
2023-03-04 22:36:00,0,82216
2023-03-04 22:38:00,0,39913
2023-03-04 22:40:00,0,86130
2023-03-04 22:42:00,0,88678
2023-03-04 22:44:00,0,40573
2023-03-04 22:46:00,0,88155
2023-03-04 22:48:00,0,41256
2023-03-04 22:50:00,0,86835
2023-03-04 22:52:00,0,86312
2023-03-04 22:54:00,0,40186
2023-03-04 22:56:00,0,84423
2023-03-04 22:58:00,0,39117
2023-03-04 23:00:00,0,84491
2023-03-04 23:02:00,0,85538
2023-03-04 23:04:00,0,40801
2023-03-04 23:06:00,0,84059
2023-03-04 23:08:00,0,41119
2023-03-04 23:10:00,0,86016
2023-03-04 23:12:00,0,88951
2023-03-04 23:14:00,0,42052
2023-03-04 23:16:00,1775,88064
2023-03-04 23:18:00,1775,43734
2023-03-04 23:20:00,0,85720
2023-03-04 23:22:00,0,86517
2023-03-04 23:24:00,0,42097
2023-03-04 23:26:00,0,86426
2023-03-04 23:28:00,0,40505
2023-03-04 23:30:00,0,84924
2023-03-04 23:32:00,0,87450
2023-03-04 23:34:00,0,41802
2023-03-04 23:36:00,0,85083
2023-03-04 23:38:00,0,41438
2023-03-04 23:40:00,0,85697
2023-03-04 23:42:00,0,86558
2023-03-04 23:44:00,0,41097
2023-03-04 23:46:00,0,86335
2023-03-04 23:48:00,0,40732
2023-03-04 23:50:00,0,86266
2023-03-04 23:52:00,0,87336
2023-03-04 23:54:00,0,40823
2023-03-04 23:56:00,0,83968
2023-03-04 23:58:00,0,40482
2023-03-05 00:00:00,0,86335
2023-03-05 00:02:00,4119,95323
2023-03-05 00:04:00,0,42621
2023-03-05 00:06:00,0,85424
2023-03-05 00:08:00,0,40528
2023-03-05 00:10:00,0,85584
2023-03-05 00:12:00,0,88314
2023-03-05 00:14:00,0,40914
2023-03-05 00:16:00,0,83604
2023-03-05 00:18:00,0,39526
2023-03-05 00:20:00,0,87745
2023-03-05 00:22:00,0,85743
2023-03-05 00:24:00,0,39640
2023-03-05 00:26:00,0,86380
2023-03-05 00:28:00,0,41392
2023-03-05 00:30:00,0,85515
2023-03-05 00:32:00,0,86403
2023-03-05 00:34:00,0,40755
2023-03-05 00:36:00,0,86585
2023-03-05 00:38:00,0,41142
2023-03-05 00:40:00,0,84855
2023-03-05 00:42:00,0,85948
2023-03-05 00:44:00,0,41051
2023-03-05 00:46:00,0,85561
2023-03-05 00:48:00,0,41506
2023-03-05 00:50:00,0,85925
2023-03-05 00:52:00,0,86699
2023-03-05 00:54:00,0,41779
2023-03-05 00:56:00,0,86175
2023-03-05 00:58:00,0,39868
2023-03-05 01:00:00,0,87359
2023-03-05 01:02:00,0,87108
2023-03-05 01:04:00,0,41779
2023-03-05 01:06:00,0,86835
2023-03-05 01:08:00,0,39367
2023-03-05 01:10:00,0,85038
2023-03-05 01:12:00,0,86972
2023-03-05 01:14:00,0,42507
2023-03-05 01:16:00,0,85743
2023-03-05 01:18:00,0,41256
2023-03-05 01:20:00,0,86585
2023-03-05 01:22:00,0,87313
2023-03-05 01:24:00,0,42940
2023-03-05 01:26:00,0,85220
2023-03-05 01:28:00,0,38184
2023-03-05 01:30:00,0,87063
2023-03-05 01:32:00,0,89566
2023-03-05 01:34:00,0,41893
2023-03-05 01:36:00,0,85948
2023-03-05 01:38:00,0,39959
2023-03-05 01:40:00,0,86039
2023-03-05 01:42:00,0,87154
2023-03-05 01:44:00,0,42189
2023-03-05 01:46:00,0,85970
2023-03-05 01:48:00,0,40277
2023-03-05 01:50:00,0,85515
2023-03-05 01:52:00,0,86103
2023-03-05 01:54:00,0,41165
2023-03-05 01:56:00,0,85015
2023-03-05 01:58:00,0,40416
2023-03-05 02:00:00,0,84924
2023-03-05 02:02:00,0,85220
2023-03-05 02:04:00,0,53791
2023-03-05 02:06:00,0,86699
2023-03-05 02:08:00,0,41870
2023-03-05 02:10:00,0,86585
2023-03-05 02:12:00,0,89111
2023-03-05 02:14:00,0,44783
2023-03-05 02:16:00,0,87814
2023-03-05 02:18:00,0,43713
2023-03-05 02:20:00,0,89543
2023-03-05 02:22:00,0,87700
2023-03-05 02:24:00,0,42234
2023-03-05 02:26:00,0,86289
2023-03-05 02:28:00,0,40937
2023-03-05 02:30:00,0,84924
2023-03-05 02:32:00,0,85151
2023-03-05 02:34:00,0,41483
2023-03-05 02:36:00,0,85766
2023-03-05 02:38:00,0,39572
2023-03-05 02:40:00,0,85060
2023-03-05 02:42:00,0,86812
2023-03-05 02:44:00,0,42576
2023-03-05 02:46:00,0,87381
2023-03-05 02:48:00,0,40983
2023-03-05 02:50:00,0,86539
2023-03-05 02:52:00,0,102382
2023-03-05 02:54:00,0,42143
2023-03-05 02:56:00,0,86608
2023-03-05 02:58:00,0,40505
2023-03-05 03:00:00,0,86084
2023-03-05 03:02:00,0,87040
2023-03-05 03:04:00,0,41026
2023-03-05 03:06:00,0,86107
2023-03-05 03:08:00,0,40004
2023-03-05 03:10:00,0,84382
2023-03-05 03:12:00,0,88246
2023-03-05 03:14:00,0,41756
2023-03-05 03:16:00,0,88264
2023-03-05 03:18:00,0,42280
2023-03-05 03:20:00,0,86767
2023-03-05 03:22:00,0,86423
2023-03-05 03:24:00,0,41734
2023-03-05 03:26:00,0,87336
2023-03-05 03:28:00,0,40368
2023-03-05 03:30:00,0,85811
2023-03-05 03:32:00,0,87063
2023-03-05 03:34:00,0,42052
2023-03-05 03:36:00,0,87154
2023-03-05 03:38:00,0,40869
2023-03-05 03:40:00,0,85606
2023-03-05 03:42:00,0,86653
2023-03-05 03:44:00,0,42075
2023-03-05 03:46:00,0,88201
2023-03-05 03:48:00,0,40937
2023-03-05 03:50:00,0,86630
2023-03-05 03:52:00,0,88155
2023-03-05 03:54:00,0,42689
2023-03-05 03:56:00,0,86676
2023-03-05 03:58:00,0,40073
2023-03-05 04:00:00,0,85697
2023-03-05 04:02:00,0,88314
2023-03-05 04:04:00,0,41620
2023-03-05 04:06:00,0,86016
2023-03-05 04:08:00,0,40323
2023-03-05 04:10:00,0,85788
2023-03-05 04:12:00,0,86949
2023-03-05 04:14:00,0,42098
2023-03-05 04:16:00,0,86949
2023-03-05 04:18:00,0,41483
2023-03-05 04:20:00,0,87268
2023-03-05 04:22:00,0,86016
2023-03-05 04:24:00,0,41074
2023-03-05 04:26:00,0,87086
2023-03-05 04:28:00,0,40983
2023-03-05 04:30:00,0,85242
2023-03-05 04:32:00,0,86630
2023-03-05 04:34:00,0,42917
2023-03-05 04:36:00,0,88064
2023-03-05 04:38:00,0,41483
2023-03-05 04:40:00,0,88178
2023-03-05 04:42:00,0,88701
2023-03-05 04:44:00,0,41984
2023-03-05 04:46:00,0,86153
2023-03-05 04:48:00,0,40960
2023-03-05 04:50:00,0,87541
2023-03-05 04:52:00,0,87905
2023-03-05 04:54:00,0,43008
2023-03-05 04:56:00,0,87996
2023-03-05 04:58:00,0,40596
2023-03-05 05:00:00,0,83854
2023-03-05 05:02:00,0,82079
2023-03-05 05:04:00,0,38571
2023-03-05 05:06:00,0,85470
2023-03-05 05:08:00,0,40869
2023-03-05 05:10:00,0,85925
2023-03-05 05:12:00,0,87336
2023-03-05 05:14:00,0,40867
2023-03-05 05:16:00,0,86972
2023-03-05 05:18:00,0,42462
2023-03-05 05:20:00,0,85993
2023-03-05 05:22:00,0,86403
2023-03-05 05:24:00,0,41643
2023-03-05 05:26:00,0,85766
2023-03-05 05:28:00,0,40073
2023-03-05 05:30:00,0,85060
2023-03-05 05:32:00,0,85861
2023-03-05 05:34:00,0,41506
2023-03-05 05:36:00,0,87245
2023-03-05 05:38:00,0,38887
2023-03-05 05:40:00,0,85697
2023-03-05 05:42:00,0,87381
2023-03-05 05:44:00,0,41665
2023-03-05 05:46:00,0,85766
2023-03-05 05:48:00,0,39640
2023-03-05 05:50:00,0,85811
2023-03-05 05:52:00,0,86471
2023-03-05 05:54:00,0,41188
2023-03-05 05:56:00,0,87022
2023-03-05 05:58:00,0,40346
2023-03-05 06:00:00,0,84196
2023-03-05 06:02:00,0,82466
2023-03-05 06:04:00,0,40004
2023-03-05 06:06:00,0,108362
2023-03-05 06:08:00,0,41165
2023-03-05 06:10:00,0,84582
2023-03-05 06:12:00,0,85060
2023-03-05 06:14:00,0,40869
2023-03-05 06:16:00,0,87063
2023-03-05 06:18:00,0,42075
2023-03-05 06:20:00,0,86926
2023-03-05 06:22:00,0,87154
2023-03-05 06:24:00,0,40573
2023-03-05 06:26:00,137,87814
2023-03-05 06:28:00,137,41552
2023-03-05 06:30:00,0,84287
2023-03-05 06:32:00,0,87359
2023-03-05 06:34:00,0,41233
2023-03-05 06:36:00,0,86903
2023-03-05 06:38:00,0,42118
2023-03-05 06:40:00,0,86539
2023-03-05 06:42:00,0,85379
2023-03-05 06:44:00,0,38982
2023-03-05 06:46:00,0,85606
2023-03-05 06:48:00,45.5,43281
2023-03-05 06:50:00,45.5,86744
2023-03-05 06:52:00,0,84651
2023-03-05 06:54:00,0,40255
2023-03-05 06:56:00,0,85056
2023-03-05 06:58:00,0,40937
2023-03-05 07:00:00,0,84696
2023-03-05 07:02:00,0,85970
2023-03-05 07:04:00,0,41165
2023-03-05 07:06:00,0,85766
2023-03-05 07:08:00,0,41370
2023-03-05 07:10:00,0,86562
2023-03-05 07:12:00,0,85697
2023-03-05 07:14:00,0,39686
2023-03-05 07:16:00,0,86835
2023-03-05 07:18:00,0,44078
2023-03-05 07:20:00,0,86494
2023-03-05 07:22:00,0,85720
2023-03-05 07:24:00,0,40550
2023-03-05 07:26:00,0,86517
2023-03-05 07:28:00,0,42052
2023-03-05 07:30:00,0,86153
2023-03-05 07:32:00,0,87536
2023-03-05 07:34:00,0,42917
2023-03-05 07:36:00,0,86790
2023-03-05 07:38:00,0,41938
2023-03-05 07:40:00,0,85652
2023-03-05 07:42:00,0,86312
2023-03-05 07:44:00,0,41006
2023-03-05 07:46:00,0,84582
2023-03-05 07:48:00,0,40823
2023-03-05 07:50:00,0,85584
2023-03-05 07:52:00,0,86380
2023-03-05 07:54:00,0,41483
2023-03-05 07:56:00,0,86021
2023-03-05 07:58:00,0,41552
2023-03-05 08:00:00,0,86812
2023-03-05 08:02:00,0,86494
2023-03-05 08:04:00,0,40528
2023-03-05 08:06:00,0,86357
2023-03-05 08:08:00,0,42667
2023-03-05 08:10:00,0,86107
2023-03-05 08:12:00,0,86448
2023-03-05 08:14:00,0,41483
2023-03-05 08:16:00,0,86403
2023-03-05 08:18:00,0,43281
2023-03-05 08:20:00,0,86380
2023-03-05 08:22:00,0,85356
2023-03-05 08:24:00,0,41074
2023-03-05 08:26:00,0,84560
2023-03-05 08:28:00,0,41051
2023-03-05 08:30:00,0,86221
2023-03-05 08:32:00,0,85220
2023-03-05 08:34:00,0,40095
2023-03-05 08:36:00,0,88132
2023-03-05 08:38:00,0,40960
2023-03-05 08:40:00,0,85743
2023-03-05 08:42:00,0,86426
2023-03-05 08:44:00,0,40914
2023-03-05 08:46:00,0,85720
2023-03-05 08:48:00,0,41847
2023-03-05 08:50:00,0,86084
2023-03-05 08:52:00,0,86471
2023-03-05 08:54:00,0,40960
2023-03-05 08:56:00,0,86084
2023-03-05 08:58:00,0,42189
2023-03-05 09:00:00,0,87063
2023-03-05 09:02:00,0,86562
2023-03-05 09:04:00,0,40050
2023-03-05 09:06:00,0,85948
2023-03-05 09:08:00,0,44100
2023-03-05 09:10:00,0,87723
2023-03-05 09:12:00,0,88838
2023-03-05 09:14:00,0,43031
2023-03-05 09:16:00,0,89452
2023-03-05 09:18:00,0,47605
2023-03-05 09:20:00,0,90704
2023-03-05 09:22:00,0,89702
2023-03-05 09:24:00,0,42601
2023-03-05 09:26:00,0,86175
2023-03-05 09:28:00,0,42030
2023-03-05 09:30:00,0,85406
2023-03-05 09:32:00,0,85766
2023-03-05 09:34:00,0,40755
2023-03-05 09:36:00,0,85700
2023-03-05 09:38:00,0,42189
2023-03-05 09:40:00,0,87541
2023-03-05 09:42:00,0,86651
2023-03-05 09:44:00,0,41870
2023-03-05 09:46:00,0,85675
2023-03-05 09:48:00,0,40757
2023-03-05 09:50:00,0,87814
2023-03-05 09:52:00,0,86653
2023-03-05 09:54:00,0,40666
2023-03-05 09:56:00,0,89657
2023-03-05 09:58:00,0,41370
2023-03-05 10:00:00,0,87450
2023-03-05 10:02:00,0,88155
2023-03-05 10:04:00,0,45693
2023-03-05 10:06:00,0,117083
2023-03-05 10:08:00,0,41620
2023-03-05 10:10:00,0,89475
2023-03-05 10:12:00,0,92210
2023-03-05 10:14:00,0,44009
2023-03-05 10:16:00,0,88360
2023-03-05 10:18:00,0,46507
2023-03-05 10:20:00,0,88201
2023-03-05 10:22:00,0,85060
2023-03-05 10:24:00,0,42390
2023-03-05 10:26:00,0,119740
2023-03-05 10:28:00,0,57094
2023-03-05 10:30:00,0,86087
2023-03-05 10:32:00,0,86699
2023-03-05 10:34:00,0,40869
2023-03-05 10:36:00,0,87882
2023-03-05 10:38:00,0,41893
2023-03-05 10:40:00,0,86949
2023-03-05 10:42:00,0,87158
2023-03-05 10:44:00,0,42940
2023-03-05 10:46:00,0,85288
2023-03-05 10:48:00,0,40869
2023-03-05 10:50:00,0,85788
2023-03-05 10:52:00,0,85652
2023-03-05 10:54:00,0,40255
2023-03-05 10:56:00,0,85106
2023-03-05 10:58:00,0,46581
2023-03-05 11:00:00,0,86521
2023-03-05 11:02:00,0,85720
2023-03-05 11:04:00,0,39868
2023-03-05 11:06:00,0,85811
2023-03-05 11:08:00,0,41893
2023-03-05 11:10:00,0,86926
2023-03-05 11:12:00,0,85380
2023-03-05 11:14:00,0,40437
2023-03-05 11:16:00,0,88656
2023-03-05 11:18:00,0,43850
2023-03-05 11:20:00,0,88724
2023-03-05 11:22:00,0,86062
2023-03-05 11:24:00,0,40072
2023-03-05 11:26:00,0,86585
2023-03-05 11:28:00,0,41552
2023-03-05 11:30:00,0,86999
2023-03-05 11:32:00,0,85857
2023-03-05 11:34:00,0,40801
2023-03-05 11:36:00,0,85766
2023-03-05 11:38:00,0,40095
2023-03-05 11:40:00,0,87381
2023-03-05 11:42:00,0,87609
2023-03-05 11:44:00,0,41165
2023-03-05 11:46:00,0,85879
2023-03-05 11:48:00,0,40323
2023-03-05 11:50:00,0,85288
2023-03-05 11:52:00,0,86448
2023-03-05 11:54:00,0,40869
2023-03-05 11:56:00,0,84241
2023-03-05 11:58:00,0,39504
2023-03-05 12:00:00,0,86127
2023-03-05 12:02:00,0,88041
2023-03-05 12:04:00,0,41006
2023-03-05 12:06:00,0,85515
2023-03-05 12:08:00,0,40073
2023-03-05 12:10:00,0,85720
