"Time","udp:99 ","udp:90","udp:50"
2023-03-20 13:00:00,161,92.4,51.3
2023-03-20 13:10:00,186,97.1,53.9
2023-03-20 13:20:00,189,99.0,55.0
2023-03-20 13:30:00,181,95,52.8
2023-03-20 13:40:00,181,95.1,52.8
2023-03-20 13:50:00,161,92.4,51.3
2023-03-20 14:00:00,179,94.5,52.5
2023-03-20 14:10:00,164,92.6,51.4
2023-03-20 14:20:00,157,92.1,51.2
2023-03-20 14:30:00,173,93.5,51.9
2023-03-20 14:40:00,175,93.7,52.1
2023-03-20 14:50:00,159,92.3,51.3
2023-03-20 15:00:00,157,92.1,51.2
2023-03-20 15:10:00,156,92.1,51.1
2023-03-20 15:20:00,157,92.1,51.2
2023-03-20 15:30:00,109,91,50.6
2023-03-20 15:40:00,158,92.2,51.2
2023-03-20 15:50:00,169,93.0,51.7
2023-03-20 16:00:00,189,99.0,55.0
2023-03-20 16:10:00,162,92.4,51.4
2023-03-20 16:20:00,185,96.4,53.6
2023-03-20 16:30:00,185,96.4,53.6
2023-03-20 16:40:00,179,94.6,52.6
2023-03-20 16:50:00,185,96.4,53.6
2023-03-20 17:00:00,179,94.5,52.5
2023-03-20 17:10:00,187,97.3,54.1
2023-03-20 17:20:00,185,96.4,53.6
2023-03-20 17:30:00,189,99.0,55.0
2023-03-20 17:40:00,158,92.2,51.2
2023-03-20 17:50:00,170,93.1,51.7
2023-03-20 18:00:00,170,93.1,51.7
2023-03-20 18:10:00,169,93.0,51.7
2023-03-20 18:20:00,117,91.1,50.6
2023-03-20 18:30:00,161,92.4,51.3
2023-03-20 18:40:00,175,93.7,52.1
2023-03-20 18:50:00,159,92.3,51.3
2023-03-20 19:00:00,170,93.1,51.7
2023-03-20 19:10:00,184,96.0,53.3
2023-03-20 19:20:00,179,94.5,52.5
2023-03-20 19:30:00,179,94.5,52.5
2023-03-20 19:40:00,185,96.4,53.6
2023-03-20 19:50:00,183,95.6,53.1
2023-03-20 20:00:00,189,99.0,55.0
2023-03-20 20:10:00,189,99.0,55.0
2023-03-20 20:20:00,161,92.4,51.3
2023-03-20 20:30:00,185,96.4,53.6
2023-03-20 20:40:00,185,96.4,53.6
2023-03-20 20:50:00,185,96.4,53.6
2023-03-20 21:00:00,161,92.4,51.3
2023-03-20 21:10:00,181,95,52.8
2023-03-20 21:20:00,185,96.4,53.6
2023-03-20 21:30:00,177,94.1,52.3
2023-03-20 21:40:00,185,96.4,53.6
2023-03-20 21:50:00,157,92.1,51.2
2023-03-20 22:00:00,170,93.1,51.7
2023-03-20 22:10:00,155,92.0,51.1
2023-03-20 22:20:00,117,91.1,50.6
2023-03-20 22:30:00,161,92.4,51.3
2023-03-20 22:40:00,174,93.6,52.0
2023-03-20 22:50:00,172,93.3,51.8
2023-03-20 23:00:00,157,92.1,51.2
2023-03-20 23:10:00,169,93,51.7
2023-03-20 23:20:00,179,94.5,52.5
2023-03-20 23:30:00,179,94.5,52.5
2023-03-20 23:40:00,179,94.5,52.5
2023-03-20 23:50:00,183,95.6,53.1
2023-03-21 00:00:00,189,99.0,55.0
2023-03-21 00:10:00,179,94.5,52.5
2023-03-21 00:20:00,185,96.4,53.6
2023-03-21 00:30:00,161,92.4,51.3
2023-03-21 00:40:00,185,96.4,53.6
2023-03-21 00:50:00,185,96.4,53.6
2023-03-21 01:00:00,179,94.5,52.5
2023-03-21 01:10:00,165,92.6,51.5
2023-03-21 01:20:00,189,99.0,55.0
2023-03-21 01:30:00,181,95,52.8
2023-03-21 01:40:00,179,94.5,52.5
2023-03-21 01:50:00,161,92.4,51.3
2023-03-21 02:00:00,124,91.2,50.7
2023-03-21 02:10:00,155,92.0,51.1
2023-03-21 02:20:00,170,93.1,51.7
2023-03-21 02:30:00,125,91.2,50.7
2023-03-21 02:40:00,189,99.0,55.0
2023-03-21 02:50:00,181,95,52.8
2023-03-21 03:00:00,179,94.5,52.5
2023-03-21 03:10:00,184,95.9,53.3
2023-03-21 03:20:00,185,96.4,53.6
2023-03-21 03:30:00,175,93.8,52.1
2023-03-21 03:40:00,179,94.5,52.5
2023-03-21 03:50:00,188,97.9,54.4
2023-03-21 04:00:00,191,110,56.3
2023-03-21 04:10:00,188,98.2,54.5
2023-03-21 04:20:00,170,93.1,51.7
2023-03-21 04:30:00,157,92.1,51.2
2023-03-21 04:40:00,170,93.1,51.7
2023-03-21 04:50:00,157,92.1,51.2
2023-03-21 05:00:00,170,93.1,51.7
2023-03-21 05:10:00,172,93.3,51.8
2023-03-21 05:20:00,99.0,90,50
2023-03-21 05:30:00,172,93.3,51.8
2023-03-21 05:40:00,170,93.1,51.7
2023-03-21 05:50:00,171,93.2,51.8
2023-03-21 06:00:00,185,96.4,53.6
2023-03-21 06:10:00,185,96.4,53.6
2023-03-21 06:20:00,179,94.6,52.6
2023-03-21 06:30:00,190,100,55.6
