"Time","NOERROR","NXDOMAIN","SERVFAIL"
2023-03-21 00:00:00,0.125,0.150,0
2023-03-21 00:04:00,0.508,0.200,0
2023-03-21 00:08:00,0.167,0.283,0
2023-03-21 00:12:00,0.125,0.158,0
2023-03-21 00:16:00,0.475,0.125,0
2023-03-21 00:20:00,0.150,0.225,0
2023-03-21 00:24:00,0.508,0.200,0
2023-03-21 00:28:00,0.158,0.258,0
2023-03-21 00:32:00,0.100,0.0833,0
2023-03-21 00:36:00,0.500,0.183,0
2023-03-21 00:40:00,0.150,0.225,0
2023-03-21 00:44:00,0.483,0.167,0
2023-03-21 00:48:00,0.167,0.275,0
2023-03-21 00:52:00,0.125,0.158,0
2023-03-21 00:56:00,0.500,0.183,0
2023-03-21 01:00:00,0.142,0.208,0
2023-03-21 01:04:00,0.100,0.0917,0
2023-03-21 01:08:00,0.525,0.267,0
2023-03-21 01:12:00,0.117,0.142,0
2023-03-21 01:16:00,0.492,0.183,0
2023-03-21 01:20:00,0.125,0.150,0
2023-03-21 01:24:00,0.133,0.183,0
2023-03-21 01:28:00,0.533,0.275,0
2023-03-21 01:32:00,0.108,0.125,0
2023-03-21 01:36:00,0.475,0.108,0
2023-03-21 01:40:00,0.142,0.208,0
2023-03-21 01:44:00,0.133,0.200,0
2023-03-21 01:48:00,0.533,0.300,0
2023-03-21 01:52:00,0.100,0.0833,0
2023-03-21 01:56:00,0.125,0.167,0
2023-03-21 02:00:00,1.06,0.208,0
2023-03-21 02:04:00,0.133,0.183,0
2023-03-21 02:08:00,0.150,0.225,0
2023-03-21 02:12:00,0.500,0.175,0
2023-03-21 02:16:00,0.125,0.183,0
2023-03-21 02:20:00,0.517,0.225,0
2023-03-21 02:24:00,0.117,0.125,0
2023-03-21 02:28:00,0.158,0.258,0
2023-03-21 02:32:00,0.483,0.142,0
2023-03-21 02:36:00,0.142,0.200,0
2023-03-21 02:40:00,0.125,0.150,0
2023-03-21 02:44:00,0.508,0.200,0
2023-03-21 02:48:00,0.183,0.350,0
2023-03-21 02:52:00,0.492,0.158,0
2023-03-21 02:56:00,0.108,0.108,0
2023-03-21 03:00:00,0.142,0.208,0
2023-03-21 03:04:00,0.500,0.183,0
2023-03-21 03:08:00,0.167,0.283,0
2023-03-21 03:12:00,0.475,0.100,0
2023-03-21 03:16:00,0.142,0.217,0
2023-03-21 03:20:00,0.150,0.225,0
2023-03-21 03:24:00,0.508,0.200,0
2023-03-21 03:28:00,0.150,0.242,0
2023-03-21 03:32:00,0.117,0.142,0
2023-03-21 03:36:00,0.492,0.167,0
2023-03-21 03:40:00,0.142,0.208,0
2023-03-21 03:44:00,0.475,0.108,0
2023-03-21 03:48:00,0.183,0.350,0
2023-03-21 03:52:00,0.125,0.158,0
2023-03-21 03:56:00,0.508,0.200,0
2023-03-21 04:00:00,0.133,0.167,0
2023-03-21 04:04:00,0.142,0.200,0
2023-03-21 04:08:00,1.09,0.300,0
2023-03-21 04:12:00,0.125,0.158,0
2023-03-21 04:16:00,0.108,0.125,0
2023-03-21 04:20:00,0.517,0.225,0
2023-03-21 04:24:00,0.133,0.183,0
2023-03-21 04:28:00,0.525,0.258,0
