"Time","Transmit Total (172.16.66.106:9796)","Transmit Total (172.16.66.107:9796)","Transmit Total (172.16.66.112:9796)","Receive Total (172.16.66.106:9796)","Receive Total (172.16.66.107:9796)","Receive Total (172.16.66.112:9796)"
2023-02-22 11:00:00,157036,118494,101859,95416,108352,78065
2023-02-22 11:02:00,234258,151408,148061,165896,161812,105185
2023-02-22 11:04:00,151394,126908,100379,94190,121424,76582
2023-02-22 11:06:00,163344,125238,105691,99902,113868,82825
2023-02-22 11:08:00,152278,117397,102221,89977,108150,79754
2023-02-22 11:10:00,181163,115234,124802,95600,105485,102255
2023-02-22 11:12:00,261795,152788,175016,167433,163451,133071
2023-02-22 11:14:00,183852,148648,119563,126989,158521,87911
2023-02-22 11:16:00,163570,125639,105388,101647,114814,83011
2023-02-22 11:18:00,165255,125270,113060,91603,115356,90204
2023-02-22 11:20:00,157451,117274,101394,95403,108012,79328
2023-02-22 11:22:00,252671,175656,149138,167597,187668,106988
2023-02-22 11:24:00,207337,148325,132508,148925,157568,93713
2023-02-22 11:26:00,165697,134008,107382,100596,122331,84129
2023-02-22 11:28:00,164355,122160,107360,96612,111708,84080
2023-02-22 11:30:00,149917,119811,98795,90554,109019,75009
2023-02-22 11:32:00,234361,150872,148434,166482,161367,105531
2023-02-22 11:34:00,224599,147985,145749,164648,156591,100306
2023-02-22 11:36:00,194752,126179,130891,101023,115176,108745
2023-02-22 11:38:00,187262,121104,129390,95364,112233,107544
2023-02-22 11:40:00,176755,115469,102564,91473,106735,79593
2023-02-22 11:42:00,311626,200657,160231,174339,207980,118714
2023-02-22 11:44:00,226994,151836,143211,166971,160773,100371
2023-02-22 11:46:00,357264,215022,141426,107115,206341,120304
2023-02-22 11:48:00,351740,196265,152367,98538,189223,131393
2023-02-22 11:50:00,196607,141430,108832,93409,131504,85308
2023-02-22 11:52:00,267618,144290,174735,165990,144720,132988
2023-02-22 11:54:00,244835,149104,164012,162871,158069,121788
2023-02-22 11:56:00,165804,130755,107550,100387,119214,84462
2023-02-22 11:58:00,164317,121222,107712,96718,110745,84542
2023-02-22 12:00:00,149528,124348,98914,90152,113739,75134
2023-02-22 12:02:00,222490,128197,140274,153792,123585,100279
2023-02-22 12:04:00,224896,155499,142526,163160,165441,99280
2023-02-22 12:06:00,160791,115541,104613,96518,104504,81306
2023-02-22 12:08:00,161802,118958,105855,94478,109128,82492
2023-02-22 12:10:00,150040,113982,98875,90092,104056,75396
2023-02-22 12:12:00,205754,120285,132231,134960,110049,97931
2023-02-22 12:14:00,225013,153652,142182,164779,162845,99188
2023-02-22 12:16:00,180341,117362,126512,96124,105977,103945
2023-02-22 12:18:00,185316,121005,128896,96352,110906,106344
2023-02-22 12:20:00,149196,115749,99184,89644,105393,75478
2023-02-22 12:22:00,180432,119779,116718,112036,110054,88084
2023-02-22 12:24:00,231503,151432,144532,167530,162139,101569
2023-02-22 12:26:00,156022,121984,104365,92538,110557,81051
2023-02-22 12:28:00,164150,120972,107688,94808,111055,84576
2023-02-22 12:30:00,149273,119608,99222,89605,109161,75414
2023-02-22 12:32:00,164806,119084,107615,98037,108779,83168
2023-02-22 12:34:00,231126,159272,144777,167410,169368,101618
2023-02-22 12:36:00,153818,116407,102666,92451,105222,79074
2023-02-22 12:38:00,171788,128807,115241,94013,119034,92318
2023-02-22 12:40:00,181901,115054,131795,88443,105401,109235
2023-02-22 12:42:00,189266,121608,132449,98764,110723,109836
2023-02-22 12:44:00,230892,151976,144334,168340,161204,101422
2023-02-22 12:46:00,153459,117423,102515,91677,107615,78956
2023-02-22 12:48:00,162083,120024,105769,95298,109904,82388
2023-02-22 12:50:00,152143,117697,99201,91213,107435,75365
2023-02-22 12:52:00,159058,114707,104762,93218,104567,81352
2023-02-22 12:54:00,232670,153975,144821,170979,163466,101789
2023-02-22 12:56:00,155380,126354,104360,94785,119852,80899
2023-02-22 12:58:00,164603,121631,107633,97192,112034,85265
2023-02-22 13:00:00,152393,124172,100084,92450,115612,77710
2023-02-22 13:02:00,156647,115433,103647,93624,105570,81114
2023-02-22 13:04:00,231791,160770,144571,170561,170916,102260
2023-02-22 13:06:00,177037,131254,125567,94438,129784,102944
2023-02-22 13:08:00,162464,129418,105873,96114,119436,82580
2023-02-22 13:10:00,158655,120293,101964,95543,110307,78613
2023-02-22 13:12:00,156327,114653,106072,89845,104355,82798
2023-02-22 13:14:00,231861,153369,144868,169082,162687,101923
2023-02-22 13:16:00,161719,137023,108201,100493,139891,83223
2023-02-22 13:18:00,172292,119337,115561,96413,109812,93177
2023-02-22 13:20:00,168520,120686,111627,95826,110579,88566
2023-02-22 13:22:00,152798,115723,102598,90033,105113,78911
2023-02-22 13:24:00,232256,154193,144894,170038,163753,101832
2023-02-22 13:26:00,177543,144700,118040,114495,151512,89131
2023-02-22 13:28:00,164353,119666,107596,96095,109189,84330
2023-02-22 13:30:00,158136,125272,102036,94816,115001,78436
2023-02-22 13:32:00,152572,115189,102576,89242,104716,78920
2023-02-22 13:34:00,254163,160777,167276,168577,170394,125056
2023-02-22 13:36:00,189015,150048,124154,127355,159647,91212
2023-02-22 13:38:00,158904,118577,104867,93324,108333,81450
2023-02-22 13:40:00,158808,119961,102308,95655,110044,78843
2023-02-22 13:42:00,156997,115382,106326,90761,104421,82861
2023-02-22 13:44:00,231632,153042,144436,168696,162134,101470
2023-02-22 13:46:00,205592,152319,133087,142105,162728,97571
2023-02-22 13:48:00,156046,115427,103925,92907,106726,81952
2023-02-22 13:50:00,158620,121658,102188,96003,112052,79151
