"Time","Load[5m] (192.168.0.211:9796)","Load[5m] (192.168.0.221:9796)","Load[5m] (192.168.0.222:9796)","Load[1m] (192.168.0.211:9796)","Load[1m] (192.168.0.221:9796)","Load[1m] (192.168.0.222:9796)","Load[15m] (192.168.0.211:9796)","Load[15m] (192.168.0.221:9796)","Load[15m] (192.168.0.222:9796)"
2023-03-23 05:02:00,0.800,0.450,0.460,1.09,0.290,0.380,0.680,0.510,0.550
2023-03-23 05:04:00,0.600,0.380,0.490,0.300,0.320,0.510,0.620,0.470,0.550
2023-03-23 05:06:00,0.620,0.350,0.410,0.540,0.410,0.280,0.620,0.450,0.510
2023-03-23 05:08:00,0.570,0.460,0.670,0.470,0.700,0.980,0.610,0.470,0.600
2023-03-23 05:10:00,0.420,0.470,0.600,0.150,0.450,0.420,0.540,0.470,0.580
2023-03-23 05:12:00,0.440,0.330,0.600,0.370,0.120,0.580,0.540,0.420,0.580
2023-03-23 05:14:00,0.430,0.370,0.610,0.350,0.450,0.870,0.520,0.420,0.580
2023-03-23 05:16:00,0.490,0.310,0.530,0.520,0.230,0.450,0.530,0.390,0.550
2023-03-23 05:18:00,0.500,0.340,0.460,0.690,0.330,0.340,0.530,0.390,0.520
2023-03-23 05:20:00,0.370,0.360,0.390,0.150,0.380,0.230,0.480,0.390,0.490
2023-03-23 05:22:00,0.410,0.500,0.780,0.600,0.820,1.78,0.470,0.430,0.610
2023-03-23 05:24:00,0.310,0.440,0.820,0.160,0.380,0.850,0.420,0.410,0.650
2023-03-23 05:26:00,0.450,0.360,0.670,0.920,0.250,0.470,0.460,0.380,0.610
2023-03-23 05:28:00,0.460,0.430,0.640,0.400,0.400,0.620,0.460,0.410,0.610
2023-03-23 05:30:00,0.430,0.380,0.600,0.430,0.210,0.510,0.450,0.390,0.600
2023-03-23 05:32:00,0.480,0.550,0.540,0.560,0.860,0.480,0.460,0.450,0.570
2023-03-23 05:34:00,0.540,0.550,0.460,0.720,0.660,0.280,0.480,0.460,0.540
2023-03-23 05:36:00,0.510,0.460,0.550,0.500,0.340,0.660,0.470,0.440,0.560
2023-03-23 05:38:00,0.570,0.670,0.490,0.730,1.11,0.360,0.490,0.510,0.540
2023-03-23 05:40:00,0.660,0.670,0.400,1.04,0.530,0.230,0.530,0.540,0.500
2023-03-23 05:42:00,0.600,0.570,0.350,0.590,0.550,0.250,0.520,0.510,0.460
2023-03-23 05:44:00,0.480,0.560,0.310,0.260,0.690,0.170,0.490,0.510,0.430
2023-03-23 05:46:00,0.410,0.500,0.410,0.180,0.280,0.590,0.460,0.500,0.460
2023-03-23 05:48:00,0.410,0.440,0.660,0.330,0.380,1.18,0.450,0.470,0.540
2023-03-23 05:50:00,0.430,0.430,0.540,0.350,0.390,0.360,0.450,0.450,0.520
2023-03-23 05:52:00,0.390,0.330,0.550,0.260,0.140,0.680,0.440,0.420,0.520
2023-03-23 05:54:00,0.340,0.260,0.440,0.210,0.160,0.260,0.410,0.380,0.480
2023-03-23 05:56:00,0.370,0.200,0.600,0.390,0.0600,0.890,0.410,0.340,0.530
2023-03-23 05:58:00,0.350,0.270,0.640,0.330,0.240,0.690,0.400,0.350,0.550
2023-03-23 06:00:00,0.390,0.240,0.630,0.600,0.250,0.690,0.400,0.330,0.560
2023-03-23 06:02:00,0.610,0.320,0.530,1.19,0.320,0.440,0.470,0.350,0.530
2023-03-23 06:04:00,0.510,0.370,0.480,0.350,0.430,0.430,0.450,0.360,0.510
2023-03-23 06:06:00,0.520,0.310,0.480,0.630,0.230,0.570,0.450,0.340,0.500
2023-03-23 06:08:00,0.430,0.450,0.390,0.270,0.870,0.230,0.430,0.390,0.460
2023-03-23 06:10:00,0.520,0.500,0.410,0.450,0.570,0.360,0.470,0.410,0.460
2023-03-23 06:12:00,0.600,0.570,0.380,0.580,0.600,0.290,0.500,0.450,0.440
2023-03-23 06:14:00,0.450,0.510,0.400,0.240,0.370,0.420,0.450,0.440,0.440
2023-03-23 06:16:00,0.500,0.440,0.490,0.540,0.310,0.770,0.470,0.420,0.470
2023-03-23 06:18:00,0.470,0.600,0.430,0.410,0.780,0.360,0.460,0.490,0.450
2023-03-23 06:20:00,0.320,0.480,0.590,0.0700,0.220,0.560,0.400,0.460,0.510
2023-03-23 06:22:00,0.310,0.440,0.630,0.340,0.200,0.640,0.380,0.440,0.540
2023-03-23 06:24:00,0.220,0.430,0.560,0.0600,0.380,0.450,0.340,0.440,0.530
2023-03-23 06:26:00,0.460,0.350,0.490,0.920,0.210,0.330,0.410,0.410,0.510
2023-03-23 06:28:00,0.430,0.320,0.480,0.360,0.340,0.420,0.410,0.390,0.500
2023-03-23 06:30:00,0.390,0.290,0.440,0.390,0.220,0.360,0.390,0.360,0.480
2023-03-23 06:32:00,0.500,0.310,0.430,0.730,0.330,0.340,0.420,0.360,0.470
2023-03-23 06:34:00,0.610,0.260,0.370,0.760,0.160,0.280,0.470,0.340,0.440
2023-03-23 06:36:00,0.630,0.300,0.310,0.680,0.440,0.210,0.490,0.340,0.410
2023-03-23 06:38:00,0.640,0.440,0.330,0.670,0.630,0.320,0.510,0.390,0.410
2023-03-23 06:40:00,0.460,0.360,0.410,0.200,0.280,0.500,0.450,0.360,0.430
2023-03-23 06:42:00,0.420,0.460,0.420,0.230,0.520,0.310,0.440,0.400,0.430
2023-03-23 06:44:00,0.470,0.440,0.420,0.490,0.410,0.420,0.460,0.400,0.430
2023-03-23 06:46:00,0.380,0.590,0.690,0.300,1.04,1.48,0.430,0.450,0.520
2023-03-23 06:48:00,0.540,0.450,0.540,0.870,0.320,0.440,0.480,0.410,0.490
2023-03-23 06:50:00,0.500,0.370,0.520,0.470,0.180,0.440,0.460,0.390,0.480
2023-03-23 06:52:00,0.590,0.480,0.650,0.870,0.740,0.840,0.490,0.420,0.540
2023-03-23 06:54:00,0.480,0.490,0.560,0.360,0.450,0.350,0.460,0.440,0.520
2023-03-23 06:56:00,0.500,0.690,0.610,0.400,0.970,0.580,0.460,0.510,0.540
2023-03-23 06:58:00,0.600,0.720,0.540,0.630,0.750,0.600,0.510,0.550,0.520
2023-03-23 07:00:00,0.690,0.630,0.440,0.660,0.470,0.290,0.550,0.530,0.480
2023-03-23 07:02:00,0.600,0.670,0.400,0.380,0.680,0.340,0.530,0.560,0.460
