"Time","Receive Errors (192.168.0.211:9796)","Receive Errors (192.168.0.221:9796)","Receive Errors (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)","Transmit Errors (192.168.0.211:9796)","Transmit Errors (192.168.0.221:9796)","Transmit Errors (192.168.0.222:9796)","Receive Dropped (192.168.0.211:9796)","Receive Dropped (192.168.0.221:9796)","Receive Dropped (192.168.0.222:9796)","Transmit Dropped (192.168.0.211:9796)","Transmit Dropped (192.168.0.221:9796)","Transmit Dropped (192.168.0.222:9796)","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)"
2023-03-23 03:00:00,0,0,0,382,153,323,0,0,0,0.0667,0.0667,0.0667,0,0,0,428,146,264
2023-03-23 03:02:00,0,0,0,457,231,295,0,0,0,0.0667,0.0667,0.0667,0,0,0,486,229,253
2023-03-23 03:04:00,0,0,0,423,147,300,0,0,0,0.0667,0.0667,0.0667,0,0,0,456,146,258
2023-03-23 03:06:00,0,0,0,362,155,288,0,0,0,0.0722,0.0667,0.0667,0,0,0,385,154,248
2023-03-23 03:08:00,0,0,0,381,160,301,0,0,0,0.0722,0.0667,0.0667,0,0,0,403,151,256
2023-03-23 03:10:00,0,0,0,367,150,301,0,0,0,0.0667,0.0667,0.0667,0,0,0,387,146,251
2023-03-23 03:12:00,0,0,0,452,228,297,0,0,0,0.0667,0.0722,0.0722,0,0,0,480,228,254
2023-03-23 03:14:00,0,0,0,450,178,300,0,0,0,0.0722,0.0778,0.0722,0,0,0,486,178,258
2023-03-23 03:16:00,0,0,0,366,154,290,0,0,0,0.0778,0.0778,0.0833,0,0,0,389,158,254
2023-03-23 03:18:00,0,0,0,380,155,296,0,0,0,0.0778,0.0778,0.0778,0,0,0,401,152,259
2023-03-23 03:20:00,0,0,0,370,158,298,0,0,0,0.0833,0.0778,0.0778,0,0,0,391,155,256
2023-03-23 03:22:00,0,0,0,462,230,302,0,0,0,0.0778,0.0778,0.0778,0,0,0,486,221,256
2023-03-23 03:24:00,0,0,0,464,205,327,0,0,0,0.0778,0.0778,0.0778,0,0,0,510,205,276
2023-03-23 03:26:00,0,0,0,368,156,292,0,0,0,0.0778,0.0778,0.0778,0,0,0,390,155,250
2023-03-23 03:28:00,0,0,0,373,157,299,0,0,0,0.0778,0.0778,0.0778,0,0,0,395,151,255
2023-03-23 03:30:00,0,0,0,365,155,288,0,0,0,0.0778,0.0778,0.0778,0,0,0,391,157,249
2023-03-23 03:32:00,0,0,0,427,225,293,0,0,0,0.0778,0.0833,0.0778,0,0,0,458,220,251
2023-03-23 03:34:00,0,0,0,456,225,301,0,0,0,0.0778,0.0778,0.0778,0,0,0,490,219,259
2023-03-23 03:36:00,0,0,0,375,159,296,0,0,0,0.0778,0.0778,0.0778,0,0,0,392,155,249
2023-03-23 03:38:00,0,0,0,387,164,314,0,0,0,0.0778,0.0778,0.0833,0,0,0,401,148,257
2023-03-23 03:40:00,0,0,0,371,154,311,0,0,0,0.0778,0.0778,0.0778,0,0,0,406,155,260
2023-03-23 03:42:00,0,0,0,400,225,319,0,0,0,0.0833,0.0778,0.0778,0,0,0,447,215,263
2023-03-23 03:44:00,0,0,0,451,223,313,0,0,0,0.0778,0.0778,0.0778,0,0,0,496,221,259
2023-03-23 03:46:00,0,0,0,362,155,288,0,0,0,0.0778,0.0778,0.0778,0,0,0,390,149,248
2023-03-23 03:48:00,0,0,0,371,165,300,0,0,0,0.0778,0.0778,0.0778,0,0,0,396,144,253
2023-03-23 03:50:00,0,0,0,370,162,302,0,0,0,0.0778,0.0778,0.0778,0,0,0,394,151,246
2023-03-23 03:52:00,0,0,0,367,193,297,0,0,0,0.0778,0.0778,0.0778,0,0,0,391,185,250
2023-03-23 03:54:00,0,0,0,448,220,289,0,0,0,0.0778,0.0833,0.0778,0,0,0,487,224,250
2023-03-23 03:56:00,0,0,0,364,164,287,0,0,0,0.0778,0.0778,0.0778,0,0,0,398,150,247
2023-03-23 03:58:00,0,0,0,386,166,312,0,0,0,0.0778,0.0778,0.0778,0,0,0,405,152,258
2023-03-23 04:00:00,0,0,0,369,161,294,0,0,0,0.0778,0.0778,0.0833,0,0,0,393,158,247
2023-03-23 04:02:00,0,0,0,374,165,322,0,0,0,0.0778,0.0778,0.0778,0,0,0,409,158,265
2023-03-23 04:04:00,0,0,0,462,225,319,0,0,0,0.0833,0.0778,0.0778,0,0,0,504,226,266
2023-03-23 04:06:00,0,0,0,363,155,290,0,0,0,0.0778,0.0778,0.0778,0,0,0,392,147,252
2023-03-23 04:08:00,0,0,0,382,159,312,0,0,0,0.0778,0.0778,0.0778,0,0,0,400,151,260
2023-03-23 04:10:00,0,0,0,371,153,292,0,0,0,0.0778,0.0778,0.0778,0,0,0,393,147,249
2023-03-23 04:12:00,0,0,0,370,150,300,0,0,0,0.0778,0.0778,0.0778,0,0,0,393,144,255
2023-03-23 04:14:00,0,0,0,553,366,290,0,0,0,0.0778,0.0778,0.0778,0,0,0,600,369,252
2023-03-23 04:16:00,0,0,0,674,392,307,0,0,0,0.0778,0.0833,0.0778,0,0,0,736,385,265
2023-03-23 04:18:00,0,0,0,432,158,297,0,0,0,0.0778,0.0778,0.0778,0,0,0,457,157,259
2023-03-23 04:20:00,0,0,0,367,147,304,0,0,0,0.0778,0.0778,0.0778,0,0,0,410,147,257
2023-03-23 04:22:00,0,0,0,369,151,313,0,0,0,0.0778,0.0778,0.0833,0,0,0,407,144,260
2023-03-23 04:24:00,0,0,0,369,159,294,0,0,0,0.0778,0.0778,0.0778,0,0,0,394,158,248
2023-03-23 04:26:00,0,0,0,436,219,298,0,0,0,0.0833,0.0778,0.0778,0,0,0,481,219,256
2023-03-23 04:28:00,0,0,0,453,190,296,0,0,0,0.0778,0.0778,0.0778,0,0,0,487,190,255
2023-03-23 04:30:00,0,0,0,364,149,308,0,0,0,0.0778,0.0778,0.0778,0,0,0,408,148,261
2023-03-23 04:32:00,0,0,0,368,152,301,0,0,0,0.0778,0.0778,0.0778,0,0,0,396,145,254
2023-03-23 04:34:00,0,0,0,371,158,294,0,0,0,0.0778,0.0778,0.0778,0,0,0,395,152,249
2023-03-23 04:36:00,0,0,0,438,219,302,0,0,0,0.0778,0.0778,0.0778,0,0,0,479,215,255
2023-03-23 04:38:00,0,0,0,451,215,297,0,0,0,0.0778,0.0833,0.0778,0,0,0,489,214,255
2023-03-23 04:40:00,0,0,0,357,149,292,0,0,0,0.0778,0.0778,0.0778,0,0,0,390,146,249
2023-03-23 04:42:00,0,0,0,360,151,285,0,0,0,0.0778,0.0778,0.0778,0,0,0,391,153,245
2023-03-23 04:44:00,0,0,0,366,151,285,0,0,0,0.0778,0.0778,0.0833,0,0,0,393,146,247
2023-03-23 04:46:00,0,0,0,432,221,325,0,0,0,0.0778,0.0778,0.0778,0,0,0,481,218,269
2023-03-23 04:48:00,0,0,0,449,230,295,0,0,0,0.0778,0.0778,0.0778,0,0,0,486,227,254
2023-03-23 04:50:00,0,0,0,365,162,295,0,0,0,0.0778,0.0778,0.0778,0,0,0,398,149,247
2023-03-23 04:52:00,0,0,0,379,159,293,0,0,0,0.0778,0.0778,0.0778,0,0,0,403,157,250
2023-03-23 04:54:00,0,0,0,374,150,291,0,0,0,0.0778,0.0778,0.0778,0,0,0,396,145,251
2023-03-23 04:56:00,0,0,0,398,221,295,0,0,0,0.0778,0.0778,0.0778,0,0,0,433,222,255
2023-03-23 04:58:00,0,0,0,454,230,297,0,0,0,0.0778,0.0778,0.0778,0,0,0,487,218,256
2023-03-23 05:00:00,0,0,0,371,155,301,0,0,0,0.0778,0.0778,0.0778,0,0,0,393,147,251
2023-03-23 05:02:00,0,0,0,381,161,295,0,0,0,0.0778,0.0778,0.0778,0,0,0,401,158,252
2023-03-23 05:04:00,0,0,0,373,152,296,0,0,0,0.0778,0.0778,0.0778,0,0,0,397,149,253
2023-03-23 05:06:00,0,0,0,379,206,298,0,0,0,0.0778,0.0778,0.0778,0,0,0,414,210,256
2023-03-23 05:08:00,0,0,0,466,228,314,0,0,0,0.0778,0.0778,0.0778,0,0,0,504,221,265
