"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-23 06:18:00,485563,198282,201855,258978,192592,174542
2023-03-23 06:20:00,471412,179933,206149,244986,183047,196165
2023-03-23 06:22:00,410703,172743,197644,195945,143175,175853
2023-03-23 06:24:00,414237,151382,202278,205564,133115,179033
2023-03-23 06:26:00,402240,146973,215471,207802,134749,198416
2023-03-23 06:28:00,473974,184155,206453,245268,193951,181409
2023-03-23 06:30:00,470723,176476,204592,245250,181099,191356
2023-03-23 06:32:00,412747,168288,201483,206277,141408,174561
2023-03-23 06:34:00,443492,150905,234970,204102,131810,230380
2023-03-23 06:36:00,422927,170072,223718,198810,138785,199101
2023-03-23 06:38:00,439444,183352,204694,217831,181905,178864
2023-03-23 06:40:00,479423,175981,214627,242023,177654,200485
2023-03-23 06:42:00,417578,152336,213023,201663,130732,185915
2023-03-23 06:44:00,410866,144791,208141,199425,125932,189027
2023-03-23 06:46:00,401606,164195,202197,203081,134948,170812
2023-03-23 06:48:00,415501,173076,219963,211735,193397,200046
2023-03-23 06:50:00,475948,200769,199532,248541,190276,175657
2023-03-23 06:52:00,406419,152983,198716,194670,130907,173631
2023-03-23 06:54:00,436380,148138,231710,198643,128398,216124
2023-03-23 06:56:00,423118,149740,223931,197505,128739,199262
2023-03-23 06:58:00,412991,155604,212603,204975,141416,193333
2023-03-23 07:00:00,476889,197287,196679,247358,189290,169875
2023-03-23 07:02:00,405245,150335,209799,196406,128733,194810
2023-03-23 07:04:00,419487,172510,201059,201592,148448,174794
2023-03-23 07:06:00,402220,150342,202079,199169,128051,175479
2023-03-23 07:08:00,418913,150619,219076,208988,129491,199309
2023-03-23 07:10:00,478583,182516,204081,254313,182420,177623
2023-03-23 07:12:00,411159,145483,212691,205496,125690,193054
2023-03-23 07:14:00,415346,167234,201369,204754,137287,171574
2023-03-23 07:16:00,397701,150055,206614,197259,128066,187175
2023-03-23 07:18:00,444786,171801,227168,205413,139963,207250
2023-03-23 07:20:00,501827,182253,224223,249004,181676,202680
2023-03-23 07:22:00,439068,148506,212636,221353,127389,195214
2023-03-23 07:24:00,414220,172689,200655,199595,140226,175195
2023-03-23 07:26:00,396852,145002,207787,194868,126406,191485
2023-03-23 07:28:00,421194,170272,209955,201941,140176,182005
2023-03-23 07:30:00,486202,181843,211087,250591,182505,186687
2023-03-23 07:32:00,465198,170474,200331,239627,141033,170935
2023-03-23 07:34:00,412225,152858,199821,198335,131189,174865
2023-03-23 07:36:00,401664,147866,209360,196184,126914,194898
2023-03-23 07:38:00,436218,175033,230189,204779,141724,203223
2023-03-23 07:40:00,498091,178796,229900,245570,180645,216504
2023-03-23 07:42:00,480355,183431,198300,247529,161720,171151
2023-03-23 07:44:00,413780,152708,201911,201312,131026,175509
2023-03-23 07:46:00,403474,164814,200014,200631,135168,171640
2023-03-23 07:48:00,406850,153143,202603,200923,129926,175714
2023-03-23 07:50:00,476615,181570,209888,248687,182299,196196
2023-03-23 07:52:00,483108,198048,201505,249082,182590,175611
2023-03-23 07:54:00,415154,148812,208492,198768,128904,192205
2023-03-23 07:56:00,402754,168289,200807,199784,138047,173034
2023-03-23 07:58:00,416711,151524,204698,204468,137745,176701
2023-03-23 08:00:00,497666,197736,217521,241268,199380,192998
2023-03-23 08:02:00,501916,182175,223768,249252,181716,199226
2023-03-23 08:04:00,412687,151619,209416,199013,131488,195600
2023-03-23 08:06:00,405084,190756,204410,203573,158412,178488
2023-03-23 08:08:00,544883,168649,226042,311878,145859,202333
2023-03-23 08:10:00,441008,200575,199435,223700,190449,172741
2023-03-23 08:12:00,566973,219008,258483,265176,219067,229240
2023-03-23 08:14:00,486920,185621,243793,214577,157307,220001
2023-03-23 08:16:00,409363,151545,205140,203577,130242,187462
2023-03-23 08:18:00,408055,149906,213503,202046,128028,196512
2023-03-23 08:20:00,412583,196518,197957,199775,182415,175204
2023-03-23 08:22:00,509314,177964,233602,249504,177700,218406
2023-03-23 08:24:00,411593,170319,200575,201032,140356,172289
2023-03-23 08:26:00,403897,150956,204921,205412,130841,179203
2023-03-23 08:28:00,408736,166796,201793,204427,136183,171698
2023-03-23 08:30:00,402301,164793,196370,192317,153470,173892
2023-03-23 08:32:00,483403,179875,212069,251353,179424,196672
2023-03-23 08:34:00,409290,173264,201631,200489,141510,174834
2023-03-23 08:36:00,404146,147740,211665,202113,128870,194946
2023-03-23 08:38:00,441255,169399,229446,206586,146446,200309
2023-03-23 08:40:00,412176,154291,197706,195191,142853,174489
2023-03-23 08:42:00,482116,198583,198522,249038,189975,171018
2023-03-23 08:44:00,417427,150164,210399,198888,129146,184614
2023-03-23 08:46:00,411832,150542,221614,199148,129795,207039
2023-03-23 08:48:00,407656,172073,203701,201915,138118,176138
2023-03-23 08:50:00,403418,148391,208167,196943,129569,193358
2023-03-23 08:52:00,483864,200171,198688,248042,190852,172208
2023-03-23 08:54:00,426869,149578,200290,209644,128136,174635
2023-03-23 08:56:00,428967,165566,226096,204910,136433,195963
2023-03-23 08:58:00,438167,151128,229344,205618,128489,208199
2023-03-23 09:00:00,413745,151142,211364,199138,131013,205585
2023-03-23 09:02:00,482440,203858,202101,250500,192963,177028
2023-03-23 09:04:00,453099,147055,210113,229834,126649,193205
2023-03-23 09:06:00,406565,169420,203516,203713,139169,175320
2023-03-23 09:08:00,411214,150850,210241,210039,130331,182540
2023-03-23 09:10:00,402872,167563,202702,200349,138740,178564
2023-03-23 09:12:00,481896,182561,198848,245346,181774,174767
2023-03-23 09:14:00,481866,157016,210240,249559,142384,192964
2023-03-23 09:16:00,404606,170802,202663,202731,140566,176015
2023-03-23 09:18:00,409250,147609,211891,200568,125964,195037
2023-03-23 09:20:00,421096,171195,220185,193553,139744,195424
2023-03-23 09:22:00,482803,182907,197968,244440,182312,174319
2023-03-23 09:24:00,482642,168402,206438,244653,161445,190977
2023-03-23 09:26:00,405015,152103,203632,201818,130911,177642
2023-03-23 09:28:00,411369,145184,213920,205597,124583,193722
2023-03-23 09:30:00,409028,167554,207393,196702,143750,180139
2023-03-23 09:32:00,490786,182926,205177,248533,190808,187167
2023-03-23 09:34:00,482842,196904,200000,253578,189841,171677
2023-03-23 09:36:00,405004,152072,202238,199930,131053,177313
2023-03-23 09:38:00,414834,150466,216262,203446,128842,199147
2023-03-23 09:40:00,399092,157880,199874,196547,132772,174692
2023-03-23 09:42:00,456360,178559,208662,230229,179951,192532
2023-03-23 09:44:00,503691,199396,221525,248535,188753,193905
2023-03-23 09:46:00,435875,152319,223949,198303,130842,206947
2023-03-23 09:48:00,418412,168423,200883,201623,137852,180239
2023-03-23 09:50:00,396674,149464,196939,191383,128557,173069
2023-03-23 09:52:00,432830,181684,211114,213205,181623,195685
2023-03-23 09:54:00,482711,202677,202607,252100,191409,175816
2023-03-23 09:56:00,406571,149022,214636,206625,129315,196715
2023-03-23 09:58:00,412502,169995,208463,211987,138513,176793
2023-03-23 10:00:00,399222,149582,200810,198384,128213,175032
2023-03-23 10:02:00,411339,186205,198457,199291,168765,170191
2023-03-23 10:04:00,481139,180360,199189,247003,179331,173831
2023-03-23 10:06:00,397486,151232,208771,194947,130982,194947
2023-03-23 10:08:00,437336,173129,231334,206366,139934,204632
2023-03-23 10:10:00,398727,147264,206664,194006,127505,191903
2023-03-23 10:12:00,420323,177805,208440,197665,151553,182516
2023-03-23 10:14:00,483435,179924,200050,247953,178816,174400
2023-03-23 10:16:00,399006,166108,197212,196039,136341,168603
2023-03-23 10:18:00,408288,152387,199977,196786,129583,174693
2023-03-23 10:20:00,397423,144593,206226,193703,125636,189182
2023-03-23 10:22:00,413013,169516,200694,201764,139051,172301
2023-03-23 10:24:00,483252,180189,208408,245195,179780,193901
2023-03-23 10:26:00,428856,169819,223366,201594,138001,198324
2023-03-23 10:28:00,441061,152772,225865,201030,138319,199896
2023-03-23 10:30:00,404848,147192,203597,189830,128109,189681
2023-03-23 10:32:00,407474,160526,197203,192715,135208,173897
2023-03-23 10:34:00,482153,178243,207098,246235,180582,191250
2023-03-23 10:36:00,436790,166870,201462,226210,137600,173987
2023-03-23 10:38:00,415740,152637,207008,204465,130401,180518
2023-03-23 10:40:00,395998,165936,199746,193157,136310,176897
2023-03-23 10:42:00,407154,152847,196797,196548,134869,176944
2023-03-23 10:44:00,502592,177994,217709,251728,181323,212783
2023-03-23 10:46:00,464062,173838,198389,240812,147646,170950
2023-03-23 10:48:00,410863,151269,211928,200764,129056,195861
2023-03-23 10:50:00,397239,170064,196123,191393,137904,171452
2023-03-23 10:52:00,406360,152408,199178,195402,130825,173660
2023-03-23 10:54:00,508460,179550,230479,247000,180722,215937
2023-03-23 10:56:00,495741,177723,223253,247795,164705,199440
2023-03-23 10:58:00,410626,149320,210150,199929,129397,192916
2023-03-23 11:00:00,400585,165731,197461,196248,135635,170837
2023-03-23 11:02:00,405315,152206,201049,198118,130575,174818
2023-03-23 11:04:00,494371,199023,204405,254189,198545,179042
2023-03-23 11:06:00,483925,181623,202846,252213,183207,177493
2023-03-23 11:08:00,417931,148496,216372,207393,128385,197179
2023-03-23 11:10:00,399287,165736,193654,191301,136080,168067
2023-03-23 11:12:00,402544,148760,206053,191156,127459,192008
2023-03-23 11:14:00,479757,201839,220885,228485,191359,196248
2023-03-23 11:16:00,497011,181401,225576,249246,181089,200388
2023-03-23 11:18:00,414237,150374,218239,209837,129689,198128
2023-03-23 11:20:00,402338,166555,203130,200373,137191,176724
2023-03-23 11:22:00,406435,146475,209066,196459,126576,191748
2023-03-23 11:24:00,429886,197406,198666,210082,187438,171433
2023-03-23 11:26:00,473236,181147,204564,252354,180647,176111
2023-03-23 11:28:00,423177,167841,206186,210030,138620,181720
2023-03-23 11:30:00,400430,150873,200030,197010,130605,176503
2023-03-23 11:32:00,405181,146825,210704,199154,127435,193625
2023-03-23 11:34:00,436149,186704,225907,204590,167889,198606
2023-03-23 11:36:00,470913,179433,211600,247438,179482,195372
2023-03-23 11:38:00,412870,172998,204694,202499,140523,177221
2023-03-23 11:40:00,410004,150567,198388,194493,129476,174468
2023-03-23 11:42:00,416632,147029,222210,201432,126562,203901
2023-03-23 11:44:00,412141,165639,202538,200835,143088,175717
2023-03-23 11:46:00,477137,176206,211359,249958,177067,193517
2023-03-23 11:48:00,406085,170088,198740,196318,138650,170173
2023-03-23 11:50:00,423412,150642,221024,192745,128962,196698
2023-03-23 11:52:00,412438,165246,202032,195854,144276,176832
2023-03-23 11:54:00,421907,152568,200299,198228,139136,174528
2023-03-23 11:56:00,475477,177241,210366,246826,177150,193711
2023-03-23 11:58:00,418740,169836,202937,208720,137740,173972
2023-03-23 12:00:00,401848,148604,210018,197232,128669,194386
2023-03-23 12:02:00,408402,171183,202039,200897,137963,173441
2023-03-23 12:04:00,412725,151942,202083,201051,131450,176574
2023-03-23 12:06:00,475122,191216,208697,246049,186705,193610
2023-03-23 12:08:00,449797,150864,203885,225339,128730,178119
2023-03-23 12:10:00,424166,144159,229716,194473,125774,212976
2023-03-23 12:12:00,426274,165583,220404,196247,135594,191647
2023-03-23 12:14:00,411441,152353,209445,197040,130657,194732
2023-03-23 12:16:00,473899,203161,199043,243944,191428,174184
2023-03-23 12:18:00,474931,160226,202885,246800,141832,175760
2023-03-23 12:20:00,402800,148738,207163,194744,129212,193342
2023-03-23 12:22:00,406958,158494,202377,199154,132871,175582
2023-03-23 12:24:00,414921,148609,211087,201317,129496,193519
2023-03-23 12:26:00,486954,201136,202676,253327,196149,181524
2023-03-23 12:28:00,500122,172424,207004,256886,171696,186426
2023-03-23 12:30:00,411775,166361,209326,193441,137555,187852
2023-03-23 12:32:00,413558,148782,208581,193490,126829,183768
2023-03-23 12:34:00,406536,151588,210332,197057,130517,194547
2023-03-23 12:36:00,475505,202681,200718,247748,191694,175173
2023-03-23 12:38:00,487073,179317,218382,256992,179194,198502
2023-03-23 12:40:00,425912,169747,220949,196025,139706,195901
2023-03-23 12:42:00,408804,148948,203906,203007,129888,177397
2023-03-23 12:44:00,406778,173164,203319,205150,144203,177856
2023-03-23 12:46:00,439782,178327,202040,229163,179654,173097
2023-03-23 12:48:00,481928,199077,203478,255959,189538,173610
