".+",".+"
2023-03-21 20:20:00,1.71 MB/s
2023-03-21 20:40:00,1.72 MB/s
2023-03-21 21:00:00,1.72 MB/s
2023-03-21 21:20:00,1.70 MB/s
2023-03-21 21:40:00,1.74 MB/s
2023-03-21 22:00:00,1.94 MB/s
2023-03-21 22:20:00,1.94 MB/s
2023-03-21 22:40:00,1.93 MB/s
2023-03-21 23:00:00,1.93 MB/s
2023-03-21 23:20:00,1.94 MB/s
2023-03-21 23:40:00,2.00 MB/s
2023-03-22 00:00:00,1.95 MB/s
2023-03-22 00:20:00,1.94 MB/s
2023-03-22 00:40:00,2.01 MB/s
2023-03-22 01:00:00,1.88 MB/s
2023-03-22 01:20:00,1.89 MB/s
2023-03-22 01:40:00,1.74 MB/s
2023-03-22 02:00:00,1.75 MB/s
2023-03-22 02:20:00,1.74 MB/s
2023-03-22 02:40:00,1.76 MB/s
2023-03-22 03:00:00,1.75 MB/s
2023-03-22 03:20:00,1.76 MB/s
2023-03-22 03:40:00,1.70 MB/s
2023-03-22 04:00:00,2.18 MB/s
2023-03-22 04:20:00,1.94 MB/s
2023-03-22 04:40:00,1.96 MB/s
2023-03-22 05:00:00,2.82 MB/s
2023-03-22 05:20:00,1.99 MB/s
2023-03-22 05:40:00,1.97 MB/s
2023-03-22 06:00:00,1.93 MB/s
2023-03-22 06:20:00,1.94 MB/s
2023-03-22 06:40:00,1.98 MB/s
2023-03-22 07:00:00,1.92 MB/s
2023-03-22 07:20:00,1.92 MB/s
2023-03-22 07:40:00,2.03 MB/s
2023-03-22 08:00:00,1.94 MB/s
2023-03-22 08:20:00,1.93 MB/s
2023-03-22 08:40:00,2.02 MB/s
2023-03-22 09:00:00,1.95 MB/s
2023-03-22 09:20:00,1.93 MB/s
2023-03-22 09:40:00,1.96 MB/s
2023-03-22 10:00:00,1.91 MB/s
2023-03-22 10:20:00,1.92 MB/s
2023-03-22 10:40:00,1.82 MB/s
2023-03-22 11:00:00,1.76 MB/s
2023-03-22 11:20:00,1.79 MB/s
2023-03-22 11:40:00,1.77 MB/s
2023-03-22 12:00:00,1.69 MB/s
2023-03-22 12:20:00,1.67 MB/s
2023-03-22 12:40:00,1.72 MB/s
2023-03-22 13:00:00,1.70 MB/s
2023-03-22 13:20:00,1.71 MB/s
2023-03-22 13:40:00,1.69 MB/s
2023-03-22 14:00:00,1.73 MB/s
2023-03-22 14:20:00,1.70 MB/s
2023-03-22 14:40:00,1.76 MB/s
2023-03-22 15:00:00,1.81 MB/s
2023-03-22 15:20:00,1.74 MB/s
2023-03-22 15:40:00,1.78 MB/s
2023-03-22 16:00:00,1.70 MB/s
2023-03-22 16:20:00,1.71 MB/s
2023-03-22 16:40:00,1.74 MB/s
2023-03-22 17:00:00,1.71 MB/s
2023-03-22 17:20:00,1.76 MB/s
2023-03-22 17:40:00,1.86 MB/s
2023-03-22 18:00:00,1.72 MB/s
2023-03-22 18:20:00,1.73 MB/s
2023-03-22 18:40:00,1.74 MB/s
2023-03-22 19:00:00,1.74 MB/s
2023-03-22 19:20:00,3.70 MB/s
2023-03-22 19:40:00,1.82 MB/s
2023-03-22 20:00:00,2.05 MB/s
2023-03-22 20:20:00,1.79 MB/s
2023-03-22 20:40:00,1.81 MB/s
2023-03-22 21:00:00,1.81 MB/s
2023-03-22 21:20:00,1.78 MB/s
2023-03-22 21:40:00,1.87 MB/s
2023-03-22 22:00:00,1.86 MB/s
2023-03-22 22:20:00,1.82 MB/s
2023-03-22 22:40:00,1.79 MB/s
2023-03-22 23:00:00,1.80 MB/s
2023-03-22 23:20:00,2.30 MB/s
2023-03-22 23:40:00,1.98 MB/s
2023-03-23 00:00:00,1.98 MB/s
2023-03-23 00:20:00,2.00 MB/s
2023-03-23 00:40:00,1.95 MB/s
2023-03-23 01:00:00,1.96 MB/s
2023-03-23 01:20:00,1.97 MB/s
2023-03-23 01:40:00,2.03 MB/s
2023-03-23 02:00:00,1.98 MB/s
2023-03-23 02:20:00,1.92 MB/s

