"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc24a55b6118f2)","Transmit Total (lxc2620cdf5014d)","Transmit Total (lxc27c8bfb255bc)","Transmit Total (lxc2e928844a56f)","Transmit Total (lxc3300f810e11f)","Transmit Total (lxc573a43e1f8d2)","Transmit Total (lxc57952e484e48)","Transmit Total (lxc6a491f057ac7)","Transmit Total (lxc6cffc9e65af3)","Transmit Total (lxc769c27b82d9e)","Transmit Total (lxc7eb535e15136)","Transmit Total (lxc8928d6f5d0b3)","Transmit Total (lxc_health)","Transmit Total (lxca81d0fc879aa)","Transmit Total (lxcafe47d984b50)","Transmit Total (lxccddc051f6a29)","Transmit Total (lxccf3cdc47b0c9)","Transmit Total (lxce6f24bb6c275)","Transmit Total (lxcefae8cd05c83)","Transmit Total (lxcefb8e72134a6)","Transmit Total (lxcfed393d703a1)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc24a55b6118f2)","Receive Total (lxc2620cdf5014d)","Receive Total (lxc27c8bfb255bc)","Receive Total (lxc2e928844a56f)","Receive Total (lxc3300f810e11f)","Receive Total (lxc573a43e1f8d2)","Receive Total (lxc57952e484e48)","Receive Total (lxc6a491f057ac7)","Receive Total (lxc6cffc9e65af3)","Receive Total (lxc769c27b82d9e)","Receive Total (lxc7eb535e15136)","Receive Total (lxc8928d6f5d0b3)","Receive Total (lxc_health)","Receive Total (lxca81d0fc879aa)","Receive Total (lxcafe47d984b50)","Receive Total (lxccddc051f6a29)","Receive Total (lxccf3cdc47b0c9)","Receive Total (lxce6f24bb6c275)","Receive Total (lxcefae8cd05c83)","Receive Total (lxcefb8e72134a6)","Receive Total (lxcfed393d703a1)"
2023-03-11 09:50:00,0,70.1,11773,43378,0,0,66.1,126,0,7992,469,1164,1367,18395,38.5,1796,0,32.3,1644,355,448,66.4,40207,9806,453,0,70.1,0,17868,63495,0,0,41.4,26.8,0,1131,266,657,1352,8483,19,194,0,26.2,17397,102,254,41.7,18745,325,253,0
2023-03-11 09:52:00,0,70.1,12794,43307,0,0,66.1,121,0.389,8002,453,1163,1894,27373,741,1933,0,32.3,1740,326,448,66.4,40258,106,454,0.389,70.1,0,19061,46377,0,0,41.7,20.9,0,1175,252,655,1880,8619,490,184,0,26.2,17378,95.2,251,41.7,27673,236,255,0
2023-03-11 09:54:00,0.389,68.6,12713,43418,0,0,66.8,126,0,7589,455,1158,1088,18757,741,1730,0,32.3,1522,320,448,65.3,40152,103,454,0,68.6,0.389,18262,44312,0,0,41.7,21.9,0,1155,253,655,1082,9257,490,196,0,26.2,17358,94.3,251,39.9,19010,232,254,0
2023-03-11 09:56:00,0,69,14209,45352,0,0.389,66.8,121,0,7851,468,1157,1614,17856,38.5,1861,0,32.3,1646,327,436,65.3,40150,104,453,0,69,0,18189,45208,0,0,41.4,20.9,0,1128,261,651,1608,10655,19,182,0,26.2,17353,95.2,244,40.3,18042,232,252,0.389
2023-03-11 09:58:00,0,69.8,13092,42231,0,0.389,66.8,115,0,8015,469,1163,1606,17903,38.5,1877,0,32.3,1722,338,447,65.7,40206,103,454,0,69.8,0,18150,45039,0,0,41,20.0,0.389,1149,261,655,1604,9525,19,180,0,26.2,17393,97.8,249,41.0,18209,232,254,0.389
2023-03-11 10:00:00,0,69.4,12709,43933,0,0,66.4,126,0,14981,467,1164,1342,17280,38.5,1787,0,32.3,1648,338,449,66.1,40202,197,455,0,69.4,0,17884,51765,0,0,40.6,21.9,0.389,1485,260,655,1349,9400,19,177,0,26.2,17388,97.8,251,41.4,17592,267,256,0
2023-03-11 10:02:00,0,68.6,13474,43919,0,0,66.1,121,0,11468,468,1163,1881,23947,753,1931,0,32.3,1742,344,447,66.1,40235,106,452,0,68.6,0,19082,50028,0,0,41.0,20.9,0,1300,261,657,1878,9261,496,187,0,26.2,17387,99.1,249,41,24230,236,251,0
2023-03-11 10:04:00,0,68.6,12656,43522,0,0,66.1,132,0,8724,469,1159,1345,18993,753,1788,0,32.3,1659,333,448,66.1,40213,104,453,0,68.6,0,18538,46170,0,0,41.0,22.8,0,1187,261,656,1344,8931,496,180,0,26.2,17401,96.5,251,40.6,19326,232,253,0
2023-03-11 10:06:00,0,69.7,13795,45209,0,0,66.4,131,0,9037,468,1159,1609,18343,38.5,1859,0,32.3,1708,338,448,66.1,40211,102,442,0,69.7,0,18181,46458,0,0,41.4,22.8,0,1177,261,655,1607,10244,19,213,0,26.2,17405,97.8,251,41.4,18617,233,248,0
2023-03-11 10:08:00,0,69.4,12994,42218,0,0,66.1,137,0,8135,469,1165,1608,18220,38.5,1866,0,32.3,1710,332,447,66.1,40204,103,443,0,69.4,0,18148,45095,0,0,41.4,23.8,0,1170,262,657,1608,9429,19,188,0,26.2,17388,96.5,249,41,18534,233,250,0
2023-03-11 10:10:00,0,69,12392,43402,0,0,66.1,132,0,7745,468,1160,1347,17720,38.9,1775,0,32.3,1629,349,448,66.1,40194,195,453,0,69,0,17876,44587,0,0,41,22.8,0,1144,261,657,1353,9075,19,207,0,26.2,17394,100,251,40.6,18062,265,253,0
2023-03-11 10:12:00,0,70.1,13118,43617,0,0,66.1,132,0,7942,467,1163,1875,19023,753,1929,0,32.3,1692,338,448,66.1,40168,107,453,0,70.1,0,19078,46864,0,0,41,22.8,0,1122,260,655,1873,8875,484,196,0,26.2,17357,97.5,251,40.6,19260,235,253,0
2023-03-11 10:14:00,0,69.4,12901,43731,0,0,66.1,132,0,7759,469,1163,1347,19091,753,1787,0,32.3,1664,350,448,66.1,40246,109,455,0,69.4,0,18552,45371,0,0,41.4,22.8,0,1138,261,655,1341,9179,484,181,0,26.2,17396,100,252,40.6,19446,239,255,0
