"Time","ct4_global delete","ct4_global delete","ct4_global delete","ct_any4_global delete","ct_any4_global delete","ct_any4_global delete","ipcache update","ipcache update","ipcache update","lxc update","lxc update","lxc update","snat_v4_external delete","snat_v4_external delete","snat_v4_external delete","tunnel_map update","tunnel_map update","tunnel_map update"
2023-03-15 11:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 11:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 11:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 11:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 11:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 11:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 11:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 11:54:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 11:56:00,,,32.1,,,3.66,0.0517,,0.0517,,,,,,0.434,,,
2023-03-15 11:58:00,33.5,39.6,32.1,,,3.66,,,,,,,,17.0,,,,
2023-03-15 12:00:00,33.5,39.6,32.1,,,3.66,,,,,,,,17.0,,,,
2023-03-15 12:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 12:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0207,,0.0276
2023-03-15 12:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:12:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:14:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:16:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 12:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 12:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0207,
2023-03-15 12:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:24:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:26:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 12:34:00,,,31.5,,,4.06,0.0517,,0.0517,,,,,,0.434,,,
2023-03-15 12:36:00,,,31.5,,,4.06,0.0517,,0.0517,,,,,,0.434,,,
2023-03-15 12:38:00,,,31.5,,,4.06,0.0517,,0.0517,,,,,,0.434,,,
2023-03-15 12:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 12:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 12:50:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 12:52:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 12:54:00,33.3,,,2.77,,,0.0517,,0.0517,,,,0.386,,,,,
2023-03-15 12:56:00,33.3,,,2.77,,,0.0517,,0.0517,,,,0.386,,,,,
2023-03-15 12:58:00,33.3,,,2.77,,,0.0517,,0.0517,,,,0.386,,,,,
2023-03-15 13:00:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:02:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 13:04:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:06:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 13:08:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 13:10:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 13:12:00,,,32.6,,,4.20,0.0517,,0.0517,,,,,,0.386,,,
2023-03-15 13:14:00,,,32.6,,,4.20,0.0517,,0.0517,,,,,,0.386,,,
2023-03-15 13:16:00,,,32.6,,,4.20,0.0517,,0.0517,,,,,,0.386,,,
2023-03-15 13:18:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:20:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 13:22:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:24:00,,39.0,,,2.36,,0.0517,,0.0517,,,,,15.9,,,,
2023-03-15 13:26:00,,39.0,,,2.36,,0.0517,,0.0517,,,,,15.9,,,,
2023-03-15 13:28:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 13:30:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 13:32:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:34:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 13:36:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:38:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 13:40:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,0.0276,0.0276,
2023-03-15 13:42:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 13:44:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0276,0.0276
2023-03-15 13:46:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0207
2023-03-15 13:48:00,,,,,,,0.0517,0.0517,0.0517,,,,,,,,0.0207,0.0276
2023-03-15 13:50:00,,,31.4,,,3.98,0.0517,,0.0517,,,,,,0.386,,,
