"Time","failure","success","failure","success","failure","success"
2023-03-15 10:00:00,,0.000109,,0.000104,,0.0000765
2023-03-15 10:02:00,,0.0000737,,0.0000733,,0.0000682
2023-03-15 10:04:00,,0.0000826,,0.0000826,,0.000127
2023-03-15 10:06:00,,0.0000903,,0.0000950,,0.0000859
2023-03-15 10:08:00,,0.000108,,0.0000717,,0.0000829
2023-03-15 10:10:00,,0.000108,,0.0000921,,0.0000785
2023-03-15 10:12:00,,0.0000885,,0.000102,,0.0000685
2023-03-15 10:14:00,,0.000101,,0.000110,,0.0000780
2023-03-15 10:16:00,,0.0000610,,0.0000696,,0.0000633
2023-03-15 10:18:00,,0.0000622,,0.000115,,0.0000815
2023-03-15 10:20:00,,0.0000717,,0.0000811,,0.0000793
2023-03-15 10:22:00,,0.0000673,,0.0000917,,0.0000692
2023-03-15 10:24:00,,0.000108,,0.0000955,,0.0000904
2023-03-15 10:26:00,,0.0000681,,0.000121,,0.0000674
2023-03-15 10:28:00,,0.0000857,,0.000119,,0.0000878
2023-03-15 10:30:00,,0.0000737,,0.0000722,,0.0000795
2023-03-15 10:32:00,,0.0000764,,0.0000793,,0.0000651
2023-03-15 10:34:00,,0.000106,,0.0000758,,0.0000630
2023-03-15 10:36:00,,0.0000926,,0.0000895,,0.0000762
2023-03-15 10:38:00,,0.0000699,,0.0000771,,0.0000947
2023-03-15 10:40:00,,0.0000731,,0.0000700,,0.0000643
2023-03-15 10:42:00,,0.0000857,,0.0000742,,0.0000714
2023-03-15 10:44:00,,0.000101,,0.0000957,,0.0000774
2023-03-15 10:46:00,,0.0000718,,0.0000858,,0.0000815
2023-03-15 10:48:00,,0.0000722,,0.0000721,,0.0000994
2023-03-15 10:50:00,,0.0000699,,0.0000624,,0.0000626
2023-03-15 10:52:00,,0.000106,,0.0000968,,0.0000762
2023-03-15 10:54:00,,0.0000654,,0.0000779,,0.0000865
2023-03-15 10:56:00,,0.000110,,0.0000790,,0.000102
2023-03-15 10:58:00,,0.000103,,0.0000888,,0.0000720
2023-03-15 11:00:00,,0.0000979,,0.0000632,,0.0000630
2023-03-15 11:02:00,,0.000100,,0.0000873,,0.0000760
2023-03-15 11:04:00,,0.0000868,,0.0000651,,0.0000655
2023-03-15 11:06:00,,0.0000662,,0.0000676,,0.0000700
2023-03-15 11:08:00,,0.000125,,0.0000813,,0.0000910
2023-03-15 11:10:00,,0.0000857,,0.0000588,,0.0000949
2023-03-15 11:12:00,,0.0000985,,0.0000905,,0.0000752
2023-03-15 11:14:00,,0.0000556,,0.0000602,,0.0000879
2023-03-15 11:16:00,,0.0000803,,0.0000772,,0.0000922
2023-03-15 11:18:00,,0.0000685,,0.0000666,,0.0000721
2023-03-15 11:20:00,,0.0000741,,0.0000707,,0.0000656
2023-03-15 11:22:00,,0.0000934,,0.0000799,,0.0000972
2023-03-15 11:24:00,,0.0000819,,0.0000847,,0.0000586
2023-03-15 11:26:00,,0.0000945,,0.0000817,,0.000105
2023-03-15 11:28:00,,0.0000622,,0.0000674,,0.000104
2023-03-15 11:30:00,,0.0000675,,0.000150,,0.0000604
2023-03-15 11:32:00,,0.0000770,,0.0000914,,0.0000728
2023-03-15 11:34:00,,0.000101,,0.0000760,,0.0000534
2023-03-15 11:36:00,,0.0000757,,0.000110,,0.0000708
2023-03-15 11:38:00,,0.0000705,,0.0000557,,0.0000614
2023-03-15 11:40:00,,0.0000737,,0.0000713,,0.0000886
2023-03-15 11:42:00,,0.0000781,,0.000108,,0.0000846
2023-03-15 11:44:00,,0.0000693,,0.0000848,,0.0000820
2023-03-15 11:46:00,,0.0000712,,0.0000721,,0.000113
2023-03-15 11:48:00,,0.0000950,,0.0000694,,0.0000581
2023-03-15 11:50:00,,0.0000594,,0.000114,,0.0000901
2023-03-15 11:52:00,,0.000103,,0.0000768,,0.0000671
2023-03-15 11:54:00,,0.0000897,,0.0000612,,0.0000628
2023-03-15 11:56:00,,0.0000944,,0.0000933,,0.0000714
2023-03-15 11:58:00,,0.000106,,0.0000645,,0.0000710
2023-03-15 12:00:00,,0.0000750,,0.0000740,,0.0000787
2023-03-15 12:02:00,,0.0000664,,0.000100,,0.0000893
2023-03-15 12:04:00,,0.000116,,0.0000927,,0.0000608
2023-03-15 12:06:00,,0.000126,,0.0000738,,0.0000741
2023-03-15 12:08:00,,0.0000943,,0.000119,,0.0000708
2023-03-15 12:10:00,,0.0000693,,0.0000726,,0.0000941
2023-03-15 12:12:00,,0.0000988,,0.0000732,,0.0000808
2023-03-15 12:14:00,,0.0000558,,0.0000731,,0.0000885
2023-03-15 12:16:00,,0.0000651,,0.0000604,,0.0000601
2023-03-15 12:18:00,,0.0000553,,0.0000895,,0.0000709
2023-03-15 12:20:00,,0.0000695,,0.0000782,,0.0000760
2023-03-15 12:22:00,,0.0000741,,0.0000648,,0.0000942
2023-03-15 12:24:00,,0.0000678,,0.000100,,0.0000795
2023-03-15 12:26:00,,0.0000956,,0.0000615,,0.0000851
2023-03-15 12:28:00,,0.0000548,,0.0000914,,0.0000661
2023-03-15 12:30:00,,0.0000979,,0.0000705,,0.0000931
2023-03-15 12:32:00,,0.0000630,,0.0000990,,0.0000829
2023-03-15 12:34:00,,0.0000785,,0.0000782,,0.0000910
