"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP","9600/TCP","9808/TCP"
2023-03-11 09:00:00,3.26,1.68,,6.38,8.82,3.10,2.70,2.12,,5.22,,1.66,,2.44
2023-03-11 09:02:00,3.44,,,6.30,9,3.30,2.66,2.12,,5.14,1.70,1.64,,2.44
2023-03-11 09:04:00,3.22,,,6.22,8.38,3.26,2.76,1.96,,5.14,1.70,1.66,,2.44
2023-03-11 09:06:00,3.50,,,6.26,8.76,3.30,2.72,2.16,,5.20,1.76,1.64,,2.44
2023-03-11 09:08:00,3.38,1.78,,6.46,9.02,3.10,2.68,2.20,,5.18,1.70,,,2.44
2023-03-11 09:10:00,3.38,1.82,,6.32,8.74,3.02,2.68,2.08,,5.14,,1.72,,2.48
2023-03-11 09:12:00,3.44,,2.08,6.62,16.4,3.40,2.66,2.12,13.8,5.20,,,,2.50
2023-03-11 09:14:00,3.40,,,6.18,9,3.32,2.68,2.10,,5.20,1.70,1.66,,2.44
2023-03-11 09:16:00,3.52,,,6.38,9.02,3.24,2.74,2.14,,5.18,1.70,1.66,,2.44
2023-03-11 09:18:00,3.34,1.78,,6.56,8.98,3.28,2.72,2.06,,5.16,1.74,,,2.42
2023-03-11 09:20:00,3.34,1.68,,6.26,8.86,3.28,2.70,2.04,,5.20,1.78,,,2.48
2023-03-11 09:22:00,3.46,,1.92,6.28,16.6,3.36,2.70,2.12,43.9,5.18,,,,2.48
2023-03-11 09:24:00,3.38,1.64,,6.34,8.98,3.32,2.66,2.16,,5.20,1.68,,,2.42
2023-03-11 09:26:00,3.54,,,6.30,8.96,3.20,2.66,2.02,,5.20,1.76,1.66,,2.34
2023-03-11 09:28:00,3.28,2.04,1.92,6.42,8.94,3.24,2.66,2.04,,5.16,,,,2.44
2023-03-11 09:30:00,3.34,1.68,,6.24,8.72,3.18,2.74,2.12,,5.18,,1.66,,2.50
2023-03-11 09:32:00,3.30,,2.16,6.14,16.3,3.46,2.72,2.10,68.9,5.20,,,,2.40
2023-03-11 09:34:00,3.32,1.64,,6.24,8.76,3.30,2.70,2.18,,5.16,1.74,,,2.48
2023-03-11 09:36:00,3.48,,,6.44,8.96,3.10,2.68,2.08,,5.20,1.68,1.66,,2.50
2023-03-11 09:38:00,3.28,1.78,,6.44,8.84,3.02,2.62,2.06,,5.18,,1.66,,2.36
2023-03-11 09:40:00,3.28,1.68,,6.08,8.74,2.98,2.72,2.02,,5.18,1.72,,,2.38
2023-03-11 09:42:00,3.46,,2.08,6.32,15.9,3.48,2.66,2.08,97.6,5.20,,,,2.36
2023-03-11 09:44:00,3.16,,,6.16,8.88,3.30,2.70,2.12,,5.12,1.70,1.72,,2.44
2023-03-11 09:46:00,3.48,,,6.62,8.54,3.26,2.74,2.08,,5.18,1.62,1.66,,2.42
2023-03-11 09:48:00,3.32,1.78,,6.22,8.88,3.16,2.66,2.06,,5.20,,1.68,,2.46
2023-03-11 09:50:00,3.38,1.68,,6.18,8.58,3.16,2.66,2.14,,5.14,1.68,,,2.42
2023-03-11 09:52:00,3.16,,2.16,6.48,16.1,3.68,2.70,2.10,102,5.12,,,,2.36
2023-03-11 09:54:00,3.28,1.64,,6.06,8.52,3.32,2.66,2.06,,5.14,1.72,,,2.36
2023-03-11 09:56:00,3.52,,,6.40,8.62,3.24,2.54,2.18,,5.18,1.68,1.66,,2.44
2023-03-11 09:58:00,3.20,1.78,,6.34,8.60,3.14,2.70,2.06,,5.12,,1.68,,2.40
2023-03-11 10:00:00,3.16,1.70,,6.34,8.34,3.16,2.66,2.12,,5.18,,1.66,,2.32
2023-03-11 10:02:00,3.32,,,6.28,8.60,3.50,2.64,2.12,92.0,5.12,1.70,,,2.42
2023-03-11 10:04:00,3.42,,,6.38,8.42,3.08,2.68,2.26,,5.20,1.72,1.66,,2.40
2023-03-11 10:06:00,3.58,,,6.56,8.64,3.24,2.72,2.10,,5.14,1.68,1.66,,2.46
2023-03-11 10:08:00,3.36,1.78,,6.42,8.78,3.16,2.62,2.02,,5.18,1.68,,,2.44
2023-03-11 10:10:00,3.34,1.86,,6.14,9.12,3.24,2.70,2.12,,5.18,1.70,,,2.44
2023-03-11 10:12:00,3.46,,,6.26,8.98,3.54,2.80,2.16,66.7,5.20,1.70,,,2.42
2023-03-11 10:14:00,3.44,1.64,,6.38,9.12,3.36,2.66,2.12,,5.20,,1.66,,2.46
2023-03-11 10:16:00,3.60,,,6.52,9.16,3.26,2.68,2.04,,5.18,1.72,1.66,,2.46
2023-03-11 10:18:00,3.38,1.78,,6.58,9.18,3.14,2.64,2.14,,5.20,1.68,,,2.50
2023-03-11 10:20:00,3.22,1.68,,6.34,9.02,3.36,2.70,2.14,,5.20,1.72,,,2.44
2023-03-11 10:22:00,3.48,,,6.36,8.98,3.46,2.66,2.10,38.2,5.20,1.72,,,2.44
2023-03-11 10:24:00,3.30,1.64,,6.36,8.82,3.28,2.68,2.12,,5.18,,1.66,,2.44
2023-03-11 10:26:00,3.42,,,6.64,8.94,3.20,2.68,2.10,,5.20,1.72,1.66,,2.44
2023-03-11 10:28:00,3.40,2.04,1.90,6.22,8.98,3.24,2.68,2.14,,5.18,,,,2.42
2023-03-11 10:30:00,3.20,1.68,,6.38,8.96,2.92,2.74,2.10,,5.20,1.68,,,2.48
2023-03-11 10:32:00,3.42,,,6.38,8.60,3.28,2.72,2.14,16.8,5.18,,1.66,,2.38
2023-03-11 10:34:00,3.34,1.64,,6.14,8.78,3.32,2.64,2.10,,5.20,,1.78,,2.44
2023-03-11 10:36:00,3.40,,,6.58,8.96,3.30,2.72,2.18,,5.18,1.74,1.66,,2.34
2023-03-11 10:38:00,3.34,1.78,,6.48,8.66,3.12,2.68,2.14,,5.16,1.74,,,2.48
2023-03-11 10:40:00,3.24,1.68,,6.26,8.64,3.10,2.70,2.24,,5.14,1.72,,,2.38
2023-03-11 10:42:00,3.48,,,6.36,8.68,3.26,2.72,2.12,,5.16,1.70,1.66,,2.30
2023-03-11 10:44:00,3.34,1.64,,6.32,8.86,3.14,2.66,2.10,,5.20,,1.66,,2.42
2023-03-11 10:46:00,3.40,,,6.36,8.58,3.18,2.60,2.06,,5.10,1.68,1.66,,2.38
2023-03-11 10:48:00,3.26,1.78,,6.36,8.60,3.18,2.64,2.04,,5.14,,1.66,,2.32
2023-03-11 10:50:00,3.22,1.68,,6.52,8.80,3.02,2.64,2,,5.14,,1.66,,2.40
2023-03-11 10:52:00,3.46,,,6.30,8.70,3.16,2.68,2,,5.14,1.66,1.68,,2.36
2023-03-11 10:54:00,3.16,1.64,,6.22,8.44,3.30,2.58,2,,5.16,,1.68,,2.50
2023-03-11 10:56:00,3.50,,,6.46,8.66,3.18,2.70,2.02,,5.14,1.74,1.66,,2.48
2023-03-11 10:58:00,3.18,1.78,,6.36,8.36,3.28,2.72,1.96,,5.12,1.74,,,2.46
2023-03-11 11:00:00,3.20,1.70,,6.34,8.72,3.22,2.66,2.06,,5.14,1.64,,,2.36
2023-03-11 11:02:00,3.22,,,6.20,8.68,3.06,2.70,1.94,,5.20,1.72,1.74,,2.32
2023-03-11 11:04:00,3.10,,,6.42,8.80,3.18,2.68,2.06,,5.18,1.68,1.66,,2.44
2023-03-11 11:06:00,3.36,,,6.50,8.32,3.22,2.72,2,,5.12,1.70,1.66,,2.38
2023-03-11 11:08:00,3.10,1.78,,6.28,8.68,2.98,2.70,2.02,,5.12,,1.66,,2.38
2023-03-11 11:10:00,3.20,1.88,,6.16,8.44,3.12,2.68,1.92,,5.14,,1.66,,2.40
2023-03-11 11:12:00,3.14,,,6.24,8.50,3.24,2.60,2.10,,5.18,1.78,1.66,,2.32
2023-03-11 11:14:00,3.28,1.64,,6.30,8.50,3.34,2.70,1.96,,5.14,,1.66,,2.44
2023-03-11 11:16:00,3.38,,,6.42,8.42,3.28,2.68,2,,5.18,,1.64,1.60,2.38
2023-03-11 11:18:00,3.32,1.78,,6.20,8.62,3.04,2.68,2.08,,5.16,1.70,,,2.42
2023-03-11 11:20:00,3.16,1.68,,6.24,8.24,3.18,2.74,1.90,,5.14,,1.66,,2.32
2023-03-11 11:22:00,3.12,,,6.20,8.66,3.18,2.70,2,,5.16,1.66,1.66,,2.46
2023-03-11 11:24:00,3.18,1.64,,6.22,8.38,3.02,2.60,2.22,,5.12,1.64,,,2.30
2023-03-11 11:26:00,3.40,,,6.68,8.42,3.16,2.62,2.12,,5.12,1.62,1.76,,2.36
2023-03-11 11:28:00,3.30,2.04,,6.14,8.40,3.04,2.70,2.06,,5.18,1.76,,,2.40
2023-03-11 11:30:00,3.42,1.68,,6.34,8.30,3,2.70,2.06,,5.14,1.70,,,2.34
2023-03-11 11:32:00,3.46,,,6.24,8.70,2.98,2.68,2,,5.14,1.78,1.66,,2.46
2023-03-11 11:34:00,3.34,,2.70,6.32,16.3,3.10,2.68,2.16,12.4,5.16,,,,2.48
2023-03-11 11:36:00,3.50,,,6.62,9.08,3.38,2.70,2.08,,5.18,1.68,1.66,,2.40
2023-03-11 11:38:00,3.40,1.78,,6.38,9.08,3.18,2.72,2.04,,5.18,1.74,,,2.48
2023-03-11 11:40:00,3.32,1.68,,6.36,9.12,3.20,2.68,2.10,,5.20,1.70,,,2.42
2023-03-11 11:42:00,3.50,,,6.60,9.12,3.28,2.74,2.22,,5.20,1.80,1.66,,2.46
2023-03-11 11:44:00,3.42,,2.60,6.34,16.5,3.42,2.70,2.12,32.2,5.16,,,,2.44
2023-03-11 11:46:00,3.56,,,6.76,9.12,3.16,2.70,2.22,,5.18,1.66,1.66,,2.42
2023-03-11 11:48:00,3.38,1.78,,6.28,9.14,3.32,2.70,2.08,,5.20,1.66,,,2.44
2023-03-11 11:50:00,3.36,1.70,,6.38,8.62,3.28,2.68,2.16,,5.18,1.66,,,2.44
2023-03-11 11:52:00,3.40,,,6.28,9.12,3.18,2.64,2.08,,5.18,1.70,1.66,,2.40
2023-03-11 11:54:00,3.34,,2.46,6.22,16.3,3.36,2.68,2.08,57.6,5.18,,,,2.42
2023-03-11 11:56:00,3.56,,,6.58,8.74,3.06,2.74,2.12,,5.16,1.70,1.66,,2.44
2023-03-11 11:58:00,3.38,1.78,,6.58,8.52,3.32,2.70,2.06,,5.16,,1.66,,2.42
2023-03-11 12:00:00,3.32,1.68,,6.28,8.88,3.16,2.70,2.20,,5.16,1.70,,,2.44
2023-03-11 12:02:00,3.44,,,6.36,8.98,3.28,2.68,2.10,,5.16,1.72,1.66,,2.44
2023-03-11 12:04:00,3.22,,2.48,6.42,15.7,3.38,2.74,2.14,88.7,5.10,,,,2.46
2023-03-11 12:06:00,3.46,,,6.60,8.58,3.30,2.64,2.16,,5.18,1.68,1.66,,2.42
2023-03-11 12:08:00,3.22,1.78,,6.18,8.74,3.24,2.76,2.08,,5.18,,1.66,,2.44
2023-03-11 12:10:00,3.28,1.86,,6.30,8.96,3.26,2.68,2.20,,5.22,1.74,,,2.46
2023-03-11 12:12:00,3.48,,,6.62,8.94,3.14,2.68,2.04,,5.12,1.66,1.66,,2.44
2023-03-11 12:14:00,3.26,,2.64,6.26,15.7,3.28,2.80,1.96,101,5.14,,,,2.36
2023-03-11 12:16:00,3.44,,,6.30,8.58,3.18,2.68,2.08,,5.10,1.72,1.68,,2.46
2023-03-11 12:18:00,3.36,1.78,,6.18,8.68,2.92,2.64,2.08,,5.08,,1.64,,2.36
2023-03-11 12:20:00,3.26,1.68,,6.68,8.56,3.22,2.62,2.14,,5.16,,1.66,,2.42
2023-03-11 12:22:00,3.44,,,6.60,8.74,2.98,2.66,2.08,,5.16,1.66,1.66,,2.48
2023-03-11 12:24:00,3.26,,2.70,6.20,15.6,3.48,2.62,2.12,101,5.12,,,,2.42
2023-03-11 12:26:00,3.40,,,6.58,8.14,3.24,2.62,2.10,,5.04,1.62,1.78,,2.46
2023-03-11 12:28:00,3.14,2.04,1.92,6.34,8.10,3.30,2.66,2,,5.18,,,,2.34
2023-03-11 12:30:00,3.24,1.68,,6.44,8.60,3.10,2.66,2.12,,5.14,,1.64,,2.36
2023-03-11 12:32:00,3.30,,,6.54,8.50,3.10,2.70,1.94,,5.16,1.66,1.66,,2.50
2023-03-11 12:34:00,3.06,,,6.66,8.30,3.46,2.62,2.04,90.7,5.12,,1.72,,2.40
2023-03-11 12:36:00,3.46,,,6.36,8.18,3.06,2.74,2.12,,5.16,,1.66,1.58,2.40
2023-03-11 12:38:00,2.96,1.78,,6.34,8.10,2.92,2.68,1.88,,5.06,1.72,,,2.42
2023-03-11 12:40:00,3.18,1.68,,6.48,8.38,2.98,2.72,2.16,,5.12,1.62,,,2.40
2023-03-11 12:42:00,2.92,,,6.40,8.68,3.10,2.68,1.88,,5.10,1.70,1.68,,2.44
2023-03-11 12:44:00,3.16,,,6.40,8.28,3.30,2.66,1.92,70.3,5.18,1.72,,,2.38
2023-03-11 12:46:00,3.34,,,6.52,8.34,3.32,2.76,2.08,,5.18,1.74,1.66,,2.40
2023-03-11 12:48:00,3.32,1.78,,6.48,8.08,2.96,2.62,2.14,,5.12,,1.66,,2.50
2023-03-11 12:50:00,3.38,1.68,,6.24,8.74,3,2.68,2.10,,5.12,,1.66,,2.42
2023-03-11 12:52:00,3.36,,,6.38,8.54,3.12,2.64,1.92,,5.10,,1.66,1.60,2.38
2023-03-11 12:54:00,3.12,,,6.28,8.14,3.20,2.58,2.04,46.4,5.12,1.68,,,2.40
2023-03-11 12:56:00,3.32,,,6.30,8.50,3.22,2.68,1.80,,5.18,1.70,1.66,,2.36
2023-03-11 12:58:00,3.16,1.78,,6.10,8.36,3.08,2.70,1.90,,5.12,1.70,,,2.36
2023-03-11 13:00:00,3.10,1.68,,6.10,8.50,3.20,2.70,2.10,,5.12,,1.66,,2.40
2023-03-11 13:02:00,3.44,,,6.54,8.16,3.12,2.68,2.10,,5.04,1.64,1.66,,2.52
2023-03-11 13:04:00,3.16,,,6.26,8.10,3.10,2.70,2,25.9,5.12,,1.68,,2.40
2023-03-11 13:06:00,3.28,,,6.32,7.88,3.10,2.58,1.92,,5.08,,1.68,1.56,2.34
