"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 12:38:00,15.7,2.74,10.5,9.06
2023-03-11 12:40:00,15.8,2.76,10.4,8.98
2023-03-11 12:42:00,15.7,2.70,10.5,9.02
2023-03-11 12:44:00,28.0,19.5,18.8,13.0
2023-03-11 12:46:00,15.9,2.82,10.6,9.10
2023-03-11 12:48:00,15.7,2.66,10.4,8.98
2023-03-11 12:50:00,15.8,2.76,10.5,9.02
2023-03-11 12:52:00,15.6,2.66,10.3,8.94
2023-03-11 12:54:00,24.0,14.0,16.2,11.7
2023-03-11 12:56:00,15.7,2.84,10.5,9.06
2023-03-11 12:58:00,15.9,2.62,10.5,9.06
2023-03-11 13:00:00,15.7,2.80,10.5,9.02
2023-03-11 13:02:00,15.5,2.74,10.3,8.94
2023-03-11 13:04:00,20.2,8.94,13.7,10.5
2023-03-11 13:06:00,15.6,2.74,10.4,8.98
2023-03-11 13:08:00,15.9,2.78,10.5,9.06
2023-03-11 13:10:00,15.6,2.72,10.4,9
2023-03-11 13:12:00,15.7,2.70,10.5,9.02
2023-03-11 13:14:00,16.7,4.40,11.4,9.32
2023-03-11 13:16:00,15.7,2.64,10.5,9.06
2023-03-11 13:18:00,15.9,2.78,10.5,9.06
2023-03-11 13:20:00,15.7,2.64,10.3,8.94
2023-03-11 13:22:00,15.7,2.80,10.5,9.02
2023-03-11 13:24:00,15.5,2.66,10.4,8.96
2023-03-11 13:26:00,15.8,2.78,10.5,9.06
2023-03-11 13:28:00,15.8,2.78,10.4,9.04
2023-03-11 13:30:00,15.8,2.76,10.5,9.02
2023-03-11 13:32:00,15.6,2.68,10.5,9.02
2023-03-11 13:34:00,15.7,2.66,10.4,9
2023-03-11 13:36:00,15.8,2.76,10.5,9.06
2023-03-11 13:38:00,15.7,2.70,10.4,8.98
2023-03-11 13:40:00,15.8,2.78,10.5,9.02
2023-03-11 13:42:00,15.6,2.72,10.3,8.94
2023-03-11 13:44:00,15.8,2.66,10.5,9.04
2023-03-11 13:46:00,15.6,2.66,10.5,9.02
2023-03-11 13:48:00,15.8,2.72,10.5,9.06
2023-03-11 13:50:00,15.8,2.74,10.5,9.02
2023-03-11 13:52:00,15.6,2.68,10.3,8.94
2023-03-11 13:54:00,15.8,2.74,10.5,9.04
2023-03-11 13:56:00,15.6,2.72,10.5,9.02
2023-03-11 13:58:00,15.8,2.76,10.5,9.06
2023-03-11 14:00:00,15.6,2.76,10.3,8.94
2023-03-11 14:02:00,15.7,2.76,10.5,9.02
2023-03-11 14:04:00,15.6,2.70,10.5,9.04
2023-03-11 14:06:00,15.7,2.70,10.5,9.06
2023-03-11 14:08:00,15.8,2.72,10.5,9.06
2023-03-11 14:10:00,15.6,2.74,10.4,9
2023-03-11 14:12:00,15.8,2.84,10.5,9.02
2023-03-11 14:14:00,15.6,2.74,10.4,8.96
2023-03-11 14:16:00,21.3,5.38,13.8,11.7
2023-03-11 14:18:00,15.7,2.72,10.4,8.98
2023-03-11 14:20:00,15.8,2.74,10.5,9.02
2023-03-11 14:22:00,15.7,2.70,10.5,9.02
2023-03-11 14:24:00,15.6,2.62,10.4,8.96
2023-03-11 14:26:00,24.9,10.2,16.1,12.9
2023-03-11 14:28:00,15.7,2.72,10.4,9.04
