"Time","sum(kube_node_status_allocatable_cpu_cores{}) OR sum(kube_node_status_allocatable{resource=""cpu"",unit=""core""})"
2023-03-23 03:00:00,12
2023-03-23 03:20:00,12
2023-03-23 03:40:00,12
2023-03-23 04:00:00,12
2023-03-23 04:20:00,12
2023-03-23 04:40:00,12
2023-03-23 05:00:00,12
2023-03-23 05:20:00,12
2023-03-23 05:40:00,12
2023-03-23 06:00:00,12
2023-03-23 06:20:00,12
2023-03-23 06:40:00,12
2023-03-23 07:00:00,12
2023-03-23 07:20:00,12
2023-03-23 07:40:00,12
2023-03-23 08:00:00,12
2023-03-23 08:20:00,12
2023-03-23 08:40:00,12
2023-03-23 09:00:00,12
2023-03-23 09:20:00,12
2023-03-23 09:40:00,12
2023-03-23 10:00:00,12
2023-03-23 10:20:00,12
2023-03-23 10:40:00,12
2023-03-23 11:00:00,12
2023-03-23 11:20:00,12
2023-03-23 11:40:00,12
2023-03-23 12:00:00,12
2023-03-23 12:20:00,12
2023-03-23 12:40:00,12
2023-03-23 13:00:00,12
2023-03-23 13:20:00,12
2023-03-23 13:40:00,12
2023-03-23 14:00:00,12
2023-03-23 14:20:00,12
2023-03-23 14:40:00,12
2023-03-23 15:00:00,12
2023-03-23 15:20:00,12
2023-03-23 15:40:00,12
2023-03-23 16:00:00,12
2023-03-23 16:20:00,12
2023-03-23 16:40:00,12
2023-03-23 17:00:00,12
2023-03-23 17:20:00,12
2023-03-23 17:40:00,12
2023-03-23 18:00:00,12
2023-03-23 18:20:00,12
2023-03-23 18:40:00,12
2023-03-23 19:00:00,12
2023-03-23 19:20:00,12
2023-03-23 19:40:00,12
2023-03-23 20:00:00,12
2023-03-23 20:20:00,12
2023-03-23 20:40:00,12
2023-03-23 21:00:00,12
2023-03-23 21:20:00,12
2023-03-23 21:40:00,12
2023-03-23 22:00:00,12
2023-03-23 22:20:00,12
2023-03-23 22:40:00,12
2023-03-23 23:00:00,12
2023-03-23 23:20:00,12
2023-03-23 23:40:00,12
2023-03-24 00:00:00,12
2023-03-24 00:20:00,12
2023-03-24 00:40:00,12
2023-03-24 01:00:00,12
2023-03-24 01:20:00,12
2023-03-24 01:40:00,12
2023-03-24 02:00:00,12
2023-03-24 02:20:00,12
2023-03-24 02:40:00,12
2023-03-24 03:00:00,12
2023-03-24 03:20:00,12
2023-03-24 03:40:00,12
2023-03-24 04:00:00,12
2023-03-24 04:20:00,12
2023-03-24 04:40:00,12
2023-03-24 05:00:00,12
2023-03-24 05:20:00,12
2023-03-24 05:40:00,12
2023-03-24 06:00:00,12
2023-03-24 06:20:00,12
2023-03-24 06:40:00,12
2023-03-24 07:00:00,12
2023-03-24 07:20:00,12
2023-03-24 07:40:00,12
2023-03-24 08:00:00,12
2023-03-24 08:20:00,12
2023-03-24 08:40:00,12
2023-03-24 09:00:00,12

