".+",".+"
2023-03-13 12:00:00,2.15 MB/s
2023-03-13 12:20:00,2.07 MB/s
2023-03-13 12:40:00,2.02 MB/s
2023-03-13 13:00:00,2.05 MB/s
2023-03-13 13:20:00,2.17 MB/s
2023-03-13 13:40:00,2.30 MB/s
2023-03-13 14:00:00,2.30 MB/s
2023-03-13 14:20:00,2.31 MB/s
2023-03-13 14:40:00,2.39 MB/s
2023-03-13 15:00:00,2.27 MB/s
2023-03-13 15:20:00,2.28 MB/s
2023-03-13 15:40:00,2.15 MB/s
2023-03-13 16:00:00,2.01 MB/s
2023-03-13 16:20:00,2.10 MB/s
2023-03-13 16:40:00,2.13 MB/s
2023-03-13 17:00:00,2.03 MB/s
2023-03-13 17:20:00,2.02 MB/s
2023-03-13 17:40:00,2.08 MB/s
2023-03-13 18:00:00,2.25 MB/s
2023-03-13 18:20:00,2.26 MB/s
2023-03-13 18:40:00,2.41 MB/s
2023-03-13 19:00:00,2.39 MB/s
2023-03-13 19:20:00,2.26 MB/s
2023-03-13 19:40:00,2.44 MB/s
2023-03-13 20:00:00,2.03 MB/s
2023-03-13 20:20:00,2.13 MB/s
2023-03-13 20:40:00,2.07 MB/s
2023-03-13 21:00:00,2.02 MB/s
2023-03-13 21:20:00,2.05 MB/s
2023-03-13 21:40:00,2.03 MB/s
2023-03-13 22:00:00,2.16 MB/s
2023-03-13 22:20:00,2.25 MB/s
2023-03-13 22:40:00,2.34 MB/s
2023-03-13 23:00:00,2.34 MB/s
2023-03-13 23:20:00,2.31 MB/s
2023-03-13 23:40:00,2.36 MB/s
2023-03-14 00:00:00,2.15 MB/s
2023-03-14 00:20:00,2.05 MB/s
2023-03-14 00:40:00,2.03 MB/s
2023-03-14 01:00:00,2.13 MB/s
2023-03-14 01:20:00,2.13 MB/s
2023-03-14 01:40:00,2.03 MB/s
2023-03-14 02:00:00,2.03 MB/s
2023-03-14 02:20:00,2.26 MB/s
2023-03-14 02:40:00,2.41 MB/s
2023-03-14 03:00:00,2.39 MB/s
2023-03-14 03:20:00,2.37 MB/s
2023-03-14 03:40:00,2.34 MB/s
2023-03-14 04:00:00,2.34 MB/s
2023-03-14 04:20:00,2.03 MB/s
2023-03-14 04:40:00,2.04 MB/s
2023-03-14 05:00:00,2.03 MB/s
2023-03-14 05:20:00,2.13 MB/s
2023-03-14 05:40:00,2.20 MB/s
2023-03-14 06:00:00,2.12 MB/s
2023-03-14 06:20:00,2.01 MB/s
2023-03-14 06:40:00,2.30 MB/s
2023-03-14 07:00:00,2.31 MB/s
2023-03-14 07:20:00,2.28 MB/s
2023-03-14 07:40:00,2.33 MB/s
2023-03-14 08:00:00,2.29 MB/s
2023-03-14 08:20:00,2.42 MB/s
2023-03-14 08:40:00,2.19 MB/s
2023-03-14 09:00:00,2.15 MB/s
2023-03-14 09:20:00,2.05 MB/s
2023-03-14 09:40:00,2.09 MB/s
2023-03-14 10:00:00,2.14 MB/s
2023-03-14 10:20:00,2.02 MB/s
2023-03-14 10:40:00,2.07 MB/s
2023-03-14 11:00:00,2.21 MB/s
2023-03-14 11:20:00,2.28 MB/s
2023-03-14 11:40:00,2.31 MB/s
2023-03-14 12:00:00,2.30 MB/s
2023-03-14 12:20:00,2.39 MB/s
2023-03-14 12:40:00,2.37 MB/s
2023-03-14 13:00:00,2.14 MB/s
2023-03-14 13:20:00,2.07 MB/s
2023-03-14 13:40:00,2.12 MB/s
2023-03-14 14:00:00,2.08 MB/s
2023-03-14 14:20:00,2.05 MB/s
2023-03-14 14:40:00,2.06 MB/s
2023-03-14 15:00:00,2.09 MB/s
2023-03-14 15:20:00,2.28 MB/s
2023-03-14 15:40:00,2.32 MB/s
2023-03-14 16:00:00,2.29 MB/s
2023-03-14 16:20:00,2.25 MB/s
2023-03-14 16:40:00,2.31 MB/s
2023-03-14 17:00:00,2.30 MB/s
2023-03-14 17:20:00,2.01 MB/s
2023-03-14 17:40:00,2.11 MB/s
2023-03-14 18:00:00,2.03 MB/s

