"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (eno1)","Transmit Total (eno2)","Transmit Total (lxc05ca4eb0f903)","Transmit Total (lxc0e4aa2e5ee9a)","Transmit Total (lxc0f98788fb31e)","Transmit Total (lxc13467604ff43)","Transmit Total (lxc13aeaa26d776)","Transmit Total (lxc1f39d9927cdc)","Transmit Total (lxc2368609f7bd1)","Transmit Total (lxc2988b84f3fbb)","Transmit Total (lxc3029f3c52bb4)","Transmit Total (lxc3bd8d7d2aadc)","Transmit Total (lxc4d23d98e0c91)","Transmit Total (lxc52b2b28bbcc8)","Transmit Total (lxc5851cf07f3be)","Transmit Total (lxc6ed88b62a826)","Transmit Total (lxc75fbef30a752)","Transmit Total (lxc8c4c70aed681)","Transmit Total (lxc92de70f2a832)","Transmit Total (lxc9495fc49f853)","Transmit Total (lxc976dc02abaa0)","Transmit Total (lxc_health)","Transmit Total (lxcacaa9500f437)","Transmit Total (lxcaec49258d85b)","Transmit Total (lxcb3eb82635d42)","Transmit Total (lxcbe13c37cde77)","Transmit Total (lxcc071ea49a929)","Transmit Total (lxcc48a5d2d0f1b)","Transmit Total (lxccceb9198d51d)","Transmit Total (lxcd42ff77fa34a)","Transmit Total (lxcde1fff6244fb)","Transmit Total (lxcf62cc55180bf)","Transmit Total (lxcfec0ac61d5e2)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (eno1)","Receive Total (eno2)","Receive Total (lxc05ca4eb0f903)","Receive Total (lxc0e4aa2e5ee9a)","Receive Total (lxc0f98788fb31e)","Receive Total (lxc13467604ff43)","Receive Total (lxc13aeaa26d776)","Receive Total (lxc1f39d9927cdc)","Receive Total (lxc2368609f7bd1)","Receive Total (lxc2988b84f3fbb)","Receive Total (lxc3029f3c52bb4)","Receive Total (lxc3bd8d7d2aadc)","Receive Total (lxc4d23d98e0c91)","Receive Total (lxc52b2b28bbcc8)","Receive Total (lxc5851cf07f3be)","Receive Total (lxc6ed88b62a826)","Receive Total (lxc75fbef30a752)","Receive Total (lxc8c4c70aed681)","Receive Total (lxc92de70f2a832)","Receive Total (lxc9495fc49f853)","Receive Total (lxc976dc02abaa0)","Receive Total (lxc_health)","Receive Total (lxcacaa9500f437)","Receive Total (lxcaec49258d85b)","Receive Total (lxcb3eb82635d42)","Receive Total (lxcbe13c37cde77)","Receive Total (lxcc071ea49a929)","Receive Total (lxcc48a5d2d0f1b)","Receive Total (lxccceb9198d51d)","Receive Total (lxcd42ff77fa34a)","Receive Total (lxcde1fff6244fb)","Receive Total (lxcf62cc55180bf)","Receive Total (lxcfec0ac61d5e2)"
2023-03-11 08:20:00,0,2656,19258,79934,0,68158,524,67.9,0,1922,210,0,31.5,1968,1898,115,5,16242,160,224,67.1,0,89.6,116,32.3,118,7038,0,118,86.1,410,154,0,18745,78.4,152,2656,0,28326,88384,0,2403,92.8,42.2,0,203,228,0,20.6,2172,171,27.7,5.39,16173,91.5,227,41.5,0,95,27.7,26.2,20.0,1048,0,20.0,65.1,482,135,0,8271,3541,565
2023-03-11 08:22:00,0,1076,35104,117372,0,68008,259,66.4,0,1727,212,0,30.7,1868,1706,115,3.73,16318,159,222,66.4,0,89.6,111,32.0,113,7426,0,112,87.2,352,157,0,19194,76.7,16233,1076,0,42946,104424,0,2398,80.7,41.4,0,177,228,0,19.7,2301,159,27.7,3.73,16180,96.7,223,41,0,95,26.3,25.8,19,1064,0,19,66.2,390,142,0,9487,3539,18297
2023-03-11 08:24:00,0,2658,43065,134413,0,68161,257,65.3,0,1896,212,0,33.5,2005,1875,115,6.03,16321,167,222,64.2,0,89.6,127,32.3,130,9326,0,129,87.2,452,153,0,27167,78.3,21905,2658,0,58162,122609,0,2396,73.9,40.5,0,200,228,0,22.8,2277,159,27.7,6.83,16190,102,223,40.2,0,95,30.3,26.2,21.9,1187,0,21.9,66.6,558,135,0,7942,3593,24569
2023-03-11 08:26:00,0,1077,17681,68469,0,68021,1375,67.9,0,1723,210,0,32.1,1826,1712,126,6.03,16239,161,222,67.5,0,89.6,133,32.7,135,6595,0,134,87.6,405,154,0,18921,77.6,154,1077,0,26946,85904,0,2393,92.6,42.2,0.389,218,228,0,26.6,2174,189,35.2,6.79,16172,95.2,229,42.9,0,95,36.5,26.2,27.8,1024,0,27.8,66.2,469,135,0,7426,3569,570
2023-03-11 08:28:00,0,2129,18805,140295,0,68518,191,66.1,0,2488,211,0,326,1968,2746,132,4.36,16232,604,1097,66.8,0,89.6,127,32.3,130,10695,0,129,86.5,403,156,0,27520,120,754,2129,0,36490,98647,0,2422,72.8,41.4,0,227,228,0,31.9,2292,183,31.6,3.97,16169,103,257,41.7,0,95,35.2,26.2,26.8,1247,0,26.8,65.5,474,136,0,8389,3558,590
2023-03-11 08:30:00,0,2656,19287,146540,0,68579,271,67.5,0,2526,213,0,329,2006,2804,120,4.77,16245,610,1097,68.2,0.389,89.6,121,32.0,123,12056,0,123,87.2,411,159,0,18454,77.6,755,2656,0,27986,90216,0,2413,81.2,41.8,0,220,228,0,26.4,2195,198,29.0,5.13,16183,115,245,42.6,0,95,29.0,25.8,20.9,1320,0,20.9,66.2,493,135,0,9118,3541,577
2023-03-11 08:32:00,0,1076,29305,82913,0,68010,86.0,65.7,0,1724,213,0,34.8,1885,1697,121,5.20,16250,165,229,66.0,0,89.5,127,32.3,130,7370,0,129,87.2,384,162,0,17831,75.7,10859,1076,0,36286,96477,0,2393,77.9,40.6,0,191,229,0,22.6,2306,148,29.0,6.38,16190,97.3,223,40.6,0,95.0,30.3,26.2,21.8,1083,0,21.8,66.2,446,137,0,8784,3538,12378
2023-03-11 08:34:00,0,2394,42805,248210,0,68481,257,66.4,0.389,6825,198,0,4740,2023,11475,126,3.94,16274,7220,9827,66.1,0,89.6,127,32.3,129,26637,0,128,87.2,419,160,0,17236,76.7,31361,2394,0,47992,112248,0,2412,74.2,41,0,233,222,0,55.0,2292,199,30.3,4.75,16220,140,309,41.4,0.389,94.6,30.3,26.2,21.9,1323,0,21.9,66.2,516,137,0,8766,3539,24688
2023-03-11 08:36:00,0,1603,18225,218753,0,68384,150,66.4,0.389,6917,209,0,4966,1895,11802,115,4.07,16263,7555,10276,66.1,0,89.6,116,32.3,118,26801,0,118,87.2,404,158,0,18134,76.7,10046,1603,0,26643,87556,0,2409,79.0,41.4,0,245,227,0,55.5,2190,210,27.7,4.47,16201,141,312,41.4,0.389,94.6,27.7,26.2,20.0,1308,0,20.0,66.2,468,135,0,8697,3540,627
2023-03-11 08:38:00,0,2131,18750,111897,0,68305,192,66.1,0,2228,210,0,321,1968,2495,121,4.30,16254,602,903,66.1,0,89.2,122,32.0,124,14366,0,123,87.2,401,158,0,18540,120,745,2131,0,27534,88632,0,2416,72.8,41.0,0,217,228,0.389,23.9,2294,211,29.0,4.73,16192,114,239,41.4,0,95,29.0,25.8,20.9,1357,0,20.9,66.2,471,137,0,8568,3558,575
