"Time","192.168.0.211:10250 pod","192.168.0.221:10250 pod","192.168.0.222:10250 pod","192.168.0.211:10250 worker","192.168.0.221:10250 worker","192.168.0.222:10250 worker"
2023-03-13 15:20:00,0,0,0,0.454,0.408,0.417
2023-03-13 15:24:00,0,0,0,0.433,0.404,0.387
2023-03-13 15:28:00,0,0,0,0.454,0.392,0.396
2023-03-13 15:32:00,0,0,0,0.442,0.392,0.404
2023-03-13 15:36:00,0,0,0,0.446,0.392,0.400
2023-03-13 15:40:00,0,0,0,0.413,0.404,0.392
2023-03-13 15:44:00,0,0,0,0.442,0.388,0.396
2023-03-13 15:48:00,0,0,0,0.438,0.400,0.408
2023-03-13 15:52:00,0,0,0,0.433,0.400,0.383
2023-03-13 15:56:00,0,0,0,0.421,0.396,0.400
2023-03-13 16:00:00,0,0,0,0.463,0.388,0.396
2023-03-13 16:04:00,0,0,0,0.438,0.408,0.388
2023-03-13 16:08:00,0,0,0,0.433,0.392,0.404
2023-03-13 16:12:00,0,0,0,0.446,0.408,0.400
2023-03-13 16:16:00,0,0,0,0.438,0.396,0.388
2023-03-13 16:20:00,0,0,0,0.421,0.388,0.408
2023-03-13 16:24:00,0,0,0,0.433,0.400,0.388
2023-03-13 16:28:00,0,0,0,0.442,0.383,0.396
2023-03-13 16:32:00,0,0,0,0.442,0.396,0.404
2023-03-13 16:36:00,0,0,0,0.438,0.400,0.400
2023-03-13 16:40:00,0,0,0,0.442,0.400,0.392
2023-03-13 16:44:00,0,0,0,0.433,0.396,0.408
2023-03-13 16:48:00,0,0,0,0.429,0.404,0.404
2023-03-13 16:52:00,0,0,0,0.429,0.392,0.396
2023-03-13 16:56:00,0,0,0,0.463,0.400,0.392
2023-03-13 17:00:00,0,0,0,0.446,0.383,0.388
2023-03-13 17:04:00,0,0,0,0.442,0.400,0.404
2023-03-13 17:08:00,0,0,0,0.450,0.408,0.388
2023-03-13 17:12:00,0,0,0,0.421,0.383,0.404
2023-03-13 17:16:00,0,0,0,0.442,0.383,0.379
2023-03-13 17:20:00,0,0,0,0.438,0.408,0.400
2023-03-13 17:24:00,0,0,0,0.442,0.392,0.404
2023-03-13 17:28:00,0,0,0,0.442,0.413,0.392
2023-03-13 17:32:00,0,0,0,0.438,0.383,0.396
2023-03-13 17:36:00,0,0,0,0.433,0.396,0.396
2023-03-13 17:40:00,0,0,0,0.421,0.396,0.396
2023-03-13 17:44:00,0,0,0,0.442,0.417,0.400
2023-03-13 17:48:00,0,0,0,0.446,0.396,0.396
2023-03-13 17:52:00,0,0,0,0.429,0.388,0.392
2023-03-13 17:56:00,0,0,0,0.442,0.404,0.392
2023-03-13 18:00:00,0,0,0,0.425,0.392,0.400
2023-03-13 18:04:00,0,0,0,0.433,0.413,0.388
2023-03-13 18:08:00,0,0,0,0.458,0.400,0.404
2023-03-13 18:12:00,0,0,0,0.442,0.400,0.388
2023-03-13 18:16:00,0,0,0,0.421,0.388,0.400
2023-03-13 18:20:00,0,0,0,0.450,0.388,0.404
2023-03-13 18:24:00,0,0,0,0.421,0.400,0.392
2023-03-13 18:28:00,0,0,0,0.438,0.417,0.396
2023-03-13 18:32:00,0,0,0,0.442,0.379,0.400
2023-03-13 18:36:00,0,0,0,0.446,0.396,0.379
2023-03-13 18:40:00,0,0,0,0.467,0.396,0.392
2023-03-13 18:44:00,0,0,0,0.417,0.388,0.404
2023-03-13 18:48:00,0,0,0,0.458,0.396,0.396
2023-03-13 18:52:00,0,0,0,0.425,0.413,0.400
2023-03-13 18:56:00,0,0,0,0.454,0.392,0.400
2023-03-13 19:00:00,0,0,0,0.421,0.404,0.408
2023-03-13 19:04:00,0,0,0,0.458,0.383,0.404
2023-03-13 19:08:00,0,0,0,0.433,0.396,0.392
2023-03-13 19:12:00,0,0,0,0.429,0.404,0.392
2023-03-13 19:16:00,0,0,0,0.438,0.392,0.396
2023-03-13 19:20:00,0,0,0,0.438,0.413,0.388
2023-03-13 19:24:00,0,0,0,0.446,0.400,0.413
2023-03-13 19:28:00,0,0,0,0.446,0.400,0.388
2023-03-13 19:32:00,0,0,0,0.433,0.379,0.408
2023-03-13 19:36:00,0,0,0,0.417,0.425,0.388
2023-03-13 19:40:00,0,0,0,0.463,0.396,0.379
2023-03-13 19:44:00,0,0,0,0.433,0.396,0.408
2023-03-13 19:48:00,0,0,0,0.458,0.388,0.400
2023-03-13 19:52:00,0,0,0,0.429,0.417,0.408
2023-03-13 19:56:00,0,0,0,0.421,0.396,0.396
2023-03-13 20:00:00,0,0,0,0.429,0.396,0.392
2023-03-13 20:04:00,0,0,0,0.446,0.388,0.404
2023-03-13 20:08:00,0,0,0,0.442,0.413,0.400
2023-03-13 20:12:00,0,0,0,0.429,0.392,0.417
2023-03-13 20:16:00,0,0,0,0.433,0.404,0.392
2023-03-13 20:20:00,0,0,0,0.425,0.400,0.383
2023-03-13 20:24:00,0,0,0,0.442,0.388,0.408
2023-03-13 20:28:00,0,0,0,0.446,0.396,0.392
2023-03-13 20:32:00,0,0,0,0.446,0.396,0.404
2023-03-13 20:36:00,0,0,0,0.446,0.396,0.396
2023-03-13 20:40:00,0,0,0,0.429,0.396,0.392
2023-03-13 20:44:00,0,0,0,0.429,0.404,0.400
2023-03-13 20:48:00,0,0,0,0.442,0.396,0.383
2023-03-13 20:52:00,0,0,0,0.433,0.383,0.396
2023-03-13 20:56:00,0,0,0,0.442,0.417,0.404
2023-03-13 21:00:00,0,0,0,0.429,0.400,0.388
2023-03-13 21:04:00,0,0,0,0.433,0.383,0.387
2023-03-13 21:08:00,0,0,0,0.442,0.396,0.417
2023-03-13 21:12:00,0,0,0,0.438,0.404,0.396
2023-03-13 21:16:00,0,0,0,0.433,0.392,0.392
2023-03-13 21:20:00,0,0,0,0.433,0.396,0.425
2023-03-13 21:24:00,0,0,0,0.446,0.392,0.383
2023-03-13 21:28:00,0,0,0,0.438,0.400,0.388
2023-03-13 21:32:00,0,0,0,0.450,0.396,0.408
2023-03-13 21:36:00,0,0,0,0.429,0.408,0.408
2023-03-13 21:40:00,0,0,0,0.450,0.392,0.392
2023-03-13 21:44:00,0,0,0,0.429,0.400,0.388
2023-03-13 21:48:00,0,0,0,0.433,0.404,0.425
2023-03-13 21:52:00,0,0,0,0.433,0.392,0.383
2023-03-13 21:56:00,0,0,0,0.438,0.404,0.396
2023-03-13 22:00:00,0,0,0,0.429,0.408,0.396
2023-03-13 22:04:00,0,0,0,0.479,0.379,0.392
2023-03-13 22:08:00,0,0,0,0.425,0.400,0.392
2023-03-13 22:12:00,0,0,0,0.438,0.404,0.413
2023-03-13 22:16:00,0,0,0,0.425,0.404,0.396
2023-03-13 22:20:00,0,0,0,0.429,0.388,0.392
2023-03-13 22:24:00,0,0,0,0.450,0.400,0.396
2023-03-13 22:28:00,0,0,0,0.433,0.388,0.404
2023-03-13 22:32:00,0,0,0,0.438,0.396,0.388
2023-03-13 22:36:00,0,0,0,0.442,0.400,0.396
2023-03-13 22:40:00,0,0,0,0.429,0.396,0.400
2023-03-13 22:44:00,0,0,0,0.450,0.400,0.388
2023-03-13 22:48:00,0,0,0,0.433,0.408,0.388
2023-03-13 22:52:00,0,0,0,0.425,0.396,0.400
2023-03-13 22:56:00,0,0,0,0.429,0.404,0.400
2023-03-13 23:00:00,0,0,0,0.458,0.396,0.388
2023-03-13 23:04:00,0,0,0,0.425,0.404,0.404
2023-03-13 23:08:00,0,0,0,0.438,0.388,0.413
2023-03-13 23:12:00,0,0,0,0.433,0.417,0.392
2023-03-13 23:16:00,0,0,0,0.421,0.404,0.392
2023-03-13 23:20:00,0,0,0,0.446,0.379,0.413
2023-03-13 23:24:00,0,0,0,0.433,0.400,0.396
2023-03-13 23:28:00,0,0,0,0.433,0.400,0.396
2023-03-13 23:32:00,0,0,0,0.425,0.383,0.400
2023-03-13 23:36:00,0,0,0,0.450,0.408,0.404
2023-03-13 23:40:00,0,0,0,0.425,0.388,0.388
2023-03-13 23:44:00,0,0,0,0.450,0.396,0.408
2023-03-13 23:48:00,0,0,0,0.446,0.413,0.404
2023-03-13 23:52:00,0,0,0,0.433,0.388,0.396
2023-03-13 23:56:00,0,0,0,0.433,0.383,0.396
2023-03-14 00:00:00,0,0,0,0.433,0.408,0.404
2023-03-14 00:04:00,0,0,0,0.417,0.392,0.396
2023-03-14 00:08:00,0,0,0,0.446,0.396,0.388
2023-03-14 00:12:00,0,0,0,0.442,0.396,0.413
2023-03-14 00:16:00,0,0,0,0.438,0.404,0.404
2023-03-14 00:20:00,0,0,0,0.446,0.392,0.400
2023-03-14 00:24:00,0,0,0,0.433,0.404,0.388
2023-03-14 00:28:00,0,0,0,0.417,0.392,0.396
2023-03-14 00:32:00,0,0,0,0.433,0.400,0.404
2023-03-14 00:36:00,0,0,0,0.450,0.404,0.400
2023-03-14 00:40:00,0,0,0,0.438,0.392,0.400
2023-03-14 00:44:00,0,0,0,0.433,0.388,0.404
2023-03-14 00:48:00,0,0,0,0.417,0.396,0.396
2023-03-14 00:52:00,0,0,0,0.429,0.404,0.404
2023-03-14 00:56:00,0,0,0,0.442,0.400,0.379
2023-03-14 01:00:00,0,0,0,0.446,0.379,0.400
2023-03-14 01:04:00,0,0,0,0.429,0.408,0.388
2023-03-14 01:08:00,0,0,0,0.438,0.383,0.417
