"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf4214ee191c8)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf4214ee191c8)","Receive Total (lxcf97c652df312)"
2023-03-13 12:20:00,0,74.1,25075,52786,0,0,0,0,0,172,286,118,455,66.1,449,38.5,0,586,31.8,0,38.5,1772,4.27,447,0,65.8,41600,19,1803,6820,2434,1345,74.1,0,35551,62260,0,0,0,0,0,225,111,27.7,254,40.6,254,19,0,699,25.7,0,19,144,4.13,249,0,41.4,20253,38.5,186,1057,107,1339
2023-03-13 12:22:00,0,76.7,24370,52119,0,0,0,0,0,174,290,113,454,66.1,444,38.5,0.389,585,32.0,0,38.5,1890,4.27,449,0,65.7,41635,19,1902,7153,220,1609,76.7,0,35840,61079,0,0,0,0,0,223,110,26.3,254,40.6,248,19,0,701,26.0,0,19,167,4.13,251,0,41.4,19276,38.5,189,1111,73.1,1601
2023-03-13 12:24:00,0,77.1,37507,91133,0,0,0,0,62,176,289,124,456,65.7,446,638,0,584,31.8,0,38.5,1810,4.27,449,0.389,66.2,41716,19,1818,6894,669,1345,77.1,0,59060,88994,0,0,0,0,150,223,110,29.0,256,40.3,250,414,0,702,25.7,0,19,197,4.13,251,0,42.1,29930,38.5,205,1159,91.9,1339
2023-03-13 12:26:00,0,80,25302,63289,0,0,0,0,62,176,284,124,456,65.8,448,638,0,582,31.8,0,38.5,1782,4.27,447,0,66.2,41633,19,1813,6839,142,1344,80,0,45439,71921,0,0,0,0,150,222,108,29.0,256,40.3,253,414,0,705,25.7,0,19,173,4.13,249,0,41.5,19006,38.5,212,1088,72.0,1334
2023-03-13 12:28:00,0,81.8,34041,62474,0,0,0,0,0,174,292,130,453,65.7,444,38.5,0,586,31.8,0,38.5,1952,4.27,447,0,65.8,41718,19,1980,7203,288,1875,81.8,0,36171,61768,0,0.389,0,0,0,223,113,30.3,252,41,248,19,0,701,25.7,0,19,152,4.13,249,0,41.4,28713,38.5,192,1085,76.1,1863
2023-03-13 12:30:00,0,73.0,25048,52690,0,0,0,0,0,172,288,130,454,65.7,447,38.5,0,586,31.6,0.389,38.5,1802,4.27,450,0,65.6,41601,19,1835,6865,148,1349,73.0,0,35560,60009,0,0,0,0,0,225,113,30.3,254,40.6,251,19,0,700,25.5,0,19,149,4.13,253,0,40.6,20201,38.5,185,1056,76.9,1343
2023-03-13 12:32:00,0,73.0,32740,61164,0,0,0,0,0.389,173,287,125,456,65.7,448,38.5,0,585,31.6,0.389,38.5,1869,4.27,450,0,66.0,41705,19,1883,7033,220,1607,73.0,0,35888,61050,0,0,0,0,0,226,113,29.0,256,40.3,257,19,0,701,25.5,0,19,166,4.13,253,0,40.6,27665,38.5,196,1105,73.9,1599
2023-03-13 12:34:00,0,78.5,28385,81010,0,0,0,0,62.4,174,291,130,453,65.3,448,637,0,586,32.0,0,38.5,1950,4.50,448,0,65.8,41696,19,1960,7175,297,1866,78.5,0,59352,89733,0,0,0,0,151,225,117,30.7,252,39.9,257,414,0,699,26.0,0,19,173,4.37,249,0,41.1,20265,38.5,189,1082,79.5,1865
2023-03-13 12:36:00,0,82.9,24835,77131,0,0,0,0,62,174,289,136,453,65.3,435,637,0,584,32.3,0,38.5,1698,4.50,450,0,66.1,41690,19,1734,6766,80.5,1069,82.9,0,58565,87435,0,0,0,0,151,225,114,32.0,253,39.9,245,414,0,697,26.2,0.389,19,155,4.37,252,0,41.4,17504,38.5,198,1065,75.1,1071
2023-03-13 12:38:00,0,78.2,32532,60999,0,0,0,0,0,174,291,130,456,66.1,438,38.5,0,588,32.0,0,38.5,1935,4.27,452,0,66.1,41680,19,1952,7204,288,1873,78.2,0,36146,61710,0,0,0,0,0,223,112,30.3,256,40.6,248,19,0,701,26.0,0.389,19,168,4.13,254,0,40.6,27192,38.5,201,1114,75.7,1868
