"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc08f9bbcf2cc2)","Transmit Total (lxc18b2a9fae4e6)","Transmit Total (lxc2d0cb026a340)","Transmit Total (lxc32ecf1ec23fa)","Transmit Total (lxc38d81bba1941)","Transmit Total (lxc536989e0bbe0)","Transmit Total (lxc7b55c12eff69)","Transmit Total (lxc815054fad3e3)","Transmit Total (lxc896636513d9b)","Transmit Total (lxc898970f2c474)","Transmit Total (lxc89bd03f98afc)","Transmit Total (lxc98325d012b94)","Transmit Total (lxc9a6f6d3b6e50)","Transmit Total (lxc9e5774929ec6)","Transmit Total (lxc_health)","Transmit Total (lxcb1aea5f13203)","Transmit Total (lxcc010f2457e82)","Transmit Total (lxcc255ada0b5e4)","Transmit Total (lxcc306a8298bc0)","Transmit Total (lxcd67315019948)","Transmit Total (lxcd95baf1a2e26)","Transmit Total (lxcdcee95369ec3)","Transmit Total (lxce37cface0780)","Transmit Total (lxcf1e7004cd84c)","Transmit Total (lxcf2b5505183fa)","Transmit Total (lxcf31ee673b547)","Transmit Total (lxcf97c652df312)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc08f9bbcf2cc2)","Receive Total (lxc18b2a9fae4e6)","Receive Total (lxc2d0cb026a340)","Receive Total (lxc32ecf1ec23fa)","Receive Total (lxc38d81bba1941)","Receive Total (lxc536989e0bbe0)","Receive Total (lxc7b55c12eff69)","Receive Total (lxc815054fad3e3)","Receive Total (lxc896636513d9b)","Receive Total (lxc898970f2c474)","Receive Total (lxc89bd03f98afc)","Receive Total (lxc98325d012b94)","Receive Total (lxc9a6f6d3b6e50)","Receive Total (lxc9e5774929ec6)","Receive Total (lxc_health)","Receive Total (lxcb1aea5f13203)","Receive Total (lxcc010f2457e82)","Receive Total (lxcc255ada0b5e4)","Receive Total (lxcc306a8298bc0)","Receive Total (lxcd67315019948)","Receive Total (lxcd95baf1a2e26)","Receive Total (lxcdcee95369ec3)","Receive Total (lxce37cface0780)","Receive Total (lxcf1e7004cd84c)","Receive Total (lxcf2b5505183fa)","Receive Total (lxcf31ee673b547)","Receive Total (lxcf97c652df312)"
2023-03-16 18:00:00,0,80.7,23536,50411,0,0,0,0,0,179,290,136,456,66.0,448,38.5,0,583,32.2,0,38.5,1939,4.89,449,0.389,66.1,40673,19.4,1969,7105,1873,80.7,0,35131,60044,0,0.389,0,0,0,223,125,32.0,255,41,253,19,0,699,25.7,0,19,200,4.37,251,0,40.6,18323,38.5,230,1111,1862
2023-03-16 18:02:00,0,75.6,30892,82925,0,0,0,0,62,180,282,136,454,66.4,448,530,0,608,32.3,0,38.5,1850,5.36,448,0,65.8,40731,19.4,1875,6942,1346,75.6,0,57829,87144,0,0.389,0,0,152,221,110,37.1,254,42.1,253,406,0,728,26.2,0,19,200,4.83,250,0,40.6,23421,38.5,236,1088,1341
2023-03-16 18:04:00,0,84.4,22987,49760,0,0,0.389,0,0,180,273,130,452,66.1,449,38.5,0,591,32.3,0,38.5,1854,4.97,450,0,65.4,40650,19,1870,6985,1615,84.4,0,34860,59479,0,0,0,0,0,222,104,35.4,252,41.4,253,19,0,696,26.2,0,19,185,4.83,257,0,39.9,18030,38.5,206,1084,1609
2023-03-16 18:06:00,0,74.9,32197,59696,0,0,0,0,0,178,283,130,456,66.1,449,38.5,0,594,31.8,0,38.5,1780,4.50,450,0,65.5,40711,19,1803,6961,1348,74.9,0,34630,58899,0,0,0,0,0,223,116,30.3,256,41,261,19,0,695,25.7,0,19,184,4.37,258,0,40.3,27525,38.5,213,1115,1344
2023-03-16 18:08:00,0,71.9,24674,51596,0,0,0,0,0,177,285,130,454,66.0,448,38.5,0,589,31.6,0,38.5,1858,4.27,450,0,65.8,40670,19,1877,7045,1609,71.9,0,34851,59516,0,0,0,0.389,0,223,118,30.3,254,40.6,259,19,0,698,25.5,0,19,188,4.13,252,0,40.6,19730,38.5,215,1090,1604
2023-03-16 18:10:00,0,73.0,31557,59084,0,0,0,0,0,177,276,130,453,65.7,453,38.5,0,585,31.6,0,38.5,1935,4.27,449,0,65.4,40730,19,1967,7140,1868,73.0,0,35155,60109,0,0,0,0,0,224,109,30.3,252,40.3,253,19,0,703,25.5,0,19,198,4.13,252,0,39.9,26366,38.5,231,1150,1864
2023-03-16 18:12:00,0,74.1,27242,78839,0,0,0,0,62,177,281,124,454,65.3,448,612,0,586,31.6,0,38.5,1794,4.73,449,0,65.8,40702,19,1823,6881,1347,74.1,0,57760,86734,0,0,0,0,152,223,108,29.0,254,40.3,253,411,0,701,25.5,0,19,187,4.60,252,0,40.3,19804,38.5,219,1117,1341
2023-03-16 18:14:00,0,74.5,24365,64920,0,0,0,0,62,176,287,119,456,65.3,447,612,0,586,31.6,0,38.5,1874,4.97,447,0,65.8,40637,19,1881,6978,1613,74.5,0,47957,75302,0,0,0,0,152,223,112,27.7,257,40.3,251,411,0,701,25.5,0,19,201,5.22,249,0,40.3,17598,38.5,215,1097,1605
2023-03-16 18:16:00,0,80.4,31996,59557,0,0,0,0,0,178,287,135,458,65.0,445,38.5,0,590,31.6,0,38.5,1806,4.97,455,0,66.4,40757,19,1831,6962,1338,80.4,0,34680,58926,0,0,0,0,0.389,223,123,31.6,254,39.5,248,19,0,698,25.5,0,19,185,5.22,253,0,41.4,27320,38.5,220,1168,1332
2023-03-16 18:18:00,0,76.7,24051,50966,0,0,0,0,0,176,279,124,441,65.4,452,38.5,0,588,31.6,0,38.5,1797,4.97,438,0,65.6,40719,19,1814,6894,1350,76.7,0,34639,58883,0,0,0,0,0.389,225,106,29.0,247,40.3,257,19,0,700,25.5,0,19,200,4.83,247,0,41,19371,38.5,220,1118,1343
