"Time","Read (dm-0)","Read (vda)","Read (vdb)","Write (dm-0)","Write (vda)","Write (vdb)"
2023-03-13 15:52:00,0,0,0,333028,333028,0
2023-03-13 15:54:00,0,0,0,296368,296368,0
2023-03-13 15:56:00,0,0,0,327339,327339,0
2023-03-13 15:58:00,0,0,0,337738,337738,0
2023-03-13 16:00:00,0,0,0,259868,259868,0
2023-03-13 16:02:00,0,0,0,332982,332982,0
2023-03-13 16:04:00,0,0,0,298166,298166,0
2023-03-13 16:06:00,0,0,0,315028,315028,0
2023-03-13 16:08:00,0,0,0,334529,334529,0
2023-03-13 16:10:00,0,0,0,275775,275775,0
2023-03-13 16:12:00,0,0,0,340742,340742,0
2023-03-13 16:14:00,0,0,0,295526,295526,0
2023-03-13 16:16:00,0,0,0,316507,316507,0
2023-03-13 16:18:00,0,0,0,343131,343131,0
2023-03-13 16:20:00,0,0,0,265353,265353,0
2023-03-13 16:22:00,0,0,0,336350,336350,0
2023-03-13 16:24:00,0,0,0,285082,285082,0
2023-03-13 16:26:00,0,0,0,313981,313981,0
2023-03-13 16:28:00,0,0,0,346453,346453,0
2023-03-13 16:30:00,0,0,0,260597,260597,0
2023-03-13 16:32:00,0,0,0,338580,338580,0
2023-03-13 16:34:00,0,0,0,284422,284422,0
2023-03-13 16:36:00,0,0,0,326224,326224,0
2023-03-13 16:38:00,0,0,0,324608,324608,0
2023-03-13 16:40:00,0,0,0,251554,251554,0
2023-03-13 16:42:00,0,0,0,334052,334052,0
2023-03-13 16:44:00,0,0,0,296050,296050,0
2023-03-13 16:46:00,0,0,0,328044,328044,0
2023-03-13 16:48:00,0,0,0,334006,334006,0
2023-03-13 16:50:00,0,0,0,282010,282010,0
2023-03-13 16:52:00,0,0,0,323516,323516,0
2023-03-13 16:54:00,0,0,0,294252,294252,0
2023-03-13 16:56:00,0,0,0,323106,323106,0
2023-03-13 16:58:00,0,0,0,348934,348934,0
2023-03-13 17:00:00,0,0,0,269289,269289,0
2023-03-13 17:02:00,0,0,0,330593,330593,0
2023-03-13 17:04:00,0,0,0,282897,282897,0
2023-03-13 17:06:00,0,0,0,315142,315142,0
2023-03-13 17:08:00,0,0,0,345907,345907,0
2023-03-13 17:10:00,0,0,0,261985,261985,0
2023-03-13 17:12:00,0,0,0,320262,320262,0
2023-03-13 17:14:00,0,0,0,292910,292910,0
2023-03-13 17:16:00,410,410,0,314322,314322,0
2023-03-13 17:18:00,0,0,0,342630,342630,0
2023-03-13 17:20:00,0,0,0,271679,271679,0
2023-03-13 17:22:00,0,0,0,332072,332072,0
2023-03-13 17:24:00,0,0,0,295890,295890,0
2023-03-13 17:26:00,0,0,0,321013,321013,0
2023-03-13 17:28:00,0,0,0,334188,334188,0
2023-03-13 17:30:00,0,0,0,265398,265398,0
2023-03-13 17:32:00,0,0,0,335690,335690,0
2023-03-13 17:34:00,0,0,0,290111,290111,0
2023-03-13 17:36:00,0,0,0,314687,314687,0
2023-03-13 17:38:00,0,0,0,335440,335440,0
2023-03-13 17:40:00,0,0,0,268379,268379,0
2023-03-13 17:42:00,0,0,0,350413,350413,0
2023-03-13 17:44:00,0,0,0,297165,297165,0
2023-03-13 17:46:00,0,0,0,305971,305971,0
2023-03-13 17:48:00,0,0,0,352506,352506,0
2023-03-13 17:50:00,0,0,0,276776,276776,0
2023-03-13 17:52:00,0,0,0,335667,335667,0
2023-03-13 17:54:00,0,0,0,275024,275024,0
2023-03-13 17:56:00,0,0,0,310909,310909,0
2023-03-13 17:58:00,0,0,0,334370,334370,0
2023-03-13 18:00:00,0,0,0,268311,268311,0
2023-03-13 18:02:00,0,0,0,337397,337397,0
2023-03-13 18:04:00,0,0,0,303058,303058,0
2023-03-13 18:06:00,0,0,0,303491,303491,0
2023-03-13 18:08:00,0,0,0,384137,384137,0
2023-03-13 18:10:00,0,0,0,273135,273135,0
2023-03-13 18:12:00,0,0,0,334552,334552,0
2023-03-13 18:14:00,0,0,0,301966,301966,0
2023-03-13 18:16:00,0,0,0,320034,320034,0
2023-03-13 18:18:00,0,0,0,331412,331412,0
2023-03-13 18:20:00,0,0,0,271206,271206,0
2023-03-13 18:22:00,0,0,0,335349,335349,0
2023-03-13 18:24:00,0,0,0,304651,304651,0
2023-03-13 18:26:00,0,0,0,316211,316211,0
2023-03-13 18:28:00,0,0,0,336400,336400,0
2023-03-13 18:30:00,0,0,0,272816,272816,0
2023-03-13 18:32:00,0,0,0,334734,334734,0
2023-03-13 18:34:00,0,0,0,289496,289496,0
2023-03-13 18:36:00,0,0,0,319693,319693,0
2023-03-13 18:38:00,0,0,0,335940,335940,0
2023-03-13 18:40:00,0,0,0,279984,279984,0
2023-03-13 18:42:00,0,0,0,335826,335826,0
2023-03-13 18:44:00,0,0,0,302080,302080,0
2023-03-13 18:46:00,0,0,0,308793,308793,0
2023-03-13 18:48:00,0,0,0,336577,336577,0
2023-03-13 18:50:00,0,0,0,266445,266445,0
2023-03-13 18:52:00,0,0,0,337510,337510,0
2023-03-13 18:54:00,0,0,0,296459,296459,0
2023-03-13 18:56:00,364,364,0,320261,320261,0
2023-03-13 18:58:00,0,0,0,335030,335030,0
2023-03-13 19:00:00,0,0,0,269608,269608,0
2023-03-13 19:02:00,0,0,0,344565,344565,0
2023-03-13 19:04:00,0,0,0,290384,290384,0
2023-03-13 19:06:00,0,0,0,308019,308019,0
2023-03-13 19:08:00,0,0,0,340469,340469,0
2023-03-13 19:10:00,0,0,0,270518,270518,0
2023-03-13 19:12:00,0,0,0,329455,329455,0
2023-03-13 19:14:00,0,0,0,291567,291567,0
2023-03-13 19:16:00,0,0,0,324198,324198,0
2023-03-13 19:18:00,0,0,0,335485,335485,0
2023-03-13 19:20:00,0,0,0,269107,269107,0
2023-03-13 19:22:00,0,0,0,328021,328021,0
2023-03-13 19:24:00,0,0,0,289064,289064,0
2023-03-13 19:26:00,0,0,0,318874,318874,0
2023-03-13 19:28:00,0,0,0,337556,337556,0
2023-03-13 19:30:00,0,0,0,267969,267969,0
2023-03-13 19:32:00,0,0,0,335895,335895,0
2023-03-13 19:34:00,0,0,0,290315,290315,0
2023-03-13 19:36:00,0,0,0,306563,306563,0
2023-03-13 19:38:00,0,0,0,332072,332072,0
2023-03-13 19:40:00,0,0,0,273454,273454,0
2023-03-13 19:42:00,0,0,0,348046,348046,0
2023-03-13 19:44:00,137,137,0,289223,289223,0
2023-03-13 19:46:00,137,137,0,312593,312593,0
2023-03-13 19:48:00,0,0,0,331253,331253,0
2023-03-13 19:50:00,0,0,0,272430,272430,0
2023-03-13 19:52:00,0,0,0,343563,343563,0
2023-03-13 19:54:00,0,0,0,293478,293478,0
2023-03-13 19:56:00,0,0,0,311387,311387,0
2023-03-13 19:58:00,0,0,0,331253,331253,0
2023-03-13 20:00:00,0,0,0,271997,271997,0
2023-03-13 20:02:00,0,0,0,335735,335735,0
2023-03-13 20:04:00,0,0,0,288700,288700,0
2023-03-13 20:06:00,0,0,0,318259,318259,0
2023-03-13 20:08:00,0,0,0,344360,344360,0
2023-03-13 20:10:00,0,0,0,275729,275729,0
2023-03-13 20:12:00,0,0,0,332667,332667,0
2023-03-13 20:14:00,0,0,0,282897,282897,0
2023-03-13 20:16:00,0,0,0,309521,309521,0
2023-03-13 20:18:00,0,0,0,345338,345338,0
2023-03-13 20:20:00,0,0,0,273024,273024,0
2023-03-13 20:22:00,0,0,0,329205,329205,0
2023-03-13 20:24:00,0,0,0,291385,291385,0
2023-03-13 20:26:00,0,0,0,315961,315961,0
2023-03-13 20:28:00,0,0,0,344951,344951,0
2023-03-13 20:30:00,0,0,0,277094,277094,0
2023-03-13 20:32:00,0,0,0,336259,336259,0
