"Time","Transmit Total (cilium_host)","Transmit Total (cilium_net)","Transmit Total (cilium_vxlan)","Transmit Total (enp1s0)","Transmit Total (lxc045e0df77a65)","Transmit Total (lxc04ba3655f7bb)","Transmit Total (lxc058f11ae84e2)","Transmit Total (lxc101aa30b6d42)","Transmit Total (lxc1055eece523d)","Transmit Total (lxc17545d6a2c13)","Transmit Total (lxc1b3ec4421f95)","Transmit Total (lxc25dc796f779e)","Transmit Total (lxc2cf3504ea230)","Transmit Total (lxc2f20023e145d)","Transmit Total (lxc42de66ecdcc8)","Transmit Total (lxc53962ca4487f)","Transmit Total (lxc586756a19dbd)","Transmit Total (lxc6237b799514f)","Transmit Total (lxc6609bc973c6e)","Transmit Total (lxc8f825b75ba1b)","Transmit Total (lxc901c98c966b2)","Transmit Total (lxc970c5453f2c7)","Transmit Total (lxc9bf9c5e25fda)","Transmit Total (lxc9d9580e18417)","Transmit Total (lxc_health)","Transmit Total (lxca3d1fbc08b7c)","Transmit Total (lxcaee2fab0754f)","Transmit Total (lxcb3f5b6163447)","Transmit Total (lxcbba06f29c914)","Transmit Total (lxccc10b9c35713)","Transmit Total (lxccd3f5d5c9dab)","Transmit Total (lxcd19ab656bbb2)","Transmit Total (lxcd39cb2af2558)","Transmit Total (lxcd4e1a68a8393)","Transmit Total (lxcf0be76b85bba)","Receive Total (cilium_host)","Receive Total (cilium_net)","Receive Total (cilium_vxlan)","Receive Total (enp1s0)","Receive Total (lxc045e0df77a65)","Receive Total (lxc04ba3655f7bb)","Receive Total (lxc058f11ae84e2)","Receive Total (lxc101aa30b6d42)","Receive Total (lxc1055eece523d)","Receive Total (lxc17545d6a2c13)","Receive Total (lxc1b3ec4421f95)","Receive Total (lxc25dc796f779e)","Receive Total (lxc2cf3504ea230)","Receive Total (lxc2f20023e145d)","Receive Total (lxc42de66ecdcc8)","Receive Total (lxc53962ca4487f)","Receive Total (lxc586756a19dbd)","Receive Total (lxc6237b799514f)","Receive Total (lxc6609bc973c6e)","Receive Total (lxc8f825b75ba1b)","Receive Total (lxc901c98c966b2)","Receive Total (lxc970c5453f2c7)","Receive Total (lxc9bf9c5e25fda)","Receive Total (lxc9d9580e18417)","Receive Total (lxc_health)","Receive Total (lxca3d1fbc08b7c)","Receive Total (lxcaee2fab0754f)","Receive Total (lxcb3f5b6163447)","Receive Total (lxcbba06f29c914)","Receive Total (lxccc10b9c35713)","Receive Total (lxccd3f5d5c9dab)","Receive Total (lxcd19ab656bbb2)","Receive Total (lxcd39cb2af2558)","Receive Total (lxcd4e1a68a8393)","Receive Total (lxcf0be76b85bba)"
2023-03-23 10:12:00,0,11370,37882,180708,0,1961,470,162,32.1,126,2021,65.8,416,0,14411,81.1,6.09,342,147,87.2,0,18352,1979,459,32.3,1646,65.4,19,344,0,0,451,146526,161,0.389,11370,0,19529,106581,0,217,263,93.8,23.0,30.3,2301,41,6287,0,3142,3686,6.59,78.6,129,66.9,0,18210,231,258,26.2,17091,41.7,38.5,421,0,0,253,6654,597,0
2023-03-23 10:14:00,0,11045,60948,194768,0,1887,473,159,32.1,126,1937,65.8,1721,0,13996,78.9,3.97,319,146,86.5,0,18342,1912,455,32.3,1613,65.8,375,393,0.389,0,452,150176,21825,0,11045,0,21996,110574,0,214,265,90.8,23.4,30.3,2193,41.4,25672,0,2953,3587,3.97,79.4,129,66.2,0,18210,239,253,26.2,17106,41,669,503,0,0,252,7283,24408,0
2023-03-23 10:16:00,0,12126,37386,167632,0,1802,471,166,33.5,121,1920,65.8,418,0,10176,79.1,4.39,331,148,85,0,18336,1840,458,32.3,1480,65.8,19,339,0,0,452,142842,177,0,12126,0,20234,104180,0,191,262,100,23.4,29.0,2309,41.4,6286,0,2686,3609,4.79,81.7,128,64,0,18198,225,256,26.2,17103,41.4,38.5,409,0,0.389,253,6532,601,0
2023-03-23 10:18:00,0,11328,37652,169588,0,1892,471,159,30.7,121,1991,65.8,418,0,13902,120,5.76,360,150,86.5,0,18353,1902,460,32.3,1557,65.8,19,352,0,0,454,146575,178,0,11328,0,19484,105934,0,207,264,96.9,20.1,29.0,2325,41.4,6287,0,2910,3714,6.96,81.1,130,65.5,0,18208,226,259,26.2,17086,42.1,38.5,438,0,0,255,6680,603,0.389
2023-03-23 10:20:00,0,11395,37363,167158,0,1813,470,161,32.2,121,1890,65.8,418,0.389,10187,82.7,3.70,343,150,87.2,0,18342,1824,459,32.3,1551,65.7,19,338,0,0,453,142425,171,0,11395,0,19584,103275,0,204,262,98.6,21.7,29.0,2202,41.8,6289,0,2679,3727,4.07,78.2,129,67.3,0,18214,216,259,26.2,17092,42.5,38.5,404,0,0,255,6468,599,0.389
2023-03-23 10:22:00,0,12788,37916,170970,0,1949,470,159,33.0,132,2020,66.3,418,0.389,15945,80.3,3.27,354,149,87.2,0,18353,1970,457,32.3,1658,65.4,19,339,0,0,453,145951,172,0,12788,0,20957,107870,0,204,263,91.8,22.6,31.6,2293,41.9,6287,0,3133,3716,3.27,79.8,127,67.3,0,18214,236,256,26.2,17090,41.7,38.5,406,0,0,255,6632,593,0
2023-03-23 10:24:00,0,10285,60818,194977,0,1875,473,163,32.1,132,1936,66.2,1719,0,15700,78.5,5.10,331,150,87.2,0,18345,1889,460,32.3,1583,66.1,375,393,0,0,454,149097,21731,0,10285,0,21229,109521,0,205,270,107,22.6,31.6,2196,41.0,25558,0,3016,3686,5.86,76.7,126,67.7,0,18214,225,264,26.2,17104,41.7,669,503,0,0,254,7143,24307,0
2023-03-23 10:26:00,0,11806,39283,193241,0,1814,474,163,32.1,126,1932,66.1,849,0,10143,81.3,5.10,336,149,87.3,0,18321,1827,458,32.3,1529,66.6,375,379,0,0,453,143462,1365,0,11806,0,20691,106208,0,216,265,106,22.2,30.3,2324,41.7,7464,0,2682,3703,5.90,77.7,127,66.9,0,18200,235,256,26.2,17084,42.9,669,479,0,0,255,6587,1926,0
2023-03-23 10:28:00,0,12263,37693,201460,0,1894,473,162,31.5,121,1970,65.7,420,0,13888,120,4.30,349,146,87.3,0,18342,1912,458,32.3,1581,65.5,19,357,0,0,452,146537,159,0,12263,0,20432,108244,0,220,265,94.3,21.3,29.0,2310,41.7,6283,0,2921,3710,4.73,79.6,131,68.0,0,18221,244,257,26.2,17093,41.8,38.5,434,0,0,253,6710,597,0
2023-03-23 10:30:00,0,9725,37310,175639,0,1806,469,164,32.9,115,1875,66.1,422,0,10193,81.0,3.93,360,145,87.2,0,18327,1833,455,32.3,1581,65.8,19,341,0,0,452,143100,150,0,9725,0,17934,102820,0,196,261,103,23.6,27.7,2191,42.2,6287,0,2679,3648,4.32,81.5,129,66.9,0,18201,233,258,26.2,17088,42.2,38.5,402,0,0,253,6479,589,0
2023-03-23 10:32:00,0,9961,37844,170460,0,1947,468,161,31.5,121,2017,65.4,418,0,14200,78.5,5.47,343,149,87.4,0,18312,1972,455,32.3,1661,65.8,19,342,0,0,453,145645,158,0,9961,0,18120,104750,0,192,261,93.6,20.9,33.9,2295,42.5,6287,0,3047,3593,6.28,78.6,130,67.3,0,18205,222,254,26.2,17098,43.3,38.5,406,0,0,254,6593,597,0
2023-03-23 10:34:00,0,10397,61014,194785,0,1881,470,163,31.1,115,1936,65.8,1715,0,13986,78.8,5.69,338,151,87.5,0,18321,1898,458,32.3,1588,65.5,375,400,0,0,454,149445,21897,0,10397,0,21347,110254,0,206,262,95.5,20.4,32.6,2197,41.7,25737,0,2974,3586,6.89,77.3,129,66.6,0,18207,226,258,26.2,17077,41.4,669,508,0,0,254,7050,24488,0
2023-03-23 10:36:00,0,13118,48836,180394,0,1810,474,161,32.1,126,1928,66.0,1227,0,10152,80.5,4.29,342,147,87.3,0,18348,1847,455,32.3,1539,66.0,375,377,0,0,453,143855,10456,0,13118,0,22908,109232,0,186,265,93.8,22.1,30.7,2329,42.1,15573,0,2661,3686,4.67,78.6,128,67.3,0,18212,232,254,26.2,17081,42.6,669,477,0,0,254,6629,11908,0
2023-03-23 10:38:00,0,13389,37972,172820,0,1937,470,160,32.9,126,2043,65.8,416,0,15975,119,4.67,360,146,87.2,0,18329,1961,458,32.3,1600,66.3,19,355,0,0,453,146164,177,0,13389,0,21525,109311,0,199,262,97.5,22.8,30.3,2334,41.4,6288,0,3126,3671,5.06,81.1,130,69.5,0,18208,227,257,26.2,17095,41.8,38.5,437,0,0,254,6702,599,0
2023-03-23 10:40:00,0,10955,37108,166463,0,1750,472,162,32.9,121,1828,66.1,415,0,9870,82.1,3.93,360,145,87.2,0.389,18326,1764,461,32.3,1462,66.1,19,340,0,0,453,142982,170,0,10955,0,19105,103815,0,198,263,98.2,23.1,29.0,2198,42.8,6285,0,2505,3658,4.32,81.5,131,68.0,0,18203,216,260,26.2,17082,42.5,38.5,407,0,0,254,6570,595,0
2023-03-23 10:42:00,0,10048,37858,170286,0,1952,470,162,32.1,126,2029,66.4,415,0,14167,78.3,5.10,349,150,87.2,0.389,18328,1966,457,32.3,1620,65.8,19,334,0,0,452,145432,166,0,10048,0,18197,108410,0,212,262,93.7,27.7,30.3,2300,42.5,6285,0,3045,3564,11.4,79.6,134,66.2,0,18200,238,256,26.2,17093,42.1,38.5,397,0,0,253,6588,607,0
2023-03-23 10:44:00,0,10689,60957,213336,0,1883,470,160,32.1,115,1936,65.7,1710,0,13932,80.8,3.93,343,151,86.5,0,18338,1897,449,32.3,1579,66.7,375,394,0,0,455,151223,21834,0,10689,0,21630,115058,0,209,261,91.9,27.7,27.7,2195,42.1,25678,0,2931,3648,9.45,78.6,127,65.5,0,18207,234,254,26.2,17092,43.2,669,496,0,0,261,7254,24426,0
2023-03-23 10:46:00,0,11671,57921,189808,0,1791,472,157,32.9,126,1932,65.4,1598,0,10070,81.7,3.27,348,148,87.2,0,18325,1856,462,32.3,1518,65.7,375,400,0,0,453,145103,19160,0,11671,0,22340,108354,0,184,263,88.1,28.9,30.3,2318,42.5,23304,0,2635,3716,3.27,79.2,129,66.2,0,18199,233,261,26.2,17076,42.1,669,511,0,0,254,6799,21487,0
2023-03-23 10:48:00,0,12403,37943,170272,0.389,1923,472,162,31.5,126,2049,65.8,414,0,14158,121,3.93,343,147,87.3,0,18348,1953,458,31.8,1646,65.5,19,362,0,0,453,146643,160,0,12403,0,20589,107622,0,191,264,99.9,21.3,30.3,2323,42.8,6288,0,3011,3748,4.32,78.2,130,66.2,0,18211,227,257,25.7,17074,41.7,38.5,440,0,0,255,6676,606,0
2023-03-23 10:50:00,0,10499,37326,167380,0.389,1807,474,163,31.5,116,1891,65.8,419,0,10104,81.5,4.97,342,147,86.5,0,18330,1820,455,31.6,1572,66.0,19,338,0,0,452,143060,157,0,10499,0,18684,103059,0,201,265,100,21.7,27.7,2203,41.4,6288,0,2589,3642,5.78,78.6,127,66.2,0,18205,216,254,25.5,17069,42.1,38.5,400,0,0,253,6390,601,0
2023-03-23 10:52:00,0,10939,37378,167567,0,1796,468,163,30.7,115,1912,65.4,416,0,15202,80.5,3.70,337,148,85,0,18321,1816,457,31.6,1598,66.6,19,340,0,0,455,146381,169,0,10939,0,19146,105596,0,186,261,94.8,21.2,27.7,2296,40.6,6287,0,2775,3685,9.21,77.7,126,65.5,0,18208,211,256,25.5,17075,42.6,38.5,405,0,0,256,6660,592,0
2023-03-23 10:54:00,0,10531,61033,218455,0,1876,468,160,32.9,116,1942,65.5,1713,0,15708,78.4,3.27,331,148,86.1,0,18333,1887,462,31.6,1618,66.2,375,394,0,0,453,150171,21924,0,10531,0,21498,110599,0,168,261,91.6,23.5,27.7,2209,40.6,25754,0,2969,3692,3.27,77.1,127,64.7,0,18211,196,261,25.5,17050,42.9,669,496,0,0,253,7163,24497,0
2023-03-23 10:56:00,0,11885,60769,216366,0,1779,472,163,33.5,127,1934,65.9,1715,0,10041,77.1,5.70,325,145,87.4,0,18332,1807,459,32.0,1521,66.2,375,380,0,0,454,144391,21931,0,11885,0,22828,109444,0.389,164,265,96.6,23.7,30.3,2323,41.4,25756,0,2542,3646,6.58,75.4,132,66.2,0,18210,199,257,25.5,17033,42.6,669,476,0,0,255,6796,24509,0
2023-03-23 10:58:00,0.389,12304,37951,170622,0,1946,470,162,30.7,132,2037,65.8,422,0,14286,119,5.57,331,148,87.2,0,18330,1961,461,31.8,1614,65.9,19,364,0,0,452,146027,181,0,12304,0.389,20458,107136,0,179,263,99.7,20.8,31.6,2327,41.4,6282,0,3049,3708,6.44,76.3,127,66.2,0,18213,205,259,25.7,17043,42.5,38.5,442,0,0,253,6629,603,0
2023-03-23 11:00:00,0,12256,37629,168333,0,1851,472,163,30.7,127,1932,65.7,419,0,10480,82.2,4.40,354,151,87.2,0,18347,1861,458,31.8,1578,65.9,19,335,0,0,440,142835,178,0,12256,0,20421,104203,0,176,263,101,20.8,30.3,2195,40.6,6283,0,2773,3765,4.77,79.8,125,66.9,0,18210,179,258,25.7,17052,41.1,38.5,396,0,0,247,6403,594,0
2023-03-23 11:02:00,0,12206,37381,167668,0,1812,474,164,54.8,127,1917,65.7,417,0,13513,82.1,3.50,343,151,87.2,0,18314,1853,458,31.8,1590,65.8,19,339,0,0,439,145563,175,0,12206,0,20394,105954,0,154,266,96.8,62.6,30.3,2303,40.6,6285,0,2684,3734,3.50,78.6,127,68.4,0,18187,207,256,25.7,17053,41.4,38.5,410,0,0,247,6570,594,0
2023-03-23 11:04:00,0,12915,61089,203686,0,1892,476,161,82.0,121,1939,66.6,1717,0,13914,81.8,4.67,338,148,87.3,0,18329,1913,462,32.3,1567,65.8,375,400,0,0.389,452,150154,21904,0,12915,0,23849,112992,0,175,267,93.8,106,29.0,2203,41.4,25747,0,2890,3687,5.09,81.8,129,66.9,0,18202,215,259,26.2,17050,42.5,669,510,0,0,252,7196,24487,0
2023-03-23 11:06:00,0,13117,60827,202492,0,1830,460,163,59.9,115,1924,66.2,1720,0,10184,79.9,5.10,355,149,87.3,0,18333,1845,461,32.3,1526,65.3,375,374,0,0.389,452,144908,21918,0,13117,0,24038,111131,0,192,257,102,67.1,27.7,2313,41.4,25747,0,2637,3633,5.91,80.5,129,67.3,0,18219,202,266,26.2,17074,41,669,471,0.389,0,253,6921,24486,0
2023-03-23 11:08:00,0,14426,38031,172842,0,1929,459,160,33.6,126,2048,66.6,419,0,15935,117,3.27,349,149,86.8,0,18344,1938,456,32.3,1619,65.8,19,359,0,0,450,147293,173,0.389,14426,0,22592,110332,0,191,257,97.0,23.8,30.3,2315,42.2,6285,0,3064,3678,3.27,79.2,131,69.1,0.389,18224,198,254,26.2,17038,41,38.5,431,0.389,0,251,6679,596,0
2023-03-23 11:10:00,0,10490,37583,168572,0,1874,471,163,32.9,115,1933,65.8,419,0,10481,82.1,5.57,343,146,87.3,0,18328,1879,456,32.3,1603,65.8,19,338,0,0,448,143073,181,0.389,10490,0,18665,102620,0,174,263,95.2,23.1,27.7,2182,41.4,6286,0.389,2777,3741,6.02,78.2,131,68.4,0.389,18210,188,255,26.2,17037,42.9,38.5,395,0,0,250,6580,607,0
2023-03-23 11:12:00,0,9854,37334,167252,0,1791,474,163,31.5,121,1917,65.8,421,0,13609,77.8,4.32,349,147,87.2,0,18348,1811,460,32.3,1557,65.9,19.0,348,0,0,455,145577,173,0,9854,0,18057,103559,0,161,271,95.1,22.1,29.0,2307,41.7,6286,0.389,2713,3662,4.36,79.6,131,66.9,0,18212,202,259,26.2,17053,43.0,38.5,420,0,0,256,6708,598,0
2023-03-23 11:14:00,0,10518,52881,209240,0,1853,476,161,30.7,116,1937,65.3,1037,0,13935,77.9,4.36,354,147,87.3,0,18372,1874,459,32.3,1582,66.0,19,346,0,0,458,148886,14743,0,10518,0,20191,108728,0,163,267,99.6,20.5,27.7,2202,41.7,19236,0,2936,3562,3.97,80.5,131,66.2,0,18248,196,259,26.2,17047,42.5,38.5,418,0,0,259,7084,16594,0
2023-03-23 11:16:00,0,12360,60707,217106,0,1793,476,162,32.9,121,1920,65.4,1714,0,10097,78.6,6.83,344,150,87.5,0,18364,1802,457,32.3,1485,65.8,375,383,0,0,454,144563,21808,0,12360,0,23306,110025,0,184,266,93.9,23.5,29.0,2306,41,25633,0,2609,3519,8.01,77.9,128,67.3,0,18250,196,255,26.2,17046,43.9,669,478,0,0,254,6978,24371,0
2023-03-23 11:18:00,0,15384,38075,170843,0,1931,469,163,30.7,121,2037,65.5,417,0,14143,118,6.03,349,145,87.5,0,18353,1955,458,32.3,1641,66.0,19,369,0,0,453,146342,166,0,15384,0,23575,110979,0,185,262,95.5,20.4,29.0,2317,40.3,6290,0,3006,3588,6.83,78.8,132,66.9,0,18246,209,261,26.2,17060,42.2,38.5,442,0,0,253,6599,604,0
2023-03-23 11:20:00,0,13329,37702,168819,0,1864,473,160,32.9,126,1927,66.1,414,0,10424,80.5,4.77,343,150,86.5,0,18359,1876,459,32.3,1644,65.0,19,335,0.389,0,454,142937,155,0,13329,0,21577,106097,0,177,265,91.8,22.4,30.3,2187,40.6,6289,0,2759,3717,5.16,77.9,128,66.6,0,18242,206,263,26.2,17075,39.9,38.5,395,0,0.389,254,6383,590,0
2023-03-23 11:22:00,0,11232,37413,167822,0,1789,476,160,32.1,121,1897,65.9,415,0,15181,79.5,5.34,342,148,87.3,0,18373,1798,459,32.3,1551,65.4,19,343,0,0,451,145920,159,0,11232,0,19480,106208,0,151,266,91.3,21.8,34.0,2275,41.7,6286,0,2763,3633,6.15,77.9,128,66.9,0,18251,197,257,26.2,17042,40.6,38.5,416,0,0,252,6582,593,0
2023-03-23 11:24:00,0,11064,43769,175702,0,1845,471,164,31.5,126,1938,65.8,664,0.389,15563,80.6,5.10,342,148,87.2,0,18378,1860,456,32.3,1566,65.8,19.4,348,0,0,452,148654,5987,0,11064,0,19865,107752,0,167,263,103,21.3,30.3,2188,43.2,11466,0,2896,3640,5.89,78.6,133,66.2,0,18255,188,255,26.2,17036,40.6,38.5,419,0,0,253,6796,6992,0.389
2023-03-23 11:26:00,0,13684,60738,192319,0,1704,470,163,33.6,126,1859,65.8,1714,0,9635,81.4,3.03,347,148,86.5,0,18394,1724,459,32.3,1493,66.7,375,380,0,0,452,144660,22022,0,13684,0,24717,110128,0,163,262,102,27.9,30.3,2306,42.5,25861,0,2377,3665,3.03,86,133,65.5,0,18263,188,258,26.2,17045,41.7,669,480,0,0,252,6871,24609,0
2023-03-23 11:28:00,0,15270,38092,179421,0,1918,467,160,32.8,126,2022,66.1,416,0,14161,120,4.53,348,147,85,0,18391,1947,458,32.3,1661,65.8,19,358,0,0,455,146756,178,0,15270,0,23514,111230,0,180,261,91.9,21.5,30.3,2306,41.4,6288,0,2997,3632,4.92,100,127,64,0,18269,202,258,26.2,17046,42.1,38.9,442,0,0,254,6693,602,0
2023-03-23 11:30:00,0,11967,37692,169025,0,1860,473,149,30.7,121,1943,67.0,418,0,10469,81.1,6,343,148,85.7,0,18384,1885,458,32.3,1554,65.8,19,331,0,0,457,142190,175,0,11967,0,20162,105513,0,171,265,86.6,20.1,29.0,2190,41.5,6291,0,2807,3635,7.19,98.8,127,65.8,0,18263,214,256,26.2,17050,42.8,38.9,398,0,0,256,6392,595,0
2023-03-23 11:32:00,0,12014,37434,167655,0,1789,473,149,31.5,121,1930,65.9,413,0,13432,79.2,2.90,354,150,87.3,0,18365,1797,459,32.3,1499,66.0,19,345,0,0,453,145791,177,0,12014,0,20220,107336,0,162,265,87.4,21.3,29.0,2293,41.4,6288,0,2704,3685,2.90,102,136,67.7,0,18249,183,259,26.2,17031,42.1,38.5,419,0,0,259,6596,598,0
2023-03-23 11:34:00,0,13063,37958,193551,0,1913,472,164,31.5,121,1997,66.0,416,0,14235,79.1,3.50,354,151,87.2,0,18370,1937,461,32.3,1637,65.7,19,350,0,0,450,147992,173,0,13063,0,21270,110343,0,159,264,103,22.0,29.0,2194,41.7,6284,0,3050,3656,3.89,102,134,66.6,0,18252,198,260,26.2,17047,41.7,38.5,417,0,0,256,6677,594,0
2023-03-23 11:36:00,0,11948,60445,192130,0,1705,473,159,32.9,116,1879,66.1,1717,0,9662,77.4,4.06,332,147,87.2,0,18376,1719,457,32.3,1435,65.8,375,383,0,0,453,144831,21809,0,11948,0,22919,109258,0,163,264,90.1,28.5,28.0,2317,41.7,25632,0,2387,3615,9.97,96.5,129,66.9,0,18253,189,256,26.2,17049,40.6,669,486,0,0,254,6844,24377,0
2023-03-23 11:38:00,0,12989,37743,171545,0,1834,470,162,33.5,121,1994,65.9,420,0,15503,118,4.30,331,148,87.7,0,18357,1865,445,31.8,1567,65.8,19,358,0,0,453,145955,185,0,12989,0,21189,108514,0,159,262,93.6,25.1,29.4,2327,40.6,6286,0,2871,3632,4.75,96.5,132,66.6,0,18244,185,250,25.7,17045,41.4,38.5,440,0,0,255,6647,609,0
2023-03-23 11:40:00,0,11199,37657,178644,0,1832,470,166,32.1,116,1931,65.8,417,0,10405,80.4,3.69,337,150,87.9,0,18363,1863,456,31.6,1554,66.1,19,338,0,0,451,143111,160,0,11199,0,19404,104558,0,161,263,99.3,23.0,27.7,2187,41,6288,0,2750,3595,9.25,97.8,131,66.5,0,18250,168,255,25.5,17032,41.7,38.5,405,0,0,252,6534,591,0
2023-03-23 11:42:00,0,12881,37452,177595,0,1777,471,163,32.5,121,1913,66.2,416,0,13432,79.9,3.27,349,148,87.6,0,18373,1797,457,31.8,1510,65.5,19,346,0,0,453,146414,178,0,12881,0,21092,107963,0,161,262,95.1,22.0,29.0,2306,41.5,6286,0,2657,3616,3.27,99.7,127,67.4,0,18250,190,256,25.7,17046,42.5,38.5,414,0,0,254,6610,596,0
2023-03-23 11:44:00,0,12372,37958,170073,0,1921,472,163,32.9,132,1996,66.5,415,0,14210,81.3,4.43,342,147,87.2,0,18396,1939,455,32.3,1624,65.8,19,348,0,0,456,148160,174,0,12372,0,20575,108017,0,172,264,101,23.1,31.6,2195,41.5,6286,0,2978,3686,5.16,99.1,130,66.9,0,18273,185,254,26.2,17046,41.5,38.5,416,0,0,256,6662,593,0
2023-03-23 11:46:00,0,12628,61160,195343,0.389,1857,473,159,31.5,126,1981,65.9,1718,0,10416,81.3,6.27,331,146,87.3,0.389,18382,1924,456,32.3,1562,66.3,375,404,0,0,449,144920,21956,0,12628,0,23624,109484,0,165,265,97.4,21.6,30.3,2319,41.8,25782,0,2780,3704,7.81,96.5,130,66.2,0,18258,218,256,26.2,17047,42.5,669,517,0,0,251,6914,24517,0
2023-03-23 11:48:00,0,11260,37450,167892,0,1793,471,164,32.3,110,1932,66.1,416,0,13472,119,5.57,331,148,87.3,0,18380,1800,455,32.3,1513,65.8,19,359,0,0,448,147083,180,0,11260,0,19485,105868,0,167,263,97.5,22.6,26.3,2324,41.1,6285,0,2712,3709,6.38,96.1,129,67.3,0,18245,180,255,26.2,17050,41,38.5,435,0,0,250,6635,603,0
2023-03-23 11:50:00,0,10886,37645,192114,0,1848,471,161,31.5,115,1949,65.8,415,0,10434,81.1,3.97,325,148,87.3,0,18380,1890,458,32.3,1610,66.1,19,338,0,0,452,143203,185,0,10886,0,19122,103398,0,168,264,86.4,22.1,27.7,2197,40.6,6287,0,2726,3642,3.97,94.8,129,66.2,0,18253,199,258,26.2,17067,41,38.5,397,0,0,254,6452,601,0
2023-03-23 11:52:00,0,11152,37440,173991,0,1794,473,167,30.7,121,1906,65.8,415,0,15200,82.4,5.20,326,145,87.7,0,18388,1821,461,32.3,1524,65.8,19,344,0,0,450,145755,176,0,11152,0,19381,105622,0,196,264,93.8,21.2,29.0,2283,41.7,6289,0,2728,3733,5.99,99.6,129,66.9,0,18256,219,260,26.2,17064,41.8,38.5,415,0,0,251,6553,593,0
2023-03-23 11:54:00,0.389,11306,37932,179054,0,1931,474,165,31.5,126,1994,65.8,419,0,16010,81.4,3.97,332,145,87.6,0,18401,1943,458,32.3,1634,65.8,19,344,0,0,451,148242,159,0,11306,0.389,19542,107277,0,198,266,103,21.6,30.3,2193,42.2,6284,0,3099,3693,3.97,96.5,130,67.3,0,18265,206,258,26.2,17060,40.7,38.5,419,0,0,252,6716,596,0
2023-03-23 11:56:00,0.389,11912,61061,195188,0,1874,471,161,33.5,126,1989,65.8,1713,0,10496,80.7,4.53,337,148,87.2,0,18377,1890,459,32.7,1594,65.8,374,384,0,0,441,144232,21879,0,11912,0.389,22901,108014,0.389,194,263,94.0,24.9,30.3,2330,41.7,25722,0,2798,3633,4.92,98.2,132,66.9,0,18255,213,257,26.2,17075,40.6,667,489,0,0,247,6834,24461,0
2023-03-23 11:58:00,0,12574,40817,171875,0,1789,473,157,32.9,126,1931,65.8,902,0,13491,119,4.30,353,148,87.3,0,18384,1818,457,32.7,1537,65.8,375,404,0,0,453,147565,2703,0,12574,0,21649,108732,0.389,194,264,88.2,23.5,30.3,2315,43.2,8658,0,2727,3627,4.73,102,128,66.9,0,18263,224,256,26.2,17067,41.4,669,519,0,0,256,6782,3388,0
2023-03-23 12:00:00,0,12240,37689,169257,0,1885,474,161,31.5,127,1938,65.4,418,0,10553,81.6,3.27,348,147,87.2,0,18396,1913,458,32.3,1601,66.1,19,334,0,0,451,142899,171,0,12240,0,20472,104947,0,207,272,94.0,21.2,30.3,2186,41.4,6286,0,2846,3591,3.27,100,128,66.2,0,18270,238,257,26.2,17079,42.6,38.5,396,0,0,252,6511,590,0
2023-03-23 12:02:00,0,11824,37468,168469,0,1866,472,166,31.5,121,1919,65.7,417,0,13503,79.4,5.33,343,147,87.2,0,18370,1878,458,32.3,1503,65.8,19,333,0,0,453,148133,174,0,11824,0,20004,109029,0,222,270,105,20.6,29.0,2307,41,6285,0,2730,3685,6.09,98.8,131,66.6,0,18244,228,257,26.2,17079,40.6,38.5,400,0,0,255,6878,598,0
2023-03-23 12:04:00,0,12015,38010,170973,0,1999,459,161,30.7,126,1999,65.9,415,0,14321,78.8,3.93,338,146,87.3,0,18392,2015,457,32.3,1623,65.8,19,348,0,0.389,455,147911,177,0,12015,0,20191,108740,0,221,256,94.4,19.7,30.3,2209,41.4,6285,0,3076,3601,4.32,97.5,132,66.2,0,18264,247,255,26.2,17094,40.6,38.5,419,0,0,257,6732,598,0
2023-03-23 12:06:00,0,11285,61034,195122,0,1878,471,162,32.1,126,1988,65.9,1716,0,10503,78.5,4.30,348,146,87.3,0,18385,1884,463,32.3,1595,65.8,375,387,0,0,454,144556,21879,0.389,11285,0,22276,108566,0,211,263,94.0,21.6,30.3,2329,41.4,25700,0,2813,3548,4.73,100,131,66.6,0,18270,215,267,26.2,17088,41.8,669,486,0,0,254,6813,24440,0
2023-03-23 12:08:00,0,11240,49866,184230,0,1800,471,160,34.9,126,1932,66.2,1271,0,15282,118,5.10,337,147,86.6,0,18368,1825,459,32.3,1546,66.2,375,403,0,0,454,147681,11416,0,11240,0,21193,109721,0,197,263,92.3,25.6,30.3,2325,41.7,16407,0,2828,3601,5.89,97.5,129,66.2,0.389,18254,225,264,26.2,17091,42.9,669,515,0,0,255,6781,12954,0
2023-03-23 12:10:00,0,11369,37669,192872,0,1897,474,160,32.1,132,1944,65.7,415,0,10574,81.6,3.70,338,145,87.4,0,18370,1921,455,32.3,1581,66.8,19,340,0,0,454,142500,168,0,11369,0,19569,104038,0,215,266,91.9,23.7,37.2,2201,41,6287,0,2824,3688,4.09,97.8,130,67.3,0,18257,247,253,26.2,17094,42.6,38.5,402,0,0,254,6306,605,0
2023-03-23 12:12:00,0,11033,37173,190248,0,1728,472,163,30.7,132,1857,66.6,414,0,13255,82.4,3.70,338,148,87.3,0,18381,1748,458,32.3,1455,65.8,19,348,0,0,450,145923,161,0,11033,0,19246,106336,0,194,264,100,21.2,37.2,2280,41.1,6291,0,2621,3733,4.09,97.8,129,66.9,0,18263,223,258,26.2,17075,41.4,38.5,418,0.389,0,252,6564,593,0
