"Time","avg","min","max"
2023-03-16 22:22:00,86.5,86.5,86.5
2023-03-16 22:24:00,86.9,86.9,86.9
2023-03-16 22:26:00,89.6,89.6,89.6
2023-03-16 22:28:00,87.3,87.3,87.3
2023-03-16 22:30:00,87.9,87.9,87.9
2023-03-16 22:32:00,159,159,159
2023-03-16 22:34:00,87.1,87.1,87.1
2023-03-16 22:36:00,91.0,91.0,91.0
2023-03-16 22:38:00,86.7,86.7,86.7
2023-03-16 22:40:00,87.0,87.0,87.0
2023-03-16 22:42:00,218,218,218
2023-03-16 22:44:00,88.8,88.8,88.8
2023-03-16 22:46:00,88.7,88.7,88.7
2023-03-16 22:48:00,86.8,86.8,86.8
2023-03-16 22:50:00,86.0,86.0,86.0
2023-03-16 22:52:00,148,148,148
2023-03-16 22:54:00,86.9,86.9,86.9
2023-03-16 22:56:00,89.9,89.9,89.9
2023-03-16 22:58:00,87.4,87.4,87.4
2023-03-16 23:00:00,87.0,87.0,87.0
2023-03-16 23:02:00,89.7,89.7,89.7
2023-03-16 23:04:00,88.0,88.0,88.0
2023-03-16 23:06:00,92.7,92.7,92.7
2023-03-16 23:08:00,88.0,88.0,88.0
2023-03-16 23:10:00,87.2,87.2,87.2
2023-03-16 23:12:00,88.6,88.6,88.6
2023-03-16 23:14:00,98.1,98.1,98.1
2023-03-16 23:16:00,91.4,91.4,91.4
2023-03-16 23:18:00,86.4,86.4,86.4
2023-03-16 23:20:00,86.5,86.5,86.5
2023-03-16 23:22:00,87.4,87.4,87.4
2023-03-16 23:24:00,174,174,174
2023-03-16 23:26:00,92.5,92.5,92.5
2023-03-16 23:28:00,87.0,87.0,87.0
2023-03-16 23:30:00,86.9,86.9,86.9
2023-03-16 23:32:00,88.7,88.7,88.7
2023-03-16 23:34:00,207,207,207
2023-03-16 23:36:00,92.4,92.4,92.4
2023-03-16 23:38:00,88.2,88.2,88.2
2023-03-16 23:40:00,88.5,88.5,88.5
2023-03-16 23:42:00,89.9,89.9,89.9
2023-03-16 23:44:00,127,127,127
2023-03-16 23:46:00,92.1,92.1,92.1
2023-03-16 23:48:00,87.4,87.4,87.4
2023-03-16 23:50:00,88.1,88.1,88.1
2023-03-16 23:52:00,87.2,87.2,87.2
2023-03-16 23:54:00,87.1,87.1,87.1
2023-03-16 23:56:00,91.8,91.8,91.8
2023-03-16 23:58:00,86.8,86.8,86.8
