"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP"
2023-03-16 19:54:00,3.20,1.52,,5.90,8.92,3.22,2.52,2,,5.22,1.78,1.68
2023-03-16 19:56:00,3.30,1.88,2.70,6,14.1,3.34,2.52,2.02,6.66,5.16,,
2023-03-16 19:58:00,3.40,1.58,,5.96,8.46,3.22,2.52,2.10,,5.14,1.64,1.68
2023-03-16 20:00:00,3.22,1.52,,6.34,8.72,3.16,2.62,2.10,,5.10,1.78,1.68
2023-03-16 20:02:00,3.42,1.62,,6.20,8.76,3.24,2.56,2.04,,5.22,1.72,1.70
2023-03-16 20:04:00,3.36,1.52,,6.16,8.76,3.24,2.48,2.02,,5.16,1.70,1.66
2023-03-16 20:06:00,3.36,1.88,2.72,6.38,15.8,3.34,2.54,2.10,73.6,5.20,,
2023-03-16 20:08:00,3.44,1.66,,5.96,8.80,3.24,2.52,2.04,,5.18,1.72,1.64
2023-03-16 20:10:00,3.30,1.52,,6.16,8.36,3.08,2.56,1.98,,5.14,1.74,1.68
2023-03-16 20:12:00,3.40,1.62,,6.14,8.90,3.18,2.52,2,,5.12,1.74,1.76
2023-03-16 20:14:00,3.22,1.52,,6.16,8.68,3.26,2.50,2.12,,5.18,1.72,1.68
2023-03-16 20:16:00,3.46,1.88,1.80,6.18,11.2,3.44,2.52,2.12,93.6,5.16,,
2023-03-16 20:18:00,3.40,1.58,,6.26,9.18,3.28,2.60,2.12,,5.20,1.68,1.72
2023-03-16 20:20:00,3.46,1.52,,6.24,9.46,3.18,2.60,2.14,,5.14,1.78,1.70
2023-03-16 20:22:00,3.50,1.62,,6.16,8.88,3.26,2.54,2.08,,5.20,1.64,1.68
2023-03-16 20:24:00,3.36,1.52,,6.02,8.82,3.36,2.52,2.14,,5.22,1.76,1.68
2023-03-16 20:26:00,3.32,1.88,2.18,6.18,8.82,3.24,2.52,2.10,24.3,5.18,,
2023-03-16 20:28:00,3.38,1.58,,6.12,9.14,3.36,2.54,2.12,,5.16,1.64,1.70
2023-03-16 20:30:00,3.28,1.52,,6.18,9.20,3.28,2.52,1.96,,5.14,1.72,1.66
2023-03-16 20:32:00,3.34,1.62,,6.18,9.04,3.30,2.56,2.04,,5.14,1.70,1.68
2023-03-16 20:34:00,3.32,1.52,,6.26,8.92,3.24,2.56,2.06,,5.20,1.72,1.68
2023-03-16 20:36:00,3.40,1.88,1.86,6.34,8.86,3.24,2.50,2.16,,5.18,,1.68
2023-03-16 20:38:00,3.20,1.58,,6.08,9.20,3.32,2.54,2.12,,5.14,1.56,1.68
2023-03-16 20:40:00,3.38,1.52,,6.10,8.84,3.16,2.58,1.94,,5.24,1.78,1.68
2023-03-16 20:42:00,3.40,1.62,,6.22,8.96,3.26,2.52,2.14,,5.14,1.64,1.68
2023-03-16 20:44:00,3.28,1.70,,6.08,9.08,3.16,2.48,2.06,,5.20,1.74,1.68
2023-03-16 20:46:00,3.32,2.06,1.80,6.16,9,3.18,2.50,1.98,,5.14,1.74,
2023-03-16 20:48:00,3.36,,,6.16,16.2,2.90,2.56,2.06,15.2,5.22,1.70,1.66
2023-03-16 20:50:00,3.34,1.52,,6.08,9.08,3.18,2.54,1.98,,5.20,1.66,1.68
2023-03-16 20:52:00,3.36,1.62,,6.12,8.94,3.26,2.52,2.14,,5.18,1.78,1.68
2023-03-16 20:54:00,3.48,1.52,,6.08,9.30,3.36,2.50,2.08,,5.22,1.72,1.68
2023-03-16 20:56:00,3.38,1.88,2.18,6.20,8.82,3.28,2.60,2.12,,5.14,,1.70
2023-03-16 20:58:00,3.42,,,5.96,16.1,3.56,2.58,2.08,86.4,5.22,1.74,1.68
2023-03-16 21:00:00,3.34,1.52,,6.02,8.64,3.34,2.58,2.16,,5.14,1.70,1.68
2023-03-16 21:02:00,3.40,1.62,,5.98,8.88,3.32,2.48,2.14,,5.20,1.76,1.68
2023-03-16 21:04:00,3.44,1.52,,6.14,9.06,3.20,2.54,2,,5.12,1.78,1.68
2023-03-16 21:06:00,3.52,1.88,2.22,6.12,8.64,3.28,2.52,2.06,,5.20,,1.68
