"Time","FIN","RST","SYN","SYN-ACK"
2023-03-16 18:00:00,13.8,3.36,9.64,7.92
2023-03-16 18:02:00,13.5,2.78,9.40,7.96
2023-03-16 18:04:00,13.4,2.64,9.30,7.90
2023-03-16 18:06:00,13.6,2.80,9.64,8.08
2023-03-16 18:08:00,13.5,2.70,9.34,7.92
2023-03-16 18:10:00,13.6,2.80,9.38,7.94
2023-03-16 18:12:00,13.7,2.84,9.32,7.92
2023-03-16 18:14:00,13.4,2.62,9.30,7.90
2023-03-16 18:16:00,13.7,2.68,9.64,8.08
2023-03-16 18:18:00,13.5,2.66,9.30,7.90
2023-03-16 18:20:00,13.6,2.80,9.38,7.94
2023-03-16 18:22:00,26.6,14.8,17.1,13.4
2023-03-16 18:24:00,13.4,2.72,9.30,7.90
2023-03-16 18:26:00,13.7,2.76,9.50,8.02
2023-03-16 18:28:00,13.5,2.68,9.30,7.90
2023-03-16 18:30:00,13.7,2.78,9.54,8.02
2023-03-16 18:32:00,35.1,27.0,23.3,15.8
2023-03-16 18:34:00,13.5,2.70,9.34,7.92
2023-03-16 18:36:00,13.6,2.70,9.50,8.02
2023-03-16 18:38:00,13.6,2.84,9.30,7.90
2023-03-16 18:40:00,13.5,2.70,9.38,7.94
2023-03-16 18:42:00,21.8,14.6,15.3,10.2
2023-03-16 18:44:00,13.7,2.70,9.44,8
2023-03-16 18:46:00,13.9,2.74,9.58,8.06
2023-03-16 18:48:00,13.5,2.62,9.30,7.90
2023-03-16 18:50:00,13.4,2.78,9.46,7.98
2023-03-16 18:52:00,13.5,2.80,9.32,7.92
2023-03-16 18:54:00,13.7,2.78,9.38,7.94
2023-03-16 18:56:00,13.8,2.82,9.42,7.98
2023-03-16 18:58:00,13.5,2.66,9.30,7.90
2023-03-16 19:00:00,13.7,2.80,9.46,7.98
2023-03-16 19:02:00,13.6,2.80,9.34,7.94
2023-03-16 19:04:00,15.3,2.88,10.3,8.90
2023-03-16 19:06:00,13.5,2.68,9.50,8.02
2023-03-16 19:08:00,13.6,2.74,9.34,7.92
2023-03-16 19:10:00,13.6,2.76,9.46,7.98
2023-03-16 19:12:00,13.6,2.78,9.32,7.92
2023-03-16 19:14:00,29.0,18.1,18.9,14.2
2023-03-16 19:16:00,13.6,2.72,9.42,7.98
2023-03-16 19:18:00,13.6,2.68,9.38,7.94
2023-03-16 19:20:00,13.5,2.70,9.38,7.94
2023-03-16 19:22:00,13.7,2.86,9.32,7.92
2023-03-16 19:24:00,33.3,26.8,22.4,14.8
2023-03-16 19:26:00,13.5,2.68,9.42,7.98
2023-03-16 19:28:00,13.7,2.80,9.38,7.94
2023-03-16 19:30:00,13.6,2.76,9.46,7.98
2023-03-16 19:32:00,13.6,2.80,9.32,7.92
2023-03-16 19:34:00,20,12.2,14.2,9.70
2023-03-16 19:36:00,13.7,2.74,9.42,7.98
2023-03-16 19:38:00,13.7,2.68,9.38,7.94
2023-03-16 19:40:00,13.7,2.76,9.46,7.98
2023-03-16 19:42:00,13.7,2.80,9.40,7.96
2023-03-16 19:44:00,13.5,2.84,9.48,8.02
2023-03-16 19:46:00,13.7,2.80,9.42,7.98
2023-03-16 19:48:00,13.7,2.70,9.38,7.94
2023-03-16 19:50:00,13.6,2.86,9.42,7.96
2023-03-16 19:52:00,13.5,2.82,9.40,7.96
2023-03-16 19:54:00,13.6,2.76,9.34,7.90
2023-03-16 19:56:00,18.3,5.02,11.9,10.4
2023-03-16 19:58:00,13.6,2.64,9.38,7.94
2023-03-16 20:00:00,13.4,2.82,9.38,7.94
2023-03-16 20:02:00,13.6,2.76,9.40,7.96
2023-03-16 20:04:00,13.5,2.70,9.38,7.94
2023-03-16 20:06:00,31.9,21.7,20.8,15.2
2023-03-16 20:08:00,13.7,2.76,9.38,7.94
2023-03-16 20:10:00,13.5,2.62,9.38,7.94
2023-03-16 20:12:00,13.5,2.80,9.32,7.92
2023-03-16 20:14:00,13.5,2.64,9.34,7.92
2023-03-16 20:16:00,30.6,24.9,21.1,13.6
2023-03-16 20:18:00,13.6,2.82,9.38,7.94
2023-03-16 20:20:00,13.6,2.76,9.38,7.94
2023-03-16 20:22:00,13.7,2.94,9.40,7.96
2023-03-16 20:24:00,13.4,2.64,9.30,7.90
2023-03-16 20:26:00,17.0,8.06,12.2,8.72
2023-03-16 20:28:00,13.5,2.74,9.30,7.90
2023-03-16 20:30:00,13.5,2.70,9.34,7.92
2023-03-16 20:32:00,13.6,2.74,9.40,7.96
2023-03-16 20:34:00,13.5,2.72,9.34,7.92
2023-03-16 20:36:00,13.6,2.74,9.42,7.98
2023-03-16 20:38:00,13.5,2.72,9.30,7.90
2023-03-16 20:40:00,13.5,2.74,9.30,7.90
2023-03-16 20:42:00,13.6,2.78,9.40,7.96
2023-03-16 20:44:00,13.5,2.64,9.36,7.96
2023-03-16 20:46:00,13.5,2.64,9.42,7.98
2023-03-16 20:48:00,20.6,6.70,13.2,11.4
2023-03-16 20:50:00,13.4,2.66,9.34,7.92
2023-03-16 20:52:00,13.6,2.80,9.40,7.96
2023-03-16 20:54:00,13.5,2.80,9.30,7.90
2023-03-16 20:56:00,13.5,2.68,9.50,8.02
2023-03-16 20:58:00,33.8,24.4,22.0,15.8
2023-03-16 21:00:00,13.4,2.70,9.38,7.94
2023-03-16 21:02:00,13.7,2.84,9.40,7.96
2023-03-16 21:04:00,13.4,2.74,9.30,7.90
2023-03-16 21:06:00,13.7,2.78,9.50,8.02
2023-03-16 21:08:00,27.1,21.7,18.8,12.0
2023-03-16 21:10:00,13.5,2.78,9.30,7.90
2023-03-16 21:12:00,13.7,2.80,9.40,7.96
2023-03-16 21:14:00,13.5,2.62,9.30,7.90
2023-03-16 21:16:00,13.5,2.72,9.42,7.98
2023-03-16 21:18:00,14.6,4.80,10.3,7.90
2023-03-16 21:20:00,13.6,2.76,9.38,7.94
2023-03-16 21:22:00,13.7,2.82,9.48,8
2023-03-16 21:24:00,13.4,2.72,9.34,7.92
2023-03-16 21:26:00,13.7,2.62,9.48,8
2023-03-16 21:28:00,13.5,2.78,9.30,7.90
2023-03-16 21:30:00,13.5,2.60,9.38,7.94
2023-03-16 21:32:00,13.6,2.88,9.36,7.94
2023-03-16 21:34:00,13.7,2.86,9.38,7.94
2023-03-16 21:36:00,13.6,2.70,9.52,8.04
2023-03-16 21:38:00,13.5,2.70,9.30,7.90
2023-03-16 21:40:00,23.8,11.1,15.5,12.5
2023-03-16 21:42:00,13.5,2.82,9.32,7.92
