"Time","DELETE /v1/endpoint","DELETE /v1/endpoint","DELETE /v1/endpoint","GET /v1/cluster","GET /v1/cluster","GET /v1/cluster","GET /v1/config","GET /v1/config","GET /v1/config","GET /v1/healthz","GET /v1/healthz","GET /v1/healthz","POST /v1/ipam","POST /v1/ipam","POST /v1/ipam","PUT /v1/endpoint","PUT /v1/endpoint","PUT /v1/endpoint"
2023-03-04 12:52:00,,,,0.0000537,0.0000887,,,,,0.00147,0.00195,0.00194,,,,,,
2023-03-04 12:54:00,,,,0.0000631,0.000116,,,,,0.00130,0.00194,0.00193,,,,,,
2023-03-04 12:56:00,,,,0.0000624,0.0000979,,,,,0.00128,0.00189,0.00190,,,,,,
2023-03-04 12:58:00,,,,0.0000563,0.0000834,,,,,0.00129,0.00187,0.00185,,,,,,
2023-03-04 13:00:00,,,,0.0000689,0.0000916,,,,,0.00124,0.00219,0.00193,,,,,,
2023-03-04 13:02:00,,,,0.0000626,0.0000838,,,,,0.00151,0.00191,0.00183,,,,,,
2023-03-04 13:04:00,,,,0.0000552,0.0000941,,,,,0.00130,0.00192,0.00188,,,,,,
2023-03-04 13:06:00,,,,0.0000647,0.0000819,,,,,0.00130,0.00189,0.00229,,,,,,
2023-03-04 13:08:00,,,,0.0000540,0.0000973,,,,,0.00118,0.00184,0.00197,,,,,,
2023-03-04 13:10:00,,,,0.0000567,0.0000831,,,,,0.00129,0.00190,0.00187,,,,,,
2023-03-04 13:12:00,,,,0.0000560,0.0000893,,,,,0.00125,0.00185,0.00182,,,,,,
2023-03-04 13:14:00,,,,0.0000575,0.0000852,,,,,0.00119,0.00190,0.00194,,,,,,
2023-03-04 13:16:00,,,,0.0000632,0.0000854,,,,,0.00143,0.00200,0.00197,,,,,,
2023-03-04 13:18:00,,,,0.0000567,0.0000941,,,,,0.00123,0.00201,0.00204,,,,,,
2023-03-04 13:20:00,,,,0.0000587,0.0000877,,,,,0.00121,0.00186,0.00179,,,,,,
2023-03-04 13:22:00,,,,0.0000606,0.0000817,,,,,0.00122,0.00197,0.00181,,,,,,
2023-03-04 13:24:00,,,,0.0000584,0.0000824,,,,,0.00129,0.00193,0.00197,,,,,,
2023-03-04 13:26:00,,,,0.0000668,0.0000855,,,,,0.00124,0.00195,0.00197,,,,,,
2023-03-04 13:28:00,,,,0.0000671,0.0000966,,,,,0.00124,0.00187,0.00202,,,,,,
2023-03-04 13:30:00,,,,0.0000659,0.0000890,,,,,0.00120,0.00186,0.00190,,,,,,
2023-03-04 13:32:00,,,,0.0000604,0.0000853,,,,,0.00119,0.00202,0.00193,,,,,,
2023-03-04 13:34:00,,,,0.0000715,0.0000913,,,,,0.00112,0.00190,0.00187,,,,,,
2023-03-04 13:36:00,,,,0.0000713,0.0000852,,,,,0.00140,0.00186,0.00176,,,,,,
2023-03-04 13:38:00,,,,0.0000592,0.0000817,,,,,0.00117,0.00185,0.00188,,,,,,
2023-03-04 13:40:00,,,,0.0000920,0.000106,,,,,0.00128,0.00184,0.00216,,,,,,
2023-03-04 13:42:00,,,,0.0000593,0.0000853,,,,,0.00123,0.00184,0.00180,,,,,,
2023-03-04 13:44:00,,,,0.0000552,0.0000890,,,,,0.00137,0.00188,0.00187,,,,,,
2023-03-04 13:46:00,,,,0.0000589,0.0000856,,,,,0.00130,0.00185,0.00195,,,,,,
2023-03-04 13:48:00,,,,0.0000594,0.0000799,,,,,0.00139,0.00186,0.00175,,,,,,
2023-03-04 13:50:00,,,,0.0000682,0.0000665,,,,,0.00132,0.00188,0.00196,,,,,,
2023-03-04 13:52:00,,,,0.0000591,0.0000940,,,,,0.00121,0.00189,0.00202,,,,,,
2023-03-04 13:54:00,,,,0.0000540,0.0000896,,,,,0.00121,0.00190,0.00199,,,,,,
2023-03-04 13:56:00,,,,0.0000597,0.0000780,,,,,0.00131,0.00196,0.00193,,,,,,
2023-03-04 13:58:00,,,,0.0000515,0.0000883,,,,,0.00116,0.00211,0.00215,,,,,,
2023-03-04 14:00:00,,,,0.0000565,0.0000775,,,,,0.00120,0.00199,0.00196,,,,,,
2023-03-04 14:02:00,,,,0.0000579,0.0000796,,,,,0.00129,0.00185,0.00195,,,,,,
2023-03-04 14:04:00,,,,0.0000636,0.0000855,,,,,0.00140,0.00187,0.00199,,,,,,
2023-03-04 14:06:00,,,,0.0000651,0.0000913,,,,,0.00120,0.00193,0.00197,,,,,,
2023-03-04 14:08:00,,,,0.0000662,0.0000891,,,,,0.00115,0.00199,0.00196,,,,,,
2023-03-04 14:10:00,,,,0.0000623,0.0000933,,,,,0.00138,0.00190,0.00185,,,,,,
2023-03-04 14:12:00,,,,0.0000678,0.0000834,,,,,0.00134,0.00189,0.00198,,,,,,
2023-03-04 14:14:00,,,,0.0000611,0.0000922,,,,,0.00136,0.00190,0.00172,,,,,,
2023-03-04 14:16:00,,,,0.0000674,0.0000854,,,,,0.00122,0.00196,0.00196,,,,,,
2023-03-04 14:18:00,,,,0.0000620,0.0000939,,,,,0.00123,0.00187,0.00200,,,,,,
2023-03-04 14:20:00,,,,0.0000611,0.0000856,,,,,0.00140,0.00191,0.00195,,,,,,
2023-03-04 14:22:00,,,,0.0000669,0.0000806,,,,,0.00111,0.00186,0.00198,,,,,,
2023-03-04 14:24:00,,,,0.0000729,0.0000852,,,,,0.00135,0.00206,0.00188,,,,,,
2023-03-04 14:26:00,,,,0.0000579,0.0000833,,,,,0.00127,0.00200,0.00187,,,,,,
2023-03-04 14:28:00,,,,0.0000662,0.0000816,,,,,0.00135,0.00195,0.00230,,,,,,
2023-03-04 14:30:00,,,,0.0000704,0.0000809,,,,,0.00120,0.00190,0.00197,,,,,,
2023-03-04 14:32:00,,,,0.0000581,0.0000910,,,,,0.00121,0.00188,0.00215,,,,,,
2023-03-04 14:34:00,,,,0.0000675,0.0000834,,,,,0.00136,0.00193,0.00182,,,,,,
2023-03-04 14:36:00,,,,0.0000603,0.0000831,,,,,0.00120,0.00196,0.00184,,,,,,
2023-03-04 14:38:00,,,,0.0000639,0.0000855,,,,,0.00129,0.00190,0.00191,,,,,,
2023-03-04 14:40:00,,,,0.0000656,0.0000810,,,,,0.00109,0.00192,0.00194,,,,,,
2023-03-04 14:42:00,,,,0.0000531,0.000104,,,,,0.00114,0.00196,0.00204,,,,,,
2023-03-04 14:44:00,,,,0.0000624,0.0000876,,,,,0.00142,0.00186,0.00189,,,,,,
2023-03-04 14:46:00,,,,0.0000586,0.0000986,,,,,0.00131,0.00211,0.00196,,,,,,
2023-03-04 14:48:00,,,,0.0000364,0.0000877,,,,,0.00114,0.00184,0.00205,,,,,,
2023-03-04 14:50:00,,,,0.0000485,0.000115,,,,,0.00135,0.00186,0.00201,,,,,,
2023-03-04 14:52:00,,,,0.0000575,0.0000810,,,,,0.00113,0.00196,0.00183,,,,,,
2023-03-04 14:54:00,,,,0.0000581,0.0000823,,,,,0.00132,0.00188,0.00196,,,,,,
2023-03-04 14:56:00,,,,0.0000952,0.0000877,,,,,0.00124,0.00184,0.00188,,,,,,
2023-03-04 14:58:00,,,,0.0000658,0.0000922,,,,,0.00127,0.00186,0.00199,,,,,,
2023-03-04 15:00:00,,,,0.000108,0.0000869,,,,,0.00136,0.00187,0.00215,,,,,,
2023-03-04 15:02:00,,,,0.0000621,0.0000895,,,,,0.00136,0.00187,0.00158,,,,,,
2023-03-04 15:04:00,,,,0.0000616,0.0000880,,,,,0.00120,0.00206,0.00192,,,,,,
2023-03-04 15:06:00,,,,0.0000627,0.000114,,,,,0.00120,0.00195,0.00193,,,,,,
2023-03-04 15:08:00,,,,0.0000548,0.0000814,,,,,0.00126,0.00189,0.00200,,,,,,
2023-03-04 15:10:00,,,,0.0000676,0.0000879,,,,,0.00119,0.00186,0.00199,,,,,,
2023-03-04 15:12:00,,,,0.0000540,0.0000888,,,,,0.00116,0.00192,0.00150,,,,,,
2023-03-04 15:14:00,,,,0.0000593,0.0000876,,,,,0.00126,0.00208,0.00198,,,,,,
2023-03-04 15:16:00,,,,0.0000652,0.000115,,,,,0.00125,0.00186,0.00201,,,,,,
