"Time","Drop","PolicyVerdict","Trace"
2023-03-15 13:48:00,0.0200,1.10,85.7
2023-03-15 13:50:00,0,1.26,219
2023-03-15 13:52:00,0,1.14,87.1
2023-03-15 13:54:00,0,1.10,86.1
2023-03-15 13:56:00,0.0800,1.66,91.9
2023-03-15 13:58:00,0.0200,1.10,85.6
2023-03-15 14:00:00,0.0600,1.10,147
2023-03-15 14:02:00,0.100,1.10,88.2
2023-03-15 14:04:00,0.0200,1.26,87.5
2023-03-15 14:06:00,0,1.84,93.7
2023-03-15 14:08:00,0,1.24,86.0
2023-03-15 14:10:00,0,1.10,85.0
2023-03-15 14:12:00,0,1.10,87.3
2023-03-15 14:14:00,0.0200,1.26,87.3
2023-03-15 14:16:00,0.0200,1.66,90.9
2023-03-15 14:18:00,0.0200,1.26,84.6
2023-03-15 14:20:00,0.0200,1.26,86.2
2023-03-15 14:22:00,0.0400,1.10,96.2
2023-03-15 14:24:00,0,1.26,84.9
2023-03-15 14:26:00,0.0200,1.50,90.3
2023-03-15 14:28:00,0.0200,1.26,85.0
2023-03-15 14:30:00,0,1.10,85.4
2023-03-15 14:32:00,0,1.10,179
2023-03-15 14:34:00,0,1.26,85.6
2023-03-15 14:36:00,0.0600,1.50,89.6
2023-03-15 14:38:00,0.0600,1.26,84.4
2023-03-15 14:40:00,0.0200,1.26,85.5
2023-03-15 14:42:00,0.0400,1.24,210
2023-03-15 14:44:00,0.0600,1.26,86.1
2023-03-15 14:46:00,0.0600,1.50,88.6
2023-03-15 14:48:00,0.0200,1.30,86.5
2023-03-15 14:50:00,0.120,1.12,85.9
2023-03-15 14:52:00,0,1.26,131
2023-03-15 14:54:00,0,1.10,85.8
2023-03-15 14:56:00,0,1.48,90.7
2023-03-15 14:58:00,0,1.26,85.6
2023-03-15 15:00:00,0.0400,1.12,85.9
2023-03-15 15:02:00,0.0200,1.26,88.7
2023-03-15 15:04:00,0.0600,1.10,86.1
2023-03-15 15:06:00,0.0400,1.50,91.9
2023-03-15 15:08:00,0,1.26,86.8
2023-03-15 15:10:00,0.0400,1.10,85.7
2023-03-15 15:12:00,0,1.26,87.5
2023-03-15 15:14:00,0.0200,1.26,105
2023-03-15 15:16:00,0,1.66,91.2
2023-03-15 15:18:00,0,1.26,86.7
2023-03-15 15:20:00,0,1.10,84.7
2023-03-15 15:22:00,0,1.26,86.7
2023-03-15 15:24:00,0.0200,1.26,189
2023-03-15 15:26:00,0,1.66,90.6
2023-03-15 15:28:00,0.0200,1.26,87.1
2023-03-15 15:30:00,0,1.10,85.0
2023-03-15 15:32:00,0.0800,1.10,86.4
2023-03-15 15:34:00,0,1.10,195
2023-03-15 15:36:00,0.0600,1.66,91.4
2023-03-15 15:38:00,0.0200,1.26,87.1
2023-03-15 15:40:00,0,1.10,85.3
2023-03-15 15:42:00,0,1.26,86.6
2023-03-15 15:44:00,0,1.10,110
2023-03-15 15:46:00,0,1.66,92.7
2023-03-15 15:48:00,0,1.26,87.3
2023-03-15 15:50:00,0,1.24,86.6
2023-03-15 15:52:00,0,1.26,88.5
2023-03-15 15:54:00,0.140,1.10,84.5
2023-03-15 15:56:00,0.0200,1.66,90.3
2023-03-15 15:58:00,0.0400,1.12,87.0
2023-03-15 16:00:00,0.0200,1.26,84.7
2023-03-15 16:02:00,0.0400,1.26,87.8
2023-03-15 16:04:00,0,1.10,85.9
2023-03-15 16:06:00,0,1.66,126
2023-03-15 16:08:00,0,1.10,85.6
2023-03-15 16:10:00,0.0400,1.10,85.6
2023-03-15 16:12:00,0,1.26,87.0
2023-03-15 16:14:00,0,1.24,85.9
2023-03-15 16:16:00,0.0200,1.66,212
2023-03-15 16:18:00,0.0200,1.10,85.8
2023-03-15 16:20:00,0.0600,1.30,86.8
2023-03-15 16:22:00,0,1.26,86.6
2023-03-15 16:24:00,0,1.26,87.8
2023-03-15 16:26:00,0,1.68,187
2023-03-15 16:28:00,0,1.10,86.4
2023-03-15 16:30:00,0,1.26,86.5
2023-03-15 16:32:00,0,1.10,85.9
2023-03-15 16:34:00,0.0200,1.26,86.6
2023-03-15 16:36:00,0.0200,1.66,104
2023-03-15 16:38:00,0.0600,1.14,86.4
2023-03-15 16:40:00,0.0600,1.10,86.1
2023-03-15 16:42:00,0.0800,1.10,85.9
2023-03-15 16:44:00,0.100,1.26,89.1
2023-03-15 16:46:00,0.100,1.48,89.8
2023-03-15 16:48:00,0.0400,1.24,86.7
2023-03-15 16:50:00,0.0200,1.10,84.9
2023-03-15 16:52:00,0,1.10,86.1
2023-03-15 16:54:00,0,1.10,85.5
2023-03-15 16:56:00,0,1.52,90.9
2023-03-15 16:58:00,0.0200,1.26,142
2023-03-15 17:00:00,0,1.26,87.4
2023-03-15 17:02:00,0.0400,1.10,86.1
2023-03-15 17:04:00,0.0600,1.10,85.7
2023-03-15 17:06:00,0.0400,1.50,90.4
2023-03-15 17:08:00,0.0600,1.26,215
2023-03-15 17:10:00,0.0200,1.26,87.0
2023-03-15 17:12:00,0.0200,1.10,86.2
2023-03-15 17:14:00,0.0600,1.14,86.0
2023-03-15 17:16:00,0,1.50,89.4
2023-03-15 17:18:00,0,1.26,165
2023-03-15 17:20:00,0,1.26,86.4
2023-03-15 17:22:00,0,1.26,87.8
2023-03-15 17:24:00,0,1.10,84.1
2023-03-15 17:26:00,0.0600,1.50,88.9
2023-03-15 17:28:00,0.0200,1.26,87.8
2023-03-15 17:30:00,0,1.12,86.6
2023-03-15 17:32:00,0.0400,1.26,87.8
2023-03-15 17:34:00,0.0200,1.26,85.6
2023-03-15 17:36:00,0.0200,1.50,89.1
2023-03-15 17:38:00,0,1.26,84.7
2023-03-15 17:40:00,0,1.14,88.4
2023-03-15 17:42:00,0,1.10,87.7
2023-03-15 17:44:00,0,1.26,89.2
2023-03-15 17:46:00,0,1.60,91.6
2023-03-15 17:48:00,0.0200,1.10,87.0
2023-03-15 17:50:00,0,1.12,156
2023-03-15 17:52:00,0.0600,1.26,87.7
2023-03-15 17:54:00,0.0600,1.16,86.4
2023-03-15 17:56:00,0.0400,1.46,90.5
2023-03-15 17:58:00,0.0600,1.26,87.5
2023-03-15 18:00:00,0,1.14,218
2023-03-15 18:02:00,0,1.26,88.0
2023-03-15 18:04:00,0,1.10,85.3
2023-03-15 18:06:00,0,1.62,91.0
2023-03-15 18:08:00,0.0200,1.26,87.4
2023-03-15 18:10:00,0.0600,1.14,147
2023-03-15 18:12:00,0.0400,1.26,85.6
2023-03-15 18:14:00,0.0400,1.10,85.0
2023-03-15 18:16:00,0.0400,1.62,92.0
2023-03-15 18:18:00,0,1.26,86.6
2023-03-15 18:20:00,0.0400,1.28,87.2
2023-03-15 18:22:00,0.0400,1.10,87.2
2023-03-15 18:24:00,0,1.10,84.8
2023-03-15 18:26:00,0,1.62,90.8
2023-03-15 18:28:00,0,1.12,84.8
2023-03-15 18:30:00,0,1.32,86.3
2023-03-15 18:32:00,0,1.10,87.6
2023-03-15 18:34:00,0,1.10,84.7
2023-03-15 18:36:00,0.0400,1.62,89.9
2023-03-15 18:38:00,0.0400,1.10,85.2
2023-03-15 18:40:00,0,1.30,87.4
2023-03-15 18:42:00,0,1.26,172
