"Time","FIN","RST","SYN","SYN-ACK"
2023-03-15 13:38:00,13.5,2.76,9.30,7.90
2023-03-15 13:40:00,27.1,15.4,17.5,13.5
2023-03-15 13:42:00,13.6,2.78,9.36,7.94
2023-03-15 13:44:00,13.6,2.62,9.44,8
2023-03-15 13:46:00,13.8,2.70,9.66,8.10
2023-03-15 13:48:00,13.5,2.72,9.30,7.90
2023-03-15 13:50:00,35.2,27.0,23.3,15.8
2023-03-15 13:52:00,13.5,2.80,9.40,7.96
2023-03-15 13:54:00,13.4,2.72,9.30,7.90
2023-03-15 13:56:00,13.7,2.84,9.66,8.10
2023-03-15 13:58:00,13.5,2.86,9.30,7.90
2023-03-15 14:00:00,21.9,14.9,15.5,10.3
2023-03-15 14:02:00,13.7,2.88,9.32,7.92
2023-03-15 14:04:00,13.7,2.68,9.38,7.94
2023-03-15 14:06:00,13.6,2.76,9.74,8.16
2023-03-15 14:08:00,13.7,2.70,9.34,7.92
2023-03-15 14:10:00,13.4,2.74,9.30,7.90
2023-03-15 14:12:00,13.6,2.86,9.32,7.92
2023-03-15 14:14:00,13.7,2.66,9.38,7.94
2023-03-15 14:16:00,13.7,2.66,9.66,8.10
2023-03-15 14:18:00,13.6,2.76,9.38,7.94
2023-03-15 14:20:00,13.4,2.68,9.38,7.94
2023-03-15 14:22:00,15.9,3.38,10.6,9.16
2023-03-15 14:24:00,13.6,2.68,9.38,7.94
2023-03-15 14:26:00,13.5,2.84,9.58,8.06
2023-03-15 14:28:00,13.6,2.78,9.38,7.94
2023-03-15 14:30:00,13.4,2.78,9.30,7.90
2023-03-15 14:32:00,29.5,18.5,19.0,14.4
2023-03-15 14:34:00,13.6,2.72,9.38,7.94
2023-03-15 14:36:00,13.7,2.84,9.58,8.06
2023-03-15 14:38:00,13.5,2.66,9.36,7.94
2023-03-15 14:40:00,13.5,2.78,9.38,7.94
2023-03-15 14:42:00,33.2,26.6,22.2,14.7
2023-03-15 14:44:00,13.5,2.66,9.44,8
2023-03-15 14:46:00,13.7,2.74,9.58,8.06
2023-03-15 14:48:00,13.7,2.80,9.46,7.98
2023-03-15 14:50:00,13.5,2.70,9.34,7.92
2023-03-15 14:52:00,19.5,11.5,13.8,9.50
2023-03-15 14:54:00,13.4,2.64,9.30,7.90
2023-03-15 14:56:00,13.7,2.80,9.52,8.04
2023-03-15 14:58:00,13.6,2.68,9.38,7.94
2023-03-15 15:00:00,13.6,2.78,9.34,7.92
2023-03-15 15:02:00,13.7,2.86,9.42,7.96
2023-03-15 15:04:00,13.4,2.70,9.30,7.90
2023-03-15 15:06:00,13.7,2.78,9.60,8.06
2023-03-15 15:08:00,13.6,2.66,9.38,7.94
2023-03-15 15:10:00,13.4,2.72,9.30,7.90
2023-03-15 15:12:00,13.6,2.76,9.40,7.96
2023-03-15 15:14:00,17.9,4.60,11.6,10.2
2023-03-15 15:16:00,13.6,2.80,9.66,8.10
2023-03-15 15:18:00,13.5,2.74,9.38,7.94
2023-03-15 15:20:00,13.4,2.68,9.30,7.90
2023-03-15 15:22:00,13.6,2.86,9.40,7.96
2023-03-15 15:24:00,31.5,21.1,20.5,15.0
2023-03-15 15:26:00,13.7,2.82,9.66,8.10
2023-03-15 15:28:00,13.6,2.68,9.38,7.94
2023-03-15 15:30:00,13.5,2.74,9.30,7.90
2023-03-15 15:32:00,13.7,2.94,9.30,7.90
2023-03-15 15:34:00,30.2,24.6,20.7,13.3
2023-03-15 15:36:00,13.9,2.74,9.66,8.10
2023-03-15 15:38:00,13.6,2.78,9.38,7.94
2023-03-15 15:40:00,13.5,2.74,9.30,7.90
2023-03-15 15:42:00,13.6,2.84,9.40,7.96
2023-03-15 15:44:00,16.1,7.16,11.6,8.42
2023-03-15 15:46:00,13.9,2.86,9.66,8.10
2023-03-15 15:48:00,13.7,2.76,9.38,7.94
2023-03-15 15:50:00,13.5,2.80,9.34,7.92
2023-03-15 15:52:00,13.7,2.82,9.38,7.96
2023-03-15 15:54:00,13.4,2.70,9.30,7.90
2023-03-15 15:56:00,13.7,2.72,9.66,8.10
2023-03-15 15:58:00,13.4,2.70,9.34,7.92
2023-03-15 16:00:00,13.4,2.74,9.38,7.94
2023-03-15 16:02:00,13.7,2.82,9.40,7.96
2023-03-15 16:04:00,13.4,2.66,9.30,7.90
2023-03-15 16:06:00,21.1,7.20,13.7,11.7
2023-03-15 16:08:00,13.6,2.80,9.30,7.90
2023-03-15 16:10:00,13.5,2.70,9.30,7.90
2023-03-15 16:12:00,13.6,2.70,9.40,7.96
2023-03-15 16:14:00,13.6,2.60,9.36,7.94
2023-03-15 16:16:00,33.9,24.5,22.4,16.0
2023-03-15 16:18:00,13.5,2.78,9.30,7.90
2023-03-15 16:20:00,13.5,2.88,9.44,7.98
2023-03-15 16:22:00,13.6,2.80,9.40,7.96
2023-03-15 16:24:00,13.6,2.80,9.38,7.94
2023-03-15 16:26:00,27.7,22.3,19.5,12.3
2023-03-15 16:28:00,13.5,2.66,9.30,7.90
2023-03-15 16:30:00,13.7,2.78,9.38,7.94
2023-03-15 16:32:00,13.6,2.70,9.32,7.92
2023-03-15 16:34:00,13.5,2.70,9.38,7.94
2023-03-15 16:36:00,14.9,5.52,11,8.10
2023-03-15 16:38:00,13.5,2.80,9.40,7.96
2023-03-15 16:40:00,13.6,2.68,9.30,7.90
2023-03-15 16:42:00,13.6,2.78,9.32,7.92
2023-03-15 16:44:00,13.5,2.72,9.44,8
2023-03-15 16:46:00,13.7,2.72,9.52,8.04
2023-03-15 16:48:00,13.5,2.72,9.34,7.92
2023-03-15 16:50:00,13.5,2.68,9.30,7.90
2023-03-15 16:52:00,13.5,2.72,9.32,7.92
2023-03-15 16:54:00,13.5,2.74,9.30,7.90
2023-03-15 16:56:00,13.6,2.86,9.62,8.08
2023-03-15 16:58:00,23.9,11.1,15.4,12.5
2023-03-15 17:00:00,13.6,2.78,9.38,7.94
2023-03-15 17:02:00,13.6,2.72,9.32,7.92
2023-03-15 17:04:00,13.6,2.80,9.30,7.90
2023-03-15 17:06:00,13.5,2.72,9.58,8.06
2023-03-15 17:08:00,34.9,26.3,23,15.8
2023-03-15 17:10:00,13.6,2.80,9.38,7.94
2023-03-15 17:12:00,13.8,2.86,9.32,7.92
2023-03-15 17:14:00,13.4,2.68,9.38,7.94
2023-03-15 17:16:00,13.6,2.78,9.58,8.06
2023-03-15 17:18:00,25.3,19.2,17.6,11.4
2023-03-15 17:20:00,13.6,2.70,9.38,7.94
2023-03-15 17:22:00,13.8,2.86,9.40,7.96
2023-03-15 17:24:00,13.5,2.70,9.30,7.90
2023-03-15 17:26:00,13.6,2.72,9.58,8.06
2023-03-15 17:28:00,14.0,3.38,9.74,7.94
2023-03-15 17:30:00,13.5,2.68,9.34,7.92
2023-03-15 17:32:00,13.8,2.92,9.40,7.96
2023-03-15 17:34:00,13.7,2.74,9.38,7.94
2023-03-15 17:36:00,13.5,2.76,9.58,8.06
