"Time","failure","success","failure","success","failure","success"
2023-03-21 23:16:00,,0.0000911,,0.0000786,,0.0000656
2023-03-21 23:18:00,,0.000103,,0.000114,,0.000108
2023-03-21 23:20:00,,0.0000809,,0.000106,,0.0000858
2023-03-21 23:22:00,,0.0000768,,0.000148,,0.0000847
2023-03-21 23:24:00,,0.0000544,,0.0000716,,0.000112
2023-03-21 23:26:00,,0.0000624,,0.0000945,,0.0000960
2023-03-21 23:28:00,,0.000120,,0.0000834,,0.0000896
2023-03-21 23:30:00,,0.0000728,,0.0000986,,0.0000653
2023-03-21 23:32:00,,0.000108,,0.0000876,,0.0000981
2023-03-21 23:34:00,,0.0000751,,0.0000764,,0.0000945
2023-03-21 23:36:00,,0.000103,,0.0000804,,0.0000960
2023-03-21 23:38:00,,0.0000913,,0.0000917,,0.0000642
2023-03-21 23:40:00,,0.0000909,,0.0000722,,0.0000898
2023-03-21 23:42:00,,0.000139,,0.0000976,,0.000106
2023-03-21 23:44:00,,0.0000909,,0.0000646,,0.0000602
2023-03-21 23:46:00,,0.000106,,0.0000783,,0.000103
2023-03-21 23:48:00,,0.0000632,,0.0000682,,0.0000904
2023-03-21 23:50:00,,0.0000626,,0.000106,,0.000126
2023-03-21 23:52:00,,0.0000689,,0.000104,,0.0000615
2023-03-21 23:54:00,,0.0000674,,0.0000662,,0.000117
2023-03-21 23:56:00,,0.0000894,,0.0000770,,0.0000705
2023-03-21 23:58:00,,0.0000870,,0.000107,,0.0000834
2023-03-22 00:00:00,,0.0000735,,0.0000762,,0.0000756
2023-03-22 00:02:00,,0.0000787,,0.0000767,,0.0000636
2023-03-22 00:04:00,,0.0000863,,0.0000959,,0.0000816
2023-03-22 00:06:00,,0.0000702,,0.000103,,0.0000743
2023-03-22 00:08:00,,0.0000602,,0.000104,,0.0000543
2023-03-22 00:10:00,,0.000117,,0.0000973,,0.000110
2023-03-22 00:12:00,,0.0000643,,0.000106,,0.0000858
2023-03-22 00:14:00,,0.0000716,,0.0000849,,0.0000776
2023-03-22 00:16:00,,0.0000730,,0.000114,,0.0000640
2023-03-22 00:18:00,,0.0000888,,0.0000726,,0.0000727
2023-03-22 00:20:00,,0.0000869,,0.000113,,0.0000691
2023-03-22 00:22:00,,0.0000988,,0.0000851,,0.0000767
2023-03-22 00:24:00,,0.0000842,,0.0000789,,0.0000956
2023-03-22 00:26:00,,0.0000768,,0.000101,,0.0000557
2023-03-22 00:28:00,,0.000101,,0.0000692,,0.0000695
2023-03-22 00:30:00,,0.0000874,,0.0000875,,0.0000757
2023-03-22 00:32:00,,0.0000723,,0.0000940,,0.0000677
2023-03-22 00:34:00,,0.0000868,,0.0000758,,0.0000989
2023-03-22 00:36:00,,0.0000977,,0.0000609,,0.0000646
2023-03-22 00:38:00,,0.0000758,,0.0000644,,0.000125
2023-03-22 00:40:00,,0.0000949,,0.0000845,,0.0000806
2023-03-22 00:42:00,,0.0000685,,0.0000713,,0.0000591
2023-03-22 00:44:00,,0.0000858,,0.000134,,0.0000646
2023-03-22 00:46:00,,0.0000734,,0.0000889,,0.0000893
2023-03-22 00:48:00,,0.0000850,,0.0000718,,0.0000785
2023-03-22 00:50:00,,0.0000737,,0.0000778,,0.0000681
