"Time","(1 - (avg(irate({__name__=~""node_cpu_seconds_total|windows_cpu_time_total"",mode=""idle""}[5m])))) * 100"
2023-03-21 20:20:00,8.75
2023-03-21 20:40:00,9.41
2023-03-21 21:00:00,9.55
2023-03-21 21:20:00,9.05
2023-03-21 21:40:00,9.40
2023-03-21 22:00:00,9.48
2023-03-21 22:20:00,9.06
2023-03-21 22:40:00,7.82
2023-03-21 23:00:00,9.12
2023-03-21 23:20:00,9.58
2023-03-21 23:40:00,9.23
2023-03-22 00:00:00,9.50
2023-03-22 00:20:00,9.24
2023-03-22 00:40:00,8.97
2023-03-22 01:00:00,7.90
2023-03-22 01:20:00,8.93
2023-03-22 01:40:00,9.39
2023-03-22 02:00:00,9.44
2023-03-22 02:20:00,9.24
2023-03-22 02:40:00,9.53
2023-03-22 03:00:00,9.40
2023-03-22 03:20:00,7.80
2023-03-22 03:40:00,8.00
2023-03-22 04:00:00,9.64
2023-03-22 04:20:00,9.45
2023-03-22 04:40:00,9.02
2023-03-22 05:00:00,8.16
2023-03-22 05:20:00,7.43
2023-03-22 05:40:00,6.17
2023-03-22 06:00:00,5.78
2023-03-22 06:20:00,7.14
2023-03-22 06:40:00,7.24
2023-03-22 07:00:00,7.35
2023-03-22 07:20:00,7.22
2023-03-22 07:40:00,7.15
2023-03-22 08:00:00,6.47
2023-03-22 08:20:00,5.00
2023-03-22 08:40:00,6.53
2023-03-22 09:00:00,7.58
2023-03-22 09:20:00,6.74
2023-03-22 09:40:00,6.82
2023-03-22 10:00:00,7.35
2023-03-22 10:20:00,9.60
2023-03-22 10:40:00,8.54
2023-03-22 11:00:00,7.97
2023-03-22 11:20:00,9.29
2023-03-22 11:40:00,9.44
2023-03-22 12:00:00,9.35
2023-03-22 12:20:00,9.23
2023-03-22 12:40:00,9.21
2023-03-22 13:00:00,8.32
2023-03-22 13:20:00,8.55
2023-03-22 13:40:00,9.58
2023-03-22 14:00:00,9.89
2023-03-22 14:20:00,9.08
2023-03-22 14:40:00,9.33
2023-03-22 15:00:00,9.59
2023-03-22 15:20:00,8.55
2023-03-22 15:40:00,8.21
2023-03-22 16:00:00,9.44
2023-03-22 16:20:00,9.49
2023-03-22 16:40:00,9.06
2023-03-22 17:00:00,9.81
2023-03-22 17:20:00,9.40
2023-03-22 17:40:00,8.75
2023-03-22 18:00:00,8.18
2023-03-22 18:20:00,9.32
2023-03-22 18:40:00,9.45
2023-03-22 19:00:00,9.38
2023-03-22 19:20:00,9.18
2023-03-22 19:40:00,9.33
2023-03-22 20:00:00,9.17
2023-03-22 20:20:00,7.62
2023-03-22 20:40:00,8.96
2023-03-22 21:00:00,9.99
2023-03-22 21:20:00,8.86
2023-03-22 21:40:00,9.19
2023-03-22 22:00:00,9.70
2023-03-22 22:20:00,8.24
2023-03-22 22:40:00,8.19
2023-03-22 23:00:00,9.59
2023-03-22 23:20:00,9.54
2023-03-22 23:40:00,9.14
2023-03-23 00:00:00,9.63
2023-03-23 00:20:00,9.33
2023-03-23 00:40:00,8.69
2023-03-23 01:00:00,8.01
2023-03-23 01:20:00,9.05
2023-03-23 01:40:00,9.69
2023-03-23 02:00:00,9.21
2023-03-23 02:20:00,9.02

