"Time","udp:99%","udp:90%","udp:50%"
2023-03-15 15:56:00,288,198,145
2023-03-15 16:00:00,293,234,156
2023-03-15 16:04:00,295,252,163
2023-03-15 16:08:00,288,198,145
2023-03-15 16:12:00,295,245,161
2023-03-15 16:16:00,295,250,163
2023-03-15 16:20:00,285,195,142
2023-03-15 16:24:00,295,252,163
2023-03-15 16:28:00,288,198,145
2023-03-15 16:32:00,295,250,163
2023-03-15 16:36:00,295,252,163
2023-03-15 16:40:00,282,194,141
2023-03-15 16:44:00,294,243,161
2023-03-15 16:48:00,336,205,147
2023-03-15 16:52:00,294,237,159
2023-03-15 16:56:00,294,243,161
2023-03-15 17:00:00,282,194,141
2023-03-15 17:04:00,295,252,163
2023-03-15 17:08:00,293,228,155
2023-03-15 17:12:00,288,198,144
2023-03-15 17:16:00,295,248,162
2023-03-15 17:20:00,282,194,141
2023-03-15 17:24:00,295,248,162
2023-03-15 17:28:00,294,237,157
2023-03-15 17:32:00,286,196,143
2023-03-15 17:36:00,295,254,164
2023-03-15 17:40:00,276,192,140
2023-03-15 17:44:00,294,243,161
2023-03-15 17:48:00,365,256,160
2023-03-15 17:52:00,283,195,142
2023-03-15 17:56:00,295,252,163
2023-03-15 18:00:00,293,225,154
2023-03-15 18:04:00,286,196,143
2023-03-15 18:08:00,294,240,158
2023-03-15 18:12:00,286,196,143
2023-03-15 18:16:00,295,252,163
2023-03-15 18:20:00,294,236,156
2023-03-15 18:24:00,283,195,142
2023-03-15 18:28:00,294,241,158
2023-03-15 18:32:00,286,196,143
2023-03-15 18:36:00,295,248,162
2023-03-15 18:40:00,293,225,154
2023-03-15 18:44:00,288,198,145
2023-03-15 18:48:00,365,256,160
2023-03-15 18:52:00,295,245,161
2023-03-15 18:56:00,283,195,142
2023-03-15 19:00:00,293,234,156
2023-03-15 19:04:00,288,198,145
2023-03-15 19:08:00,294,240,158
2023-03-15 19:12:00,295,250,163
2023-03-15 19:16:00,288,198,145
2023-03-15 19:20:00,293,227,154
2023-03-15 19:24:00,286,196,143
2023-03-15 19:28:00,294,241,158
2023-03-15 19:32:00,294,237,159
2023-03-15 19:36:00,286,196,143
2023-03-15 19:40:00,293,234,156
2023-03-15 19:44:00,294,243,161
2023-03-15 19:48:00,336,205,147
2023-03-15 19:52:00,295,250,163
2023-03-15 19:56:00,286,196,143
2023-03-15 20:00:00,293,234,156
2023-03-15 20:04:00,295,252,163
2023-03-15 20:08:00,289,199,146
2023-03-15 20:12:00,295,250,163
2023-03-15 20:16:00,288,198,145
2023-03-15 20:20:00,293,227,154
2023-03-15 20:24:00,295,248,162
2023-03-15 20:28:00,281,194,141
2023-03-15 20:32:00,295,245,161
2023-03-15 20:36:00,295,252,163
2023-03-15 20:40:00,285,195,142
2023-03-15 20:44:00,295,248,162
2023-03-15 20:48:00,335,204,147
2023-03-15 20:52:00,294,240,160
2023-03-15 20:56:00,295,248,162
2023-03-15 21:00:00,285,195,142
2023-03-15 21:04:00,295,248,162
2023-03-15 21:08:00,294,240,158
2023-03-15 21:12:00,286,196,143
2023-03-15 21:16:00,294,243,161
2023-03-15 21:20:00,282,194,141
2023-03-15 21:24:00,295,252,163
2023-03-15 21:28:00,293,230,155
2023-03-15 21:32:00,286,196,143
2023-03-15 21:36:00,295,248,162
2023-03-15 21:40:00,282,194,141
2023-03-15 21:44:00,295,254,164
2023-03-15 21:48:00,367,253,159
2023-03-15 21:52:00,284,195,142
2023-03-15 21:56:00,295,252,163
2023-03-15 22:00:00,291,210,152
2023-03-15 22:04:00,288,198,145
2023-03-15 22:08:00,294,244,159
2023-03-15 22:12:00,283,195,142
2023-03-15 22:16:00,295,252,163
2023-03-15 22:20:00,293,227,154
2023-03-15 22:24:00,283,195,142
2023-03-15 22:28:00,294,241,158
2023-03-15 22:32:00,286,196,143
2023-03-15 22:36:00,295,252,163
2023-03-15 22:40:00,291,210,152
2023-03-15 22:44:00,286,196,143
2023-03-15 22:48:00,365,255,160
2023-03-15 22:52:00,295,252,163
2023-03-15 22:56:00,288,198,145
2023-03-15 23:00:00,293,225,154
2023-03-15 23:04:00,286,196,143
2023-03-15 23:08:00,294,244,159
2023-03-15 23:12:00,295,245,161
2023-03-15 23:16:00,288,198,145
2023-03-15 23:20:00,293,225,154
2023-03-15 23:24:00,288,198,144
2023-03-15 23:28:00,294,241,158
2023-03-15 23:32:00,295,245,161
2023-03-15 23:36:00,286,196,143
2023-03-15 23:40:00,293,225,154
2023-03-15 23:44:00,294,243,161
2023-03-15 23:48:00,337,199,146
2023-03-15 23:52:00,295,252,163
2023-03-15 23:56:00,283,195,142
2023-03-16 00:00:00,293,234,156
2023-03-16 00:04:00,294,243,161
2023-03-16 00:08:00,288,198,145
2023-03-16 00:12:00,295,250,163
2023-03-16 00:16:00,283,195,142
2023-03-16 00:20:00,293,225,154
2023-03-16 00:24:00,295,250,163
2023-03-16 00:28:00,286,196,144
2023-03-16 00:32:00,295,245,161
2023-03-16 00:36:00,295,252,163
2023-03-16 00:40:00,285,195,142
2023-03-16 00:44:00,295,252,163
2023-03-16 00:48:00,337,199,146
2023-03-16 00:52:00,295,248,162
2023-03-16 00:56:00,295,248,162
2023-03-16 01:00:00,285,195,142
2023-03-16 01:04:00,295,248,162
2023-03-16 01:08:00,288,198,145
2023-03-16 01:12:00,295,250,163
2023-03-16 01:16:00,295,248,162
2023-03-16 01:20:00,282,194,141
2023-03-16 01:24:00,295,250,163
2023-03-16 01:28:00,294,241,158
2023-03-16 01:32:00,279,193,141
2023-03-16 01:36:00,295,252,163
2023-03-16 01:40:00,282,194,141
2023-03-16 01:44:00,295,248,162
2023-03-16 01:48:00,366,252,159
2023-03-16 01:52:00,286,196,143
2023-03-16 01:56:00,295,253,163
2023-03-16 02:00:00,286,197,143
2023-03-16 02:04:00,295,252,163
2023-03-16 02:08:00,294,244,159
2023-03-16 02:12:00,283,195,142
2023-03-16 02:16:00,295,248,162
2023-03-16 02:20:00,293,225,154
2023-03-16 02:24:00,286,196,143
2023-03-16 02:28:00,293,230,155
2023-03-16 02:32:00,286,196,143
2023-03-16 02:36:00,295,252,163
2023-03-16 02:40:00,291,210,152
2023-03-16 02:44:00,289,199,146
2023-03-16 02:48:00,369,251,158
2023-03-16 02:52:00,283,195,142
2023-03-16 02:56:00,295,245,161
2023-03-16 03:00:00,293,234,156
2023-03-16 03:04:00,286,196,143
2023-03-16 03:08:00,293,235,156
2023-03-16 03:12:00,295,250,163
2023-03-16 03:16:00,288,198,145
2023-03-16 03:20:00,293,225,154
2023-03-16 03:24:00,283,195,142
2023-03-16 03:28:00,295,245,159
2023-03-16 03:32:00,295,250,163
2023-03-16 03:36:00,286,196,143
2023-03-16 03:40:00,293,234,156
