"Time","udp:99 ","udp:90","udp:50"
2023-03-16 06:10:00,163,92.5,51.4
2023-03-16 06:20:00,174,93.6,52.0
2023-03-16 06:30:00,189,99.0,55.0
2023-03-16 06:40:00,189,99.0,55.0
2023-03-16 06:50:00,185,96.4,53.6
2023-03-16 07:00:00,185,96.4,53.6
2023-03-16 07:10:00,188,97.9,54.4
2023-03-16 07:20:00,189,99.0,55.0
2023-03-16 07:30:00,191,110,56.3
2023-03-16 07:40:00,191,110,56.3
2023-03-16 07:50:00,185,96.4,53.6
2023-03-16 08:00:00,189,99.3,55.2
2023-03-16 08:10:00,99,90,50
2023-03-16 08:20:00,189,99.0,55.0
2023-03-16 08:30:00,174,93.6,52
2023-03-16 08:40:00,185,96.4,53.6
2023-03-16 08:50:00,185,96.4,53.6
2023-03-16 09:00:00,174,93.6,52
2023-03-16 09:10:00,183,95.6,53.1
2023-03-16 09:20:00,163,92.5,51.4
2023-03-16 09:30:00,163,92.5,51.4
2023-03-16 09:40:00,163,92.5,51.4
2023-03-16 09:50:00,174,93.6,52.0
2023-03-16 10:00:00,175,93.7,52.1
2023-03-16 10:10:00,173,93.5,51.9
2023-03-16 10:20:00,180,94.7,52.6
2023-03-16 10:30:00,163,92.5,51.4
2023-03-16 10:40:00,163,92.5,51.4
2023-03-16 10:50:00,174,93.6,52.0
2023-03-16 11:00:00,189,99.3,55.2
2023-03-16 11:10:00,183,95.6,53.1
2023-03-16 11:20:00,189,99.0,55.0
2023-03-16 11:30:00,185,96.7,53.7
2023-03-16 11:40:00,185,96.4,53.6
2023-03-16 11:50:00,189,99.0,55.0
2023-03-16 12:00:00,185,96.7,53.7
2023-03-16 12:10:00,183,95.6,53.1
2023-03-16 12:20:00,189,99.0,55.0
2023-03-16 12:30:00,174,93.6,52
2023-03-16 12:40:00,185,96.4,53.6
2023-03-16 12:50:00,185,96.4,53.6
2023-03-16 13:00:00,185,96.7,53.7
2023-03-16 13:10:00,183,95.6,53.1
2023-03-16 13:20:00,189,99.0,55.0
2023-03-16 13:30:00,185,96.4,53.6
2023-03-16 13:40:00,170,93.1,51.7
2023-03-16 13:50:00,163,92.5,51.4
2023-03-16 14:00:00,129,91.3,50.7
2023-03-16 14:10:00,168,92.9,51.6
2023-03-16 14:20:00,129,91.3,50.7
2023-03-16 14:30:00,174,93.6,52.0
2023-03-16 14:40:00,174,93.6,52.0
2023-03-16 14:50:00,174,93.6,52.0
2023-03-16 15:00:00,163,92.5,51.4
2023-03-16 15:10:00,188,97.9,54.4
2023-03-16 15:20:00,189,99.0,55.0
2023-03-16 15:30:00,189,99.0,55.0
2023-03-16 15:40:00,191,110,56.3
2023-03-16 15:50:00,189,99.0,55.0
2023-03-16 16:00:00,189,99.0,55.0

