"Time","cattle-monitoring-system","cattle-system","cilium-monitoring","default","kube-system","longhorn-system","sock-shop"
2023-02-22 11:00:00,15348,45621,14769,0,0,0,7945
2023-02-22 11:04:00,50825,75686,14448,0,0,0,9340
2023-02-22 11:08:00,17254,110158,14752,0,0,0,7889
2023-02-22 11:12:00,13078,114342,14715,0,0,0,8571
2023-02-22 11:16:00,14107,102322,14753,0,0,0,7985
2023-02-22 11:20:00,13281,37603,14559,0,0,0,7737
2023-02-22 11:24:00,13761,81240,32542,0,0,0,8670
2023-02-22 11:28:00,14319,112929,14661,0,0,0,7744
2023-02-22 11:32:00,14133,114210,14861,0,0,0,8191
2023-02-22 11:36:00,13800,103003,14574,0,0,0,8081
2023-02-22 11:40:00,13684,30676,14825,0,0,0,7924
2023-02-22 11:44:00,13671,91053,32082,0,0,0,8362
2023-02-22 11:48:00,15645,110811,14919,0,0,0,7703
2023-02-22 11:52:00,16172,113991,14629,0,0,0,7859
2023-02-22 11:56:00,17541,101977,14869,0,0,0,8206
2023-02-22 12:00:00,16394,46766,14592,0,0,0,7790
2023-02-22 12:04:00,14043,75777,31768,0,0,0,8511
2023-02-22 12:08:00,15746,112280,14620,0,0,0,7823
2023-02-22 12:12:00,13933,113279,14755,0,0,0,7816
2023-02-22 12:16:00,12654,101821,14485,0,0,0,8236
2023-02-22 12:20:00,14035,45671,14942,0,0,0,7952
2023-02-22 12:24:00,17611,74424,33052,0,0,0,8446
2023-02-22 12:28:00,16649,113817,14685,0,0,0,7923
2023-02-22 12:32:00,15589,112796,14741,0,0,0,7731
2023-02-22 12:36:00,15530,102404,14790,0,0,0,8332
2023-02-22 12:40:00,14761,25611,14497,0,0,0,7897
2023-02-22 12:44:00,13031,98110,31615,0,0,0,8216
2023-02-22 12:48:00,14871,109169,14655,0,0,0,7803
2023-02-22 12:52:00,13994,113964,14727,0,0,0,7869
2023-02-22 12:56:00,14169,101637,14750,0,0,0,8221
2023-02-22 13:00:00,14084,25946,14887,0,0,0,7860
2023-02-22 13:04:00,121001,94162,31658,0,0,0,8168
2023-02-22 13:08:00,16596,111969,14590,0,0,0,8054
2023-02-22 13:12:00,15975,111421,14688,0,0,0,7680
2023-02-22 13:16:00,15931,103857,14571,0,0,0,8171
2023-02-22 13:20:00,16646,37919,15216,0,0,0,7755
2023-02-22 13:24:00,16357,82093,31743,0,0,0,8311
2023-02-22 13:28:00,16559,112769,14743,0,0,0,7872
2023-02-22 13:32:00,17133,113589,14771,0,0,0,7827
2023-02-22 13:36:00,15864,102730,14551,0,0,0,8088
2023-02-22 13:40:00,17238,37966,50692,0,0,0,7630
2023-02-22 13:44:00,16481,83716,28778,0,0,0,8285
2023-02-22 13:48:00,162888,110629,15098,0,0,0,7952
2023-02-22 13:52:00,13635,112994,14419,0,0,0,7753
2023-02-22 13:56:00,15118,104638,14802,0,0,0,8444
2023-02-22 14:00:00,12320,8854,15044,0,0,0,7827
2023-02-22 14:04:00,224618,110160,138261,0,0,0,7945
2023-02-22 14:08:00,14272,112286,14613,0,0,0,8357
2023-02-22 14:12:00,15889,112273,14882,0,0,0,7578
2023-02-22 14:16:00,13438,101885,32178,0,0,0,8183
2023-02-22 14:20:00,15951,10075,15068,0,0,0,7775
2023-02-22 14:24:00,12386,109821,14496,0,0,0,7854
2023-02-22 14:28:00,14173,113762,15009,0,0,0,8370
2023-02-22 14:32:00,14187,113939,31779,0,0,0,7672
2023-02-22 14:36:00,13676,105655,14403,0,0,0,8208
2023-02-22 14:40:00,13925,45779,15191,0,0,0,7818
2023-02-22 14:44:00,13281,74373,14622,0,0,0,7853
2023-02-22 14:48:00,14067,110498,14735,0,0,0,8370
