"Time","EGRESS","EGRESS","EGRESS","INGRESS","INGRESS","INGRESS"
2023-03-23 06:04:00,601885,917844,1796552,2225873,633671,2271456
2023-03-23 06:06:00,707290,417194,2039314,1834534,717778,2838949
2023-03-23 06:08:00,655526,942763,1901592,3522720,628556,2471639
2023-03-23 06:10:00,601319,828864,1876641,2151806,639401,2366030
2023-03-23 06:12:00,622983,920248,1830828,2252326,667847,2335047
2023-03-23 06:14:00,603187,913715,1808923,2230729,638505,2344683
2023-03-23 06:16:00,694988,418452,1968968,1746554,738496,2851010
2023-03-23 06:18:00,634533,1148234,2639506,2256514,1005977,2519851
2023-03-23 06:20:00,601948,352459,1857325,1699793,670553,2328222
2023-03-23 06:22:00,672892,927066,1832160,2246630,659159,2358698
2023-03-23 06:24:00,652053,838640,1828661,2160716,665370,2385341
2023-03-23 06:26:00,685940,985232,2065919,2259988,900956,2732661
2023-03-23 06:28:00,653898,1479012,3400140,2268276,1567748,2672418
2023-03-23 06:30:00,593161,362886,1876960,1710917,705120,2385504
2023-03-23 06:32:00,625211,916708,2141664,2480551,650129,2428118
2023-03-23 06:34:00,597016,343845,1803048,1632753,628522,2302924
2023-03-23 06:36:00,670699,962922,1910168,2355402,650521,2716121
2023-03-23 06:38:00,618812,1675341,3781045,2154318,2072406,2666450
2023-03-23 06:40:00,636145,937297,1888616,2273807,669908,2378823
2023-03-23 06:42:00,602827,944092,1936063,2267156,718437,2377258
2023-03-23 06:44:00,593444,337527,1797471,1634795,620621,2281459
2023-03-23 06:46:00,675925,985488,1859450,2231926,1450061,2731725
2023-03-23 06:48:00,639865,1228544,3738174,1686758,2125275,2604376
2023-03-23 06:50:00,604891,931903,1802623,2268365,662995,2255979
2023-03-23 06:52:00,585556,875652,1911242,2188683,699017,2366706
2023-03-23 06:54:00,600988,926300,1830409,2219979,647436,2304675
2023-03-23 06:56:00,693532,962156,1846532,2233857,636056,2735125
2023-03-23 06:58:00,603288,987535,2913505,1655956,1726675,2524986
2023-03-23 07:00:00,602459,928352,1825708,2249727,652206,2316325
2023-03-23 07:02:00,581912,374421,1914471,1699288,696827,2375390
2023-03-23 07:04:00,596112,916036,1801352,2223741,633635,2283693
2023-03-23 07:06:00,678388,906097,1968685,2308864,685830,2815475
2023-03-23 07:08:00,609242,1255584,2136786,2225694,1173115,2445520
2023-03-23 07:10:00,606851,915763,1797892,2250429,641610,2327894
2023-03-23 07:12:00,633495,344232,1802571,1692189,658490,2389651
2023-03-23 07:14:00,594867,921976,1659089,2214875,633895,2257760
2023-03-23 07:16:00,646611,397564,1770758,1672189,657687,2666252
2023-03-23 07:18:00,602655,945325,1793220,2231080,657582,2426324
2023-03-23 07:20:00,609628,873256,1654389,2186060,626338,2229170
2023-03-23 07:22:00,596324,684663,1636831,1632033,627282,2197386
2023-03-23 07:24:00,601315,927835,1639527,2228562,652379,2199421
2023-03-23 07:26:00,630690,380498,1716529,1670524,654345,2570484
2023-03-23 07:28:00,656408,972723,1780355,2296826,721364,2468420
2023-03-23 07:30:00,610464,346930,1687168,1653613,634563,2262864
2023-03-23 07:32:00,610836,930487,1646258,2225210,638767,2233094
2023-03-23 07:34:00,601965,897050,1637086,2190898,633821,2206761
2023-03-23 07:36:00,677666,394244,1799337,1810281,684455,2683484
2023-03-23 07:38:00,616431,970327,1762812,2295399,713699,2383819
2023-03-23 07:40:00,635158,345547,1667863,1665360,627963,2247199
2023-03-23 07:42:00,610686,921715,1646772,2223621,651064,2195010
2023-03-23 07:44:00,592444,346830,1644781,1715575,684918,2206705
2023-03-23 07:46:00,665702,962535,1669246,2228189,748477,2585016
2023-03-23 07:48:00,665220,954760,1792240,2276842,857453,2463432
2023-03-23 07:50:00,594203,357259,2064655,1658515,774261,2286659
2023-03-23 07:52:00,616756,942520,1689452,2220561,756378,2262888
2023-03-23 07:54:00,587584,346745,1641060,1638335,767254,2211486
2023-03-23 07:56:00,663254,967902,1668327,2233753,754350,2592332
2023-03-23 07:58:00,593248,391590,1705609,1767362,893443,2262545
2023-03-23 08:00:00,645785,1294876,2837924,2274148,1381222,2405983
2023-03-23 08:02:00,617844,927640,1698169,2231712,783583,2235573
2023-03-23 08:04:00,611755,342641,1645097,1637192,751590,2228528
2023-03-23 08:06:00,922071,1121132,2554287,2438926,1707042,8542376
2023-03-23 08:08:00,617907,347295,1652971,1641676,746492,2296513
2023-03-23 08:10:00,830227,1606712,5092053,4127799,2789388,2834813
2023-03-23 08:12:00,800185,402806,2930595,3028442,1718028,2530862
2023-03-23 08:14:00,637095,967539,1776831,2302508,713767,2329467
2023-03-23 08:16:00,676396,941837,1685071,2215831,645660,2621661
2023-03-23 08:18:00,625979,942401,1650032,1638110,647974,2291033
2023-03-23 08:20:00,665112,1805511,4303264,3579381,2101699,2505254
2023-03-23 08:22:00,636055,367810,1705394,1669072,657521,2303782
2023-03-23 08:24:00,603758,968415,1767861,2297902,735854,2321863
2023-03-23 08:26:00,697406,398280,1682169,1744316,634964,2624651
2023-03-23 08:28:00,613490,945497,1632878,2231661,635872,2286095
2023-03-23 08:30:00,655916,1579639,3205527,2238189,1831792,2364430
2023-03-23 08:32:00,625803,937751,1659194,1669995,634683,2261670
2023-03-23 08:34:00,624935,956119,1753052,2300746,718544,2307065
2023-03-23 08:36:00,737201,398239,2421819,3099932,655600,2727293
2023-03-23 08:38:00,611381,955947,1888555,2223742,875753,2307231
2023-03-23 08:40:00,591309,702785,2406483,1754979,1238094,2257608
2023-03-23 08:42:00,593906,938521,1633915,2233464,644143,2188538
2023-03-23 08:44:00,638200,943217,1696742,2266780,709773,2231653
2023-03-23 08:46:00,701532,977580,1612106,1649738,629159,2531037
2023-03-23 08:48:00,614792,951888,1637144,2254090,674775,2261392
2023-03-23 08:50:00,594230,391757,1597904,1650946,697719,2132580
2023-03-23 08:52:00,628499,938382,1579879,2219148,637000,2164737
2023-03-23 08:54:00,638308,348413,1593027,1740948,641740,2168371
2023-03-23 08:56:00,656811,976924,1594550,2238914,639162,2498926
2023-03-23 08:58:00,620317,951597,1711188,2294233,675538,2291292
2023-03-23 09:00:00,608852,725393,1719210,1665583,719594,2247846
2023-03-23 09:02:00,654695,935628,1601858,2232211,638520,2201112
2023-03-23 09:04:00,620621,351594,1589406,1649430,632111,2197028
2023-03-23 09:06:00,730359,980891,1697786,2432500,715752,2703388
2023-03-23 09:08:00,639919,380600,1654072,2109445,659534,2312815
2023-03-23 09:10:00,624096,962564,1691502,2303308,704194,2213165
2023-03-23 09:12:00,611342,919793,1571271,2208139,653142,2132662
2023-03-23 09:14:00,580996,702272,1579792,1652347,637442,2175814
2023-03-23 09:16:00,642413,966853,1573503,2238417,639297,2469052
2023-03-23 09:18:00,678696,372248,2303533,2975442,671811,2292741
2023-03-23 09:20:00,599651,966154,1679902,2300553,699225,2196253
2023-03-23 09:22:00,588604,342126,1565317,2132534,627619,2101010
2023-03-23 09:24:00,638655,939684,1592063,2225300,651392,2172616
2023-03-23 09:26:00,703089,963373,1604961,2235300,630042,2489095
2023-03-23 09:28:00,638397,363769,1848116,2197253,631479,2225961
2023-03-23 09:30:00,600308,980974,1932009,2316483,963871,2232801
2023-03-23 09:32:00,644651,680298,2392861,1661642,1155613,2315909
2023-03-23 09:34:00,618105,940381,1627222,2228547,672147,2212577
2023-03-23 09:36:00,701416,927811,1675419,2323254,646456,2545929
2023-03-23 09:38:00,657371,939890,1612810,1644103,631336,2309160
2023-03-23 09:40:00,657515,945555,1644754,2301723,675960,2216543
2023-03-23 09:42:00,645586,998158,3132407,1654783,1727379,2360207
2023-03-23 09:44:00,582498,953550,1598749,2248717,669890,2151977
2023-03-23 09:46:00,661377,410938,1730248,1797179,666876,2513225
2023-03-23 09:48:00,606980,939754,1567781,2232409,661312,2188795
2023-03-23 09:50:00,648801,912493,1611308,2229369,636159,2211457
2023-03-23 09:52:00,649138,1808321,3572778,1666544,2107009,2464481
2023-03-23 09:54:00,617128,954144,1647751,2262630,687845,2226227
2023-03-23 09:56:00,686311,429482,1730356,1676664,702330,2611890
2023-03-23 09:58:00,606443,949753,1580222,2230601,641887,2261194
2023-03-23 10:00:00,586259,353595,1565667,2103328,645618,2110316
2023-03-23 10:02:00,610385,1807774,3495711,2240728,2089652,2350630
2023-03-23 10:04:00,586716,917108,1601260,2236225,671680,2138786
2023-03-23 10:06:00,746853,772763,2475489,3154615,723338,2701508
2023-03-23 10:08:00,600423,942027,1583979,2236940,642144,2233629
2023-03-23 10:10:00,591605,342230,1838962,2223753,631643,2114305
2023-03-23 10:12:00,612955,1468470,2734714,2228044,1558687,2265601
2023-03-23 10:14:00,597301,338172,1553914,2078354,618850,2084861
2023-03-23 10:16:00,643630,1007479,1698079,2290134,706312,2556072
2023-03-23 10:18:00,603269,935728,1572859,2217763,646456,2193695
2023-03-23 10:20:00,599223,376715,1653569,1678404,670250,2219984
2023-03-23 10:22:00,615232,1143782,1971638,2225145,992747,2171138
2023-03-23 10:24:00,608452,347140,1559575,1645560,638222,2086151
2023-03-23 10:26:00,653613,978888,1642680,2286671,663288,2518803
2023-03-23 10:28:00,595843,635138,1554401,2157331,633681,2173948
2023-03-23 10:30:00,618346,944610,1629118,1701490,683433,2154989
2023-03-23 10:32:00,585551,930844,1541648,2225160,635320,2065798
2023-03-23 10:34:00,587823,348017,1578430,1636726,620537,2156590
2023-03-23 10:36:00,704668,978986,1688681,2397961,664128,2588719
2023-03-23 10:38:00,622399,367018,1584373,2095627,634576,2246668
2023-03-23 10:40:00,602812,942309,1617580,2286250,674628,2139876
2023-03-23 10:42:00,625999,961437,2118155,2992540,729697,2262605
2023-03-23 10:44:00,585921,352496,1557960,1624454,620381,2123807
2023-03-23 10:46:00,667505,959656,1601485,2232616,631437,2465505
2023-03-23 10:48:00,601760,368008,1570716,1628601,643292,2218568
2023-03-23 10:50:00,617671,957054,1623250,2276924,667951,2186907
2023-03-23 10:52:00,585825,523096,1661258,2197681,694826,2130457
2023-03-23 10:54:00,581982,938335,1560209,1642368,645606,2127156
2023-03-23 10:56:00,641463,975856,1580113,2232175,632757,2455838
2023-03-23 10:58:00,639531,366990,1606648,1653561,641204,2284219
2023-03-23 11:00:00,665385,941689,1629042,2282451,681317,2175890
2023-03-23 11:02:00,636016,382291,1708160,2143128,698705,2260718
2023-03-23 11:04:00,595651,1233824,2289542,2238124,1111597,2272665
2023-03-23 11:06:00,684340,963510,1666812,2349359,652539,2557209
2023-03-23 11:08:00,608834,364728,1576273,1640960,627629,2237253
2023-03-23 11:10:00,593199,925908,1550705,2234856,631493,2079297
2023-03-23 11:12:00,591800,385607,1638289,1707791,712301,2186166
2023-03-23 11:14:00,606711,1559406,3081441,2238321,1691491,2342903
2023-03-23 11:16:00,664806,919061,1642417,2172469,671622,2534775
2023-03-23 11:18:00,625748,940605,1617204,1645530,641100,2278454
2023-03-23 11:20:00,623607,933711,1591260,2240811,622485,2174696
2023-03-23 11:22:00,589490,339637,1541634,1664930,613506,2079331
2023-03-23 11:24:00,639897,1813259,3591870,2240471,2121645,2440424
2023-03-23 11:26:00,657350,403232,1633065,2265415,665194,2508280
2023-03-23 11:28:00,593777,953308,1619121,2263748,700882,2258904
2023-03-23 11:30:00,607493,912370,1601614,2234927,647128,2189105
2023-03-23 11:32:00,651857,340857,1577209,2966070,634245,2148666
2023-03-23 11:34:00,630649,1768512,3414663,2240728,2037668,2354234
2023-03-23 11:36:00,663421,399718,1713642,1816071,685516,2526176
2023-03-23 11:38:00,610745,980190,1696205,2289077,701917,2327178
2023-03-23 11:40:00,631047,854116,1888102,2729170,630125,2216510
2023-03-23 11:42:00,575391,939946,1576516,2223741,635652,2131378
2023-03-23 11:44:00,596183,1433745,2673708,2227228,1479839,2283518
2023-03-23 11:46:00,614092,404158,1636513,1684309,661481,2500226
