"Time","all nodes","min/node","avg/node","max/node"
2023-03-23 06:48:00,339,111,113,116
2023-03-23 06:50:00,344,109,115,119
2023-03-23 06:52:00,351,116,117,119
2023-03-23 06:54:00,348,113,116,119
2023-03-23 06:56:00,335,109,112,114
2023-03-23 06:58:00,342,113,114,115
2023-03-23 07:00:00,352,115,117,121
2023-03-23 07:02:00,342,109,114,117
2023-03-23 07:04:00,350,113,117,121
2023-03-23 07:06:00,348,113,116,119
2023-03-23 07:08:00,340,109,113,118
2023-03-23 07:10:00,347,114,116,117
2023-03-23 07:12:00,348,115,116,117
2023-03-23 07:14:00,344,109,115,119
2023-03-23 07:16:00,340,108,113,116
2023-03-23 07:18:00,344,109,115,119
2023-03-23 07:20:00,336,109,112,116
2023-03-23 07:22:00,341,109,114,116
2023-03-23 07:24:00,341,109,114,116
2023-03-23 07:26:00,344,109,115,119
2023-03-23 07:28:00,346,114,115,116
2023-03-23 07:30:00,347,110,116,121
2023-03-23 07:32:00,348,114,116,119
2023-03-23 07:34:00,339,109,113,116
2023-03-23 07:36:00,341,109,114,116
2023-03-23 07:38:00,350,115,117,119
2023-03-23 07:40:00,350,116,117,118
2023-03-23 07:42:00,344,114,115,116
2023-03-23 07:44:00,350,113,117,121
2023-03-23 07:46:00,343,109,114,118
2023-03-23 07:48:00,344,109,115,119
2023-03-23 07:50:00,344,109,115,119
2023-03-23 07:52:00,344,109,115,119
2023-03-23 07:54:00,339,109,113,116
2023-03-23 07:56:00,347,115,116,116
2023-03-23 07:58:00,347,115,116,116
2023-03-23 08:00:00,339,109,113,115
2023-03-23 08:02:00,344,109,115,119
2023-03-23 08:04:00,346,114,115,116
2023-03-23 08:06:00,339,109,113,116
2023-03-23 08:08:00,352,114,117,121
2023-03-23 08:10:00,344,109,115,119
2023-03-23 08:12:00,343,111,114,116
2023-03-23 08:14:00,349,115,116,118
2023-03-23 08:16:00,345,113,115,116
2023-03-23 08:18:00,347,115,116,117
2023-03-23 08:20:00,343,113,114,116
2023-03-23 08:22:00,343,111,114,116
2023-03-23 08:24:00,346,114,115,116
2023-03-23 08:26:00,343,109,114,118
2023-03-23 08:28:00,345,109,115,120
2023-03-23 08:30:00,344,109,115,119
2023-03-23 08:32:00,345,109,115,120
2023-03-23 08:34:00,344,109,115,119
2023-03-23 08:36:00,345,113,115,117
2023-03-23 08:38:00,352,116,117,120
2023-03-23 08:40:00,351,116,117,119
2023-03-23 08:42:00,349,113,116,119
2023-03-23 08:44:00,341,109,114,116
2023-03-23 08:46:00,341,109,114,116
2023-03-23 08:48:00,338,109,113,116
2023-03-23 08:50:00,340,109,113,119
2023-03-23 08:52:00,343,111,114,116
2023-03-23 08:54:00,336,108,112,119
2023-03-23 08:56:00,348,113,116,119
2023-03-23 08:58:00,341,109,114,116
2023-03-23 09:00:00,351,116,117,119
2023-03-23 09:02:00,346,114,115,116
2023-03-23 09:04:00,344,112,115,116
2023-03-23 09:06:00,346,114,115,116
2023-03-23 09:08:00,344,109,115,119
2023-03-23 09:10:00,347,111,116,120
2023-03-23 09:12:00,340,108,113,116
2023-03-23 09:14:00,347,111,116,120
2023-03-23 09:16:00,341,109,114,116
2023-03-23 09:18:00,337,109,112,116
2023-03-23 09:20:00,348,113,116,119
2023-03-23 09:22:00,346,109,115,121
2023-03-23 09:24:00,348,111,116,121
2023-03-23 09:26:00,345,113,115,119
2023-03-23 09:28:00,344,109,115,119
2023-03-23 09:30:00,353,116,118,121
2023-03-23 09:32:00,342,109,114,117
2023-03-23 09:34:00,349,113,116,119
2023-03-23 09:36:00,346,109,115,121
2023-03-23 09:38:00,351,116,117,119
2023-03-23 09:40:00,352,116,117,120
2023-03-23 09:42:00,342,112,114,117
2023-03-23 09:44:00,345,113,115,116
2023-03-23 09:46:00,350,115,117,119
2023-03-23 09:48:00,340,108,113,116
2023-03-23 09:50:00,350,115,117,119
2023-03-23 09:52:00,345,114,115,116
2023-03-23 09:54:00,344,109,115,119
2023-03-23 09:56:00,353,116,118,121
2023-03-23 09:58:00,343,112,114,116
2023-03-23 10:00:00,347,112,116,119
2023-03-23 10:02:00,345,113,115,116
2023-03-23 10:04:00,344,109,115,119
2023-03-23 10:06:00,349,116,116,117
2023-03-23 10:08:00,341,111,114,116
2023-03-23 10:10:00,345,114,115,116
2023-03-23 10:12:00,350,115,117,119
2023-03-23 10:14:00,337,109,112,116
2023-03-23 10:16:00,338,109,113,116
2023-03-23 10:18:00,344,109,115,119
2023-03-23 10:20:00,353,116,118,121
2023-03-23 10:22:00,343,113,114,116
2023-03-23 10:24:00,345,113,115,116
2023-03-23 10:26:00,352,116,117,120
2023-03-23 10:28:00,343,110,114,117
2023-03-23 10:30:00,348,116,116,116
2023-03-23 10:32:00,345,113,115,116
2023-03-23 10:34:00,339,109,113,116
2023-03-23 10:36:00,336,109,112,116
2023-03-23 10:38:00,343,109,114,121
2023-03-23 10:40:00,346,114,115,116
2023-03-23 10:42:00,346,111,115,119
2023-03-23 10:44:00,348,113,116,119
2023-03-23 10:46:00,341,109,114,116
2023-03-23 10:48:00,336,107,112,116
2023-03-23 10:50:00,346,114,115,116
2023-03-23 10:52:00,342,112,114,116
2023-03-23 10:54:00,350,115,117,119
2023-03-23 10:56:00,347,110,116,121
2023-03-23 10:58:00,342,109,114,117
2023-03-23 11:00:00,342,109,114,117
2023-03-23 11:02:00,345,112,115,117
2023-03-23 11:04:00,332,108,111,112
2023-03-23 11:06:00,340,108,113,119
2023-03-23 11:08:00,346,113,115,117
2023-03-23 11:10:00,352,116,117,119
2023-03-23 11:12:00,345,113,115,116
2023-03-23 11:14:00,346,109,115,121
2023-03-23 11:16:00,345,109,115,119
2023-03-23 11:18:00,348,109,116,121
2023-03-23 11:20:00,346,109,115,121
2023-03-23 11:22:00,350,113,117,121
2023-03-23 11:24:00,344,114,115,115
2023-03-23 11:26:00,343,112,114,118
2023-03-23 11:28:00,348,113,116,119
2023-03-23 11:30:00,350,115,117,119
2023-03-23 11:32:00,339,109,113,116
2023-03-23 11:34:00,345,110,115,119
2023-03-23 11:36:00,343,108,114,119
2023-03-23 11:38:00,350,115,117,119
2023-03-23 11:40:00,343,108,114,119
2023-03-23 11:42:00,344,109,115,119
2023-03-23 11:44:00,340,110,113,116
2023-03-23 11:46:00,348,116,116,116
2023-03-23 11:48:00,348,113,116,119
2023-03-23 11:50:00,345,114,115,116
2023-03-23 11:52:00,336,109,112,116
2023-03-23 11:54:00,348,113,116,119
2023-03-23 11:56:00,348,111,116,121
2023-03-23 11:58:00,343,109,114,118
2023-03-23 12:00:00,352,115,117,121
2023-03-23 12:02:00,343,112,114,116
2023-03-23 12:04:00,346,114,115,116
2023-03-23 12:06:00,341,109,114,116
2023-03-23 12:08:00,341,109,114,116
2023-03-23 12:10:00,348,111,116,121
2023-03-23 12:12:00,346,114,115,117
