"Time","FIN","RST","SYN","SYN-ACK"
2023-03-11 08:00:00,16.2,2.68,10.8,9.30
2023-03-11 08:02:00,16.1,2.78,10.7,9.22
2023-03-11 08:04:00,16.3,2.66,10.9,9.34
2023-03-11 08:06:00,16.1,2.66,10.7,9.26
2023-03-11 08:08:00,16.2,2.62,10.8,9.30
2023-03-11 08:10:00,16.1,2.62,10.6,9.22
2023-03-11 08:12:00,18,2.82,11.6,10.2
2023-03-11 08:14:00,16.2,2.68,10.9,9.34
2023-03-11 08:16:00,16.2,2.66,10.7,9.26
2023-03-11 08:18:00,16.3,2.76,10.8,9.32
2023-03-11 08:20:00,16.0,2.62,10.6,9.22
2023-03-11 08:22:00,21.4,5.34,13.6,11.8
2023-03-11 08:24:00,16.1,2.64,10.7,9.24
2023-03-11 08:26:00,16.2,2.66,10.9,9.36
2023-03-11 08:28:00,16.1,2.68,10.6,9.22
2023-03-11 08:30:00,16.2,2.64,10.8,9.30
2023-03-11 08:32:00,25.7,11.3,16.4,13.2
2023-03-11 08:34:00,16.2,2.62,10.9,9.34
2023-03-11 08:36:00,16.3,2.70,10.9,9.36
2023-03-11 08:38:00,16.2,2.62,10.7,9.26
2023-03-11 08:40:00,16.2,2.70,10.8,9.30
2023-03-11 08:42:00,30.8,18.2,19.9,14.9
2023-03-11 08:44:00,16.3,2.74,10.9,9.34
2023-03-11 08:46:00,16.1,2.62,10.7,9.28
2023-03-11 08:48:00,16.2,2.68,10.8,9.30
2023-03-11 08:50:00,16.1,2.66,10.6,9.22
2023-03-11 08:52:00,35.3,24.0,23.0,16.5
2023-03-11 08:54:00,16.2,2.66,10.9,9.34
2023-03-11 08:56:00,16.3,2.64,10.9,9.36
2023-03-11 08:58:00,16.3,2.68,10.8,9.30
2023-03-11 09:00:00,16.2,2.70,10.6,9.22
2023-03-11 09:02:00,37.2,27.0,24.3,16.7
2023-03-11 09:04:00,16.1,2.72,10.8,9.30
2023-03-11 09:06:00,16.3,2.66,10.9,9.36
2023-03-11 09:08:00,16.1,2.68,10.6,9.22
2023-03-11 09:10:00,16.3,2.72,10.9,9.38
2023-03-11 09:12:00,34.6,26.5,23.0,15.5
2023-03-11 09:14:00,16.4,2.76,10.9,9.36
2023-03-11 09:16:00,16.3,2.70,10.8,9.32
2023-03-11 09:18:00,16.1,2.66,10.6,9.22
2023-03-11 09:20:00,16.3,2.64,10.9,9.38
2023-03-11 09:22:00,28.3,19.3,19.1,13.1
2023-03-11 09:24:00,16.3,2.70,10.9,9.34
2023-03-11 09:26:00,16.3,2.68,10.6,9.24
2023-03-11 09:28:00,16.2,2.62,10.8,9.30
2023-03-11 09:30:00,16.2,2.76,10.8,9.34
2023-03-11 09:32:00,24.5,14.2,16.6,11.9
2023-03-11 09:34:00,16.2,2.64,10.9,9.34
2023-03-11 09:36:00,16.3,2.66,10.8,9.32
2023-03-11 09:38:00,16.4,2.68,10.8,9.30
2023-03-11 09:40:00,16.0,2.62,10.6,9.22
2023-03-11 09:42:00,20.7,9.08,14.1,10.6
2023-03-11 09:44:00,16.1,2.72,10.7,9.26
2023-03-11 09:46:00,16.3,2.64,10.8,9.32
2023-03-11 09:48:00,16.0,2.68,10.7,9.26
2023-03-11 09:50:00,16.3,2.76,10.8,9.28
2023-03-11 09:52:00,17.0,3.94,11.5,9.36
2023-03-11 09:54:00,16.1,2.68,10.7,9.26
2023-03-11 09:56:00,16.3,2.62,10.8,9.32
2023-03-11 09:58:00,16.1,2.68,10.6,9.22
2023-03-11 10:00:00,16.3,2.68,10.8,9.30
2023-03-11 10:02:00,16.2,2.68,10.7,9.28
2023-03-11 10:04:00,16.2,2.64,10.9,9.34
2023-03-11 10:06:00,16.2,2.80,10.6,9.24
2023-03-11 10:08:00,16.3,2.68,10.8,9.30
2023-03-11 10:10:00,16.2,2.68,10.8,9.30
2023-03-11 10:12:00,16.4,2.72,10.8,9.32
2023-03-11 10:14:00,16.3,2.66,10.9,9.34
2023-03-11 10:16:00,16.2,2.62,10.6,9.24
2023-03-11 10:18:00,16.2,2.72,10.8,9.30
2023-03-11 10:20:00,16.1,2.62,10.6,9.22
2023-03-11 10:22:00,16.3,2.66,10.8,9.36
2023-03-11 10:24:00,16.1,2.72,10.7,9.26
2023-03-11 10:26:00,16.3,2.66,10.8,9.32
2023-03-11 10:28:00,16.1,2.68,10.7,9.26
2023-03-11 10:30:00,16.2,2.68,10.8,9.30
2023-03-11 10:32:00,16.4,2.78,10.8,9.36
2023-03-11 10:34:00,16.2,2.74,10.9,9.34
2023-03-11 10:36:00,16.3,2.72,10.8,9.36
2023-03-11 10:38:00,16.1,2.62,10.6,9.22
2023-03-11 10:40:00,16.3,2.64,10.8,9.30
2023-03-11 10:42:00,16.3,2.74,10.7,9.28
2023-03-11 10:44:00,18.4,3.14,12.0,10.5
2023-03-11 10:46:00,16.1,2.68,10.6,9.24
2023-03-11 10:48:00,16.2,2.64,10.8,9.30
2023-03-11 10:50:00,16.2,2.62,10.8,9.30
2023-03-11 10:52:00,16.3,2.72,10.8,9.32
2023-03-11 10:54:00,22.4,6.90,14.4,12.2
2023-03-11 10:56:00,16.1,2.64,10.6,9.24
2023-03-11 10:58:00,16.2,2.74,10.8,9.30
2023-03-11 11:00:00,16.1,2.68,10.6,9.22
2023-03-11 11:02:00,16.4,2.74,10.9,9.38
2023-03-11 11:04:00,26.9,13.1,17.3,13.7
2023-03-11 11:06:00,16.2,2.70,10.8,9.32
2023-03-11 11:08:00,16.2,2.64,10.8,9.30
2023-03-11 11:10:00,16.2,2.70,10.6,9.22
2023-03-11 11:12:00,16.4,2.68,10.8,9.36
2023-03-11 11:14:00,30.7,18.2,19.9,14.9
2023-03-11 11:16:00,16.4,2.68,10.9,9.40
2023-03-11 11:18:00,16.1,2.70,10.6,9.22
2023-03-11 11:20:00,16.2,2.62,10.8,9.30
2023-03-11 11:22:00,16.2,2.78,10.8,9.32
2023-03-11 11:24:00,35,23.7,22.8,16.4
2023-03-11 11:26:00,16.4,2.74,10.9,9.40
2023-03-11 11:28:00,16.1,2.62,10.6,9.22
2023-03-11 11:30:00,16.2,2.70,10.8,9.30
2023-03-11 11:32:00,16.3,2.62,10.7,9.28
2023-03-11 11:34:00,36.9,26.7,24.4,16.8
2023-03-11 11:36:00,16.3,2.78,10.8,9.36
2023-03-11 11:38:00,16.3,2.72,10.8,9.30
2023-03-11 11:40:00,16.1,2.70,10.8,9.30
2023-03-11 11:42:00,16.4,2.62,10.9,9.40
2023-03-11 11:44:00,35.2,26.9,23.5,15.9
2023-03-11 11:46:00,16.2,2.64,10.8,9.32
2023-03-11 11:48:00,16.2,2.66,10.8,9.30
2023-03-11 11:50:00,16.0,2.60,10.6,9.22
2023-03-11 11:52:00,16.4,2.68,10.8,9.36
2023-03-11 11:54:00,32.2,24.6,21.7,14.4
2023-03-11 11:56:00,16.3,2.68,10.9,9.40
2023-03-11 11:58:00,16.1,2.64,10.7,9.26
2023-03-11 12:00:00,16.3,2.66,10.8,9.30
2023-03-11 12:02:00,16.4,2.72,10.8,9.36
2023-03-11 12:04:00,28.5,19.7,19.2,13.2
2023-03-11 12:06:00,16.3,2.66,10.9,9.40
2023-03-11 12:08:00,16.2,2.74,10.6,9.22
2023-03-11 12:10:00,16.2,2.66,10.8,9.30
2023-03-11 12:12:00,16.3,2.68,10.7,9.28
2023-03-11 12:14:00,25.1,15.1,17.1,12.1
2023-03-11 12:16:00,16.2,2.72,10.8,9.36
2023-03-11 12:18:00,16.2,2.68,10.8,9.30
2023-03-11 12:20:00,16.3,2.68,10.8,9.30
2023-03-11 12:22:00,16.3,2.66,10.7,9.28
2023-03-11 12:24:00,21.7,10.4,14.8,10.9
2023-03-11 12:26:00,16.2,2.68,10.8,9.32
2023-03-11 12:28:00,16.4,2.70,10.8,9.30
2023-03-11 12:30:00,16.1,2.64,10.6,9.24
2023-03-11 12:32:00,16.4,2.72,10.8,9.36
2023-03-11 12:34:00,18.0,5.68,12.4,9.74
2023-03-11 12:36:00,16.3,2.66,10.9,9.40
2023-03-11 12:38:00,16.4,2.68,10.8,9.30
2023-03-11 12:40:00,16.1,2.64,10.6,9.22
2023-03-11 12:42:00,16.5,2.70,10.8,9.36
2023-03-11 12:44:00,16.0,2.64,10.7,9.26
2023-03-11 12:46:00,16.3,2.74,10.9,9.40
2023-03-11 12:48:00,16.3,2.74,10.6,9.22
2023-03-11 12:50:00,16.2,2.66,10.8,9.30
2023-03-11 12:52:00,16.3,2.72,10.8,9.34
