"Time","DROPPED","FORWARDED"
2023-03-11 13:18:00,0,92.1
2023-03-11 13:20:00,0,89.5
2023-03-11 13:22:00,0,96.0
2023-03-11 13:24:00,0,92.1
2023-03-11 13:26:00,0,99.3
2023-03-11 13:28:00,0,90.4
2023-03-11 13:30:00,0,92.9
2023-03-11 13:32:00,0.0200,94.2
2023-03-11 13:34:00,0.0800,93.3
2023-03-11 13:36:00,0.0200,110
2023-03-11 13:38:00,0.120,92.1
2023-03-11 13:40:00,0.0200,92.3
2023-03-11 13:42:00,0.0400,96.4
2023-03-11 13:44:00,0,99.1
2023-03-11 13:46:00,0,136
2023-03-11 13:48:00,0,93.3
2023-03-11 13:50:00,0,93.8
2023-03-11 13:52:00,0.0200,96.3
2023-03-11 13:54:00,0.0200,99.4
2023-03-11 13:56:00,0.0200,155
2023-03-11 13:58:00,0.100,93.2
2023-03-11 14:00:00,0.0400,92.7
2023-03-11 14:02:00,0,95.6
2023-03-11 14:04:00,0.0200,96.8
2023-03-11 14:06:00,0,181
2023-03-11 14:08:00,0,92.8
2023-03-11 14:10:00,0,93.8
2023-03-11 14:12:00,0,95.2
2023-03-11 14:14:00,0,94.9
2023-03-11 14:16:00,0,200
2023-03-11 14:18:00,0,92.2
2023-03-11 14:20:00,0,92.8
2023-03-11 14:22:00,0.0200,95.7
2023-03-11 14:24:00,0.0200,93.9
2023-03-11 14:26:00,0.0400,221
2023-03-11 14:28:00,0.0200,91.6
2023-03-11 14:30:00,0,94.6
2023-03-11 14:32:00,0,94.9
2023-03-11 14:34:00,0,94.4
2023-03-11 14:36:00,0,223
2023-03-11 14:38:00,0.0400,91.9
2023-03-11 14:40:00,0.0600,93.6
2023-03-11 14:42:00,0.0200,96.6
2023-03-11 14:44:00,0.0800,93.4
2023-03-11 14:46:00,0.220,211
2023-03-11 14:48:00,0.0200,91.6
2023-03-11 14:50:00,0.0800,92.2
2023-03-11 14:52:00,0.100,94.8
2023-03-11 14:54:00,0.100,93.2
2023-03-11 14:56:00,0,188
2023-03-11 14:58:00,0,93.3
2023-03-11 15:00:00,0,90.7
2023-03-11 15:02:00,0.0400,95.0
2023-03-11 15:04:00,0.0400,92.9
2023-03-11 15:06:00,0,169
2023-03-11 15:08:00,0.0200,91
2023-03-11 15:10:00,0.0600,91.3
2023-03-11 15:12:00,0,92.7
2023-03-11 15:14:00,0,95.2
2023-03-11 15:16:00,0,147
2023-03-11 15:18:00,0,90.0
2023-03-11 15:20:00,0,90.4
2023-03-11 15:22:00,0,92.9
2023-03-11 15:24:00,0,93.4
2023-03-11 15:26:00,0.0200,124
2023-03-11 15:28:00,0.0200,90.9
2023-03-11 15:30:00,0.0200,89.4
2023-03-11 15:32:00,0.0200,93.1
2023-03-11 15:34:00,0.0400,92.8
2023-03-11 15:36:00,0.0400,105
2023-03-11 15:38:00,0.0400,89.1
2023-03-11 15:40:00,0.0200,89.2
2023-03-11 15:42:00,0,94.5
2023-03-11 15:44:00,0,91.6
2023-03-11 15:46:00,0,93.7
2023-03-11 15:48:00,0,89.2
2023-03-11 15:50:00,0,89.2
2023-03-11 15:52:00,0.0200,94.0
2023-03-11 15:54:00,0.0400,91.5
2023-03-11 15:56:00,0.0600,91.2
2023-03-11 15:58:00,0.0600,87.7
2023-03-11 16:00:00,0.0400,88.5
2023-03-11 16:02:00,0.0400,94.3
2023-03-11 16:04:00,0.0200,92.1
2023-03-11 16:06:00,0,88.9
2023-03-11 16:08:00,0,88.7
2023-03-11 16:10:00,0,88.6
2023-03-11 16:12:00,0,94.4
2023-03-11 16:14:00,0.0200,91.7
2023-03-11 16:16:00,0,88.8
2023-03-11 16:18:00,0,90.1
2023-03-11 16:20:00,0,88.4
2023-03-11 16:22:00,0.0200,93.4
2023-03-11 16:24:00,0,90.6
2023-03-11 16:26:00,0.0200,88.8
2023-03-11 16:28:00,0.0200,96.6
2023-03-11 16:30:00,0,87.6
2023-03-11 16:32:00,0,93.4
2023-03-11 16:34:00,0,91.9
2023-03-11 16:36:00,0.0400,91.3
2023-03-11 16:38:00,0.0200,105
2023-03-11 16:40:00,0,87.1
2023-03-11 16:42:00,0.0800,89.9
2023-03-11 16:44:00,0.0800,89.6
2023-03-11 16:46:00,0.0600,89.5
2023-03-11 16:48:00,0.120,132
2023-03-11 16:50:00,0,91.9
2023-03-11 16:52:00,0.160,92.3
2023-03-11 16:54:00,0,96.6
2023-03-11 16:56:00,0,94.6
2023-03-11 16:58:00,0,162
2023-03-11 17:00:00,0,92.5
2023-03-11 17:02:00,0.0200,97.1
2023-03-11 17:04:00,0,96.2
2023-03-11 17:06:00,0.0400,96.5
2023-03-11 17:08:00,0.0400,183
2023-03-11 17:10:00,0.0400,92.2
2023-03-11 17:12:00,0.0200,97.4
2023-03-11 17:14:00,0,94.8
2023-03-11 17:16:00,0,94.4
2023-03-11 17:18:00,0,200
2023-03-11 17:20:00,0,92.8
2023-03-11 17:22:00,0,97.6
2023-03-11 17:24:00,0.0400,96.1
2023-03-11 17:26:00,0.0400,94.4
2023-03-11 17:28:00,0,219
2023-03-11 17:30:00,0,91.5
2023-03-11 17:32:00,0.0200,95.1
2023-03-11 17:34:00,0.0400,95.7
2023-03-11 17:36:00,0.0200,95.4
2023-03-11 17:38:00,0.0600,225
2023-03-11 17:40:00,0,92.4
2023-03-11 17:42:00,0,95.3
2023-03-11 17:44:00,0,95.4
2023-03-11 17:46:00,0,92.2
2023-03-11 17:48:00,0.0600,208
2023-03-11 17:50:00,0.0600,91.5
2023-03-11 17:52:00,0.0200,95.7
2023-03-11 17:54:00,0.0200,97.6
2023-03-11 17:56:00,0.100,92.8
2023-03-11 17:58:00,0.0600,192
