"Time","10250/TCP","443/TCP","53/UDP","6443/TCP","80/TCP","8079/TCP","8080/TCP","8181/TCP","8443/TCP","8500/TCP","9093/TCP","9443/TCP","9808/TCP"
2023-03-11 08:00:00,3.26,,,6.78,8.84,3.08,2.72,2.36,,5.22,2,1.68,2.42
2023-03-11 08:02:00,3.36,,3.12,6.56,8.88,3.06,2.62,2.40,,5.22,1.96,,2.36
2023-03-11 08:04:00,3.32,,1.92,6.44,8.74,2.90,2.70,2.36,,5.22,1.96,,2.44
2023-03-11 08:06:00,3.42,,,6.68,8.70,2.86,2.64,2.34,,5.20,2.02,1.68,2.40
2023-03-11 08:08:00,3.32,,,6.46,9.02,3.06,2.62,2.38,,5.22,1.98,1.68,2.40
2023-03-11 08:10:00,3.32,,,6.64,8.96,3.06,2.70,2.32,,5.22,2,1.68,2.40
2023-03-11 08:12:00,3.40,2.26,3.24,6.58,11.8,3.14,2.70,2.36,,5.22,,,2.44
2023-03-11 08:14:00,3.32,,1.86,6.54,8.94,3.10,2.64,2.36,,5.22,2.02,,2.40
2023-03-11 08:16:00,3.36,,,6.60,8.92,3.02,2.64,2.40,,5.22,1.96,1.68,2.40
2023-03-11 08:18:00,3.32,,,6.60,8.78,2.94,2.66,2.34,,5.20,2,1.68,2.40
2023-03-11 08:20:00,3.32,,,6.54,8.56,3.04,2.64,2.36,,5.20,1.98,1.68,2.44
2023-03-11 08:22:00,3.28,,3.68,6.68,14.6,3.10,2.66,2.42,10.1,5.22,,,2.40
2023-03-11 08:24:00,3.30,,1.76,6.38,8.80,2.82,2.72,2.36,,5.22,1.98,,2.36
2023-03-11 08:26:00,3.32,,,6.60,8.82,3.10,2.60,2.32,,5.22,2,1.68,2.46
2023-03-11 08:28:00,3.36,,,6.44,8.54,3.12,2.52,2.42,,5.20,2.08,1.68,2.36
2023-03-11 08:30:00,3.32,,,6.52,8.58,2.96,2.68,2.36,,5.20,2,1.68,2.44
2023-03-11 08:32:00,3.38,,3.42,6.70,14.8,3.20,2.64,2.40,35.2,5.22,,,2.36
2023-03-11 08:34:00,3.24,,2.58,6.72,8.90,3.12,2.64,2.46,,5.16,1.86,,2.42
2023-03-11 08:36:00,3.32,,,6.90,8.84,3.08,2.70,2.38,,5.22,1.98,1.68,2.40
2023-03-11 08:38:00,3.32,,,6.64,8.94,3.12,2.60,2.40,,5.20,1.96,1.70,2.44
2023-03-11 08:40:00,3.36,,,6.56,8.84,3.16,2.66,2.36,,5.22,1.96,1.68,2.44
2023-03-11 08:42:00,3.40,,3.40,6.52,14.5,3.24,2.62,2.42,61.9,5.22,,,2.40
2023-03-11 08:44:00,3.22,,1.88,6.40,8.80,3.08,2.70,2.42,,5.20,2.02,,2.42
2023-03-11 08:46:00,3.38,,,6.76,8.76,3.14,2.64,2.38,,5.20,1.98,1.68,2.40
2023-03-11 08:48:00,3.22,,,6.72,8.52,2.98,2.72,2.38,,5.20,1.94,1.68,2.42
2023-03-11 08:50:00,3.06,,,6.68,8.82,2.94,2.70,2.30,,5.18,1.92,1.66,2.42
2023-03-11 08:52:00,3.32,,3.62,6.58,14.0,3.38,2.62,2.34,86.9,5.14,,,2.38
2023-03-11 08:54:00,3.32,,1.86,6.26,8.74,3.14,2.68,2.40,,5.20,2,,2.40
2023-03-11 08:56:00,3.42,,,6.70,8.40,3.08,2.60,2.32,,5.18,1.88,1.68,2.32
2023-03-11 08:58:00,3.36,,,6.72,8.38,3,2.70,2.30,,5.14,1.98,1.68,2.38
2023-03-11 09:00:00,3.28,,,6.50,8.68,2.94,2.64,2.42,,5.22,1.90,1.68,2.38
2023-03-11 09:02:00,3.24,,3.66,6.68,14.2,3.28,2.66,2.34,99.4,5.22,,,2.40
2023-03-11 09:04:00,3.34,1.72,,6.70,8.82,3.06,2.66,2.34,,5.18,1.90,,2.36
2023-03-11 09:06:00,3.38,,,6.74,8.60,2.96,2.60,2.34,,5.16,2,1.68,2.42
2023-03-11 09:08:00,3.38,,,6.74,8.82,2.98,2.68,2.44,,5.20,1.94,1.70,2.42
