"Time","Transmit Total (192.168.0.211:9796)","Transmit Total (192.168.0.221:9796)","Transmit Total (192.168.0.222:9796)","Receive Total (192.168.0.211:9796)","Receive Total (192.168.0.221:9796)","Receive Total (192.168.0.222:9796)"
2023-03-21 20:30:00,243301,150892,180876,158243,130443,167870
2023-03-21 20:32:00,311109,165032,173132,207811,172898,160431
2023-03-21 20:34:00,280442,144793,178739,184795,126704,175200
2023-03-21 20:36:00,237439,132349,176409,161495,119091,160529
2023-03-21 20:38:00,244644,130443,188756,167170,121243,181816
2023-03-21 20:40:00,234050,148527,167524,153182,127253,153124
2023-03-21 20:42:00,309030,164782,174997,201580,172037,168846
2023-03-21 20:44:00,296700,157121,170051,199539,140188,155784
2023-03-21 20:46:00,239194,133510,176321,161873,120143,160703
2023-03-21 20:48:00,242376,133750,186953,163078,120576,181265
2023-03-21 20:50:00,260085,153270,194240,155109,129616,182375
2023-03-21 20:52:00,358624,203177,179710,238810,241755,175651
2023-03-21 20:54:00,591072,283459,172247,402728,351605,158802
2023-03-21 20:56:00,350750,159314,179433,241494,163624,162911
2023-03-21 20:58:00,245099,131293,189406,168931,119644,181055
2023-03-21 21:00:00,237357,154404,172516,157585,130875,159188
2023-03-21 21:02:00,234714,130039,180793,155333,117799,175212
2023-03-21 21:04:00,310686,183604,171843,209346,182824,156673
2023-03-21 21:06:00,309604,163572,172384,206213,170798,159036
2023-03-21 21:08:00,245385,142824,190379,167197,124764,181488
2023-03-21 21:10:00,238384,134996,174183,159573,121634,159810
2023-03-21 21:12:00,235113,125597,177021,151218,114917,170986
2023-03-21 21:14:00,322062,180559,191327,199327,181186,175946
2023-03-21 21:16:00,312159,164174,183497,213916,171846,173898
2023-03-21 21:18:00,241693,147880,174429,163622,127400,155397
2023-03-21 21:20:00,236906,135248,171653,155744,121851,158759
2023-03-21 21:22:00,238604,131486,184966,159838,118038,179911
2023-03-21 21:24:00,311069,201328,187683,205634,199061,175065
2023-03-21 21:26:00,348034,176476,214899,231118,185571,207357
2023-03-21 21:28:00,250788,152080,185208,162298,129557,168531
2023-03-21 21:30:00,237840,136332,169117,153864,124252,157508
