"Time","Read (192.168.0.211:9796)","Read (192.168.0.221:9796)","Read (192.168.0.222:9796)","Write (192.168.0.211:9796)","Write (192.168.0.221:9796)","Write (192.168.0.222:9796)"
2023-03-22 00:10:00,0,0,0,547271,89429,80251
2023-03-22 00:12:00,0,0,0,734913,176492,169529
2023-03-22 00:14:00,0,0,0,611897,96438,151962
2023-03-22 00:16:00,0,0,0,651674,179814,110091
2023-03-22 00:18:00,0,0,0,725720,190601,213675
2023-03-22 00:20:00,0,0,0,557830,98623,84105
2023-03-22 00:22:00,0,0,0,714661,175036,169438
2023-03-22 00:24:00,728,0,137,609485,83922,147183
2023-03-22 00:26:00,0,0,0,704649,168391,108954
2023-03-22 00:28:00,0,0,0,722352,172351,179541
2023-03-22 00:30:00,0,0,0,547954,87518,76504
2023-03-22 00:32:00,0,0,0,723718,175946,217816
2023-03-22 00:34:00,0,0,0,600018,89156,195743
2023-03-22 00:36:00,0,0,0,679481,178404,112846
2023-03-22 00:38:00,0,0,0,732956,176538,182140
2023-03-22 00:40:00,0,0,0,547408,85970,85925
2023-03-22 00:42:00,0,0,0,722261,172942,169347
2023-03-22 00:44:00,654814,0,0,1392139,92843,145408
2023-03-22 00:46:00,0,0,0,697003,172123,113459
2023-03-22 00:48:00,0,0,0,742286,165888,196517
2023-03-22 00:50:00,0,0,0,535211,84742,86062
2023-03-22 00:52:00,0,0,1411,744789,168785,167663
2023-03-22 00:54:00,0,0,0,598972,94117,144998
2023-03-22 00:56:00,0,0,0,693089,183364,100898
2023-03-22 00:58:00,0,0,0,733639,182044,168892
2023-03-22 01:00:00,0,0,0,552732,94982,83087
2023-03-22 01:02:00,0,0,0,752026,455930,262053
2023-03-22 01:04:00,0,0,0,635426,372508,193650
2023-03-22 01:06:00,0,0,0,653449,166935,101672
2023-03-22 01:08:00,0,0,0,738554,174034,172214
2023-03-22 01:10:00,0,0,0,580995,94800,86335
2023-03-22 01:12:00,0,0,0,710201,181498,172897
2023-03-22 01:14:00,0,0,0,623366,98395,147775
2023-03-22 01:16:00,0,0,0,689266,176674,101080
2023-03-22 01:18:00,0,0,0,717983,185913,168573
2023-03-22 01:20:00,0,0,364,550866,90476,82239
2023-03-22 01:22:00,0,0,364,719531,170485,162156
2023-03-22 01:24:00,0,0,0,616539,90203,149550
2023-03-22 01:26:00,0,0,0,663188,173807,106633
2023-03-22 01:28:00,0,0,0,716846,173261,181771
2023-03-22 01:30:00,0,0,0,533663,87472,83786
2023-03-22 01:32:00,0,0,592,746519,164750,207986
2023-03-22 01:34:00,0,0,474631,606527,85834,247485
