"Time","udp"
2023-03-22 21:44:00,0.242
2023-03-22 21:48:00,0.775
2023-03-22 21:52:00,0.217
2023-03-22 21:56:00,0.558
2023-03-22 22:00:00,0.342
2023-03-22 22:04:00,0.242
2023-03-22 22:08:00,0.742
2023-03-22 22:12:00,0.275
2023-03-22 22:16:00,0.517
2023-03-22 22:20:00,0.367
2023-03-22 22:24:00,0.233
2023-03-22 22:28:00,0.675
2023-03-22 22:32:00,0.217
2023-03-22 22:36:00,0.542
2023-03-22 22:40:00,0.317
2023-03-22 22:44:00,0.267
2023-03-22 22:48:00,0.775
2023-03-22 22:52:00,0.242
2023-03-22 22:56:00,0.533
2023-03-22 23:00:00,0.317
2023-03-22 23:04:00,0.217
2023-03-22 23:08:00,0.650
2023-03-22 23:12:00,0.250
2023-03-22 23:16:00,0.450
2023-03-22 23:20:00,0.983
2023-03-22 23:24:00,0.242
2023-03-22 23:28:00,0.667
2023-03-22 23:32:00,0.217
2023-03-22 23:36:00,0.175
2023-03-22 23:40:00,0.683
2023-03-22 23:44:00,0.217
2023-03-22 23:48:00,0.750
2023-03-22 23:52:00,0.242
2023-03-22 23:56:00,0.167
2023-03-23 00:00:00,0.683
2023-03-23 00:04:00,0.242
2023-03-23 00:08:00,0.650
2023-03-23 00:12:00,0.300
2023-03-23 00:16:00,0.150
2023-03-23 00:20:00,0.683
2023-03-23 00:24:00,0.217
2023-03-23 00:28:00,0.667
2023-03-23 00:32:00,0.217
2023-03-23 00:36:00,0.175
2023-03-23 00:40:00,0.658
2023-03-23 00:44:00,0.217
2023-03-23 00:48:00,0.750
2023-03-23 00:52:00,0.242
2023-03-23 00:56:00,0.142
2023-03-23 01:00:00,0.683
2023-03-23 01:04:00,0.242
2023-03-23 01:08:00,0.625
2023-03-23 01:12:00,0.275
2023-03-23 01:16:00,0.175
2023-03-23 01:20:00,0.708
2023-03-23 01:24:00,0.267
2023-03-23 01:28:00,0.617
2023-03-23 01:32:00,0.217
2023-03-23 01:36:00,0.175
2023-03-23 01:40:00,0.683
2023-03-23 01:44:00,0.217
2023-03-23 01:48:00,0.408
2023-03-23 01:52:00,0.608
2023-03-23 01:56:00,0.167
2023-03-23 02:00:00,0.683
2023-03-23 02:04:00,0.242
2023-03-23 02:08:00,0.308
2023-03-23 02:12:00,0.642
2023-03-23 02:16:00,0.175
2023-03-23 02:20:00,0.708
2023-03-23 02:24:00,0.217
2023-03-23 02:28:00,0.275

