"Time","NOERROR","NXDOMAIN","SERVFAIL"
2023-03-21 20:28:00,0.125,0.158,0
2023-03-21 20:32:00,0.550,0.125,0
2023-03-21 20:36:00,0.108,0.100,0
2023-03-21 20:40:00,0.125,0.175,0
2023-03-21 20:44:00,0.475,0.108,0
2023-03-21 20:48:00,0.150,0.233,0
2023-03-21 20:52:00,0.117,0.125,0
2023-03-21 20:56:00,1.01,0.0667,0
2023-03-21 21:00:00,0.117,0.142,0
2023-03-21 21:04:00,0.475,0.108,0
2023-03-21 21:08:00,0.125,0.175,0
2023-03-21 21:12:00,0.125,0.150,0
2023-03-21 21:16:00,0.467,0.0833,0
2023-03-21 21:20:00,0.133,0.175,0
2023-03-21 21:24:00,0.142,0.200,0
2023-03-21 21:28:00,0.500,0.175,0
2023-03-21 21:32:00,0.125,0.142,0
2023-03-21 21:36:00,0.467,0.0833,0
2023-03-21 21:40:00,0.125,0.175,0
2023-03-21 21:44:00,0.117,0.125,0
2023-03-21 21:48:00,1.08,0.250,0
2023-03-21 21:52:00,0.108,0.108,0
2023-03-21 21:56:00,0.108,0.100,0
2023-03-21 22:00:00,0.500,0.175,0
2023-03-21 22:04:00,0.117,0.125,0
2023-03-21 22:08:00,0.483,0.158,0
2023-03-21 22:12:00,0.125,0.150,0
2023-03-21 22:16:00,0.108,0.1000,0
2023-03-21 22:20:00,0.500,0.175,0
2023-03-21 22:24:00,0.108,0.108,0
2023-03-21 22:28:00,0.492,0.158,0
2023-03-21 22:32:00,0.117,0.125,0
2023-03-21 22:36:00,0.108,0.100,0
2023-03-21 22:40:00,0.475,0.142,0
2023-03-21 22:44:00,0.108,0.108,0
2023-03-21 22:48:00,0.525,0.250,0
2023-03-21 22:52:00,0.100,0.0917,0
2023-03-21 22:56:00,0.108,0.100,0
2023-03-21 23:00:00,0.500,0.175,0
2023-03-21 23:04:00,0.117,0.125,0
2023-03-21 23:08:00,0.492,0.158,0
2023-03-21 23:12:00,0.108,0.133,0
2023-03-21 23:16:00,0.100,0.0833,0
2023-03-21 23:20:00,0.500,0.175,0
2023-03-21 23:24:00,0.117,0.125,0
2023-03-21 23:28:00,0.500,0.175,0
2023-03-21 23:32:00,0.108,0.108,0
2023-03-21 23:36:00,0.108,0.100,0
2023-03-21 23:40:00,0.492,0.175,0
2023-03-21 23:44:00,0.117,0.125,0
2023-03-21 23:48:00,0.533,0.267,0
2023-03-21 23:52:00,0.117,0.125,0
2023-03-21 23:56:00,0.108,0.100,0
2023-03-22 00:00:00,0.500,0.175,0
2023-03-22 00:04:00,0.117,0.125,0
2023-03-22 00:08:00,0.500,0.175,0
2023-03-22 00:12:00,0.125,0.167,0
2023-03-22 00:16:00,0.108,0.100,0
2023-03-22 00:20:00,0.492,0.158,0
2023-03-22 00:24:00,0.108,0.108,0
2023-03-22 00:28:00,0.133,0.175,0
2023-03-22 00:32:00,0.483,0.125,0
2023-03-22 00:36:00,0.117,0.117,0
2023-03-22 00:40:00,0.492,0.175,0
2023-03-22 00:44:00,0.108,0.108,0
2023-03-22 00:48:00,0.158,0.250,0
2023-03-22 00:52:00,1.03,0.125,0
2023-03-22 00:56:00,0.108,0.100,0
2023-03-22 01:00:00,0.142,0.192,0
2023-03-22 01:04:00,0.483,0.125,0
2023-03-22 01:08:00,0.125,0.158,0
2023-03-22 01:12:00,0.483,0.150,0
2023-03-22 01:16:00,0.108,0.100,0
2023-03-22 01:20:00,0.133,0.175,0
2023-03-22 01:24:00,0.492,0.142,0
2023-03-22 01:28:00,0.125,0.158,0
2023-03-22 01:32:00,0.475,0.108,0
2023-03-22 01:36:00,0.100,0.0833,0
2023-03-22 01:40:00,0.133,0.175,0
2023-03-22 01:44:00,0.467,0.108,0
2023-03-22 01:48:00,0.167,0.267,0
2023-03-22 01:52:00,0.208,0.125,0
2023-03-22 01:56:00,0.925,0.0833,0
2023-03-22 02:00:00,0.133,0.175,0
2023-03-22 02:04:00,0.483,0.125,0
2023-03-22 02:08:00,0.150,0.225,0
2023-03-22 02:12:00,0.125,0.167,0
2023-03-22 02:16:00,0.467,0.0750,0
2023-03-22 02:20:00,0.142,0.200,0
2023-03-22 02:24:00,0.483,0.125,0
2023-03-22 02:28:00,0.133,0.175,0
2023-03-22 02:32:00,0.108,0.108,0
2023-03-22 02:36:00,0.475,0.0917,0
2023-03-22 02:40:00,0.142,0.200,0
2023-03-22 02:44:00,0.467,0.108,0
2023-03-22 02:48:00,0.150,0.233,0
2023-03-22 02:52:00,0.117,0.125,0
2023-03-22 02:56:00,0.467,0.0750,0
2023-03-22 03:00:00,0.133,0.183,0
2023-03-22 03:04:00,0.483,0.125,0
2023-03-22 03:08:00,0.133,0.175,0
2023-03-22 03:12:00,0.117,0.150,0
2023-03-22 03:16:00,0.467,0.0750,0
2023-03-22 03:20:00,0.150,0.217,0
2023-03-22 03:24:00,0.100,0.0917,0
2023-03-22 03:28:00,0.492,0.158,0
2023-03-22 03:32:00,0.117,0.125,0
